symbol,name,country,market_cap_bucket,sector,market_cap,last_price_old,rs_pret_d,rs_fip_d,rs_fip_w,rs_fip_w_inflection,fip_w_minus_d,asym_d_last,asym_w_last,asym_w_ma_last,asym_w_above_ma,asym_w_roc5,asym_m_last,asym_m_ma_last,asym_m_above_ma,asym_m_roc3,asym_m_dist50,va_fip_d,pb,ev_ebitda,rev_growth,rev_growth_inflection,score,pret_d,pret_m,fip_d,fip_w,fip_m,nonzero_pct,realized_vol_60d,last_price,ev_sales,fcf,mkt_cap_ex,debt_to_equity,op_margin_ex,roe_ex,eps_q_growth,sector_ex,fcf_yield,roic_proxy,sector_used,sec_ev_med,sec_rel_ev,upside,floor,quality,stealth,asym_v2_score
CTRA,Coterra Energy Inc.,United States,Large Cap,Energy,24724652032.0,32.560001373291016,0.1222999035407901,-0.0714285714285714,-0.0769230769230768,-0.0769230769230768,-0.0054945054945054,47.39881897061324,53.247700364540286,57.91250226591392,-4.664801901373629,-8.94442429933521,50.76068507310544,48.07989635225811,2.680788720847332,3.6474214383968686,0.7606850731054422,-0.0677290836653386,1.6676911,5.786,0.4006962257237083,0.4778013998867113,0.5309762837945929,0.37764170994699775,0.3354303839784525,-0.14859437751004018,-0.1538461538461538,0.04347826086956519,0.9880952380952381,0.02243243244780788,32.560001373291016,3.799,1249750016.0,24724652032.0,24.381,0.28242,0.11361,-0.097,Energy,0.050546718084545944,0.0743406159515662,Energy,8.7425,0.6618244209322276,0.8703703703703703,0.6411411411411412,0.5740740740740741,0.35185185185185186,0.5671006138764679
ABX.TO,Barrick Mining Corporation,Canada,Large Cap,Basic Materials,98101010432.0,58.54999923706055,0.7861827462939506,-0.1666666666666666,-0.1538461538461538,0.0769230769230769,0.0128205128205128,45.92401402098172,51.42057188562409,54.498229168459,-3.077657282834906,2.326315456055731,67.6178880409717,71.84787936080949,-4.229991319837779,-7.574450785268311,17.617888040971707,0.0358565737051792,2.6005716,8.958,0.3121807769695093,0.1783736347390978,0.5425761865345384,1.0905723196625483,1.6974422198425922,-0.18725099601593626,-0.23076923076923078,-0.47826086956521735,0.996031746031746,0.030067499717676274,58.54999923706055,5.318,5272124928.0,94247346176.0,12.852,0.56248003,0.25176,2.38,Basic Materials,0.05593924011562823,0.105769091763821,Basic Materials,9.7255,0.9210837489075112,0.7777777777777778,0.5073573573573573,0.7777777777777778,0.6666666666666666,0.5472153859204372
LXU,"LSB Industries, Inc.",United States,Small Cap,Basic Materials,902113152.0,12.539999961853027,0.3041052747376978,-0.0238095238095237,-0.1153846153846154,-0.0384615384615385,-0.0915750915750916,40.95744006676851,58.057540951641954,60.80615538457463,-2.7486144329326763,-3.044355358150881,63.8234838062038,58.48266406432176,5.3408197418820365,6.68414694258297,13.823483806203797,-0.0677290836653386,1.659828,7.393,0.1776569678407351,0.2977646300119335,0.4589598991836524,1.5806451874055094,0.5188582039951077,-0.09600000000000003,-0.3076923076923077,-0.18181818181818182,0.9920634920634921,0.043703407076259713,12.539999961853027,1.853,42219248.0,878373312.0,90.594,0.13036,0.0889,,Basic Materials,0.04806526726531509,0.0703507825148408,Basic Materials,9.7255,0.7601665724127293,0.712962962962963,0.6542542542542542,0.48148148148148145,0.6111111111111112,0.5318797160981598
A2A.MI,A2A S.p.A.,Italy,Mid Cap,Utilities,7027645952.0,2.249000072479248,-0.184503209086584,-0.1349206349206348,-0.0384615384615384,0.0384615384615383,0.0964590964590964,57.56279414105078,49.50867593863599,50.57721389035044,-1.0685379517144469,-2.1987153104421395,50.16779253498783,51.520717751165,-1.3529252161771694,-3.580865395200888,0.1677925349878251,0.0836653386454183,1.3113703,6.176,0.0929992044550516,0.2256241009496693,0.5449908414653656,0.11438761660903296,0.31419230782770247,-0.09236947791164662,-0.1923076923076923,-0.30434782608695654,0.9880952380952381,0.013492178400440952,2.249000072479248,0.901,560875008.0,7112801280.0,109.904,0.08172,0.1148,-0.16,Utilities,0.07885430590857165,0.09069922308546059,Utilities,14.423,0.4282049504264023,0.5,0.8380880880880881,0.6851851851851852,0.2777777777777778,0.5015256520064271
L1RC34.SA,Lam Research Corporation,United States,Large Cap,Technology,2000713547776.0,36.36000061035156,1.6508199706141529,-0.2063492063492063,-0.4230769230769231,0.0,-0.2167277167277168,55.501262397810855,60.05756545802464,61.96962158638577,-1.9120561283611293,-1.068619830305387,64.83046025731623,61.52341723788592,3.30704301943031,3.984213646126207,14.830460257316233,0.0517928286852589,3.393646,5.665,0.2368408976459919,0.3816111121611003,0.5546129765904122,2.074300588918529,-0.7316763418985128,-0.23966942148760334,-0.29411764705882354,0.13043478260869562,0.9603174603174603,0.04827872149146061,36.36000061035156,9.892,4352341504.0,2370482470912.0,35.282,0.35042998,0.66762,0.372,Technology,0.0018360572404171865,0.035425594419733114,Technology,11.652000000000001,0.4861826295914864,0.7962962962962963,0.49124124124124124,0.18518518518518517,0.9074074074074074,0.46380269830954046
CLST,"Catalyst Bancorp, Inc.",United States,Micro Cap,Financial Services,64506184.0,15.920000076293944,0.034929754218669,0.0158730158730158,0.1153846153846154,0.1538461538461539,0.0995115995115995,66.65536478914447,68.33699396765027,71.86197089764644,-3.5249769299961717,-3.1451126017230564,69.58710389078368,64.16914437991352,5.417959510870162,4.261239341653536,19.58710389078368,0.0039840637450199,0.67537755,,0.9874055415617128,1.3728544579703816,0.5029400576483087,0.38826574122134305,0.3687821824190878,-0.1553398058252427,-0.4166666666666667,-0.09090909090909088,0.8174603174603174,0.009927472722265764,15.920000076293945,3.21,,65113968.0,,0.23054,0.02486,-0.048,Financial Services,,0.07181931464174454,Financial Services,13.326,,0.9722222222222222,0.26666666666666666,0.5370370370370371,0.9444444444444444,0.43358457964276964
4042.T,Tosoh Corporation,Japan,Mid Cap,Basic Materials,860400189440.0,2794.5,0.122267787431203,-0.0793650793650793,-0.0769230769230768,0.0384615384615385,0.0024420024420024,57.37291230285177,61.97458559934572,57.80686339676173,4.167722202583988,10.432160876314995,58.84416543234331,56.366216872349625,2.477948559993685,2.358622236808209,8.84416543234331,-0.0278884462151394,1.0343946,6.622,0.0574181615687523,0.1126016681491337,0.4948691206198261,0.3121331701408734,0.4381264113626282,-0.17928286852589642,-0.2692307692307692,-0.13043478260869562,0.996031746031746,0.026713780602089645,2794.5,0.998,39521001472.0,881028825088.0,24.905,0.09717,0.06306,0.792,Basic Materials,0.04485778483814365,0.09736472945891785,Basic Materials,9.7255,0.6808904426507634,0.3055555555555556,0.7601101101101102,0.7407407407407407,0.7777777777777778,0.42469277378566006
BBY.L,Balfour Beatty plc,United Kingdom,Mid Cap,Industrials,3805217792.0,796.5,0.2431010409051985,-0.1349206349206348,-0.1923076923076923,0.0384615384615384,-0.0573870573870574,41.78414856338608,55.494619774931216,58.456095601834775,-2.961475826903559,-4.061172467596961,61.84473695615063,59.1895237138829,2.6552132422677275,1.502798723909173,11.844736956150626,-0.0358565737051792,3.3951406,15.652,0.1524168083555988,0.1222654258959465,0.4806038633818589,0.7831400945059044,1.1978031138036451,-0.16935483870967744,-0.3461538461538462,-0.5652173913043479,0.9841269841269841,0.021002927069180784,796.5,0.343,500624992.0,3994372096.0,88.802,0.020739999,0.23138,0.976,Industrials,0.12533258794325405,0.060466469387755094,Industrials,11.582,1.3514073562424451,0.5648148148148149,0.504004004004004,0.37037037037037035,0.8333333333333334,0.4183378181025438
ECVT,Ecovyst Inc.,United States,Small Cap,Basic Materials,1443691520.0,13.1899995803833,0.3429379392303135,-0.0476190476190476,-0.0384615384615384,-0.0384615384615384,0.0091575091575091,42.242648992757,64.84227079302077,64.34870189236912,0.4935689006516526,-3.0576177143753256,60.070922603409336,55.58301347535436,4.487909128054973,6.5341808984710354,10.070922603409336,-0.0278884462151394,2.5099905,10.083,0.2092947459029408,0.1862971995445039,0.5563772074969646,1.416954975766691,0.5247311843393969,-0.13580246913580246,-0.23076923076923078,-0.13043478260869562,0.9642857142857143,0.022957722863635066,13.1899995803833,2.144,109468496.0,1432746112.0,75.887,0.064050004,0.031659998,,Basic Materials,0.07640467147887818,0.029874069029850743,Basic Materials,9.7255,1.0367590355251657,0.7222222222222222,0.5382382382382384,0.14814814814814814,0.5,0.41773176447245597
INGM,Ingram Micro Holding Corporation,United States,Mid Cap,Technology,6510060032.0,28.25,0.1331584396982075,-0.0714285714285714,-0.1153846153846154,-0.1538461538461539,-0.043956043956044,58.47463606675207,62.67831069812233,62.28310819302644,0.395202505095888,-8.750392909487715,51.912190318471865,45.32595711748833,6.586233200983536,10.84678513926044,1.9121903184718647,-0.0836653386454183,1.5565596,7.783,0.0952947514165809,0.096474863207574,0.5760407374820028,0.7252143131591546,,-0.08366533864541831,-0.1923076923076923,,0.996031746031746,0.03254338903699933,28.25,0.18,561837120.0,6855727104.0,90.51,0.01667,0.088649996,0.429,Technology,0.08195150003450312,0.09261111111111112,Technology,11.652000000000001,0.6679539993134226,0.3611111111111111,0.8007507507507509,0.7037037037037037,0.2037037037037037,0.41191019300059917
