symbol,name,src,sector,industry,market_cap_bucket,market_cap,revenue_ttm,balance_sheet_date,asymmetry_score,upside_score,downside_floor_score,cluster_n,yartseva_score,berezin_score,cash_gt_ev_flag,graham_net_net_flag,pew_negative_ev_flag,pb,ebitda_margin,ebitda_positive_proxy,net_debt_ebitda,insider_ownership_pct,pew_forgotten_score,pew_has_platform_hint,pew_avg_dollar_volume,rev_3y_cagr,momentum_12m,notes,cash_floor
088910.KQ,"Dongwoo Farm To Table Co.,Ltd",KR,Consumer Staples,,Micro Cap,57873969152.0,330261649300.0,2026-03-31,0.7169467889064579,0.6119198787181919,0.84,6,0.711769077313724,0.6141246058638158,1,1,,0.2358961702739243,0.131327559714939,1,-1.0024979551267736,0.52155,,,,,0.1607666173294672,"growth-flip; first-positive: FCF/EBITDA/CFO/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 0.4x); Graham net-net (mcap 0.66x NCAV); cash 98% of mcap; cash > EV (3.62x, net cash 75% mcap)",cash>EV Graham
7722.T,"Kokusai Co., Ltd.",JP,Industrials,Machinery,Micro Cap,10536798208.0,13204277000.0,2025-09-30,0.6920359729618435,0.6841625541046362,0.7,6,0.7449658697404384,0.4980159370211181,1,0,,0.907660484889666,0.1208064629362137,1,-3.312752560554978,0.47185,,,,,0.6256998952112021,"growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 3.4x); cash 78% of mcap; cash > EV (1.66x, net cash 50% mcap)",cash>EV
002990.KS,"KUMHO Engineering & Construction Co., Ltd.",KR,Industrials,Construction & Engineering,Small Cap,151506042880.0,2003844021400.0,2026-03-31,0.6917324834061663,0.6835626122846603,0.7,6,0.7448362931829947,0.6383246101059309,1,0,,0.6351358080899466,0.0577228322986876,1,-1.1407506453815133,0.47601002,,,,,0.4964327605623537,"growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 1.4x); cash 185% of mcap; cash > EV (1.85x, net cash 87% mcap)",cash>EV
0114.HK,Herald Holdings Limited,HK,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap,380829184.0,703704000.0,2025-09-30,0.6789985562410593,0.6586271991106329,0.7,6,0.6389956356525307,0.47635344463577,1,0,,0.6222943121952494,0.0783866512056205,1,-6.185674661445587,0.48104998,,,,,0.402511907320183,"growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 1.3x); cash 90% of mcap; cash > EV (8.50x, net cash 90% mcap)",cash>EV
NPK.BK,New Plus Knitting Public Company Limited,TH,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap,122000000.0,249703684.0,2026-03-31,0.6649728541353019,0.6316984239097851,0.7,6,0.7044070989227642,0.5456681454169467,1,0,,0.2709210660037776,0.121023080300249,1,-3.278580984476161,0.88382006,,,,,0.1845099580256616,"growth-flip; first-positive: FCF/CFO/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 2.9x); cash 94% of mcap; cash > EV (1.64x, net cash 81% mcap)",cash>EV
METCO.BK,Muramoto Electron (Thailand) Public Company Limited,TH,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap,5955930112.0,16941492304.0,2026-03-31,0.6568284520435143,0.6163194505912559,0.7,5,0.64189636104013,0.5225695245785115,1,0,,0.8296567766035158,0.1096313272568954,1,-1.6711615998857603,0.85438,,,,,0.6698113485871192,"growth-flip; first-positive: FCF; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 2.0x); cash 55% of mcap; cash > EV (1.14x, net cash 52% mcap)",cash>EV
088790.KS,"Jindo.Co., Ltd.",KR,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Micro Cap,35600547840.0,56822099020.0,2026-03-31,0.6563021115399135,0.6153320880167843,0.7,4,0.6402275246838157,0.6334325603164742,1,0,,0.3134210219709813,0.1755774690140969,1,1.160674592848261,0.50606,,,,,0.5475373713268138,"growth-flip; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 4.0x); cash 116% of mcap; cash > EV (1.13x, net cash 72% mcap)",cash>EV
0236.HK,San Miguel Brewery Hong Kong Limited,HK,Consumer Staples,Beverages,Nano Cap,425870432.0,737321000.0,2025-12-31,0.6479640568386477,0.5997963127925688,0.7,6,0.6055811434903992,0.5289645539264067,1,0,,0.5937197570863748,0.1595994146375866,1,-2.368911247833033,0.75584,,,,,0.5145934835349357,"growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 1.3x); cash 67% of mcap; cash > EV (2.26x, net cash 65% mcap)",cash>EV
8333.HK,Astrum Financial Holdings Limited,HK,Financials,Capital Markets,Nano Cap,62399996.0,30099000.0,2025-12-31,0.6474950833408197,0.6352270953795986,0.6599999999999999,4,0.6298442949880821,0.676570095159879,0,1,,0.4790529184611959,0.3525034054287518,1,-1.4929311969839774,0.55639,,,,,1.0967741005130422,growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales; Graham net-net (mcap 0.52x NCAV); cash 60% of mcap, Graham
052330.KQ,Kortek Corporation,KR,Information Technology,,Micro Cap,150129295360.0,429333239350.0,2026-03-31,0.6391816581971653,0.4863728478281879,0.84,3,0.4807127678097672,0.5589420557936795,1,1,,0.3869141557375681,0.1251872353078734,1,-1.541538147173536,0.38487,,,,,0.2028771119078816,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 1.9x); Graham net-net (mcap 0.59x NCAV); cash 76% of mcap; cash > EV (1.26x, net cash 55% mcap)",cash>EV Graham
BENGALT.BO,Bengal Tea & Fabrics Limited,IN,Consumer Staples,,Nano Cap,1332885760.0,529623000.0,2025-09-30,0.6378477807971661,0.5812139878112423,0.7,5,0.7607607345430636,0.4734316608513833,1,0,,0.6622705753751367,0.3854704195248318,1,0.3903915671502885,0.84797996,,,,,0.0240659480742106,"growth-flip; first-positive: NI; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 0.6x); cash 99% of mcap; cash > EV (12.54x, net cash 93% mcap)",cash>EV
264450.KQ,Ubiquoss Inc.,KR,Communication Services,,Micro Cap,194464432128.0,117880397700.0,2026-03-31,0.6275518314014916,0.5626018587076659,0.7,3,0.6071083556716428,0.4802863080662156,1,0,,0.9925171574056828,0.3165329116462592,1,-3.54081248717266,0.43443,,,,,0.8438434262671209,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 2.1x); cash 70% of mcap; cash > EV (1.88x, net cash 68% mcap)",cash>EV
8938.T,"GLOME Holdings,Inc.",JP,Real Estate,Real Estate Management & Development,Micro Cap,3434594048.0,2043000000.0,2025-09-30,0.6231141061142603,0.5546731274836767,0.7,6,0.6144897197044488,0.459665609137344,1,0,,0.4660236157394844,0.092511013215859,1,-12.746031746031743,0.45748,,,,,-0.5272206303724928,"growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 6.0x); cash 72% of mcap; cash > EV (4.16x, net cash 70% mcap)",cash>EV
031510.KQ,Austem Company Ltd.,KR,Industrials,,Micro Cap,27573909504.0,138443124140.0,2026-03-31,0.6229386419513032,0.5543607880516199,0.7,6,0.732785792342302,0.572762751529584,1,0,,0.3574623360623071,0.1446449393886092,1,0.2949930100963854,0.33673,,,,,0.0151023828444579,"growth-flip; first-positive: FCF/EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 0.5x); cash 196% of mcap; cash > EV (4.25x, net cash 64% mcap)",cash>EV
7351.T,"Goodpatch, Inc.",JP,Information Technology,Software,Micro Cap,4174839040.0,5085553000.0,2026-02-28,0.6188576423085014,0.5471211163480529,0.7,5,0.8018675159332757,0.4563387515763731,1,0,,0.9655070668591432,0.1392818047516169,1,-3.252615677831504,0.51715,,,,,-0.3222342555409567,"growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 2.7x); cash 59% of mcap; cash > EV (1.45x, net cash 55% mcap)",cash>EV
8917.T,"First Juken Co., Ltd.",JP,Industrials,Construction & Engineering,Micro Cap,14748397568.0,42883657000.0,2025-10-31,0.6148225220489641,0.4500080162126773,0.84,3,0.475539701768859,0.4393225764524504,1,1,,0.3618697594001466,0.0664310182314908,1,-2.8250764794361145,0.51227003,,,,,0.113584669333698,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 4.8x); Graham net-net (mcap 0.55x NCAV); cash 151% of mcap; cash > EV (1.88x, net cash 55% mcap)",cash>EV Graham
0169.HK,Wanda Hotel Development Company Limited,HK,Real Estate,Real Estate Management & Development,Micro Cap,521405472.0,117607000.0,2025-12-31,0.6133608867870785,0.5374451106289018,0.7,5,0.6137537513343673,0.4993818640502996,1,0,,0.2901190688688925,0.1164131386737184,1,-27.296399094295523,0.71459997,,,,,-0.0347826763001586,"growth-flip; first-positive: EBITDA/NI; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cash 72% of mcap; cash > EV (2.14x, net cash 72% mcap)",cash>EV
1758.T,"Taiyo Kisokogyo Co.,Ltd.",JP,Industrials,Construction & Engineering,Nano Cap,5039905280.0,14511488000.0,2026-01-31,0.611390182599465,0.5339970791128674,0.7,5,0.4634600397974617,0.4892123529151101,1,0,,0.5306370512281794,0.0648541348757618,1,-4.147582161869242,0.46447,,,,,0.4522552685746894,"growth-flip; first-positive: FCF; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 1.8x); cash 80% of mcap; cash > EV (3.59x, net cash 77% mcap)",cash>EV
2230.HK,Medialink Group Limited,HK,Communication Services,Entertainment,Micro Cap,454176000.0,647806000.0,2025-09-30,0.6113879546951491,0.5339931873518823,0.7,5,0.6713227892522685,0.4457538177866538,1,0,,0.6931370918142319,0.0976480613023034,1,-5.850482950503501,0.7375,,,,,0.0003297642218502,"growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 1.2x); cash 82% of mcap; cash > EV (5.55x, net cash 81% mcap)",cash>EV
181710.KS,NHN Corporation,KR,Communication Services,Interactive Media & Services,Small Cap,1246102421504.0,2587502202980.0,2026-03-31,0.6057370505842182,0.5241676777863825,0.7,5,0.5621398060703303,0.5746710140977628,1,0,,0.8384016761480297,0.1027109800887981,1,-1.954976360143678,0.56797004,,,,,1.0092635863618202,"growth-flip; first-positive: FCF/NI/ROCE; ROCE improving from <=0; under-priced vs fundamentals; cheap+grow (EV/EBIT 0.4x); cash 75% of mcap; cash > EV (14.29x, net cash 42% mcap)",cash>EV
1455.HK,Fourace Industries Group Holdings Limited,HK,Consumer Staples,Household Products,Nano Cap,296626496.0,272312000.0,2025-09-30,0.6008445090469939,0.515734462931319,0.7,3,0.560464661913399,0.4162359401509348,1,0,,0.7138647195575686,0.2393210728869825,1,-4.086205309191346,0.74221003,,,,,0.4686924333727015,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 0.6x); cash 90% of mcap; cash > EV (8.78x, net cash 90% mcap)",cash>EV
0538.HK,Ajisen (China) Holdings Limited,HK,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap,1036961856.0,1831936000.0,2025-12-31,0.6000228766991494,0.5143249322318896,0.7,5,0.5747169657890971,0.5148789511639275,1,0,,0.3642596040559708,0.2333564054639463,1,-2.401703883563278,0.51009,,,,,0.2254445616707501,"growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; accelerating sales; cheap+grow (EV/EBIT 0.8x); cash 162% of mcap; cash > EV (24.29x, net cash 99% mcap)",cash>EV
KCLINFRA.BO,KCL Infra Projects Limited,IN,Industrials,,Nano Cap,219585408.0,237056752.0,2025-09-30,0.5939456154523143,0.5039591344500405,0.7,5,0.5825454103992423,0.4047574240728116,1,0,,0.3956572256387063,0.1078512372429704,1,1.2064444039753957,0.47884998,,,,,-0.0909090909090909,"growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 2.4x); cash 82% of mcap; cash > EV (2.95x, net cash 66% mcap)",cash>EV
REKA.HE,Reka Industrial Oyj,FI,Industrials,Electrical Equipment,Nano Cap,24642882.0,31570000.0,2025-12-31,0.5934770968995788,0.503164377920503,0.7,5,0.5091970866643191,0.516723941341706,1,0,,0.550802011622709,0.1075704783021856,1,-5.998233215547703,0.5739,,,,,0.0218977885840649,"growth-flip; FCF break-even ETA 0.6y; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 2.1x); cash 122% of mcap; cash > EV (7.03x, net cash 83% mcap)",cash>EV
