symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes,inflection_flag
EBS.VI,Erste Group Bank AG,Financials,Banks,Large Cap,EUR,40005840896.0,118491004928.0,103.0,11761000000.0,,9044000000.0,8315000000.0,,0.7069977042768472,,,,10.074909015219797,,,1.4899199618636176,0.2078446500253761,,,1.1129374861972154,0.3757584807982227,-16211000000.0,-0.4052158294120712,0,2026-03-31,,0,3.4015679700705723,12.01867,4.42346759133127,,,,2.261926930095713,0.26479998,111.125,0.0788834951456309,0.4238101052852592,0,0.3195850692607966,0.6699365238708089,,0,,0.0795850927115843,,2.001661313545243,1.8506393861892585,,1.604280612299612,,,0.1151664611590628,0.1627744371416585,0.2523117569352708,,-0.0702043506921555,0.0204622963243652,0.2707141918477462,,5.938829013361346,7.085920728539864,0,0,1,1,0,1,1,0,,,0,0,1164000000.0,0.0,0.0,,0.0,0.0,0,0.4238101052852592,0.3442250125736749,,-1.426829280903999,0.3188493569405334,0.2545849704632635,0.55478,growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals; cash 111% of mcap,1
STR.VI,STRABAG SE,Industrials,Construction & Engineering,Mid Cap,EUR,10563006464.0,7089685504.0,91.5,18714281000.0,1990390000.0,1802658000.0,1137694000.0,0.1063567443494088,0.0607928244745283,0.9056807962258652,0.6419186459050521,-1.795799818126096,0.3788382521348268,3.5619579599977893,5.288008222508969,1.865286664524081,0.1077055101573021,-582920000.0,-0.0551850462258696,0.4168522489318435,0.6210731064890971,3574342000.0,0.338383017390152,0,2025-12-31,,0,0.5644356020944646,11.52393,5.859684124221012,7738272000.0,0.4134955545446817,0.7325823406785714,0.1463676111701695,0.64235,106.25,0.1612021857923498,0.0645108716256987,0,0.34187964034767,0.1407096101969148,37.5810025705331,1,38.93231014607872,0.0741617356549128,0.1095749822586408,0.2994855137185528,0.5319692715802514,0.0033944867862362,0.0181670831725735,,,,,0.0741617356549128,0.1095749822586408,0.2994855137185528,0.5319692715802514,0.0879913253764995,-0.0670911181032475,0.5358175309736379,0.949807692903952,1,0,1,1,0,0,0,0,0.5693120208495824,0.0726066250554696,0,0,395059000.0,,0.0,0.0,0.0,0.0,0,0.0645108716256987,-0.0096508640292141,-0.0450641106329421,-0.4674583999545527,-0.0089845539166687,0.1327894821333444,0.626351,growth-flip; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 5.3x),1
BG.VI,BAWAG Group AG,Financials,Banks,Mid Cap,EUR,11946822656.0,17252823040.0,155.2,2353900000.0,,-3276000000.0,-3372000000.0,,-1.4325162496282764,,,,7.329463035812906,,,2.470393435897436,-0.2822507788969727,,,1.1796441954315051,0.8168518257751747,-3652000000.0,-0.3056879728741827,0,2025-12-31,,0,5.075331431241769,15.082604,,,,,3.6693548387096775,0.04537,168.98,0.0887886597938143,0.4536838909988323,0,0.2674550916380298,-0.9970489880172414,,0,,0.4176704408576246,,-3.6334405144694535,-3.826487845766974,,-2.1510178155160142,,,,,0.4176704408576246,,-3.6334405144694535,-3.826487845766974,0.373328029385205,,-3.5888936634709894,-3.7658579245071313,0,0,0,0,0,0,0,0,,,0,0,,,,,,0.0,0,0.4536838909988323,0.0360134501412076,,4.280171736765806,0.0254032595328862,-1.4471961488133,0.054855,accelerating sales; cash 118% of mcap,0
CAI.VI,CA Immobilien Anlagen AG,Real Estate,Real Estate Management & Development,Mid Cap,EUR,2345376512.0,4117083648.0,25.5,283762000.0,180522000.0,162816000.0,161238000.0,0.6361739767833607,0.5682156173131004,0.9019177717951274,0.0433741552236236,8.507661116096653,14.508932302422451,22.80654794429488,23.215502520553507,0.9187337188914604,0.0687471709446368,-1836815000.0,-0.7831642342293569,0.22734473431957,0.1295113351070782,-1535820000.0,-0.6548287629478913,0,2026-03-31,,0,8.265294549657812,13.563829,14.40507389937107,204432000.0,0.7204347305135994,0.0871638301799451,0.8104825378520203,0.041279998,27.06,0.0611764705882351,0.1163401929193205,0,0.2431349034537656,3.628141823073675,6.398730714690169,0,2.169624590040905,-0.1274150745548083,11.251107325383304,0.3114563951381002,0.3046306710144106,0.690325767851544,0.1881721359771717,-0.0562438263495558,-0.0325464240735282,-0.2173060282665128,-0.2193036396473168,0.0545402840764521,-0.3516448755799241,-0.0562730908979878,-0.0325704225352112,0.1504671890595449,10.667787757877395,1.1568489639472397,1.1516663033671144,0,0,1,1,1,0,0,1,-0.0046890685823933,0.0480632238060169,1,1,37649000.0,,0.0,0.0,0.0,0.0,0,0.1163401929193205,0.2437552674741289,-11.134767132463985,-0.18829047809509,0.2793484741324923,3.693100781028316,0.633058,growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals,1
POST.VI,Österreichische Post AG,Industrials,Air Freight & Logistics,Mid Cap,EUR,2134663424.0,2902863360.0,31.6,3050300000.0,454100000.0,436000000.0,295400000.0,0.1488706028915188,0.0968429334819526,0.960140938119357,3.4096209912536444,-1.34045364457168,0.951664872307642,6.392564104822727,12.410702693458743,3.151725120330725,0.1383824712967958,-2431100000.0,-1.1388680635397443,0.3931298913753253,0.2890938690273041,608700000.0,0.2851503394663495,0,2026-03-31,,0,0.6998208123791102,19.506172,4.896017027522936,425400000.0,0.1394616922925614,0.1992820016576065,0.3403218662335744,0.528,32.025,0.0134493670886075,0.1033264281577391,0,0.2043585340302316,1.1836046437143442,10.485513688516749,0,,-0.0233101725849316,-0.0768448871721894,2.582580115036976,8.44080604534005,-0.0086331593959519,0.109554662213021,0.0023330704521556,-0.0301153353267834,0.2030905077262693,0.3556677374942634,-0.072339913336543,-0.3566200931470392,-0.4978102189781022,-0.509864094695309,-0.1650683767511148,-0.1857845948021218,2.4996217630716133,7.930758528608214,0,0,1,1,0,0,1,0,0.6442890442890443,2.7653319469646,0,0,77500000.0,0.0,0.0,,0.0,,0,0.1033264281577391,0.1266366007426708,0.1801713153299286,-8.33747961718231,0.1296589737991132,2.6768905670365704,0.599735,growth-flip; first-positive: FCF; under-priced vs fundamentals,1
EVN.VI,EVN AG,Utilities,Multi-Utilities,Mid Cap,EUR,,6642652672.0,29.25,3026600000.0,1069600000.0,916700000.0,30300000.0,0.3533998546223485,0.0100112337276151,0.8570493642483171,0.082444306028599,1.0524495138369483,2.1947573752725837,6.210408257292446,10.67778921716766,,,-2948400000.0,,,0.0236802987853103,-1091200000.0,,0,2025-12-31,,0,,11.121673,,1183300000.0,0.3909667613824093,,0.1934309396545046,0.794,32.75,0.1196581196581196,0.2359259186702512,0,0.5742891575063258,-0.131329026374872,,0,,0.047556417001246,0.0875444839857651,-0.2142795920116568,-0.9268469338483823,0.0129942059998924,-0.1333502504202458,0.0088666666666666,-0.0025179520656532,-0.019781864841745,0.1744186046511628,0.298780487804878,0.2107298211696471,-1.1642857142857144,0.093010752688172,0.2716989705494271,0.1378499215841221,-0.4364322400635751,-1.58528483851129,1,1,0,0,0,0,0,0,0.0828244171212984,-0.0003801110926994,0,0,4500000.0,0.0,,0.0,,,0,0.2359259186702512,0.1883695016690052,0.1483814346844861,1.1627728525186336,0.1798180017914788,-0.4198354476659009,0.43133,growth-flip; accelerating sales,1
VIG.VI,Vienna Insurance Group AG,Financials,Insurance,Mid Cap,EUR,8332800000.0,8558000000.0,65.1,14781083000.0,,842256000.0,476289000.0,,0.0322228756850901,,-0.0663423843443383,,0.5789832855955143,,6.866719997817541,1.162037000882461,0.0571583381336405,,,3.3355547955069125,3.2477811404533767,25956750000.0,3.1150093605990783,0,2025-12-31,,0,0.563747595490804,10.077399,9.89342907619536,,,,0.2562819557386175,0.72470003,69.375,0.065668202764977,0.4598869711665784,0,0.4044752454026998,9.5249477856729,0.7209194372851289,1,,0.1432999872064978,,1.4339212076902403,28.288243382605707,,0.033572922767344,,,,,0.1432999872064978,,1.4339212076902403,28.288243382605707,0.0334318268012997,,-2.0498326053368547,27.320499599051683,0,0,0,0,0,0,1,0,-0.0524403785267212,-0.0139020058176171,0,0,493743000.0,,0.0,,0.0,0.0,0,0.4598869711665784,0.3165869839600805,,-27.828356411439128,0.2769063128686102,9.078287704870144,0.313824,first-positive: FCF; under-priced vs fundamentals; cheap+grow (EV/EBIT 6.9x); cash 334% of mcap,1
OMV.VI,OMV Aktiengesellschaft,Energy,"Oil, Gas & Consumable Fuels",Large Cap,EUR,20554366976.0,27094366208.0,63.05,23904000000.0,5602000000.0,4897000000.0,1048000000.0,0.2343540829986613,0.0438420348058902,0.8741520885398072,0.153938984359915,0.6076401285255266,1.1334657884872823,4.836552339878615,8.496195110693007,1.1468150965798136,0.0509867319788384,-10328000000.0,-0.5024722975929804,0.2538146762725192,0.1925492539648189,-2793000000.0,-0.1358835328405494,0,2026-03-31,,0,0.8598714431057564,17.710674,4.197338569736574,5139000000.0,0.2149849397590361,0.2500198622511935,0.4469117893209842,0.56414,61.0875,-0.0311260904044409,0.4552247818778402,0,0.2769099117671683,-0.2762509033463387,,0,,-0.0874246010536764,-0.2597780126849894,-0.1024560117302052,-0.46062789500772,-0.0545670439769819,-0.0303352577038448,-0.0289242768930776,-0.1238661244917109,-0.0493108134342846,-0.1295681063122923,-0.0314309346567411,0.0904295403165034,-0.5383700178465199,-1.230421686746988,0.264237787037872,-0.2054254628869822,0.0001444380406714,-0.1714009023135972,0,0,0,0,0,0,0,0,0.2217447144833036,-0.0678057301233886,0,0,,,,,,0.0,0,0.4552247818778402,0.5426493829315167,0.7150027945628297,0.9158526768855604,0.5946351211725298,-0.7245016181266356,0.403463,accelerating sales,0
VER.VI,VERBUND AG,Utilities,Independent Power and Renewable Electricity Producers,Large Cap,EUR,20671232000.0,23385133056.0,59.5,8111756000.0,2676952000.0,2056645000.0,727926000.0,0.3300089401111177,0.0897371666504761,0.7682786243458979,0.1947678317703893,0.0269709729573036,2.882869388083172,8.735731180835517,11.373184753745324,1.9715428048222188,0.0352144468215537,-5358800000.0,-0.2592395073501182,0.0053262427706292,0.004708119459331,-72200000.0,-0.0034927768214298,0,2026-03-31,,0,2.5483054470573325,15.139949,10.050948024574003,3569939000.0,0.4400944752282983,0.172700833699704,0.0173870746223103,0.3,60.17857,0.0114045378151259,-0.0684448888234031,0,0.1940823045744459,-0.247153105268584,,0,,-0.0161122529366209,-0.2681362346314739,-0.3669048648076253,-0.6551821491251962,-0.113641596998346,-0.1663148286264294,-0.0545905310990447,-0.1611117396009051,-0.1835149535452167,-0.3454909361959626,-0.0927368403317926,-0.0779607207614088,0.7129690834576669,1.7343118015054777,0.1829814950212409,0.0003620032516324,-0.0485220633617731,-0.3123193110183115,0,0,0,0,0,0,0,0,0.2529430157232942,-0.0581751839529049,0,0,,,,,,,0,-0.0684448888234031,-0.0523326358867822,0.1996913458080708,0.5867372603017931,-0.0531896408334996,-0.2446986567410272,0.387751,accelerating sales,0
ANDR.VI,Andritz AG,Industrials,Trading Companies & Distributors,Mid Cap,EUR,7624306176.0,7060347392.0,77.8,7786800000.0,858500000.0,596900000.0,405500000.0,0.1102506806390301,0.0520753069296758,0.6952824694234129,0.3643998120742306,-0.71648223645894,0.906707170082704,8.224050543972044,11.378480889605155,3.289316267310928,0.0531851673633522,-827800000.0,-0.1085738139170973,0.1790064523242986,0.1933049358940099,615100000.0,0.0806761934530159,0,2026-03-31,,0,0.9791321436276776,16.659529,12.773171680348469,4065000000.0,0.5220372938819541,0.5331632683897085,0.3234393200742051,0.315,82.83333,0.0646957583547558,0.3044013265153799,0,0.2833263525681025,-0.081296926786943,,0,,-0.0633773169587548,-0.0698808234019501,-0.0622152395915161,-0.1126914660831509,-0.0007708861723775,-0.0028942012315519,-0.0597696153010215,-0.0735944750188842,-0.1938141545110751,-0.2314253222137983,-0.2363202115409221,-0.2669902912621359,-0.7376179245283019,-0.8358262108262108,-0.0118055740710795,0.0033704936035664,-0.6718816444095314,-1.2432536000017145,0,0,0,0,0,0,0,0,0.4320605008678403,-0.0676606887936096,0,0,,,,,,,0,0.3044013265153799,0.3677786434741347,0.3742821499173301,0.4170927925985309,0.3926646771781624,-0.386384528663332,0.357682,,0
