symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes
HST.VI,Hutter & Schrantz Stahlbau AG,Materials,Metals & Mining,Nano Cap,EUR,43070456.0,22098458.0,28.8,142927140.09,10084988.3,12709561.15,7747233.82,0.07056034489775398,0.054204077791815,1.2602455027141677,0.4760164480450032,-2.5033933941202493,0.15461344840514396,2.1912229684986344,3.1619783037094913,1.0786880806472225,0.17987350354498222,10517450.719999999,0.24419176616100835,0.6470158862492656,1.2610503981771037,25246693.090000004,0.5861719478892911,1,2024-12-31,4.095142173387812,0,0.3013455385231867,7.8048778,3.3888232246319534,55868489.79,0.39088790102999393,1.2971418224594604,0.06563163108853896,,,,0.7178609025306532,0,0.6850342685569618,0.3521338574379144,8.979478220912021,1,4.635632773569437,0.5013765324687153,0.41342120745048905,0.04490793662974417,0.039015898628068924,-0.004390876573922856,-0.024120739439755713,,,,,0.5013765324687153,0.41342120745048905,0.04490793662974417,0.039015898628068924,0.5701096762265631,-0.021422424502795245,-1.0068029414233857,-13.027231439641007,1,0,0,0,0,0,0,0,0.22001620785341075,0.25600024019159245,0,0,290914.98000000045,,0.0,0.0,0.0,0.0,0,0.7178609025306532,0.21648437006193788,0.3044396950801641,0.6788450039025842,0.14419059135417048,-0.3359899150997142,0.6897230489485241,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 3.2x); cash 65% of mcap; cash > EV (1.26x, net cash 59% mcap)"
UBS.VI,UBM Development AG,Real Estate,Real Estate Management & Development,Small Cap,EUR,132631192.0,246079008.0,17.75,134054000.0,29007000.0,46601000.0,11331000.0,0.2163829501544154,0.08452563892162859,1.6065432481814734,0.026758172559183748,4.920364050056883,1.835670759544661,8.483435308718585,18.65082673942701,0.3524978459101528,0.08543239210275665,-229540000.0,-1.730663779301629,1.4653114178450573,0.7897707389977775,-116822000.0,-0.8808033633596537,0,2026-03-31,,0,0.9893863070106077,,2.8461018433080834,57682000.0,0.43028928640697034,0.43490523707273926,0.82700040663263,0.53811,,,-0.14251210889909868,0,0.39857144433265695,0.0326018646231201,572.0785284839352,0,47.27747965331873,0.5712828928090019,-0.1693298969072165,1.8553467200176206,1.1223689752367787,-0.19292373682911623,1.1698799142542196,0.0902953998308283,0.14358367829686575,1.3878356220536996,1.603194037796114,0.015473203371292543,-0.058514628657164294,1.6300247666222138,0.9396635787420771,0.6083105261101717,-0.029742982931459383,0.979849557206226,0.5623116824112783,1,0,0,0,0,1,1,0,-0.008590157356957387,0.03534832991614113,1,1,30116000.0,0.0,0.0,,0.0,0.7891522298620981,0,-0.14251210889909868,-0.7137950017081006,0.02681778800811782,-1.2648810841358773,-0.4542752963039268,0.6015333985349467,0.5575596535316495,growth-flip; first-positive: FCF/CFO/ROCE; ROCE improving from <=0; accelerating sales; under-priced vs fundamentals; cash 147% of mcap
DOC.VI,DO & CO Aktiengesellschaft,Industrials,Air Freight & Logistics,Small Cap,EUR,2111020544.0,2257340928.0,192.2,2391130000.0,287140000.0,238370000.0,188810000.0,0.12008548259609474,0.07896266618711655,0.8301525388312322,0.41139253465468173,0.13927004248798497,0.9440477631914618,7.861464539945671,11.235023531753932,4.707895950044603,0.08944015279085792,-96870000.0,-0.04588775806816592,0.1319125011793348,0.12336195943903074,-39990000.0,-0.018943444256694073,0,2025-12-31,,0,0.8828547774483194,20.29567,8.856066384192642,646880000.0,0.27053317887358697,0.30642998801626065,0.71021409455843,0.30118,250.5785,0.3037382934443289,0.11805065020991379,0,0.3493859042197336,0.3891673330655779,28.869390046827846,0,20.560824131146425,0.31420484212261945,0.4611979034145845,0.3265624130446881,0.830086265387225,0.012080316199656257,0.02225871719154096,-0.005262544825233591,0.007544124355240535,0.24572772406584792,0.45216120596831255,0.008318402866649604,0.02920075519194462,-0.11785915492957746,-0.12238687483461233,-0.018804599137154154,-0.25020623204037357,-0.6065701821985471,-0.3195913513511332,0,0,0,0,0,0,0,0,0.2582024259296083,0.15319010872507344,0,0,58790000.0,0.0,0.0,0.0,0.0,0.0,0,0.11805065020991379,-0.19615419191270567,-0.3431472532046707,-0.7120356151773112,-0.14925693896842612,0.3501484998157784,0.5025575880932645,under-priced vs fundamentals
FQT.VI,Frequentis AG,Information Technology,Communications Equipment,Small Cap,EUR,1072222528.0,1011451392.0,80.8,580137000.0,68269000.0,49085000.0,35286000.0,0.11767737620596515,0.06082356408917204,0.7189939796979595,0.3442728627091451,-0.7941964874247462,1.7434698907327062,14.815676104820636,21.042969916365,5.53162498000877,0.03290921341283365,92405000.0,0.08618080443838613,0.1042628718205779,0.11052730846407298,54219000.0,0.05056692858443653,0,2025-12-31,11.603512017747958,0,1.8482229680230704,38.113213,21.844199409188143,427821000.0,0.7374482234368779,0.3990039276622996,0.29702582093017255,0.7593,,,0.6056857060465777,0,0.4152164956091192,0.4983681117714242,42.223748709701404,0,55.83099698352775,0.2078437169482915,0.26813909425270277,1.2259761462065213,1.9520622437881703,0.005595128981267655,0.03593744934613216,,,,,0.2078437169482915,0.26813909425270277,1.2259761462065213,1.9520622437881703,0.08428206478109111,0.08205466665069344,1.3664555849124267,2.092752394758695,0,0,1,1,0,0,0,0,0.24244004538439312,0.10183281732475197,0,0,23333000.0,,0.0,0.0,0.0,0.0,0,0.6056857060465777,0.39784198909828616,0.3375466117938749,-1.3463765377415926,0.32938200821498986,0.07040148215861042,0.3991879461236511,growth-flip; accelerating sales
FACC.VI,FACC AG,Industrials,Aerospace & Defense,Small Cap,EUR,792166976.0,972859584.0,17.3,1011631000.0,68560000.0,82746000.0,82746000.0,0.06777174681282008,0.08179464646694298,1.2069136522753792,0.14309693663449433,0.7768669778296383,0.9616743496393447,14.189900583430571,22.823685255131966,3.2384500251417547,0.10445525060615503,-45657000.0,-0.05763557606319605,0.05329810668603282,0.04339886320120787,-53262000.0,-0.06723582478651571,0,2026-03-31,,0,0.7830592142787242,28.83333,9.57347758199792,109153000.0,0.10789803792094153,0.13779039433221715,0.39034311340770933,0.555,16.6,-0.040462427745664664,1.67679934412354,0,0.327255494833499,0.47267133379720594,48.286586520442974,0,39.80573952401589,0.14370231186752633,0.5110307892358892,1.5841973766396003,1.5841973766396003,0.016475172274905296,0.04559434415711045,0.0276562719040721,0.08877243131649992,0.024426479145258934,0.024426479145258934,-0.09970603927147953,-0.15878395215549465,-0.6930537618070856,-0.6930537618070856,-0.0885459237449445,0.13770026594073353,1.646950672510932,1.646950672510932,0,0,1,1,0,0,0,0,0.04861338648609291,0.09448355014840142,0,0,1973000.0,0.0,0.0,0.0,0.0,0.0,0,1.67679934412354,1.5330970322560138,1.1657685548876509,0.09260196748393978,1.3404685960218556,-1.0329840376623651,0.38255163097471273,growth-flip
WPB.VI,Wiener Privatbank SE,Financials,Banks,Nano Cap,EUR,60055740.0,97920568.0,12.0,17562143.0,,33832441.0,31301123.0,,1.7823065784169962,,,,5.575661694589322,,,1.8559065975793565,0.5212011874302107,,,2.1621604529392195,1.3260763152435961,89031319.0,1.4824780945168605,1,2025-12-31,,0,3.419613426448014,,1.775093319456317,,,,1.2614269732543528,0.91568,,,0.5094339984781997,0,0.4263845272377474,0.5745791377328079,,0,,0.03564715419606171,,1.7436181016424597,1.6524431048063002,,1.086404474994771,,,,,0.03564715419606171,,1.7436181016424597,1.6524431048063002,0.2749820811401195,,-1.5752264215636187,-1.3906323293586886,1,0,0,0,0,0,0,0,,,0,0,19500258.0,,0.0,,0.0,0.05852529870950473,0,0.5094339984781997,0.473786844282138,,-1.1430091063281005,0.45747901914520595,0.07058108096691884,0.37391009070356557,"growth-flip; accelerating sales; cash 216% of mcap; cash > EV (1.33x, net cash 148% mcap)"
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,Information Technology,"Electronic Equipment, Instruments & Components",Small Cap,EUR,5501160448.0,6803543040.0,141.6,1656386000.0,679757000.0,322410000.0,77045000.0,0.4103856226749079,0.04651391644218195,0.47430184610088605,,,4.107462294416881,10.008787022421247,20.821605978809746,5.721786826232707,0.014005226847730002,-2202035000.0,-0.40028554353483203,0.1573497097898134,0.12722870935200256,,,0,2025-12-31,,0,3.3211826518697936,42.909092,17.062623516640304,162521000.0,0.0981178300227121,0.029543039425270003,,0.35709998,88.12,-0.37768361581920895,7.213457539641929,0,0.2693128616967021,0.5509038481696326,37.79535403135979,0,22.777856156812526,0.06878851758863683,1.0965271566480586,-0.5065505525115553,1.3750772840792362,0.20117514814918522,0.1790560401901486,0.010484999075768104,0.05505310521553283,2.3693880110358667,1.2740985822793818,0.1724559754339788,0.7824205245509605,-0.33509253471750416,-0.2947031584129475,0.16056267040035044,1.262901089419771,-1.485638583345572,-2.059418454661638,1,1,0,0,0,0,1,1,0.02190117360236624,,0,0,358130000.0,0.0,0.0,0.0,,0.0,0,7.213457539641929,7.144669022053293,6.116930382993871,5.838380255562694,6.684829509745149,-6.446202292588752,0.3648605603341837,growth-flip; first-positive: FCF/NI; accelerating sales
STM.VI,Stadlauer Malzfabrik Aktiengesellschaft,Consumer Staples,Food & Staples Retailing,Nano Cap,EUR,31360000.0,30739290.0,56.0,1509962.28,1754337.12,-296000.0,-296000.0,1.1618416852108386,-0.19603138695623576,-0.16872469756553973,,,20.35765423226334,17.521883137261554,17.521883137261554,0.5875726285345093,-0.009438775510204082,29039326.02,0.9259989164540816,0.019793057079081633,0.02019273281848735,,,0,2025-12-31,1.0799148705586936,0,20.768730726174166,23.236513,,,,,,0.8,,,0.07617047140386339,0,0.4476208593269539,0.326041222387309,53.74131224562476,0,82.59271650055949,0.22104360627078332,-0.0017814663014146157,0.5917241379310345,0.5917241379310345,-0.2593494801837466,0.3902459169684145,,,,,0.22104360627078332,-0.0017814663014146157,0.5917241379310345,0.5917241379310345,0.31000571923807696,0.3649100110163383,-0.31974246360761494,-0.31974246360761494,1,0,0,0,0,0,0,0,,,0,0,429000.0,,0.6899766899766899,,0.6899766899766899,,1,0.07617047140386339,-0.14487313486691994,0.077951937705278,-0.5155536665271712,-0.11864697879986459,0.17528046062216943,0.35047436648671965,growth-flip; FCF break-even ETA 0.7y; accelerating sales; under-priced vs fundamentals
PYT.VI,POLYTEC HOLDING AG,Consumer Discretionary,Auto Components,Small Cap,EUR,103379056.0,168041824.0,4.7,629050000.0,52650000.0,65253000.0,37030000.0,0.08369763929735315,0.05886654478976234,1.2393732193732194,0.08186723410723107,0.8318328584995252,0.26713587791113586,3.1916775688509023,7.799574100719425,0.4712457082425447,0.35819634491535696,-22650000.0,-0.21909660308757317,0.5887362716873715,0.3621895939429936,-43796000.0,-0.4236448048045631,0,2026-03-31,,0,0.1643415563150783,8.867925,1.5842805081758693,316584000.0,0.503273189730546,3.0623611033940956,0.4770802374027916,0.294,5.525,0.17553191489361697,0.3165265818355092,0,0.7072810656980595,0.07418099089776574,105.1424900951861,0,20.55529420480989,-0.07196631608763836,0.47433563887877683,-0.044667955024595925,-0.14055609710810937,0.03101341564868556,-0.004697972029326779,-0.05660377358490566,0.01437268803945746,0.2632465395411867,0.6395837945539075,-0.05441026484619181,-0.4003202148538374,-1.2554137422883833,-1.5020358754264334,-0.08207956801885087,0.12796876651973488,-1.2894522108198774,-3.3948625630142257,0,0,0,0,0,0,0,1,0.013518763919435522,0.06834847018779555,0,0,14445000.0,0.0,,0.0,,0.0,0,0.3165265818355092,0.38849289792314756,-0.15780905704326764,0.45708267894361854,0.41861939351743926,-0.2292555066078328,0.3279979753265525,first-positive: NI; cash 59% of mcap
WXF.VI,Warimpex Finanz- und Beteiligungs AG,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap,EUR,25041206.0,175141568.0,0.481,20429000.0,5948000.0,,19734000.0,0.29115473101962897,0.9659797346908806,,0.020835618441738875,24.653833221250842,8.573183611532626,29.445455279085408,38.416663303355996,0.3532154030608647,0.7880610861952895,-154142000.0,-6.155534202306391,0.05846363789347845,0.00835895222772015,-147913000.0,-5.906784202006884,0,2025-12-31,,0,1.2257675852954133,,,9492000.0,0.4646336090851241,0.3790552260142742,2.1070174201283587,0.514,0.93,0.9334719334719337,-0.12545455313911105,0,0.40608660868334,-0.014541660294607796,,0,22.309029109893316,-0.05016737957969128,1.7880233174350821,,2.592572364827963,0.6420939164390078,0.7105863926786061,-0.004725713728929163,6.287111111111111,,2.0444307312557854,0.24440544098288722,10.029017857142858,,-0.8514093137254902,-0.19153863833579401,7.439001714478489,,0.1540885289195575,0,1,0,0,1,0,0,0,-0.04271099988537806,0.06354661832711694,1,1,13252000.0,0.0,0.0,0.0,,0.029474604253666117,0,-0.12545455313911105,-0.07528717355941977,-1.9134778705741933,-2.718026917967074,-0.079263621759068,1.5689306540335624,0.3043478260869566,growth-flip; first-positive: EBITDA/ROCE; ROCE improving from <=0; under-priced vs fundamentals
