symbol,liquid_months,ev2x,ev2x_in_base,ev2x_in_loose_base,ev3x,ev3x_in_base
000543.SZ,195,0,0,0,0,0
000545.KS,43,3,0,0,2,0
000545.SZ,172,0,0,0,0,0
000546.SZ,192,1,1,1,0,0
000547.SZ,178,3,2,2,2,2
000550.SZ,195,3,0,0,0,0
000551.SZ,195,0,0,0,0,0
000552.SZ,195,0,0,0,0,0
000553.SZ,181,0,0,0,0,0
000554.SZ,195,0,0,0,0,0
000557.SZ,140,0,0,0,0,0
000558.SZ,189,4,0,1,2,0
000559.SZ,195,4,1,2,0,0
000561.SZ,195,0,0,0,0,0
000563.SZ,195,2,0,0,0,0
000564.SZ,176,10,3,3,0,0
000565.SZ,189,9,3,3,0,0
000566.SZ,184,3,0,1,0,0
000567.SZ,196,59,0,0,4,0
000568.SZ,195,0,0,0,0,0
000570.SZ,195,0,0,0,0,0
000571.SZ,189,1,1,1,0,0
000572.SZ,195,4,0,2,0,0
000573.SZ,195,1,0,0,0,0
000576.SZ,192,2,0,0,0,0
000581.SZ,195,1,0,0,0,0
000582.SZ,184,0,0,0,0,0
000584.SZ,164,0,0,0,0,0
000586.SZ,183,0,0,0,0,0
000589.SZ,196,0,0,0,0,0
000591.SZ,191,1,0,0,0,0
000592.SZ,190,3,0,0,2,0
000593.SZ,195,3,2,3,0,0
000595.SZ,191,5,0,0,0,0
000596.SZ,195,1,0,1,0,0
000597.SZ,195,0,0,0,0,0
000598.SZ,195,0,0,0,0,0
000599.SZ,195,1,0,0,0,0
000600.SZ,195,0,0,0,0,0
000601.SZ,195,0,0,0,0,0
000603.SZ,194,5,2,2,0,0
000605.SZ,188,4,1,4,1,0
000606.SZ,153,4,0,0,0,0
000607.SZ,185,0,0,0,0,0
000609.SZ,195,3,0,0,2,0
000612.SZ,188,1,0,0,0,0
000615.SZ,191,9,0,0,0,0
000616.SZ,147,2,0,0,1,0
000617.SZ,190,0,0,0,0,0
000619.SZ,195,0,0,0,0,0
000620.SZ,181,6,0,2,0,0
000622.SZ,138,3,0,0,2,0
000623.SZ,195,0,0,0,0,0
000625.SZ,195,1,0,0,0,0
000627.SZ,181,5,2,2,0,0
000629.SZ,176,4,0,1,0,0
000630.SZ,189,1,0,1,0,0
000631.SZ,195,0,0,0,0,0
000632.SZ,195,3,0,2,0,0
000633.SZ,180,0,0,0,0,0
000635.SZ,195,0,0,0,0,0
000636.SZ,191,4,0,0,2,0
000637.SZ,195,0,0,0,0,0
000638.SZ,179,9,0,3,2,0
000230.KS,177,5,0,0,3,0
000240.KS,195,1,0,0,1,0
000250.KQ,191,10,0,1,3,0
000270.KS,195,0,0,0,0,0
000300.KS,165,4,0,0,0,0
000301.SZ,188,1,1,1,0,0
000320.KS,158,0,0,0,0,0
000325.KS,21,0,0,0,0,0
000333.SZ,151,0,0,0,0,0
000338.SZ,195,0,0,0,0,0
000390.KS,154,3,1,3,2,1
0004.HK,195,0,0,0,0,0
000401.SZ,195,0,0,0,0,0
000403.SZ,150,8,0,0,2,0
000404.SZ,195,0,0,0,0,0
000407.SZ,188,0,0,0,0,0
000408.SZ,189,4,0,0,0,0
000410.SZ,196,2,0,0,0,0
000413.SZ,170,1,0,0,0,0
000415.SZ,178,0,0,0,0,0
000416.SZ,163,0,0,0,0,0
000417.SZ,195,0,0,0,0,0
000419.SZ,195,0,0,0,0,0
000421.SZ,195,2,2,2,0,0
000422.SZ,195,5,0,2,3,0
000425.SZ,195,0,0,0,0,0
000426.SZ,185,1,0,0,0,0
000428.SZ,192,2,0,1,0,0
000429.SZ,192,0,0,0,0,0
000430.KS,163,0,0,0,0,0
000430.SZ,195,0,0,0,0,0
000480.KS,87,0,0,0,0,0
