symbol,bs_week,bs_r104,bs_range104,bs_r13,bs_r26,bs_vol_ratio,bs_range_ratio,bs_pos_in_range,bs_dist_high,bs_lows_slope,bs_updown_vol,bs_obv_div,bs_dvol_trend,bs_prior_dd,bs_base_len_36,bs_med_dvol26,bs_rs26,bs_size_dvol,bs_is_base,bs_rev_g_2y,bs_coil_rev,bs_coil_ebit,bs_ebit_turned,bs_cp_dvol_cusum,bs_cp_dvol_z13,bs_cp_vol_regime,bs_cp_slope_brk,bs_cp_price_up13
000002.SZ,2026-09-25,-0.454282,3.71181,0.249169,-0.0738916,1.04449,0.28586,0.112676,0.351731,-0.463384,1.09609,0.203848,0.678042,0.181994,0,3.23493e+08,0.0528336,8.50987,0,-0.513576,-0.115023,,0,1.13902,-0.916281,1.03847,0.00337687,0
000006.SZ,2026-09-25,0.631222,3.62998,0.0055788,-0.197998,1.05029,0.543876,0.261799,0.465161,0.287191,1.16852,1.68089,0.557277,0.987671,0,1.31634e+08,-0.0712726,8.11937,0,-0.719586,-1.76082,,1,1.36306,-1.16292,0.879779,-0.275363,0
000007.SZ,2026-09-25,1.13578,3.65298,-0.0805687,-0.120846,1.47134,0.602542,0.523994,0.6543,0.434638,0.729041,0.322265,1.31633,1.29047,0,7.84732e+07,0.00587931,7.89472,0,1.1519,0.00751771,-3.93903,0,12.1423,0.713547,1.24075,-0.290616,0
000009.SZ,2026-09-25,-0.0760869,2.15932,0.103896,-0.249448,1.21401,0.588351,0.131579,0.533752,-0.039957,0.553589,1.68273,0.63488,0.292222,0,1.23055e+08,-0.122723,8.0901,0,0.045164,0.123311,-0.0783831,0,1.31446,-0.564147,1.57729,-0.226741,0
000010.SZ,2026-09-25,-0.142857,3.75,-0.157303,-0.643705,1.03196,0.873219,0.025974,0.285714,0.0402672,0.727787,0.929339,0.468877,0.317125,0,3.20968e+07,-0.51698,7.50646,0,1.61693,1.11615,,1,0.611687,-1.43195,0.733338,-0.494541,0
000014.SZ,2026-09-25,0.161572,3.08303,0.146552,-0.306389,0.945638,0.553666,0.134604,0.415301,0.12888,0.587807,2.01565,0.715476,0.686009,0,5.13423e+07,-0.179663,7.71048,0,-0.0727458,-0.225302,,0,0.111928,-0.728086,0.863818,-0.248478,0
000016.SZ,2026-09-25,-0.0610686,3.61682,0.0649351,-0.240741,0.647402,0.413176,0.0571428,0.317829,-0.0771151,2.00241,1.17137,0.237336,0.297461,0,6.53186e+07,-0.114016,7.81504,0,-0.340135,-0.352707,,0,0,-1.14168,0.54241,-0.139109,0
000017.SZ,2026-09-25,0.431559,2.43121,0.491089,0.0976676,1.51338,1,0.381636,0.63598,0.0412442,0.949793,0.0755397,1.30893,0.506048,0,3.8222e+07,0.224393,7.58231,0,0.464915,0.0230332,0.641032,0,10.1643,0.607724,2.7507,0.117168,1
000019.SZ,2026-09-25,0.204263,1.53539,0.191564,-0.111402,1.46703,0.983131,0.430508,0.801418,0.0500582,0.8065,0.327494,1.12105,0.793911,1,6.17263e+07,0.0153228,7.79047,1,-0.0468446,-0.233845,-0.163229,0,8.87415,0.511664,1.38145,-0.162121,1
000020.SZ,2026-09-25,-0.00299625,2.80437,0.226728,-0.207266,0.753239,0.572954,0.251969,0.518706,0.0663223,0.912869,0.50639,0.881698,0.638982,0,5.20411e+07,-0.0805411,7.71635,0,-0.0595807,-0.0584287,0.685238,0,4.02677,0.228636,0.652748,-0.162296,0
000021.SZ,2026-09-25,1.74151,5.15175,-0.336012,0.300037,1.38664,0.586024,0.425117,0.536707,0.471439,1.78871,-0.530644,2.72441,1.5597,0,3.55007e+09,0.426762,9.55024,0,0.195837,-0.829663,-0.480323,0,22.8276,1.49228,1.71731,0.0634564,0
000025.SZ,2026-09-25,0.0780347,1.69826,0.0382742,-0.0586751,0.84599,0.628496,0.255656,0.693953,0.0126522,0.860129,0.48827,0.720215,0.430095,1,5.9511e+07,0.0680501,7.7746,1,-0.678336,-1.20939,-0.185718,0,0.840706,-0.438209,0.966703,-0.0630418,0
000026.SZ,2026-09-25,1.29384,3.23275,0.00152133,0.384993,1.32232,0.594459,0.586695,0.714544,0.364485,1.3167,-3.26613,2.17225,1.59532,0,1.69711e+08,0.511718,8.22971,0,-0.167402,-1.01343,-1.78057,0,14.0471,0.772929,1.30826,-0.0795302,0
000028.SZ,2026-09-25,-0.0849366,1.62086,0.0209424,-0.141725,0.841152,0.520123,0.0689061,0.643352,-0.046286,0.392807,-0.108318,0.700228,0.442578,0,4.38222e+07,-0.0150001,7.64169,1,-0.0265815,0.0618207,-0.177144,0,2.0652,-0.797225,0.925453,-0.132689,0
000030.SZ,2026-09-25,-0.0439024,1.60367,-0.00254453,-0.190083,0.88938,0.80788,0.0478261,0.641571,0.000640936,0.33594,-0.245045,0.683682,0.521277,1,3.18241e+07,-0.0633575,7.50276,1,-0.00552458,0.0393554,-0.47621,0,6.4158,-1.00445,0.632886,-0.24771,0
000031.SZ,2026-09-25,-0.088,2.07882,0.0506912,-0.22449,0.747052,0.609041,0.114155,0.540284,-0.0110277,0.703492,-0.25752,1.05182,0.422222,0,6.00108e+07,-0.0977646,7.77823,0,-0.288487,-0.248246,,0,1.35869,0.349274,0.555764,-0.259592,0
000035.SZ,2026-09-25,0.188586,2.13,-0.0244399,-0.331006,0.87796,0.716737,0.174779,0.562207,0.13384,0.622191,0.412825,0.965716,0.642091,0,1.42906e+08,-0.20428,8.15505,0,-0.0340903,-0.207449,-0.070024,0,3.14734,0.106874,0.759328,-0.379453,0
