symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes,inflection_flag,inflection_score
0RUY.IL,,,,,EUR,5524391936.0,6948958720.0,22.98,19374073000.0,1171542000.0,710712000.0,385879000.0,0.0604695770476347,0.0199172884297483,0.6066466247048762,0.2558169484003392,1.0522328691587668,0.3586730947075506,5.931463592427757,7.688321537275138,2.4671616729241963,0.0698500404153801,-1409726000.0,-0.2551821116842641,0.2821608274826068,0.2243166297007445,-1293955000.0,-0.2342257781472513,0,2025-12-31,,0,0.2851435491132917,11.376238,7.77303877801416,2092778000.0,0.1080195165982909,0.3788250407003707,1.274009241821408,0.1593,,,0.9543517771817932,0,0.4107887191965566,0.8347567850092263,9.210253423924144,0,4.130850303785447,0.3043280652115795,2.1541205502933223,-0.1819123612370906,0.3468255907298174,0.1288092027606145,0.0006284670258148,,,,,0.3043280652115795,2.1541205502933223,-0.1819123612370906,0.3468255907298174,0.4911362159186347,4.282578143157247,-0.0151174965738933,-0.4676772591751857,1,1,0,0,1,0,0,1,-0.3854560901796044,0.6412730385799437,1,1,99369000.0,,0.0,0.0,,0.0,0,0.9543517771817932,0.6500237119702135,-1.1997687731115292,0.6075261864519756,0.4983590626525167,-0.1390350469907941,0.479549,growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales,1,0.804696
0JXZ.IL,,,,,EUR,1634248064.0,-1341556936.0,24.8,1043752000.0,398093000.0,-301599000.0,-310331000.0,0.3814057362285293,-0.2973225440526102,-0.7576094028279824,1.4342385900188783,-7.475150278954917,-1.285321547647334,-3.369958617709932,-3.369958617709932,0.5023248404961134,-0.1898922243422648,2941677000.0,1.800018653716453,1.8248392430098053,,2975805000.0,1.820901652296527,0,2026-03-31,0.5555497982953261,1,1.5657436479163631,,,1022946000.0,0.9800661459810376,0.6259429168275887,0.0019779496269866,0.26214,,,0.0598290445022753,0,0.5397154848685572,3.9964034047847568,-0.843247859731877,0,-0.2612865257833517,2.786525617723989,8.188528563185228,0.0575796966496472,0.2282934131736527,0.2242312135565806,1.161547250504961,-0.0615833878775237,0.3134568178218867,-0.1714584239637064,-0.1438033282347087,-0.9928054599021784,-1.1136548943344722,-0.7435367986346685,-0.6890451441964741,2.8851557063170343,7.436460936246868,-0.0161850075720217,0.2709769731934389,0,1,0,0,0,0,0,0,0.0104062954736922,1.4238322945451862,0,0,91805000.0,,3.380327868852459,0.0,16.36723286481793,0.0,0,0.0598290445022753,-2.726696573221714,-8.128699518682954,-0.1684643686713773,0.7201051434746878,2.57593882927534,0.580901,growth-flip; accelerating sales; under-priced vs fundamentals; Graham net-net (mcap 0.56x NCAV); cash 182% of mcap,1,0.544397
0R72.IL,,,,,EUR,27986940.0,110768940.0,0.298,57481000.0,-43953000.0,-44855000.0,-46792000.0,-0.7646526678380682,-0.8140429011325482,1.0205219211430392,-0.8106812021564948,-1.883420926899188,1.927053113202624,-2.5201679066275338,,,-1.6719226896545316,-74627000.0,-2.666493728860676,0.8905939699016756,0.2250179517832345,-97430000.0,-3.4812666193588866,0,2022-12-31,,0,0.4868902767871123,,,27682000.0,0.4815852194638228,0.989104203603538,,,,,0.0,0,0.4502049533688545,-0.2718589266507147,,0,,0.1908471275559883,0.1635965746907706,0.3174417189116805,0.3264527644628694,0.3240377960207231,0.6252038203657219,,,,,0.1908471275559883,0.1635965746907706,0.3174417189116805,0.3264527644628694,,,,,0,0,0,0,0,0,0,0,-0.9183433171923524,0.1076621150358576,1,0,22679000.0,,2.063230301159664,5.11259741770385,2.1501845549110783,10.73403382039074,0,0.0,-0.1908471275559883,-0.1635965746907706,-0.3264527644628694,-0.1602616516762061,0.2102895295964586,0.270073,ROCE improving from <=0; under-priced vs fundamentals; cash 89% of mcap,1,0.461464
0GZK.IL,,,,,EUR,537567744.0,195878240.0,16.6,620175000.0,36541000.0,-25666000.0,-38370000.0,0.0589204659975007,-0.0618696335711694,-0.7023890971785118,0.1274746661297899,0.6247229139870283,0.3158434957874793,5.360505733285898,8.593412301482847,4.227158480773768,-0.0713770504801716,-93799000.0,-0.1744877758141679,0.121378190429521,0.3331099973126162,-51642000.0,-0.096066031819052,0,2025-12-31,,0,0.8668000870721974,,,199615000.0,0.3218688273471197,0.3713299434870854,0.9191711881733112,0.29134,,,0.4388005846999974,0,0.3964190106456168,-0.0458276566979417,,0,24.89419375559771,0.244938844581126,0.2700636057140871,-1.4238360562848238,-1.130483064963909,0.0011655814932179,-0.0257163726514192,,,,,0.244938844581126,0.2700636057140871,-1.4238360562848238,-1.130483064963909,0.1774603213514997,-0.9019883344942778,-1.888199453522924,-1.569126583338126,0,0,0,0,0,0,0,0,0.2080651453091476,-0.0805904791793577,0,0,,,,0.0,,0.0,0,0.4388005846999974,0.1938617401188713,0.1687369789859102,1.5692836496639064,0.1557198901477754,-0.521900564729116,0.305282,accelerating sales,0,0.484987
1EX.SG,,,,,EUR,878654016.0,980956800.0,11.05,248141000.0,126571000.0,103371000.0,74478000.0,0.5100769320668491,0.3001438698159514,0.8167036682968453,0.1552113998696416,0.7391424575929715,3.953223368971673,7.750249267209709,9.761638355673645,1.6001216789864454,0.0847637393601806,-72848000.0,-0.0829086291913107,0.2046801092638493,0.183334271193186,-98329000.0,-0.1119086673587798,0,2025-12-31,,0,3.540946542489955,11.161616,8.500004991728822,90864000.0,0.3661789063476007,0.1034127180271147,0.5065805647976661,0.66502,,,0.4222361253215884,0,0.2914240536756042,-0.0520555223144848,,0,,,-0.474796053013768,0.97446231424533,0.8242786459609073,,,,,,,,-0.474796053013768,0.97446231424533,0.8242786459609073,,-1.4722763470899725,0.9648977340455536,0.9245519181752936,0,0,0,1,0,0,0,0,0.3212660792681054,-0.1660546793984638,0,0,33652000.0,,0.0,,0.0,,0,0.4222361253215884,,0.8970321783353564,-0.4020425206393188,,-0.2474948288480188,0.619058,growth-flip,1,0.340146
0KDK.IL,,,,,EUR,781110912.0,1104161280.0,8.635,963842000.0,130159000.0,99309000.0,60856000.0,0.1350418429576632,0.0631389792102855,0.7629821986954417,0.1589346721500645,-1.430688619304082,1.1455832802471777,8.483172734885793,13.142117428615638,1.092702750114361,0.0779095504429465,303792000.0,0.3889230009886227,0.3325801701256991,0.2352754119398209,186217000.0,0.2384002030175197,0,2025-12-31,2.571203033654606,0,0.8104138562129478,9.186171,7.865459444763315,386046000.0,0.4005283023566103,0.4942268685141605,0.1029107090647876,0.21700001,,,-0.6134735823678341,0,0.2797304501200228,0.0382894180189689,343.2310572624765,0,120.77084657228733,0.0182254196642685,0.0996409411565919,-0.3062155497027407,-0.3949192145165299,0.0099982654848397,-0.0431108227102925,,,,,0.0182254196642685,0.0996409411565919,-0.3062155497027407,-0.3949192145165299,0.116828744754233,0.2258018518716686,-0.8228610254391255,-1.9110555099233144,1,1,0,0,0,0,0,0,0.1392466689921078,0.0196880031579567,0,0,,,,0.0,,0.0,0,-0.6134735823678341,-0.6316990020321027,-0.7131145235244261,-0.2185543678513041,-0.62039209573101,0.5459399972847108,0.841337,growth-flip; accelerating sales; under-priced vs fundamentals,1,0.221191
13B.F,,,,,EUR,324401536.0,1699846656.0,1.622,4498500000.0,612400000.0,525000000.0,385600000.0,0.1361342669778815,0.0857174613760142,0.8572828216851731,0.0652336915771057,2.736773350751143,0.377869657885962,2.775713024167211,10.854704061302682,0.4476973999447971,1.1886503521364338,-2563800000.0,-7.903168497944473,4.169524030860322,0.7957188345346841,-1676000000.0,-5.166436696526616,0,2026-03-31,,0,0.0721132679782149,,0.6179076876190476,134700000.0,0.029943314438146,0.4152261473879088,4.179685343637869,0.51037997,,,-0.2473317862862295,0,0.4362968011249117,-1.2683351449561682,,0,75.32147042404269,0.0392265576270011,0.1108289497551242,-0.018508132361189,-0.0069533865567859,0.0087750136223706,-0.003986144787499,-0.0569973167868522,-0.0901797652651909,-0.1598655784925588,-0.1277991404659579,-0.1447740683857408,-0.1931554524361949,-0.1246418338108882,0.1024423337856173,0.0154579116277714,-0.2250805182852162,-0.6200179615918908,-1.0270623409676607,0,0,0,0,0,0,0,0,-0.0378990111666729,0.1031327027437786,1,1,,,,0.0,,0.0306532663316582,0,-0.2473317862862295,-0.2865583439132307,-0.3581607360413538,-0.2403783997294435,-0.2757419369339117,0.2902098541544849,0.887429,first-positive: ROCE; ROCE improving from <=0; under-priced vs fundamentals; cash 417% of mcap,1,0.258828
4V1.F,,,,,EUR,2485464064.0,4101895936.0,81.9,174913000.0,401999000.0,50890000.0,50890000.0,2.298279716201769,0.2909446410501221,0.12659235470735,0.0881719771016295,4.568959126763997,23.45106387747052,10.203746616285114,10.483677139534588,0.9556521998581976,0.0204750496042577,-1921086000.0,-0.7729284956581854,0.2104613007995596,0.1275249319245528,-1836717000.0,-0.7389835269008339,0,2025-12-31,,0,14.209716053123552,7.697368,48.83993051680094,140765000.0,0.8047715149817338,0.0566352988316631,0.9073390382358686,0.45883,,,0.0035458980652933,0,0.3331411561124467,0.1207379946705315,86.82997566873892,0,23.980161192314583,0.393451503684525,0.0835815424093845,0.5432903714935557,0.5432903714935557,-0.6572351214799679,0.0282479670807932,,,,,0.393451503684525,0.0835815424093845,0.5432903714935557,0.5432903714935557,0.3491416508571304,-1.338631539164374,-1.6632150618970996,-1.6632150618970996,0,0,0,0,0,0,0,0,0.091389834953868,-0.0032178578522385,0,0,17915000.0,,0.0,0.0,0.0,0.0,0,0.0035458980652933,-0.3899056056192316,-0.0800356443440912,-0.5397444734282624,-0.279812827779262,0.3223746377927118,0.413295,accelerating sales; under-priced vs fundamentals,0,0.275886
4A5.F,,,,,EUR,1730982784.0,2065007360.0,23.6,952169000.0,181372000.0,155255000.0,124643000.0,0.1904829919898673,0.1309042827481256,0.8560031316851554,0.164586360168309,1.254008336457667,2.1687403811718298,11.3854804490219,15.027853171484296,3.138237536667525,0.0720070708687071,-224030000.0,-0.1294235864566519,0.1068260191315686,0.0895464120767104,-283315000.0,-0.163672916113763,0,2025-12-31,,0,1.817936504969181,19.032259,11.1492884866832,432005000.0,0.4537062223197772,0.2495720951087171,0.848889912215498,0.00298,,,0.0988350562321418,0,0.1911017268967691,0.1921674927166961,78.20184860110125,0,75.92231885232404,0.0919870177531079,0.14728505642427,0.4127833437980581,0.8038843944020725,0.009181097407547,0.0516609688346433,,,,,0.0919870177531079,0.14728505642427,0.4127833437980581,0.8038843944020725,-0.0508311806266894,-0.0313942155872417,0.5310505763929567,1.0019136194395033,0,0,1,1,0,0,0,0,0.1578674357564503,0.0067189244118587,0,0,55546000.0,,0.0,0.0,0.0,0.0,0,0.0988350562321418,0.0068480384790339,-0.0484500001921281,-0.7050493381699307,0.00627117206313,0.1850950319549737,0.580819,growth-flip; under-priced vs fundamentals,1,0.184966
0HNZ.IL,,,,,EUR,1771277696.0,1434922240.0,24.05,952169000.0,181372000.0,155255000.0,124643000.0,0.1904829919898673,0.1309042827481256,0.8560031316851554,0.164586360168309,1.254008336457667,1.507003735681376,7.911487109366385,10.442481297121066,3.211291414813499,0.0703689773102636,-224030000.0,-0.1264793208348512,0.1043958270448407,0.1288669133736473,-283315000.0,-0.1599495102545456,0,2025-12-31,,0,1.8602555806794805,25.860214,11.40882867540498,432005000.0,0.4537062223197772,0.243894563215908,0.848889912215498,0.05124,,,0.0966774718483992,0,0.1942023793611597,0.1926582036536629,54.20211078004894,0,57.06379550926074,0.0919870177531079,0.14728505642427,0.4127833437980581,0.8038843944020725,0.009181097407547,0.0516609688346433,,,,,0.0919870177531079,0.14728505642427,0.4127833437980581,0.8038843944020725,-0.0508311806266894,-0.0313942155872417,0.5310505763929567,1.0019136194395033,0,0,1,1,0,0,0,0,0.1578674357564503,0.0067189244118587,0,0,55546000.0,,0.0,0.0,0.0,0.0,0,0.0966774718483992,0.0046904540952913,-0.0506075845758707,-0.7072069225536732,0.004295338698204,0.1872071785840121,0.589169,growth-flip; under-priced vs fundamentals,1,0.184426
2QR.F,,,,,EUR,113343800.0,233929024.0,10.9,13832000.0,15320000.0,9966000.0,9572000.0,1.1075766338924231,0.6920185078079815,0.6505221932114883,0.069116004359604,6.18355091383812,16.912161943319838,15.269518537859009,15.306485899365308,0.940089742632727,0.0844510242289388,-104117000.0,-0.9185945768537848,0.0050024791828048,0.0024238121046493,-100554000.0,-0.8871592447050478,0,2025-06-30,,0,8.194317524580683,4.9999995,11.373048364439091,11898000.0,0.8601792943898207,0.1049726584074294,0.8387120853965015,0.47329,,,0.1734813144083803,0,0.3941883615287838,0.607980779378837,25.175937165322345,0,6.897635347157174,-0.0819062790388955,2.437289656719767,-0.1090649025567673,-0.1442875022349365,0.8117449599245486,-0.0504479730097537,,,,,-0.0819062790388955,2.437289656719767,-0.1090649025567673,-0.1442875022349365,-0.2225785988450736,3.1283764324336563,-0.1762276577561568,-0.2217292282992786,0,1,0,0,0,0,0,1,0.0179634405462832,0.0511525638133207,0,0,,,,0.0,,0.0,0,0.1734813144083803,0.2553875934472758,-2.2638083423113864,0.3177688166433168,0.2781715936145644,0.5635506440735979,0.752315,growth-flip; first-positive: NI; under-priced vs fundamentals,1,0.19837
0IN2.IL,,,,,EUR,10592103424.0,16812225536.0,79.5,6433600000.0,363700000.0,747100000.0,69000000.0,0.0565313354886844,0.0107249440437702,2.054165521033819,-0.0162815159532081,16.18641737695903,2.613190987316588,46.22553075611768,,0.9150766234416982,0.0065142868453924,-4289900000.0,-0.4050092628702791,0.385230377448399,0.2427043338945604,-4111400000.0,-0.3881570860311116,0,2025-12-31,,0,1.646372703307635,,14.17762471422835,3149600000.0,0.4895548371051977,0.2973535920035971,0.7077087886929703,0.56633,,,0.2077109177733442,0,0.3195499345300464,-0.3975409439827044,,0,,0.0774744598894657,-0.6137835828820218,-0.4378903017079226,-0.9076181550408354,-0.1011809405119854,-0.1143629809269214,0.0712668176368722,0.8992167101827676,,,,,-0.4378903017079226,-0.9076181550408354,0.1649100790913731,-0.2517484904086122,-0.6223658386475893,-1.511784821707502,1,0,0,0,0,0,0,0,0.0203467583445017,-0.0366282742977098,0,0,,,,,,,0,0.2077109177733442,0.1302364578838784,0.821494500655366,1.1153290728141796,0.1208719674870428,-0.5469829997101167,0.229307,growth-flip; accelerating sales,1,0.196367
0NZR.IL,,,,,EUR,3052490496.0,11431586816.0,27.56,4645000000.0,622000000.0,660000000.0,444000000.0,0.1339074273412271,0.0955866523143164,1.0610932475884245,0.0775524724297403,2.7491961414790995,2.46105205941873,18.37875693890675,52.438471633027525,2.735206537634409,0.1454549983306483,-2827000000.0,-0.926129009641313,0.1641282751433667,0.0438259366843792,-1695000000.0,-0.5552842841676778,0,2026-03-31,,0,0.6571561885898816,2.2083333,4.6249856,1018000000.0,0.2191603875134553,0.3334981718481983,1.967741935483871,0.30707002,,,0.0503096766258731,0,0.2203285953652836,-0.2040694449904505,,0,,-0.094541910331384,-0.2273291925465838,0.073170731707317,0.3454545454545454,-0.0230126506314824,0.0312591669341995,-0.0212810788032026,-0.1037463976945245,-0.032258064516129,-0.0368763557483731,0.0429223744292237,0.1285714285714285,-0.6466165413533834,-0.7696078431372549,0.073693916672733,0.2362596054688799,0.7871220533241439,1.0103896103896104,0,0,1,1,0,0,0,0,0.1662912912912913,-0.088738818861551,0,0,114000000.0,,0.0,,0.0,,0,0.0503096766258731,0.1448515869572571,0.277638869172457,-0.2951448688286723,0.1599760260690482,-0.0424485291003472,0.501215,growth-flip; accelerating sales,1,0.085079
0OQJ.IL,,,,,EUR,2522339840.0,2700805376.0,42.05,3705816000.0,291243000.0,449744000.0,280464000.0,0.0785907881017298,0.0756821169750467,1.5442225220863677,0.0522545967776687,0.3272559340482003,0.7288018012766959,9.27337438496376,22.96134611983949,1.2231305595965474,0.1111919954449912,290467000.0,0.1151577576477561,0.2091890995941292,0.1953661691763457,-188779000.0,-0.0748428094447415,0,2025-12-31,8.683739770782912,0,0.6806435721579269,11.183511,5.60839019531111,482245000.0,0.1301319331558825,0.1911895424844893,0.3474081078459897,0.36493,,,0.3136532812090159,0,0.2858301649692428,0.0222196092162772,1033.3820859018022,0,,-0.0636707696902304,-0.3484948471135111,0.2026173152463693,0.8424911312573906,-0.0343582067092933,0.0372214822760349,,,,,-0.0636707696902304,-0.3484948471135111,0.2026173152463693,0.8424911312573906,0.0218392396884715,-0.2674664925342866,0.3523624463640182,1.1801582156350012,0,0,1,1,0,0,0,0,0.1157517441855912,-0.0634971474079224,0,0,128244000.0,,0.0,,0.0,,0,0.3136532812090159,0.3773240508992463,0.662148128322527,-0.5288378500483747,0.4029822403113645,-0.1702114430577995,0.516528,growth-flip,1,0.194178
