symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes
UMI.BR,Umicore SA,Industrials,Construction & Engineering,Large Cap,EUR,6264232448.0,7579433472.0,26.04,19374073000.0,1171542000.0,710712000.0,385879000.0,0.06046957704763475,0.019917288429748353,0.6066466247048762,0.2558169484003392,1.0522328691587668,0.39121528405513906,6.469621637124405,8.385878223078821,2.797570191441557,0.061600364163242494,-1409726000.0,-0.2250436923760847,0.24883607256586912,0.2056574552383643,-1293955000.0,-0.20656241778082882,0,2025-12-31,,0,0.32333069293173405,16.37736,8.814023750830154,2092778000.0,0.10801951659829093,0.3340837073611736,1.274009241821408,0.05,22.92,-0.1198156682027649,1.8664075680113088,0,0.333968244875753,0.8397798548939229,9.985805415799224,0,4.548986032894401,0.30432806521157957,2.1541205502933223,-0.18191236123709062,0.34682559072981745,0.12880920276061458,0.0006284670258148786,,,,,0.30432806521157957,2.1541205502933223,-0.18191236123709062,0.34682559072981745,0.49113621591863477,4.282578143157247,-0.015117496573893302,-0.46767725917518577,1,1,0,0,1,0,0,1,-0.38545609017960447,0.6412730385799437,1,1,99369000.0,,0.0,0.0,,0.0,0,1.8664075680113088,1.5620795027997292,-0.2877129822820135,1.5195819772814914,1.197612429313433,-0.9978902317781599,0.7397425964437724,growth-flip; first-positive: EBITDA/NI/ROCE; ROCE improving from <=0; accelerating sales
UCB.BR,UCB SA,Health Care,Biotechnology,Large Cap,EUR,46562390016.0,46444388352.0,244.6,7741000000.0,2577000000.0,2291000000.0,1842000000.0,0.33290272574602764,0.23795375274512337,0.8890182382615445,0.1828410689170183,-0.07838571982925883,5.99979180364294,18.022657490104773,23.817635052307693,4.2847510827275235,0.039559824986798206,-1237000000.0,-0.026566505705032235,0.052553144268564174,0.05268666650218953,202000000.0,0.004338265280854092,0,2025-12-31,,0,6.015035527192869,30.460773,20.324046274989087,5751000000.0,0.742927270378504,0.12351170113956378,0.2065887549461673,0.36283,288.21054,0.17829329517579717,0.5731737462093363,0,0.42602757195735996,0.35296008062082307,67.47968498424737,0,49.20949164527868,0.25828998699609884,0.3127865511971472,0.8446054750402576,1.0021739130434784,0.013819500778537386,0.08840888928608565,,,,,0.25828998699609884,0.3127865511971472,0.8446054750402576,1.0021739130434784,0.08692669682092749,-0.22561470272134804,0.2125424001388122,-0.06524181729360023,0,0,0,0,0,0,0,0,0.1170118605062843,0.06582920841073399,0,0,922000000.0,,0.0,0.0,0.0,0.0,0,0.5731737462093363,0.3148837592132374,0.26038719501218904,-0.4290001668341421,0.25024736941995046,-0.09912953920280869,0.4165744178315601,accelerating sales
CFEB.BR,Compagnie d'Entreprises CFE SA,Industrials,Construction & Engineering,Mid Cap,EUR,293055136.0,249558128.0,11.9,1041593000.0,77225000.0,113325000.0,105695000.0,0.07414124326872397,0.10147437626788966,1.4674651990935579,0.25441349913169453,-0.6298607963742311,0.2395927468790593,3.2315717449012626,4.554728477304667,1.110044719188797,0.3606659191941273,-183448000.0,-0.6259845928787954,0.6967801444708344,0.8182262049986206,48641000.0,0.1659790053978102,0,2025-12-31,,0,0.2813528278319843,8.75,2.585970756673285,334750000.0,0.32138272818653735,1.1422765168667783,0.5892130013674087,0.74235,12.45833,0.046918487394957964,0.4648380535023788,0,0.451330937013656,-0.05962262943746198,,0,,-0.11891362402499135,0.043285013712324884,0.32846843678565146,0.41950603687935645,0.011526676315944798,0.03848930391359852,,,,,-0.11891362402499135,0.043285013712324884,0.32846843678565146,0.41950603687935645,-0.06580782252395409,-0.12387045774778235,-341.26189300899745,-4.4093107472004505,0,0,0,0,0,0,0,0,0.18386119429276027,0.07055230483893427,0,0,31236000.0,,0.0,0.0,0.0,0.0,0,0.4648380535023788,0.5837516775273701,0.4215530397900539,0.04533201662302233,0.6625362659607484,-0.3502122446468154,0.3840712319542607,cash 70% of mcap
BAR.BR,Barco NV,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap,EUR,745517120.0,566412096.0,9.16,963842000.0,130159000.0,99309000.0,60856000.0,0.1350418429576632,0.06313897921028551,0.7629821986954417,0.15893467215006452,-1.430688619304082,0.5876607327757039,4.351693666976544,6.74163676398824,1.0429102893922162,0.08162924548265237,303792000.0,0.40749164821325634,0.3484587986389903,0.45864486622828055,186217000.0,0.24978232558898178,0,2025-12-31,2.454038026017802,0,0.7734847827756002,10.77647,7.507044880121641,386046000.0,0.4005283023566103,0.5178231185354939,0.10291070906478765,0.25254,12.41667,0.35553165938864617,-0.2429227115023036,0,0.31255418235983784,0.0413841925564079,162.90366798383675,1,66.04553664986587,0.018225419664268584,0.0996409411565919,-0.3062155497027407,-0.39491921451652995,0.009998265484839702,-0.04311082271029257,,,,,0.018225419664268584,0.0996409411565919,-0.3062155497027407,-0.39491921451652995,0.11682874475423305,0.22580185187166862,-0.8228610254391255,-1.9110555099233146,1,1,0,0,0,0,0,0,0.1392466689921078,0.019688003157956713,0,0,,,,0.0,,0.0,0,-0.2429227115023036,-0.2611481311665722,-0.3425636526588955,0.15199650301422635,-0.2564737887340099,0.17704726738631282,0.33185291163182573,growth-flip; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 6.7x)
BPOST.BR,bpost SA/NV,Industrials,Air Freight & Logistics,Mid Cap,EUR,358001696.0,1701366656.0,1.79,4498500000.0,612400000.0,525000000.0,385600000.0,0.13613426697788153,0.08571746137601423,0.8572828216851731,0.06523369157710572,2.736773350751143,0.37820754829387576,2.7781950620509472,10.864410319284802,0.4940680320176649,1.0770898694289985,-2563800000.0,-7.161418587246023,3.7781943915707035,0.7950079397817938,-1676000000.0,-4.681542067331435,0,2026-03-31,,0,0.07958245993108815,,0.6819079923809523,134700000.0,0.02994331443814605,0.3762552007574847,4.179685343637869,0.51037997,2.68333,0.49906703910614536,-0.06355932417425468,0,0.46173108959264064,-1.1447101598397598,,0,75.69517806752282,0.039226557627001175,0.11082894975512425,-0.018508132361189006,-0.00695338655678599,0.008775013622370625,-0.003986144787499063,-0.056997316786852256,-0.0901797652651909,-0.1598655784925588,-0.12779914046595792,-0.14477406838574083,-0.1931554524361949,-0.12464183381088825,0.10244233378561737,0.015457911627771423,-0.22508051828521627,-0.6200179615918908,-1.0270623409676607,0,0,0,0,0,0,0,0,-0.037899011166672936,0.10313270274377866,1,1,,,,0.0,,0.030653266331658293,0,-0.06355932417425468,-0.10278588180125586,-0.17438827392937895,-0.05660593761746869,-0.09890613461222549,0.10817155699008224,0.3230221852086667,first-positive: ROCE; ROCE improving from <=0; under-priced vs fundamentals; cash 378% of mcap
VGP.BR,VGP NV,Real Estate,Real Estate Management & Development,Mid Cap,EUR,2446012160.0,4036396800.0,80.6,174913000.0,401999000.0,50890000.0,50890000.0,2.298279716201769,0.2909446410501221,0.12659235470735003,0.0881719771016295,4.568959126763997,23.076596936762847,10.04081303684835,10.316273625292322,0.9404830813856023,0.020805293134765118,-1921086000.0,-0.7853951143071995,0.21385584608050354,0.12959429558560745,-1836717000.0,-0.7509026447358299,0,2025-12-31,,0,13.984164470336681,7.5751877,48.06469168795441,140765000.0,0.8047715149817338,0.05754877359236023,0.9073390382358686,0.45883,98.0,0.2158808933002483,-0.008962020801560338,0,0.33982228898413486,0.1186602248956959,86.93960958156349,0,23.597435856596608,0.393451503684525,0.08358154240938459,0.5432903714935557,0.5432903714935557,-0.6572351214799679,0.028247967080793246,,,,,0.393451503684525,0.08358154240938459,0.5432903714935557,0.5432903714935557,0.3491416508571304,-1.338631539164374,-1.6632150618970996,-1.6632150618970996,0,0,0,0,0,0,0,0,0.09138983495386803,-0.0032178578522385343,0,0,17915000.0,,0.0,0.0,0.0,0.0,0,-0.008962020801560338,-0.4024135244860853,-0.09254356321094492,-0.5522523922951161,-0.2887890417585649,0.3339996304376778,0.3167733816841545,accelerating sales; under-priced vs fundamentals
FLUX.BR,Fluxys Belgium SA,Energy,"Oil, Gas & Consumable Fuels",Mid Cap,EUR,1412296448.0,2851495424.0,20.1,742574000.0,345493000.0,136472000.0,-115637000.0,0.46526406795821024,-0.15572454731784308,0.3950065558491778,0.20714513276847454,0.6583259284558587,3.8400151688585917,8.253410124083556,17.755374715907323,2.39459946014134,-0.08187870199897296,-1470181000.0,-1.0409861202171629,0.6074836492118686,0.3008761623038116,-185513000.0,-0.13135556650497218,0,2025-12-31,,0,1.9018932092963126,18.785046,10.348616917756024,249878000.0,0.33650248998752985,0.176930275760348,1.7692239870867978,0.9,28.0,0.39303482587064664,0.07995219498568278,0,0.2323043905572441,-0.4099409850095426,,0,249.19280957280418,0.11211386911162563,-0.03125289157944027,-0.5497385308236692,-1.5803817449044635,-0.06885533046686393,-0.45412026764121505,,,,,0.11211386911162563,-0.03125289157944027,-0.5497385308236692,-1.5803817449044635,0.19765387127549638,-0.10272996219425545,-0.40049330394263083,-1.7422162542052972,1,0,0,0,0,0,0,0,0.31898001054326297,-0.11183487777478843,0,0,,,,,,,0,0.07995219498568278,-0.032161674125942855,0.11120508656512304,1.6603339398901462,-0.028919407462865455,-0.42761448621661524,0.28161091653137493,growth-flip; accelerating sales; cash 61% of mcap
COFB.BR,Cofinimmo SA,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap,EUR,3210697728.0,5792049664.0,84.3,364314000.0,269272000.0,297489000.0,297189000.0,0.7391206486712012,0.8157496006192461,1.1047899521673252,0.04201159806942818,9.290408954514394,15.898509703168147,21.510033215484714,22.72728924465372,0.9006278418661666,0.09256212361825922,-2675083000.0,-0.8331780898186127,0.007874612355909699,0.004365121410671661,-2501227000.0,-0.7790291120173615,0,2026-03-31,,0,8.812995734448855,15.816136,10.792660326936458,303122000.0,0.8320350027723338,0.09441000856496698,0.708707403038748,0.79586,86.117,0.021553973902728396,0.1801431413123833,0,0.3203840812051987,0.07211503790441935,315.1532593628568,0,39.38718761525565,-0.07874959540378702,0.678637998640991,0.06560424681381503,0.06609151077072085,0.3334851291696637,0.11082920492414972,-0.016210435923816623,0.11343957525285522,,,-0.11206817650229323,0.10646738468498251,0.06560424681381503,0.06609151077072085,-0.0019185755222544502,-3.4559112829417185,-0.15949865912708316,-0.16418105441366665,0,0,0,0,0,0,0,0,0.0321522771428751,0.009859320926553082,0,0,18424000.0,,0.0,0.0,0.0,0.0,0,0.1801431413123833,0.2588927367161703,-0.49849485732860765,0.11405163054166244,0.28102320001655123,0.041850163356924965,0.2700595038795368,
ELI.BR,Elia Group SA/NV,Utilities,Electric Utilities,Mid Cap,EUR,15258928128.0,29683427328.0,139.8,4442200000.0,1845000000.0,2090400000.0,-2950300000.0,0.4153347440457431,-0.6641528972130926,1.1330081300813009,0.05206112775124351,7.589051490514906,6.682145632344334,16.088578497560977,25.64221434692467,1.8722151760692989,-0.1933490986556405,-17276100000.0,-1.1321961709943773,0.2415766015199885,0.12418377296084183,-14085200000.0,-0.923079254443422,0,2025-12-31,,0,3.4349935005177614,25.418182,7.299525510907004,2899300000.0,0.6526720994102021,0.1900067931167334,2.1804863684326765,0.59597,148.03333,0.05889363376251788,0.456084720672123,0,0.35106656207037834,-0.04173409932521894,,0,81.83990812660858,0.17924077515264136,0.15695742145858155,1.2139377250582504,0.20939518182061795,-0.007999474165034715,0.32647625064992836,,,,,0.17924077515264136,0.15695742145858155,1.2139377250582504,0.20939518182061795,0.19891495409398316,-0.09261161160833586,-0.4116088497396826,0.18546235068439698,1,0,0,0,0,0,0,0,0.05315346728849758,-0.0010923395372540723,0,0,781400000.0,,3.775659073457896,0.0,0.0,0.0,0,0.456084720672123,0.27684394551948166,0.2991272992135415,0.24668953885150507,0.2347645632281048,-0.2643563367031583,0.2696440166483184,growth-flip; accelerating sales
LOTB.BR,Lotus Bakeries NV,Consumer Staples,Food & Staples Retailing,Mid Cap,EUR,8891375616.0,9074225152.0,10940.0,1355061000.0,268695000.0,205878000.0,92902000.0,0.19828996628196074,0.06855927519130135,0.7662144811031095,0.2351464107899617,0.6293939224771581,6.696543662610023,33.77147007573643,39.712840277291505,10.34359577571946,0.010448551946542801,-172727000.0,-0.01942635284569222,0.022508778016290254,0.022055216467258318,-112116000.0,-0.012609522400363745,0,2025-12-31,,0,6.561605430309042,51.75513,43.18759467257308,537491000.0,0.3966544679538412,0.060450825970369174,0.36324950384014926,0.5,11129.3,0.01730347349177319,0.20257794326167372,0,0.2767110567271306,0.14292066976417603,277.86631802677,0,229.4370941710977,0.09996395852307872,0.11820667440728116,0.13062006776756932,0.4406091055700285,0.00323495432495724,0.016211465198071304,,,,,0.09996395852307872,0.11820667440728116,0.13062006776756932,0.4406091055700285,-0.05898057571238784,-0.055152246237870683,-0.04892972980328089,0.7153566257571673,0,0,0,1,0,0,0,0,0.21710696006770136,0.018039450722260347,0,0,28414000.0,,0.0,0.0,0.0,0.0,0,0.20257794326167372,0.102613984738595,0.08437126885439256,-0.2380311623083548,0.0932884972671057,-0.010560647137934615,0.26393359446209913,growth-flip
