symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes
PRIUA.PR,Primoco UAV SE,Industrials,Aerospace & Defense,Micro Cap,CZK,3851888384.0,3471577088.0,818.0,253325000.0,47744000.0,301981000.0,257755000.0,0.18846935754465607,1.017487417349255,6.325004189008043,0.4613927598136802,-9.754796414209116,13.704044559360506,72.7123217158177,72.7123217158177,6.767065963236831,0.06691652880458958,357133000.0,0.09271634180353239,0.12626923511602978,0.14010203076901975,465733000.0,0.12091030517253949,0,2025-12-31,10.785585157350344,0,15.2053227435113,36.913357,12.755399790053017,68396000.0,0.2699930918780223,0.017756485438182416,0.03626423241996377,0.744,1099.0,0.34352078239608796,-0.0024390243902439024,0,0.19345337138582872,0.7730190899319528,94.06277627919694,0,,-0.42994507040034924,-0.7076713016537781,3.424759699917946,6.820630941896439,-0.1790548949649808,1.1171370470638955,,,,,23.245813074014045,4.611694152923538,3.424759699917946,6.820630941896439,0.13232186794368062,0.31196999336982195,4.134956814118492,8.026306611295663,0,0,1,1,0,0,1,0,0.6404799834488466,-0.17908722363516638,0,0,302038000.0,,0.0,,0.0,,0,-0.0024390243902439024,0.42750604601010533,0.7052322772635342,-6.823069966286682,0.7499383371885628,1.8967772143376809,0.37753976638053194,growth-flip; first-positive: FCF; accelerating sales; under-priced vs fundamentals
PVT.PR,"RMS Mezzanine, a.s.",Financials,Consumer Finance,Micro Cap,CZK,1192879616.0,4563859456.0,1.12,2349000.0,,117460000.0,117460000.0,,50.004257130693915,,,,1942.8946172839505,,,11.582480007767744,0.09846760597173286,,,0.001735296648744143,0.0004535634850189392,-126757000.0,-0.10626135135500546,0,2025-12-31,,0,507.8244427415922,18.666668,10.155624178443725,,,,1.25086901640936,0.9096,,,-0.10399999618530273,0,0.09354307987538023,1.455668701789854,,0,,-0.513160621761658,,5.393656018553154,5.393327348892878,,55.54539702706697,,,,,-0.513160621761658,,5.393656018553154,5.393327348892878,0.4423619534121035,,6.51583284453321,6.516243009881776,0,0,1,1,0,1,1,0,,,0,0,144196000.0,,0.0,,0.0,,0,-0.10399999618530273,0.40916062557635524,,-5.497327345078181,0.8404427494278048,2.544083359750913,0.36124275095267916,growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals
CZG.PR,CZG - Ceska zbrojovka Group SE,Industrials,Aerospace & Defense,Small Cap,CZK,56801804288.0,66794815488.0,1006.0,25203544000.0,5969732000.0,6290002000.0,5253407000.0,0.23686081608205575,0.20843921791316333,1.0536489745268296,0.11704622647651805,2.7192654544626125,2.6502152033856827,11.188913587410624,16.87368397481887,3.244828920287197,0.09248662196299,-25375973000.0,-0.4467458968616064,0.12149515471391359,0.10331855772907739,-16314811000.0,-0.2872234641927859,0,2026-03-31,,0,2.2537229005571597,33.555706,9.030490656123797,13150774000.0,0.5217827302382554,0.2315203568767312,1.3262219948883,0.761,998.3333,-0.007620974155069571,0.4729082386181211,0,0.34302806309748657,0.4455406287493119,37.8723799492437,0,35.981795227306534,0.1263755043843811,0.43275482160441664,1.3551955822685655,2.0017290173798816,0.05065015591860769,0.1302240199885491,0.0771511273280288,0.14441102648309004,-0.11400585854636157,-0.1334982302664274,-0.0014125697005095677,0.4054890363531448,-0.9532927367751176,-0.9364497139402221,-0.4605225916644111,0.26129658549463297,0.768586790601375,-0.11363587844488965,0,1,0,0,0,0,0,0,0.08401840223846763,0.033027824238050424,0,0,3503280000.0,,0.0,0.0,0.0,0.0,0,0.4729082386181211,0.34653273423374,0.04015341701370445,-1.5288207787617605,0.30765293890436396,0.20862042215248802,0.3585171995877158,growth-flip; under-priced vs fundamentals
KARIN.PR,KARO INVEST a.s.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap,CZK,1069500032.0,1270127032.0,155.0,300053000.0,110489000.0,20793000.0,-4709000.0,0.36823161241514,-0.015693894078712762,0.1881906796151653,0.07657472492060474,1.8158097186145228,4.233008941753623,11.495506629619237,18.887209017368548,1.5784254295471787,-0.004402991920621093,151133000.0,0.1413118237288655,0.0090556332026365,0.007625221537683169,-200627000.0,-0.18758952220396005,0,2025-12-31,7.076548682286463,0,3.564370401229116,23.736599,51.435580820468424,124943000.0,0.4164031021186257,0.11682374592018713,0.3103897138910289,0.44616002,,,0.026490066225165563,0,0.29115352000644185,0.3152144577848106,59.91860002266265,0,53.62407056476404,0.23199247796149472,0.14965766965642102,1.0879568527918781,0.9866746277441665,-0.02637157131229284,1.4352794133599756,,,,,0.246441092106661,-0.1360930048816276,1.2744848158741846,1.1215668316002279,0.4629431522780999,-44.37663318775713,,,1,0,0,0,0,1,0,0,0.06442940824976907,0.012145316670835668,0,0,348677000.0,,0.013505335883926958,0.0,0.0,0.0,1,0.026490066225165563,-0.20550241173632916,-0.12316760343125546,-0.9601845615190009,-0.1668049240660641,0.3639148751881624,0.3405837289508155,growth-flip; first-positive: CFO; FCF break-even ETA 0.0y; accelerating sales; under-priced vs fundamentals
PINK.PR,Pilulka Lekarny a.s.,Health Care,Pharmaceuticals,Micro Cap,CZK,351910016.0,390188016.0,130.0,1304243000.0,-49750000.0,-44993000.0,-65051000.0,-0.038144732231647015,-0.04987644173670091,0.9043819095477387,2.047578864211717,-0.7694070351758794,0.29916818875010254,-7.8429751959799,,,-0.18485123196948167,-187962000.0,-0.5341194949108808,0.028902274836076276,0.02606692051762041,-38278000.0,-0.10877212429213723,0,2024-12-31,,0,0.2698193634161732,,,115114000.0,0.08826115992188573,0.32711203082096985,,,,,-0.36585365853658536,0,0.24195710523850492,-0.055113600541389536,,0,,-0.38821042203270495,0.45511100401958315,-0.3121318168562263,0.06963672768878719,0.0046833479935471725,-0.0170786216284287,,,,,-0.38821042203270495,0.45511100401958315,-0.3121318168562263,0.06963672768878719,-0.2593139292898952,10.292262339331156,-0.41328781046025265,-0.32193472698798514,0,1,0,0,0,0,0,0,-1.6705723116704714,3.7181511758821886,1,1,4869000.0,,13.360238241938797,1.1972661420354729,,2.555752032520325,0,-0.36585365853658536,0.02235676349611959,-0.8209646625561685,-0.43549038622537256,0.03654322384895998,0.4113660950951405,0.2993709972464624,growth-flip; first-positive: ROCE; ROCE improving from <=0; under-priced vs fundamentals
SABFG.PR,SAB Finance a.s.,Financials,Capital Markets,Micro Cap,CZK,3231960064.0,3307065088.0,1060.0,1425000.0,448215000.0,208788000.0,177391000.0,314.53684210526313,124.48491228070175,0.46582109032495567,0.20098553180612194,0.3227089677944736,2320.7474301754387,7.378300788684002,7.788751841166288,1.6521851922094826,0.054886507409517296,-337841000.0,-0.10453130401056837,0.07825127631280038,0.07647415254017523,-156392000.0,-0.048389211779567336,0,2025-12-31,,0,2268.0421501754386,11.324786,15.479625572350901,-144689000.0,-101.53614035087719,-0.044768189313864,0.20923353916039122,0.5492,,,0.034917648943298296,0,0.23672225908676062,-0.06777685949529066,,0,28.674818561048447,0.009922041105598866,0.31931934583730703,-0.9549379260153902,-0.9606126268469873,73.76292289902642,-3067.4024016810276,,,,,0.009922041105598866,0.31931934583730703,-0.9549379260153902,-0.9606126268469873,-3.8893835144499564,0.8383339637539885,-137.0062962097976,-28.514820614771942,0,1,0,0,0,0,0,0,0.1608107888305594,0.04017474297556253,0,0,,,,0.0,,,0,0.034917648943298296,0.02499560783769943,-0.28440169689400874,0.9955302757902856,0.024750036953679964,-0.19021855592191406,0.29792405078764617,growth-flip
MONET.PR,"MONETA Money Bank, a.s.",,,,CZK,95505899520.0,30727600128.0,186.9,13926000000.0,,26444000000.0,25463000000.0,,1.828450380583082,,,,2.2064914640241273,,,2.9109664884635316,0.26661180228628456,,,0.3224826964071507,1.0023236397148678,8498000000.0,0.0889787965215743,1,2026-03-31,,0,6.858099922447221,14.465943,3.611628328543337,,,,0.6797220274924564,0.53362,169.11626,-0.09515109684323164,0.3976862543773697,0,0.331191269670752,0.06742548710012554,,0,,0.0813790961329399,,0.04020140036189127,0.03951826903449684,,-0.07363068790581373,0.006795835743204164,,0.2791563875586514,0.3047243287558926,-0.01694915254237288,,1.564896755162242,1.6854570366020747,0.017061859772171735,,-0.16399036233677422,-0.19089357098246817,0,0,0,0,0,0,0,0,,,0,0,5947000000.0,0.0,0.0,,0.0,0.0,0,0.3976862543773697,0.3163071582444298,,0.35816798534287286,0.29250348871691556,-0.3223262107680727,0.26378879759124213,"cash > EV (1.00x, net cash 9% mcap)"
TABAK.PR,Philip Morris CR as,Consumer Staples,Tobacco,Small Cap,CZK,53974290432.0,54967644160.0,19660.0,21685000000.0,4693000000.0,12587000000.0,12173000000.0,0.21641687802628545,0.5613557758819461,2.6820796931600257,-12.429906542056075,-1.818239931813339,2.534823341480286,11.712687867036012,13.776351919799499,6.572612083779834,0.2255333030331592,5090000000.0,0.09430415776216054,0.1738049713097894,0.17066403596802793,8533000000.0,0.1580937874625768,0,2025-12-31,10.603986332416502,0,2.489015007240028,17.7626,4.288098071979026,9243000000.0,0.4262393359465068,0.17124819846672884,0.10326351680467609,0.77599996,19278.5,-0.019404883011190255,0.14524706176828645,0,0.2733533841239269,-0.007651837857773667,,0,,0.003563495001851166,-0.0749063670411985,0.017953902143145975,0.002470559169892119,-0.018357279693077738,-0.000612013825569635,,,,,0.003563495001851166,-0.0749063670411985,0.017953902143145975,0.002470559169892119,-0.04689834262576186,-0.09934093893134391,-2.2532101190208755,-2.8245070645300765,0,0,0,0,0,0,0,0,-156.03571428571428,143.6058077436582,1,0,30000000.0,,0.0,,0.0,,0,0.14524706176828645,0.1416835667664353,0.22015342880948496,0.14277650259839433,0.14118047086415197,-0.16144849225961663,0.2626660609504357,ROCE improving from <=0
ENRGA.PR,"ENERGOAQUA, a.s.",Utilities,Multi-Utilities,Micro Cap,CZK,2427344896.0,3239650048.0,3800.0,910682000.0,538008000.0,468325000.0,8621000.0,0.5907748258997103,0.00946653167626021,0.8704796211208755,0.14635314362280102,-0.635884596511576,3.557388910728443,6.02156482431488,6.8214934957192614,0.6766825510680559,0.003551617248214899,-122003000.0,-0.05026191383064173,0.25995399378136,0.19477350659820403,342111000.0,0.14094041623988485,0,2024-12-31,,0,2.66541437735675,7.331378,5.183035063257353,507113000.0,0.5568497016521684,0.2089167471980051,0.08053441126250131,0.77956,,,0.14457831325301204,0,0.40955850312675696,-0.1322747328701145,,0,68.20449213558625,-0.04114109308074916,0.15107778217567583,0.025654222084005862,-0.9632598615798984,0.0986536916294346,-0.23759481881797198,,,,,-0.04114109308074916,0.15107778217567583,0.025654222084005862,-0.9632598615798984,-0.1199630349139,-0.43406431916055155,-2.114680848960409,-10.08341074229416,0,0,0,0,0,0,0,0,0.14785561054590254,-0.0015024669231015197,0,0,,,,0.0,0.0,0.0,0,0.14457831325301204,0.18571940633376122,-0.006499468922663787,1.1078381748329105,0.19368793989771144,-0.4290193707480026,0.26242256786674,
EFORU.PR,E4U a.s.,Information Technology,"Technology Hardware, Storage & Peripherals",Nano Cap,CZK,784457920.0,679466944.0,328.0,89897000.0,84577000.0,69090000.0,69090000.0,0.9408211619965071,0.7685462251243089,0.816888752261253,,,7.558282745809093,8.033708265840595,10.037922056433741,3.519389849974876,0.08807355785253593,76717000.0,0.09779619536507453,0.12580407117312295,0.1452432688175041,,,0,2025-12-31,10.225346663712084,0,8.726185745909207,17.972603,11.354145607179042,,,,,0.57308996,,,0.012345679012345678,0,0.16634810191454716,-0.019887467299281068,,0,269.4669683155633,0.029158557527189467,0.0211530335043767,-0.31774418122389325,-0.31774418122389325,-0.007375746990327503,-0.39077833125806083,,,,,0.029158557527189467,0.0211530335043767,-0.31774418122389325,-0.31774418122389325,0.08471171036863917,0.06774978968869173,-0.02433372336095907,-0.02433372336095907,1,1,0,0,0,0,0,0,0.26943282941996355,,0,0,,,,0.0,,0.0,0,0.012345679012345678,-0.01681287851484379,-0.00880735449203102,0.33008986023623893,-0.016336528897200116,-0.072033274583041,0.23497486024756306,growth-flip; accelerating sales
