ticker,name,sector,industry,region,mcap_usd_M,adv_usd_M,master,M,E,DSR,ADV_play_now,best_rank,combined_score,has_psar,school
TX,Ternium S.A.,Basic Material,Steel,us-mid,9089,23.6,30.353303817777512,65.08358889544465,4.417516328523188,30.7935991349654,52.0,51.09813536173083,0.0813898482807125,True,weinstein
CLBK,"Columbia Financial, Inc.",Financial Serv,Banks - Regional,us-mid,2084,7.99,57.4370291398989,71.17617691705823,15.931936893422275,33.82933028744025,74.49999999999999,59.818017101996816,1.1464982487886286,True,weinstein
UTI,"Universal Technical Institute, I",Consumer Defen,Education & Training Ser,us-mid,2222,61.35,44.47868809924586,69.20982332496624,31.43957713541215,23.03115785199132,87.99999999999999,52.9883041537676,0.1056198921207851,True,weinstein
TKR,The Timken Company,Industrials,Tools & Accessories,us-mid,9893,128.05,45.53554760115194,75.655180173659,13.371293826382823,10.508953282232891,92.5,51.59209678396175,0.5124820219584819,True,weinstein
INVX,"Innovex International, Inc.",Energy,Oil & Gas Equipment & Se,us-mid,1758,12.53,40.848377963065445,62.84795811301682,16.177506075355737,30.89637253138478,56.60312005220406,53.51730081995832,0.6960808329675932,True,weinstein
IVT,InvenTrust Properties Corp.,Real Estate,REIT - Retail,us-mid,2676,16.33,48.37102669201139,68.82480953401043,28.031845065275352,72.46850356910605,58.91388318359592,53.1002233082484,0.2884515247713548,True,weinstein
KGS,"Kodiak Gas Services, Inc.",Energy,Oil & Gas Equipment & Se,us-mid,6982,136.46,33.08982230214356,60.14571516583018,22.56017046634915,60.95282282084129,62.5,54.03100425528412,-0.7578288174749369,True,weinstein
IMVT,"Immunovant, Inc.",Healthcare,Biotechnology,us-mid,7256,85.9,43.16368438859104,61.34657905348571,19.194412348216584,39.81782338884841,87.99999999999999,49.33458178260473,0.5712375399052474,True,weinstein
RAMP,"LiveRamp Holdings, Inc.",Technology,Software - Infrastructur,us-mid,2268,107.57,57.49331287184948,62.14508508957846,16.382860150649442,39.76813609051053,92.5,57.90709075112974,1.4050823729543735,True,weinstein
LNTH,"Lantheus Holdings, Inc.",Healthcare,Drug Manufacturers - Spe,us-mid,6762,107.37,45.019961595132784,73.28022860952849,19.25931763993426,58.13717929963852,92.5,52.18417588327368,-0.0766064926170517,True,weinstein
INTRUM.ST,Intrum AB (publ),Financial Serv,Credit Services,fd-eu-mid,227,5.47,16.584585765602476,1.32,43.578563917320345,14.26648311368388,57.99999999999999,34.933420551351055,-0.4234746064058647,True,qullamaggie
SMHN.DE,SUSS MicroTec SE,Technology,Semiconductor Equipment ,fd-eu-small,2267,10.27,35.149479400865346,65.6803807383367,2.21094729886512,60.32696756824092,32.848079649076,53.26934223241343,0.3251222793622404,True,qullamaggie
OLPX,"Olaplex Holdings, Inc.",Consumer Cycli,Specialty Retail,us-small,1378,8.39,46.09957027513516,76.46625413335192,7.9884361350904305,71.4186444522438,49.5,62.3739406873391,-0.0076158042863209,True,qullamaggie
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,fd-asia-ex-jp,1696931,7677.23,54.222308978348245,97.2352472089314,17.98513977319487,73.70474230727314,92.5,50.05927140620338,0.2061464967117021,True,qullamaggie
1909.T,"Nippon Dry-Chemical Co., Ltd.",Industrials,Security & Protection Se,fd-jp-micro,659,14.61,44.77086652788604,61.72392608001417,15.368199111777804,80.76375795579953,92.5,53.740665031206376,0.085730580104263,True,qullamaggie
AESI,Atlas Energy Solutions Inc.,Energy,Oil & Gas Equipment & Se,us-mid,2023,52.36,22.946515473757437,64.79549909508816,22.780696580939047,28.18861611216907,33.0,48.62429351532205,-0.3828943690088181,True,qullamaggie
6914.T,"OPTEX GROUP Company, Limited",Technology,Electronic Components,fd-jp-small,1039,7.13,59.09509327127318,71.95298650924968,17.696794479287313,93.7345571950936,92.5,48.54705888518282,0.9868582910748104,True,qullamaggie
KALV,KalVista Pharmaceuticals Inc,Healthcare,Biotechnology,us-small,1438,86.3,59.95700758850433,79.32038663086576,37.443677737521,49.30877530628127,57.99999999999999,56.37716480954274,0.7686376430297538,True,qullamaggie
IGG.L,IG Group Holdings plc,Financial Serv,Capital Markets,fd-eu-mid,80,33.53,52.21192578238716,86.33371984409729,13.923774302775108,79.55680591789653,67.5,52.839555584034535,0.1459423142421718,True,qullamaggie
TEP.PA,Teleperformance SE,Industrials,Specialty Business Servi,fd-eu-large,3463,21.23,20.46379338434729,33.98750762243814,14.736823612968964,52.12321945927418,56.1509220869458,40.86931966376752,0.233049220805534,True,qullamaggie
QUCY,Quantum Cyber N.V.,Healthcare,Diagnostics & Research,fd-eu-nano,40,44.02,20.62988854393761,27.93142857142857,22.03302255920385,0.0,52.0,41.04626335493787,0.5098578281618045,True,demark
VLN,Valens Semiconductor Ltd.,Technology,Semiconductors,us-small,258,9.96,13.62921337985826,34.46353548340998,17.017087206467814,0.0,44.5,46.59681145360128,-0.0922236234677566,True,demark
DCC.L,DCC plc,Energy,Oil & Gas Refining & Mar,fd-eu-mid,67,23.51,47.74177393523538,54.99158635854252,11.449115337662615,75.84385476361012,75.79463316577215,53.64888563525288,0.8194828084913214,True,demark
2324.TW,"Compal Electronics, Inc.",Technology,Computer Hardware,fd-asia-ex-jp,4982,215.5,38.75599675425235,45.25617845035305,9.35706512278482,62.63270861789898,92.5,52.09015323008086,0.6273532067520148,True,demark
5901.T,"Toyo Seikan Group Holdings, Ltd.",Consumer Cycli,Packaging & Containers,fd-jp-mid,4040,12.65,32.46635863022604,37.862545711498,30.817800088697844,78.80621949955766,62.5,47.10838979523604,0.1096882185377798,True,demark
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limi,Financial Serv,Asset Management,fd-asia-ex-jp,13903,5.04,16.765054393659803,30.11250302499447,25.48035190401816,49.394618077665086,67.5,36.14197081867264,-0.4645757158458152,True,demark
S,"SentinelOne, Inc.",Technology,Software - Infrastructur,us-mid,5149,175.12,24.21551564923145,33.8518926081138,9.794132679786925,0.5060131322650041,92.5,52.7180446451394,0.0836371715687508,True,demark
2609.TW,Yang Ming Marine Transport Corpo,Industrials,Marine Shipping,fd-asia-ex-jp,5553,67.25,33.7933580692512,11.005492470467177,39.407044639882784,77.32800308031973,92.5,34.73258048275823,0.0696485159282176,True,demark
UFPT,"UFP Technologies, Inc.",Healthcare,Medical Devices,us-small,1851,44.73,13.68801854080547,32.31152037493919,23.437751045080017,16.000782918226975,38.06839381671875,39.46518400380984,0.1756132149707679,True,demark
3227.TWO,PixArt Imaging Inc.,Technology,Semiconductors,fd-asia-small,1060,15.24,29.284766119871254,51.2944448351242,4.010222172490641,52.357809176129166,62.5,50.21215026584852,,False,demark
TALK,"Talkspace, Inc.",Healthcare,Health Information Servi,us-small,873,7.54,52.16385536674078,95.4319654222337,16.886017732516557,44.01922958072394,49.5,64.09802244881885,0.2557003714348168,True,darvas
2501.T,Sapporo Holdings Limited,Consumer Defen,Beverages - Brewers,fd-jp-small,4556,13.53,14.426075804377604,34.998981508489365,12.88802324347095,75.34042314850595,46.38644890813667,39.09748843223044,-0.3003652376065168,True,darvas
VRE,"Veris Residential, Inc.",Real Estate,REIT - Residential,us-small,1944,16.3,59.76308384439084,88.25226418154134,37.44989768618283,82.42882740942457,19.5,62.44828816387347,0.3216978604580022,True,darvas
GRE.MC,"Grenergy Renovables, S.A.",Industrials,Engineering & Constructi,fd-eu-small,3340,6.35,51.97883052932448,74.18736944325197,28.433200730084927,65.77676727527127,49.5,58.81878166007371,0.3451539198635836,True,darvas
JPM-PC,JPMorgan Chase & Co.,Financial Serv,Banks - Diversified,fd-us-mega,0,5.48,40.87047904850917,71.40228654810173,13.478307688885032,69.98143253386272,70.51183373257878,41.20337406224387,0.3349769030843544,True,darvas
DGX,Quest Diagnostics Incorporated,Healthcare,Diagnostics & Research,fd-us-large,21586,159.61,27.967985779899795,54.17094736031323,17.937679190040303,86.40616540547151,37.5,45.37507103604788,-0.0606448061250832,True,darvas
3618.HK,Chongqing Rural Commercial Bank ,Financial Serv,Banks - Regional,fd-asia-ex-jp,9144,8.36,46.67903155435796,62.97397108689347,42.75143630788386,71.55613651112127,63.36481151997688,42.39179309327556,0.4439989948837458,True,darvas
NN.AS,NN Group N.V.,Financial Serv,Insurance - Diversified,fd-eu-large,21098,56.02,41.2336747146467,73.66339224602787,8.60399854048467,69.79868394360594,70.30113532178804,59.4212239885272,-0.6327502300512791,True,darvas
WPC,W. P. Carey Inc.,Real Estate,REIT - Diversified,fd-us-large,15863,108.54,68.186529433267,75.1563629235263,40.69704437356001,83.01869334572227,75.36340835145265,53.274532362531474,0.986091604514484,True,darvas
INGA.AS,ING Groep N.V.,Financial Serv,Banks - Diversified,fd-eu-large,86026,196.36,42.172698832704526,67.98154703405788,6.818699033610557,48.09237355598396,67.5,61.747177537897024,-0.0131107251485121,True,darvas
NIBE-B.ST,NIBE Industrier AB (publ),Industrials,Building Products & Equi,fd-eu-mid,6736,33.26,14.548948292920755,35.10861656226774,9.160293364747108,46.39993179450703,71.46834173497521,38.472660819583766,-0.2913556660763243,True,regime
2324.TW,"Compal Electronics, Inc.",Technology,Computer Hardware,fd-asia-ex-jp,4982,215.5,38.75599675425235,45.25617845035305,9.35706512278482,62.63270861789898,92.5,52.09015323008086,0.6273532067520148,True,regime
FCEL,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & P,us-small,1625,241.59,19.02086090759674,48.65467250922976,5.162030617581578,0.0,62.5,45.44823672552691,-0.0328708202650765,True,regime
9993.HK,Radiance Holdings (Group) Compan,Real Estate,Real Estate - Developmen,fd-asia-ex-jp,611,100.42,28.49518206717695,24.78230742739081,24.26960387366428,100.0,92.5,32.946995210817754,-0.1459987239734763,True,regime
NGG,National Grid plc,Utilities,Utilities - Regulated El,fd-eu-large,79054,118.31,18.683759578912703,54.07613525553835,10.123644185751882,61.2342434673018,62.5,39.79686184662569,-0.5162769934828957,True,regime
WMG,Warner Music Group Corp.,Communication ,Entertainment,fd-us-large,14694,82.56,15.178835156529994,26.906012512659625,10.72045485394631,36.37306691495885,57.99999999999999,46.71332348900627,-0.2322496396227347,True,regime
HPQ,HP Inc.,Technology,Computer Hardware,fd-us-large,21491,609.6,27.01416534260406,28.82956571514667,31.97947817759633,18.259912607591243,92.5,43.05760214831042,0.2285421355844133,True,regime
UBI.PA,Ubisoft Entertainment SA,Communication ,Electronic Gaming & Mult,fd-eu-mid,783,10.07,18.35122057896519,28.297731008887528,3.6118048445358895,31.7788911214921,69.99578844148782,39.109099903203415,0.2282265893581753,True,regime
V,Visa Inc.,Financial Serv,Credit Services,fd-us-mega,622327,2556.72,16.048576612472715,30.789921408060025,1.547500615736487,36.72235556664782,50.89353649134705,36.81259472011436,0.2964007555933039,True,regime
RL,Ralph Lauren Corporation,Consumer Cycli,Apparel Manufacturing,fd-us-large,24581,304.96,45.63552412819642,47.95508012673508,59.725493877654834,13.06864814627442,85.92667419866929,49.27464330756454,0.4981290442237234,True,regime
