ticker,name,weight,sector
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,21.07,Information Technology
2308,DELTA ELECTRONICS INC,5.37,Information Technology
2454,MEDIATEK INC,4.25,Information Technology
2317,HON HAI PRECISION INDUSTRY LTD,3.66,Information Technology
3711,ASE TECHNOLOGY HOLDING LTD,2.63,Information Technology
2383,ELITE MATERIAL LTD,2.57,Information Technology
2345,ACCTON TECHNOLOGY CORP,2.37,Information Technology
3037,UNIMICRON TECHNOLOGY CORP,2.10,Information Technology
3017,ASIA VITAL COMPONENTS LTD,1.77,Information Technology
2360,CHROMA ATE INC,1.71,Information Technology
2891,CTBC FINANCIAL HOLDING LTD,1.60,Financials
2382,QUANTA COMPUTER INC,1.56,Information Technology
2303,UNITED MICRO ELECTRONICS CORP,1.45,Information Technology
2881,FUBON FINANCIAL HOLDING LTD,1.35,Financials
2887,TS FINANCIAL HOLDING LTD,1.24,Financials
2882,CATHAY FINANCIAL HOLDING LTD,1.21,Financials
2327,YAGEO CORP,1.16,Information Technology
2885,YUANTA FINANCIAL HOLDING LTD,1.12,Financials
6669,WIWYNN CORPORATION CORP,1.12,Information Technology
3653,JENTECH PRECISION INDUSTRIAL LTD,1.10,Information Technology
5274,ASPEED TECHNOLOGY INC,1.08,Information Technology
1303,NAN YA PLASTICS CORP,1.07,Materials
3665,BIZLINK HOLDING INC,1.04,Industrials
3529,EMEMORY TECHNOLOGY INC,0.97,Information Technology
2368,GOLD CIRCUIT ELECTRONICS LTD,0.97,Information Technology
2890,SINOPAC FINANCIAL HOLDINGS LTD,0.94,Financials
2412,CHUNGHWA TELECOM LTD,0.93,Communication
2884,E.SUN FINANCIAL HOLDING LTD,0.90,Financials
3443,GLOBAL UNICHIP CORP,0.88,Information Technology
2886,MEGA FINANCIAL HOLDING LTD,0.88,Financials
2357,ASUSTEK COMPUTER INC,0.87,Information Technology
3231,WISTRON CORP,0.82,Information Technology
4958,ZHEN DING TECHNOLOGY HOLDING LTD,0.76,Information Technology
7769,HONPRECISION INC,0.75,Information Technology
2883,KGI FINANCIAL HOLDING LTD,0.74,Financials
3533,LOTES LTD,0.74,Information Technology
2301,LITE ON TECHNOLOGY CORP,0.73,Information Technology
2880,HUA NAN FINANCIAL HOLDINGS LTD,0.73,Financials
1216,UNI-PRESIDENT ENTERPRISES CORP,0.73,Consumer Staples
3481,INNOLUX CORP,0.71,Information Technology
2892,FIRST FINANCIAL HOLDING LTD,0.70,Financials
2449,KING YUAN ELECTRONICS LTD,0.68,Information Technology
3008,LARGAN PRECISION LTD,0.67,Information Technology
2379,REALTEK SEMICONDUCTOR CORP,0.66,Information Technology
3661,ALCHIP TECHNOLOGIES LTD,0.65,Information Technology
3034,NOVATEK MICROELECTRONICS CORP,0.64,Information Technology
2059,KING SLIDE WORKS LTD,0.63,Information Technology
5880,TAIWAN COOPERATIVE FINANCIAL HOLDI,0.62,Financials
1301,FORMOSA PLASTICS CORP,0.61,Materials
1326,FORMOSA CHEMICALS & FIBRE CORP,0.60,Materials
2395,ADVANTECH LTD,0.59,Information Technology
2603,EVERGREEN MARINE CORP (TAIWAN) LTD,0.59,Industrials
2002,CHINA STEEL CORP,0.58,Materials
4938,PEGATRON CORP,0.58,Information Technology
2376,GIGABYTE TECHNOLOGY LTD,0.58,Information Technology
3293,INTERNATIONAL GAMES SYSTEM LTD,0.57,Communication
5871,CHAILEASE HOLDING LTD,0.57,Financials
3045,TAIWAN MOBILE LTD,0.57,Communication
6446,PHARMAESSENTIA CORP,0.56,Health Care
1590,AIRTAC INTERNATIONAL GROUP,0.55,Industrials
4904,FAR EASTONE TELECOMMUNICATIONS LTD,0.55,Communication
5347,VANGUARD INTERNATIONAL SEMICONDUCT,0.53,Information Technology
6488,GLOBALWAFERS LTD,0.52,Information Technology
2801,CHANG HWA COMMERCIAL BANK LTD,0.52,Financials
1101,TAIWAN CEMENT LTD,0.51,Materials
2912,PRESIDENT CHAIN STORE CORP,0.51,Consumer Staples
1519,FORTUNE ELECTRIC LTD,0.50,Industrials
2474,CATCHER TECHNOLOGY LTD,0.50,Information Technology
5876,SHANGHAI COMMERCIAL LTD,0.50,Financials
2207,HOTAI MOTOR LTD,0.49,Consumer Discretionary
2834,TAIWAN BUSINESS BANK LTD,0.48,Financials
2324,COMPAL ELECTRONICS INC,0.47,Information Technology
2356,INVENTEC CORP,0.47,Information Technology
8069,E INK HOLDINGS INC,0.42,Information Technology
2618,EVA AIRWAYS CORP,0.41,Industrials
2609,YANG MING MARINE TRANSPORT CORP,0.40,Industrials
1402,FAR EASTERN NEW CENTURY CORP,0.38,Industrials
1102,ASIA CEMENT CORP,0.37,Materials
6919,CALIWAY BIOPHARMACEUTICALS LTD,0.35,Health Care
1504,TECO ELECTRIC & MACHINERY LTD,0.34,Industrials
2610,CHINA AIRLINES LTD,0.24,Industrials
2633,TAIWAN HIGH SPEED RAIL CORP,0.24,Industrials
2615,WAN HAI LINES LTD,0.24,Industrials
TWD,TWD CASH,0.13,Cash and/or Derivatives
XTSLA,BLK CSH FND TREASURY SL AGENCY,0.04,Cash and/or Derivatives
UBFUT,CASH COLLATERAL USD UBFUT,0.01,Cash and/or Derivatives
1602,PACIFIC ELECTRIC WIRE,0.00,Industrials
2418,YA HSIN INDUSTRIAL CO. LTD.,0.00,Information Technology
TWTJ6,FTSE TAIWAN APR 26,0.00,Cash and/or Derivatives
USD,USD CASH,-0.01,Cash and/or Derivatives
