ticker,name,weight,sector
DPLM,DIPLOMA PLC,2.75,Industrials
WEIR,WEIR GROUP PLC,2.43,Industrials
BEZ,BEAZLEY PLC,2.25,Financials
IMI,IMI PLC,2.11,Industrials
STJ,ST JAMESS PLACE PLC,2.04,Financials
GAW,GAMES WORKSHOP GROUP PLC,1.95,Consumer Discretionary
ICG,ICG PLC,1.60,Financials
HSX,HISCOX LTD,1.54,Financials
IGG,IG GROUP HOLDINGS PLC,1.52,Financials
HWDN,HOWDEN JOINERY GROUP PLC,1.37,Industrials
DCC,DCC PLC,1.33,Energy
LMP,LONDONMETRIC PROPERTY REIT PLC,1.30,Real Estate
BRBY,BURBERRY GROUP PLC,1.26,Consumer Discretionary
BLND,BRITISH LAND REIT PLC,1.22,Real Estate
BBY,BALFOUR BEATTY PLC,1.21,Industrials
CRDA,CRODA INTERNATIONAL PLC,1.19,Materials
BGEO,LION FINANCE GROUP PLC,1.18,Financials
ABDN,ABERDEEN GROUP PLC,1.14,Financials
PSN,PERSIMMON PLC,1.14,Consumer Discretionary
CTEC,CONVATEC GROUP PLC,1.14,Health Care
MNDI,MONDI PLC,1.13,Materials
INVP,INVESTEC PLC,1.10,Financials
BBOX,TRITAX BIG BOX REIT PLC,1.04,Real Estate
RMV,RIGHTMOVE PLC,1.04,Communication
JMAT,JOHNSON MATTHEY PLC,1.02,Materials
PAF,PAN AFRICAN RESOURCES PLC,1.00,Materials
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,1.00,Consumer Discretionary
ZEG,ZEGONA COMMUNICATIONS PLC,0.98,Communication
BAB,BABCOCK INTERNATIONAL GROUP PLC,0.92,Industrials
PLUS,PLUS500 LTD,0.92,Financials
TW.,TAYLOR WIMPEY PLC,0.92,Consumer Discretionary
MTLN,METLEN ENERGY & METALS PLC,0.91,Industrials
EMG,MAN GROUP PLC,0.91,Financials
CCL,CARNIVAL PLC,0.89,Consumer Discretionary
SRP,SERCO GROUP PLC,0.88,Industrials
WPP,WPP PLC,0.86,Communication
RS1,RS GROUP PLC,0.85,Industrials
DRX,DRAX GROUP PLC,0.84,Utilities
ROR,ROTORK PLC,0.83,Industrials
ITV,ITV PLC,0.82,Communication
CWK,CRANSWICK PLC,0.81,Consumer Staples
INCH,INCHCAPE PLC,0.79,Consumer Discretionary
QLT,QUILTER PLC,0.76,Financials
PNN,PENNON GROUP PLC,0.75,Utilities
PHP,PRIMARY HEALTH PROPERTIES REIT PLC,0.75,Real Estate
BWY,BELLWAY PLC,0.72,Consumer Discretionary
GBP,GBP CASH,0.72,Cash and/or Derivatives
HOC,HOCHSCHILD MINING PLC,0.69,Materials
MTO,MITIE GROUP PLC,0.68,Industrials
QQ.,QINETIQ GROUP PLC,0.68,Industrials
TCAP,TP ICAP GROUP PLC,0.68,Financials
HIK,HIKMA PHARMACEUTICALS PLC,0.67,Health Care
MGNS,MORGAN SINDALL GROUP PLC,0.66,Industrials
TBCG,TBC BANK GROUP PLC,0.64,Financials
SHC,SHAFTESBURY CAPITAL PLC,0.62,Real Estate
UTG,UNITE GROUP PLC,0.62,Real Estate
CCC,COMPUTACENTER PLC,0.61,Information Technology
JTC,JTC PLC,0.60,Financials
OSB,OSB GROUP PLC,0.60,Financials
HILS,HILL AND SMITH PLC,0.57,Materials
DLN,DERWENT LONDON REIT PLC,0.56,Real Estate
AJB,AJ BELL PLC,0.55,Financials
