ticker,name,weight,sector
005930,SAMSUNG ELECTRONICS LTD,23.25,Information Technology
000660,SK HYNIX INC,21.14,Information Technology
005380,HYUNDAI MOTOR,2.59,Consumer Discretionary
402340,SK SQUARE LTD,2.39,Industrials
105560,KB FINANCIAL GROUP INC,2.14,Financials
034020,DOOSAN ENERBILITY LTD,1.77,Industrials
012450,HANWHA AEROSPACE LTD,1.75,Industrials
055550,SHINHAN FINANCIAL GROUP LTD,1.56,Financials
009150,SAMSUNG ELECTRO MECHANICS LTD,1.56,Information Technology
000270,KIA CORPORATION CORP,1.36,Consumer Discretionary
086790,HANA FINANCIAL GROUP INC,1.27,Financials
006400,SAMSUNG SDI LTD,1.21,Information Technology
068270,CELLTRION INC,1.20,Health Care
035420,NAVER CORP,1.12,Communication
005490,POSCO,1.06,Materials
267260,HD HYUNDAI ELECTRIC LTD,1.00,Industrials
028260,SAMSUNG C&T CORP,0.98,Industrials
012330,HYUNDAI MOBIS LTD,0.96,Consumer Discretionary
316140,WOORI FINANCIAL GROUP INC,0.90,Financials
032830,SAMSUNG LIFE LTD,0.84,Financials
010140,SAMSUNG HEAVY INDUSTRIES LTD,0.82,Industrials
006800,MIRAE ASSET SECURITIES CO LTD,0.80,Financials
373220,LG ENERGY SOLUTION LTD,0.79,Industrials
329180,HD HYUNDAI HEAVY INDUSTRIES LTD,0.75,Industrials
207940,SAMSUNG BIOLOGICS LTD,0.74,Health Care
051910,LG CHEM LTD,0.74,Materials
009540,HD KOREA SHIPBUILDING & OFFSHORE E,0.73,Industrials
042660,HANWHA OCEAN LTD,0.73,Industrials
298040,HYOSUNG HEAVY INDUSTRIES CORP,0.72,Industrials
064350,HYUNDAI-ROTEM,0.69,Industrials
000720,HYUNDAI ENGINEERING & CONSTRUCTION,0.67,Industrials
033780,KT&G CORP,0.67,Consumer Staples
010120,LS ELECTRIC LTD,0.66,Industrials
086520,ECOPRO LTD,0.65,Industrials
079550,LIG DEFENSE&AEROSPACE LTD,0.65,Industrials
035720,KAKAO CORP,0.63,Communication
196170,ALTEOGEN INC,0.62,Health Care
047810,KOREA AEROSPACE INDUSTRIES LTD,0.60,Industrials
042700,HANMI SEMICONDUCTOR LTD,0.60,Information Technology
000810,SAMSUNG FIRE & MARINE INSURANCE LT,0.59,Financials
034730,SK INC,0.59,Industrials
066570,LG ELECTRONICS INC,0.58,Consumer Discretionary
278470,APR LTD,0.55,Consumer Staples
KRW,KRW CASH,0.52,Cash and/or Derivatives
000150,DOOSAN CORP,0.52,Industrials
267250,HD HYUNDAI LTD,0.51,Energy
017670,SK TELECOM LTD,0.50,Communication
272210,HANWHA SYSTEMS LTD,0.50,Industrials
015760,KOREA ELECTRIC POWER CORP,0.49,Utilities
071050,KOREA INVESTMENT HOLDINGS LTD,0.49,Financials
247540,ECOPRO BM LTD,0.48,Industrials
096770,SK INNOVATION LTD,0.45,Energy
003550,LG CORP,0.43,Industrials
138040,MERITZ FINANCIAL GROUP INC,0.43,Financials
005387,HYUNDAI MOTOR S2 PREF,0.42,Consumer Discretionary
003670,POSCO FUTURE M LTD,0.42,Industrials
028300,HLB INC,0.42,Health Care
