ticker,name,weight,sector
CASH_USD,U.S. Dollar,0.880564,Unassigned
FLEX,Flex Ltd,0.870426,Information Technology
FTI,TechnipFMC plc,0.824357,Energy
CW,Curtiss-Wright Corporation,0.784692,Industrials
XPO,XPO Inc.,0.762621,Industrials
UTHR,United Therapeutics Corporation,0.732921,Health Care
FN,Fabrinet,0.715045,Information Technology
WWD,Woodward Inc.,0.680973,Industrials
MTZ,MasTec Inc.,0.658148,Industrials
ATI,ATI Inc.,0.647215,Industrials
ENTG,Entegris Inc.,0.64229,Information Technology
CRS,Carpenter Technology Corporation,0.642252,Industrials
NVT,nVent Electric plc,0.628763,Industrials
RGLD,Royal Gold Inc.,0.628476,Materials
BURL,Burlington Stores Inc.,0.624684,Consumer Discretionary
BWXT,BWX Technologies Inc.,0.623646,Industrials
TWLO,Twilio Inc. Class A,0.614557,Information Technology
P,Everpure Inc. Class A,0.607715,Information Technology
USFD,US Foods Holding Corp.,0.597779,Consumer Staples
ILMN,Illumina Inc.,0.594957,Health Care
RBA,RB Global Inc.,0.559618,Industrials
ITT,ITT Inc.,0.544928,Industrials
MKSI,MKS Inc.,0.541365,Information Technology
RBC,RBC Bearings Incorporated,0.539496,Industrials
APG,APi Group Corporation,0.51896,Industrials
MTSI,MACOM Technology Solutions Holdings Inc.,0.516911,Information Technology
SGI,Somnigroup International Inc.,0.516244,Consumer Discretionary
THC,Tenet Healthcare Corporation,0.499969,Health Care
RS,Reliance Inc.,0.49244,Materials
AA,Alcoa Corporation,0.491622,Materials
TLN,Talen Energy Corp,0.48291,Utilities
NXT,Nextpower Inc. Class A,0.478475,Industrials
NLY,Annaly Capital Management Inc.,0.473859,Financials
JLL,Jones Lang LaSalle Incorporated,0.473006,Real Estate
EWBC,East West Bancorp Inc.,0.469771,Financials
WPC,W. P. Carey Inc.,0.469034,Real Estate
SNX,TD SYNNEX Corporation,0.464917,Information Technology
LSCC,Lattice Semiconductor Corporation,0.463241,Information Technology
WCC,WESCO International Inc.,0.44903,Industrials
CLH,Clean Harbors Inc.,0.436936,Industrials
TRU,TransUnion,0.435558,Industrials
WSO,Watsco Inc.,0.434722,Industrials
DKS,Dick's Sporting Goods Inc.,0.430979,Consumer Discretionary
CSL,Carlisle Companies Incorporated,0.426844,Industrials
PFGC,Performance Food Group Co,0.424953,Consumer Staples
OVV,Ovintiv Inc,0.424227,Energy
PNFP,Pinnacle Financial Partners Inc.,0.422724,Financials
ONTO,Onto Innovation Inc.,0.417673,Information Technology
LECO,Lincoln Electric Holdings Inc.,0.41613,Industrials
GGG,Graco Inc.,0.416049,Industrials
PR,Permian Resources Corporation Class A,0.415954,Energy
STRL,Sterling Infrastructure Inc.,0.412054,Industrials
AEIS,Advanced Energy Industries Inc.,0.410149,Information Technology
RPM,RPM International Inc.,0.40688,Materials
EVR,Evercore Inc. Class A,0.406086,Financials
TOL,Toll Brothers Inc.,0.402074,Consumer Discretionary
RGA,Reinsurance Group of America Incorporated,0.401273,Financials
OHI,Omega Healthcare Investors Inc.,0.400357,Real Estate
RNR,RenaissanceRe Holdings Ltd.,0.396572,Financials
CG,Carlyle Group Inc,0.395486,Financials
RMBS,Rambus Inc.,0.395307,Information Technology
DTM,DT Midstream Inc.,0.394865,Energy
RRX,Regal Rexnord Corporation,0.39457,Industrials
MLI,Mueller Industries Inc.,0.392245,Industrials
GLPI,Gaming and Leisure Properties Inc.,0.390793,Real Estate
ROIV,Roivant Sciences Ltd.,0.389119,Health Care
NBIX,Neurocrine Biosciences Inc.,0.386898,Health Care
KTOS,Kratos Defense & Security Solutions Inc.,0.379159,Industrials
HL,Hecla Mining Company,0.378809,Materials
TTMI,TTM Technologies Inc.,0.377385,Information Technology
FIVE,Five Below Inc.,0.377004,Consumer Discretionary
PEN,Penumbra Inc.,0.37695,Health Care
SOLS,Solstice Advanced Materials Inc.,0.372922,Materials
NYT,New York Times Company Class A,0.371509,Communication Services
ALLY,Ally Financial Inc,0.368397,Financials
ELS,Equity LifeStyle Properties Inc.,0.366749,Real Estate
FNF,Fidelity National Financial Inc. - FNF Group,0.366733,Financials
SF,Stifel Financial Corp,0.363178,Financials
JAZZ,Jazz Pharmaceuticals Public Limited Company,0.357604,Health Care
OKTA,Okta Inc. Class A,0.354208,Information Technology
UNM,Unum Group,0.351191,Financials
BJ,BJ's Wholesale Club Holdings Inc.,0.348531,Consumer Staples
CCK,Crown Holdings Inc.,0.347471,Materials
DY,Dycom Industries Inc.,0.346309,Industrials
GWRE,Guidewire Software Inc.,0.345236,Information Technology
ARMK,Aramark,0.34408,Consumer Discretionary
WBS,Webster Financial Corporation,0.342245,Financials
EQH,Equitable Holdings Inc.,0.34202,Financials
FHN,First Horizon Corporation,0.34082,Financials
PINS,Pinterest Inc. Class A,0.340785,Communication Services
ELAN,Elanco Animal Health Inc.,0.340388,Health Care
LAMR,Lamar Advertising Company Class A,0.339355,Real Estate
MEDP,Medpace Holdings Inc.,0.337687,Health Care
EXEL,Exelixis Inc.,0.337282,Health Care
CACI,CACI International Inc Class A,0.336834,Industrials
SAIA,Saia Inc.,0.334695,Industrials
SCI,Service Corporation International,0.334229,Consumer Discretionary
ENSG,Ensign Group Inc.,0.333908,Health Care
BWA,BorgWarner Inc.,0.333406,Consumer Discretionary
BLD,TopBuild Corp.,0.331318,Consumer Discretionary
ACM,AECOM,0.323956,Industrials
SPXC,SPX Technologies Inc.,0.322266,Industrials
SITM,SiTime Corporation,0.321888,Information Technology
WTRG,Essential Utilities Inc.,0.319279,Utilities
WMS,Advanced Drainage Systems Inc.,0.317978,Industrials
TXRH,Texas Roadhouse Inc.,0.315903,Consumer Discretionary
AIT,Applied Industrial Technologies Inc.,0.31407,Industrials
NTNX,Nutanix Inc. Class A,0.313303,Information Technology
COKE,Coca-Cola Consolidated Inc.,0.311232,Consumer Staples
AR,Antero Resources Corporation,0.311028,Energy
EHC,Encompass Health Corporation,0.309688,Health Care
EGP,EastGroup Properties Inc.,0.309407,Real Estate
FLS,Flowserve Corporation,0.308042,Industrials
DT,Dynatrace Inc.,0.307176,Information Technology
GMED,Globus Medical Inc Class A,0.307002,Health Care
BMRN,BioMarin Pharmaceutical Inc.,0.303687,Health Care
KNX,Knight-Swift Transportation Holdings Inc. Class A,0.302552,Industrials
DCI,Donaldson Company Inc.,0.297639,Industrials
GME,GameStop Corp. Class A,0.29274,Consumer Discretionary
OC,Owens Corning,0.292096,Industrials
AMH,American Homes 4 Rent Class A,0.289461,Real Estate
WTFC,Wintrust Financial Corporation,0.287097,Financials
SSB,SouthState Bank Corporation,0.286611,Financials
OGE,OGE Energy Corp.,0.286283,Utilities
RRC,Range Resources Corporation,0.285909,Energy
BAH,Booz Allen Hamilton Holding Corporation Class A,0.285283,Industrials
ARWR,Arrowhead Pharmaceuticals Inc.,0.281599,Health Care
LFUS,Littelfuse Inc.,0.280599,Information Technology
ORI,Old Republic International Corporation,0.280307,Financials
CNM,Core & Main Inc. Class A,0.277423,Industrials
IDCC,InterDigital Inc.,0.277204,Information Technology
ADC,Agree Realty Corporation,0.275479,Real Estate
BRX,Brixmor Property Group Inc.,0.274255,Real Estate
CAVA,CAVA Group Inc.,0.273512,Consumer Discretionary
CR,Crane Company,0.273087,Industrials
CNH,CNH Industrial NV,0.271125,Industrials
GTLS,Chart Industries Inc.,0.270897,Industrials
OSK,Oshkosh Corp,0.270597,Industrials
ZION,Zions Bancorporation NA,0.267962,Financials
CGNX,Cognex Corporation,0.266068,Information Technology
MOG.A,Moog Inc. Class A,0.265451,Industrials
DAR,Darling Ingredients Inc,0.265203,Consumer Staples
DOCU,DocuSign Inc.,0.265018,Information Technology
AFG,American Financial Group Inc.,0.263277,Financials
CUBE,CubeSmart,0.262569,Real Estate
CFR,Cullen/Frost Bankers Inc.,0.262073,Financials
TTC,Toro Company,0.261994,Industrials
R,Ryder System Inc.,0.259075,Industrials
ARW,Arrow Electronics Inc.,0.258596,Information Technology
DINO,HF Sinclair Corporation,0.258516,Energy
AYI,Acuity Inc.,0.257897,Industrials
HLI,Houlihan Lokey Inc. Class A,0.255529,Financials
UMBF,UMB Financial Corporation,0.255303,Financials
CTRE,CareTrust REIT Inc.,0.255297,Real Estate
AHR,American Healthcare REIT Inc.,0.254525,Real Estate
COLB,Columbia Banking System Inc.,0.253239,Financials
PRI,Primerica Inc.,0.251972,Financials
NNN,NNN REIT Inc.,0.248046,Real Estate
CRUS,Cirrus Logic Inc.,0.247616,Information Technology
REXR,Rexford Industrial Realty Inc.,0.246502,Real Estate
FR,First Industrial Realty Trust Inc.,0.244417,Real Estate
AAL,American Airlines Group Inc.,0.244134,Industrials
VNOM,Viper Energy Inc.,0.244067,Energy
ATR,AptarGroup Inc.,0.243305,Materials
