status,n_screens,screens,symbol,name,region,sector,best_score
UNVERIFIED,1,surprises,DHX,"DHI Group, Inc.",US,Industrials,0.991
UNVERIFIED,1,surprises,M,"Macy's, Inc.",US,Consumer Discretionary,0.976
UNVERIFIED,1,surprises,ROOT,"Root, Inc.",US,Financials,0.972
UNVERIFIED,1,surprises,DCH,Dauch Corporation Common Stock,US,Consumer Discretionary,0.971
UNVERIFIED,1,surprises,FEV.DE,FORTEC Elektronik AG,EU,Information Technology,0.966
UNVERIFIED,1,surprises,CFW.TO,Calfrac Well Services Ltd.,CA,Energy,0.962
UNVERIFIED,1,surprises,LMB,"Limbach Holdings, Inc.",US,Industrials,0.961
UNVERIFIED,1,surprises,EGAN,eGain Corporation,US,Information Technology,0.96
UNVERIFIED,1,surprises,CINT.ST,Cint Group AB (publ),EU,Information Technology,0.96
UNVERIFIED,1,surprises,ERA.AX,Energy Resources of Australia Ltd. Class A,ANZ,Materials,0.958
UNVERIFIED,1,surprises,SITC,SITE Centers Corp.,US,Real Estate,0.953
UNVERIFIED,1,surprises,XPER,Xperi Holding Corporation,US,Information Technology,0.952
UNVERIFIED,1,surprises,NOS.LS,"NOS, S.G.P.S., S.A.",EU,Communication Services,0.952
UNVERIFIED,1,surprises,CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,CA,Real Estate,0.952
UNVERIFIED,1,surprises,RLGT,"Radiant Logistics, Inc.",US,Industrials,0.951
UNVERIFIED,1,surprises,RLJ,RLJ Lodging Trust,US,Real Estate,0.95
UNVERIFIED,1,surprises,UVE,"Universal Insurance Holdings, Inc.",US,Financials,0.95
UNVERIFIED,1,surprises,ATRC,"AtriCure, Inc.",US,Health Care,0.95
UNVERIFIED,1,new-reality,CSGP,"CoStar Group, Inc.",US,Real Estate,0.947
UNVERIFIED,1,new-reality,TWFG,TWFG Inc. Class A Common Stock,US,Financials,0.922
UNVERIFIED,1,divergence,600636.SS,"China Reform Culture Holdings Co., Ltd.",CN,Materials,0.92
UNVERIFIED,1,divergence,000004.SZ,"Shenzhen GuoHua Network Security Technology Co., Ltd.",CN,Financials,0.898
UNVERIFIED,1,new-reality,VIT-B.ST,Vitec Software Group AB (publ),EU,Information Technology,0.896
UNVERIFIED,1,forensic,3856.T,Abalance Corporation,JP,Information Technology,0.894
UNVERIFIED,1,inflecting-positive,GSS.AX,Genetic Signatures Limited,ANZ,Health Care,0.881
UNVERIFIED,1,forensic,4746.TW,"Formosa Laboratories, Inc.",TW,Health Care,0.879
UNVERIFIED,1,inflecting-positive,0698.HK,Tongda Group Holdings Limited,HK,Information Technology,0.878
UNVERIFIED,1,inflecting-positive,603313.SS,"Healthcare Co., Ltd.",CN,Consumer Discretionary,0.871
UNVERIFIED,1,forensic,NWL.MI,Newlat Food S.p.A.,EU,Consumer Staples,0.871
UNVERIFIED,1,yoy-unpriced,2700.T,"Kitoku Shinryo Co., Ltd.",JP,Consumer Staples,0.868
UNVERIFIED,1,yoy-unpriced,SON,Sonoco Products Company,US,Consumer Discretionary,0.868
UNVERIFIED,1,yoy-unpriced,3904.T,KAYAC Inc.,JP,Communication Services,0.868
UNVERIFIED,1,inflecting-positive,600599.SS,"Panda Financial Holding Corp., Ltd.",CN,Materials,0.866
UNVERIFIED,1,forensic,600269.SS,"Jiangxi Ganyue Expressway CO.,LTD.",CN,Industrials,0.863
UNVERIFIED,1,inflecting-positive,002758.SZ,"ZJAMP Group Co., Ltd.",CN,Health Care,0.861
UNVERIFIED,1,divergence,2712.TW,"FarGlory Hotel Co.,Ltd",TW,Consumer Discretionary,0.861
UNVERIFIED,1,new-reality,DLB,"Dolby Laboratories, Inc. Class A",US,Information Technology,0.861
UNVERIFIED,1,inflecting-positive,603639.SS,"Hailir Pesticides and Chemicals Group Co.,Ltd.",CN,Materials,0.859
UNVERIFIED,1,new-reality,ALRM,"Alarm.com Holdings, Inc.",US,Information Technology,0.857
UNVERIFIED,1,new-reality,PTC,PTC Inc.,US,Information Technology,0.855
UNVERIFIED,1,new-reality,PCTY,Paylocity Holding Corporation,US,Information Technology,0.849
UNVERIFIED,1,accel-unpriced,2548.TW,"Huaku Development Co., Ltd.",TW,Real Estate,0.847
UNVERIFIED,1,forensic,ELME,Elme Communities Common Stock,US,Real Estate,0.846
UNVERIFIED,1,new-reality,WING,Wingstop Inc.,US,Consumer Discretionary,0.846
UNVERIFIED,1,forensic,LRH.BK,Laguna Resorts & Hotels Public Company Limited,SEA,Consumer Discretionary,0.844
UNVERIFIED,1,new-reality,MEG,"Montrose Environmental Group, Inc.",US,Industrials,0.842
UNVERIFIED,1,new-reality,INTU,Intuit Inc.,US,Information Technology,0.841
