ticker,f_rev_g,f_rev_g_prev,f_rev_accel,f_eps_g,f_eps_g_prev,f_eps_accel,f_gp_accel,f_ebit_accel,f_ebitda_accel,growth_stability,rev_ttm_ttm_g,eps_ttm,rev_ttm_g,ni_ttm_g,buyback_yoy,buyback_yoy_dil,buyback_consistent,f_margin,f_margin_delta,i_eps_surprise,i_rev_surprise,i_sue,i_rev_confirm,i_pos_streak,last_earnings_date,days_since_last,last_surprise_pos,next_earnings_date,days_to_next,r_n_analysts,r_dispersion,s_float_shares,s_free_float_pct,ins_n_buys,ins_n_buyers,ins_buy_usd,ins_net_usd,ins_senior_buy,ins_offmkt_buys,ins_days_since_buy,F,I,R_gap,S_supply,BB,INS
ABR,-0.0304,1.0224,-1.0528,-1.7873,-0.731,-1.0563,-1.1867,-1.7079,-0.1145,0.4664,0.6905,0.151,0.553,-0.7301,0.0074,0.0871,0.25,0.6856,-0.0735,1.0,0.0754,1.1442,1.0,6,2026-07-31,50,True,2026-10-30,40.0,12.0,0.1192,184317809.0,95.8187,11,3,381689.95,180175.0,10,0,19.0,0.1277,0.8404,0.5813,0.6984,0.7747,0.9016
DEC,1.3285,1.4891,-0.1605,15.3966,1.9397,13.4569,4.8295,196.8815,3.4681,0.3582,0.7271,5.97,0.3656,-0.5526,-0.5317,-0.5707,0.0,0.5811,0.5742,-2.416,0.0566,-0.2509,0.0,0,2026-08-05,45,False,,,6.0,0.124,35993836.0,49.7678,0,0,0.0,0.0,0,0,,0.8083,0.2992,0.7292,0.3433,0.0419,0.0
OXIG.L,-0.0882,-0.1154,0.0272,0.2746,-0.4619,0.7365,0.0731,0.104,0.241,0.0474,0.012,1.3028,0.0095,-0.3211,0.0428,0.0181,0.5,0.183,0.0307,0.0289,0.0162,0.5921,1.0,1,2026-06-09,102,True,2026-11-10,51.0,,0.0907,53263222.0,96.8538,0,0,0.0,0.0,0,0,,0.6332,0.5946,,0.4385,0.7679,0.0
FPI,-0.0565,-0.0146,-0.0419,-0.5909,-0.6861,0.0952,0.1716,0.6879,-0.0942,0.0938,-0.0445,0.598,-0.0316,-0.6345,0.0451,0.1996,1.0,0.4611,0.1915,3.6667,0.0111,1.6116,1.0,8,2026-07-29,52,True,2026-11-04,45.0,15.0,0.0185,39848840.0,91.3321,1,1,19300.0,19300.0,1,0,86.0,0.5585,0.8362,0.3425,0.3665,0.9756,0.7696
PGY,0.1508,0.0576,0.0932,1.7183,2.1286,-0.4103,0.1135,0.255,-2.5119,0.623,0.1841,1.5,0.1779,,-0.0821,-0.2207,0.0,0.2308,0.0804,0.5213,0.0871,0.1478,1.0,1,2026-07-30,51,True,2026-11-09,50.0,13.0,0.0255,47960830.0,57.4892,1,1,250467.852,-2804658.7427,1,0,87.0,0.5588,0.6846,0.3977,0.4091,0.1169,0.7872
MPB,0.2516,0.0172,0.2344,3.555,-0.3665,3.9215,0.4475,5.7663,3.6483,0.6475,0.1602,3.11,0.1632,0.5474,-0.1961,-0.2105,0.0,0.2575,0.2075,0.0999,0.0353,1.1726,1.0,1,2026-07-22,59,True,2026-10-28,38.0,2.0,0.0102,20830947.0,82.1899,16,7,112157.425,112157.425,16,0,4.0,0.8997,0.6971,0.6295,0.2164,0.1042,0.9145
TREE,0.2531,0.3652,-0.1121,0.0803,,,-0.1146,,-1.7149,0.7883,0.2552,13.21,0.2529,,-0.039,-0.0456,0.0,0.0721,-0.0115,-0.0993,-0.0068,-0.2219,-1.0,0,2026-07-29,52,False,2026-10-29,39.0,23.0,0.0256,11722292.0,84.0127,0,0,0.0,0.0,0,0,,,0.2347,0.2853,0.1159,0.2281,0.0
ALRS,0.023,0.0267,-0.0038,0.0302,0.7252,-0.695,-0.1112,-0.7528,-0.8369,0.162,-0.0941,1.1,-0.1082,-0.2842,-0.0015,0.0099,0.5,0.2468,-0.0135,0.0444,0.0392,0.2244,1.0,7,2026-07-29,52,True,2026-10-29,39.0,5.0,0.0025,22972208.0,91.4186,2,1,61165.0,41386.39,2,0,18.0,0.2802,0.6368,0.5243,0.2366,0.6685,0.8429
APX.AX,0.0286,-0.0631,0.0918,,,,,,,0.1262,-0.176,-0.1064,-0.2122,,-0.2144,-0.2144,0.0,-0.028,0.0986,0.378,-0.1103,0.0106,0.0,2,2026-08-26,24,True,2027-03-01,162.0,,0.1843,246988677.0,91.9802,0,0,0.0,0.0,0,0,,,0.5049,,0.7467,0.1006,0.0
RIVN,0.2724,0.1137,0.1587,,,,,,,0.2838,0.2276,-2.58,0.1421,,-0.1143,-0.1143,0.0,-0.5042,0.3507,0.291,0.0916,1.2233,1.0,4,2026-07-30,51,True,2026-11-03,44.0,29.0,0.4889,836564498.0,68.9167,2,2,1000194859.8,997420384.2808,1,0,127.0,,0.8075,0.4949,0.8872,0.155,0.7989
