ticker,name,industry,sector,currency,mktCap,ev,rev,gm,opm,roe,roa,rev_g,earn_g,fcf,fcf_yield,ebitda,ev_ebitda,ev_ebit,pe,fpe,pb,ps,net_debt,nd_ebitda,insiders,div_yield,beta
0BNS.L,KESKO OYJ KESKO CORPORATION ORD,,,EUR,0,,12675999744,0.14494,0.031889997,0.16302,0.04358,0.071,0.074,364837504,,853900032,,,13.665113,,3.252258,,3710000096,4.344771000078848,0.40144002,,0.822
0BNT.IL,KESKO OYJ KESKO ORD SHS,Grocery Stores,Consumer Defensive,EUR,9332672512,11964572480.0,11925900288,0.14475,0.0624,0.23093,0.06034,-0.001,-0.161,235137504,0.025195087869809955,919500032,13.012041395992034,,14.914894,15.350366,3.3897486,0.782555,2631899968,2.8623163419313506,0.020280002,7.06,0.586707
0CXC.IL,STORA ENSO OYJ STORA ENSO SERIE,Paper & Paper Products,Basic Materials,EUR,8803554304,12000554240.0,10922999808,0.38231,0.07745,0.07872,0.026600001,-0.223,,181000000,0.02055987772095192,1367000064,8.77875177626912,,9.373364,8.0236,0.7147592,0.8059649,3196999936,2.3386977222555565,0.042680003,5.54,0.834988
0HAH.IL,FORTUM OYJ FORTUM ORD SHS,Utilities - Renewable,Utilities,EUR,18556389376,20549389568.0,8960000000,0.42678002,0.25,0.22027999,0.01117,-0.11,,-11726749696,-0.6319521248657808,2740000000,7.49977721459854,,18.162947,,2.3759053,2.0710256,1993000192,0.7273723328467153,0.53016,8.41,0.683346
0NV5.IL,UPM-KYMMENE OYJ UPM-KYMMENE ORD,Paper & Paper Products,Basic Materials,EUR,14384886784,17244886784.0,11996000256,0.18123,0.16254999,0.12066,0.06312,-0.002,-0.724,654625024,0.04550783289640662,2355000064,7.322669348343593,,9.984375,,1.2032765,1.1991403,2860000000,1.2144373342997923,0.03146,4.87,0.564553
ENUA.F,STORA ENSO OYJ                R,Packaging & Containers,Consumer Cyclical,EUR,7823110144,11425110336.0,9322000384,0.24608,0.04962,0.059860002,0.00606,-0.002,-0.714,-193624992,-0.024750385516239,621000000,18.397923246376813,,12.717949,,0.7499811,0.8392094,3602000192,5.80032237037037,0.52499,2.44,0.547
ENUN.F,STORA ENSO OYJ                R,Packaging & Containers,Consumer Cyclical,EUR,7809241088,11411241280.0,9322000384,0.24608,0.04962,0.059860002,0.00606,-0.002,-0.714,-193624992,-0.024794341705947853,621000000,18.375589822866345,,12.410257,,0.7318364,0.8377216,3602000192,5.80032237037037,0.0,2.47,0.547
ENUR.F,STORA ENSO OYJ                R,Packaging & Containers,Consumer Cyclical,EUR,7965062144,11567062336.0,9322000384,0.24608,0.04962,0.059860002,0.00606,-0.002,-0.714,-193624992,-0.02430928830176871,621000000,18.626509397745572,,12.948719,,0.7635896,0.854437,3602000192,5.80032237037037,0.042969998,2.52,0.547
FOJCF,Fortum Oyj,Utilities - Renewable,Utilities,USD,21336948736,22823948544.0,5338999808,0.40438,0.26104,0.09157,0.03642,0.213,0.16,1305374976,0.061179083858300363,1284000000,17.775660859813083,,22.224298,,2.23687,3.9964318,1486999808,1.15809953894081,0.5298,3.66,0.119
FOJCY,Fortum Oyj,Utilities - Renewable,Utilities,USD,21668935680,23155935488.0,5338999808,0.40438,0.26104,0.09157,0.03642,0.213,0.16,1305374976,0.06024176707510537,1284000000,18.03421766978193,,23.0,4.235805,2.2785048,4.0586133,1486999808,1.15809953894081,0.0,3.61,0.119
FORTUM.HE,Fortum Corporation,Utilities - Renewable,Utilities,EUR,18259331072,19746330880.0,5338999808,0.40438,0.26104,0.09157,0.03642,0.213,0.16,1305374976,0.07149084327638615,1284000000,15.378762367601245,,22.119566,21.922974,2.2284276,3.419991,1486999808,1.15809953894081,0.5298,3.58,0.119
FOT.F,FORTUM OYJ                    R,Utilities - Renewable,Utilities,EUR,18456729600,19943729408.0,5338999808,0.40438,0.26104,0.09157,0.03642,0.213,0.16,1305374976,0.07072623396942436,1284000000,15.53249953894081,,22.358694,18.04386,2.2525187,3.456964,1486999808,1.15809953894081,0.5298,3.62,0.119
KEK.F,Kesko Oyj                     R,Grocery Stores,Consumer Defensive,EUR,8197883904,11907884000.0,12675999744,0.14494,0.031889997,0.16302,0.04358,0.071,0.074,364837504,0.04450386322523847,853900032,13.945290495082215,,19.980583,,3.260973,0.6467248,3710000096,4.344771000078848,0.02181,4.34,0.822
KESKOA.HE,Kesko Corporation A,Grocery Stores,Consumer Defensive,EUR,8232701952,11942702048.0,12675999744,0.14494,0.031889997,0.16302,0.04358,0.071,0.074,364837504,0.044315645838650664,853900032,13.986065816191466,,19.951456,,3.2562191,0.6494716,3710000096,4.344771000078848,0.40144002,4.42,0.822
KESKOB.HE,Kesko Corporation B,Grocery Stores,Consumer Defensive,EUR,8373154816,12083154912.0,12675999744,0.14494,0.031889997,0.16302,0.04358,0.071,0.074,364837504,0.04357228691183918,853900032,14.150549782389515,,20.407768,16.148487,3.3306925,0.66055185,3710000096,4.344771000078848,0.02181,4.38,0.822
KKOYY,Kesko OY,Grocery Stores,Consumer Defensive,USD,9520379904,13230380000.0,12675999744,0.14494,0.031889997,0.16302,0.04358,0.071,0.074,364837504,0.038321737964124,853900032,15.49406195595505,,19.916666,,3.2183824,0.75105554,3710000096,4.344771000078848,0.0,4.39,0.822
NBNKF,Nordea Bank Abp,Banks - Regional,Financial Services,USD,63734693888,237893697536.0,11580000256,0.0,0.47864,0.15729,0.00713,0.014,-0.086,0,,0,,,11.886076,,1.8219056,5.5038595,174159003648,,0.01739,5.92,0.622
NDA-DK.CO,Nordea Bank Abp,Banks - Regional,Financial Services,DKK,419467952128,593626955776.0,11580000256,0.0,0.47864,0.15729,0.00713,0.014,-0.086,0,,0,,,12.153392,12.213439,1.8670418,36.223484,174159003648,,0.01739,5.8,0.622
NDA-FI.HE,Nordea Bank Abp,Banks - Regional,Financial Services,EUR,56013901824,230172905472.0,11580000256,0.0,0.47864,0.15729,0.00713,0.014,-0.086,0,,0,,,12.136028,10.603033,1.8630769,4.8371243,174159003648,,0.01739,5.81,0.622
NDAN.MX,NORDEA BANK ABP,Banks - Regional,Financial Services,MXN,932976787456,1107135791104.0,11580000256,0.0,0.47864,0.15729,0.00713,0.014,-0.086,0,,0,,,9.240672,,1.5418915,80.56794,174159003648,,0.01739,,0.622
NEF.F,Neste Oyj                     R,Oil & Gas Refining & Marketing,Energy,EUR,20851191808,24416191872.0,19161999360,0.16413,0.13306,0.095869996,0.043,0.029,,1188375040,0.05699314700774345,1826000000,13.371408473165388,,29.182795,,2.708853,1.0881532,3565000064,1.9523549090909091,0.45824,0.72,0.594
NEFA.F,Neste Oyj                     R,Oil & Gas Refining & Marketing,Energy,EUR,21204602880,24769602944.0,19161999360,0.16413,0.13306,0.095869996,0.043,0.029,,1188375040,0.056043258472002096,1826000000,13.564952324205915,,30.0,,2.754766,1.1065966,3565000064,1.9523549090909091,0.0,0.73,0.594
NESTE.HE,Neste Corporation,Oil & Gas Refining & Marketing,Energy,EUR,20981798912,24546798976.0,19161999360,0.16413,0.13306,0.095869996,0.043,0.029,,1188375040,0.056638377146982354,1826000000,13.442934817086527,,29.365591,13.552206,2.7258208,1.0949692,3565000064,1.9523549090909091,0.45824,0.72,0.594
NOA3.DE,Nokia Oyj                     R,Communication Equipment,Technology,EUR,75224645632,72719645440.0,19996000256,0.45359,0.05292,0.037249997,0.027560001,0.024,,1597124992,0.021231405991769738,2536999936,28.66363708099045,,96.25,,3.5582256,3.7619846,-2505000192,-0.9873867777661623,0.06509,1.01,0.765
NOA3.F,Nokia Oyj                     R,Communication Equipment,Technology,EUR,75029258240,72524258048.0,19996000256,0.45359,0.05292,0.037249997,0.027560001,0.024,,1597124992,0.021286695743295142,2536999936,28.586621946213562,,96.0,,3.5489833,3.7522132,-2505000192,-0.9873867777661623,0.06509,0.99,0.765
NOAA.F,Nokia Oyj                     R,Communication Equipment,Technology,EUR,78713733120,76208732928.0,19996000256,0.45359,0.05292,0.037249997,0.027560001,0.024,,1597124992,0.02029029660637699,2536999936,30.03891795447014,,100.71429,37.105263,3.723264,3.9364738,-2505000192,-0.9873867777661623,0.029749999,1.01,0.765
