ticker,name,industry,sector,currency,mktCap,ev,rev,gm,opm,roe,roa,rev_g,earn_g,fcf,fcf_yield,ebitda,ev_ebitda,ev_ebit,pe,fpe,pb,ps,net_debt,nd_ebitda,insiders,div_yield,beta
ALLT.TA,ALLOT LTD,Software - Infrastructure,Technology,ILA,1017600512,929257512,105268000.0,0.71480006,0.05782,0.072340004,0.02219,0.141,,16480000,0.01619496040505137,9175000,101.28147269754768,,54.73684,2080.0,8.794926,9.66676,-88343000,-9.62866485013624,0.01287,,1.487
AUDC.TA,AUDIOCODES,Communication Equipment,Technology,ILA,674266240,646055240,247372992.0,0.65336,0.054130003,0.04054,0.02703,0.029,-0.462,10267750,0.01522803514528623,18120000,35.65426269315673,,37.842857,32.30488,4.549983,2.7257068,-28211000,-1.5568984547461369,0.28587,4.69,0.973
BEZQ.TA,BEZEQ ISRAEL TELCM,Telecom Services,Communication Services,ILA,19947976704,26450977024,8636000256.0,0.78416,0.19502,0.44351003,0.081870005,-0.03,-0.273,1715750016,0.08601123018436026,3225999872,8.199311244114023,,5.6484375,15.717391,6.342105,2.3098629,6503000320,2.0158092306334723,2.0000001e-05,5.45,0.17
BIOV.TA,BIO VIEW,Medical Devices,Healthcare,ILA,13898632,9472632,19930000.0,0.47757,-0.26224002,-0.94755995,-0.18107,0.238,,1072250,0.0771478804532705,-7346000,-1.2894952355023142,,,,1.4224751,0.6973724,-4426000,0.6025047644976859,0.47442,,-0.082
BLRN.TA,BLADERANGER LTD,Computer Hardware,Technology,ILA,18051872,-53937128,130000.0,0.54615,1247.6078,1.75763,1.26522,-0.386,,52612752,2.9145316341706833,80985000,-0.666013805025622,,,,0.29792148,138.86055,-71989000,-0.8889177008087917,0.33198002,,0.469
BLRX.TA,BIOLINE RX LTD,Biotechnology,Healthcare,ILA,41773032,33490032,1402000.0,0.79244006,-6.29769,-0.46723,-0.16554001,0.871,,-5490125,-0.131427496093652,-10750000,-3.1153518139534886,,Infinity,,2.6666665,29.795315,-8283000,0.7705116279069767,0.028619999,,0.619
BONS.TA,BONUS BIOGROUP,Biotechnology,Healthcare,ILA,397094592,405764592,,0.0,0.0,-37.8809,-0.76447,,,-6318500,-0.015911825865409922,-22217000,-18.263698609173154,,,,-68.0,,8670000,-0.39024170680109826,0.45049,,0.779
BVC.TA,BATM ADVANCED COMM,Medical Instruments & Supplies,Healthcare,ILA,207448592,194414592,123198000.0,0.3252,0.02744,-0.16233999,0.0088,0.075,,4360625,0.02102026799969797,4034000,48.19399900842836,,,,3.1606216,1.6838633,-13034000,-3.2310361923648983,0.05564,,0.75
BWAY.TA,BRAINSWAY LTD,Medical Devices,Healthcare,ILA,1695868800,1643938800,56220000.0,0.75509,0.1291,0.12552,0.033099998,0.346,2.0,3029625,0.0017864736941914374,6616000,248.4792623941959,,65.01538,86.244896,21.278954,30.164867,-51930000,-7.8491535671100365,0.15132,,0.151
CAMT.TA,CAMTEK,Semiconductor Equipment & Materials,Technology,ILA,27074150400,26891700416,499092992.0,0.50969005,0.22412,0.07565,0.07083,0.025,-0.1,0,,138529248,194.12290764763264,,207.04227,190.9091,39.668083,54.246704,-182449984,-1.3170502737443577,0.37966,,1.558
CANF.TA,CAN FITE BIOPHARMA,Biotechnology,Healthcare,ILA,19111514,10642514,405000.0,1.0,-24.8867,-1.78237,-0.66746,-0.433,,-4985750,-0.2608767677955812,-9926000,-1.0721855732419907,,,-1.0825243,2.088015,47.188923,-8469000,0.8532137819867016,2.0000001e-05,,0.011
CEL.TA,CELLCOM ISRAEL LTD,Telecom Services,Communication Services,ILA,5257873408,6871873344,4144999936.0,0.35584998,0.11649,0.22027001,0.04033,-0.089,0.2,723625024,0.13762693922964833,922000000,7.4532248850325375,,9.227811,27.848215,1.9249523,1.2684858,1613999936,1.750542229934924,0.0,7.36,0.572
