ticker,name,industry,sector,currency,mktCap,ev,rev,gm,opm,roe,roa,rev_g,earn_g,fcf,fcf_yield,ebitda,ev_ebitda,ev_ebit,pe,fpe,pb,ps,net_debt,nd_ebitda,insiders,div_yield,beta
AALB.AS,AALBERTS N.V.,Specialty Industrial Machinery,Industrials,EUR,4142966016,5118666016.0,3090800128.0,0.62883,0.09551,0.05954,0.04756,0.003,-0.05,122337504,0.02952896633173831,499000000,10.25784772745491,,28.499998,12.360955,1.7274266,1.3404186,975700000,1.955310621242485,0.1225,2.97,1.279
ACOMO.AS,ACOMO N.V.,Food Distribution,Consumer Defensive,EUR,762850112,1139432096.0,1463634048.0,0.16308,0.07512,0.16928,0.078260005,0.015,0.138,-67019248,-0.08785375651881663,130629000,8.722658031524393,,10.46748,11.029869,1.7571994,0.52120274,376581984,2.882836001194222,0.21313,5.44,0.264
AGN.AS,AEGON,Insurance - Diversified,Financial Services,EUR,11301590016,16104590144.0,12193000448.0,0.43976003,0.00271,0.10421,0.0014399999,-0.137,-0.467,-204500000,-0.018094799024781755,0,,,12.453333,7.8707314,1.5004016,0.9268916,4803000128,,0.17051001,5.62,0.632
AJAX.AS,AJAX,Entertainment,Communication Services,EUR,157299984,217353984.0,195386000.0,0.90039,0.21574,-0.02419,-0.01846,0.23,,-211750,-0.001346153983079871,30199000,7.1973901122553725,,,-47.666664,0.83195966,0.80507296,60054000,1.9886088943342495,0.77163005,,
ALFEN.AS,ALFEN,Electrical Equipment & Parts,Industrials,EUR,384850752,405550752.0,435624000.0,0.28669,0.018960001,-0.00124,0.010679999,-0.074,,21274000,0.05527857199042189,17824000,22.75307181328546,,,52.446003,2.5192144,0.8834471,20700000,1.1613554757630162,0.00501,,1.497
ALX.AS,ALUMEXX N.V.,Internet Retail,Consumer Cyclical,EUR,20783734,45140734.0,39869000.0,0.52866,0.03192,-0.12187,0.01784,0.035,,3104750,0.14938364780842556,2857000,15.800046902345118,,,,5.7377048,0.5213006,24357000,8.52537626881344,0.67617,,0.329
AMG.AS,AMG Critical Materials N.V.,Other Industrial Metals & Mining,Basic Materials,EUR,1375046912,2030961952.0,1766382976.0,0.19856001,0.08394,-0.01287,0.05211,0.15,1.4,-61762376,-0.044916559181364134,249372000,8.144306305439263,,,14.205825,2.5953472,0.77845347,655915040,2.6302673916879202,0.07069,1.04,1.024
ARCAD.AS,ARCADIS,Engineering & Construction,Industrials,EUR,2956261888,3765261888.0,4874999808.0,0.16985,0.06565,0.18383,0.0551,-0.025,-0.218,348375008,0.11784308061952053,393000000,9.580819053435114,,14.918455,9.660412,2.889683,0.6064127,809000000,2.05852417302799,0.23454,3.02,0.724
ASRNL.AS,ASR NEDERLAND,Insurance - Diversified,Financial Services,EUR,13587796992,-54444203008.0,17123999744.0,0.52002996,0.34942,0.05647,0.028099999,0.095,-0.594,990000000,0.07285949301294949,6451999744,-8.438345500343528,,30.444445,10.53021,1.33042,0.79349434,-68032000000,-10.544327758733402,0.00021,5.19,0.514
AVTX.AS,AVANTIUM,Specialty Chemicals,Basic Materials,EUR,232658016,329765008.0,14593000.0,-2.3618898,-2.4907,-0.21936001,-0.07794,-0.345,,-41822376,-0.17975901591114746,-38800000,-8.499098144329897,,,-9.460553,1.5253676,15.943125,97106992,-2.502757525773196,0.12868,,1.118
BAMNB.AS,Koninklijke BAM Groep N.V.,Engineering & Construction,Industrials,EUR,2376472832,1873684832.0,7039900160.0,0.2762,0.03445,0.22760999,0.034879997,,,257268128,0.10825628828396386,277140992,6.760763965223881,,11.437499,9.352576,2.4563758,0.33757195,-502788000,-1.8141957145047674,0.00119,3.28,0.671
BESI.AS,BE Semiconductor Industries N.V,Semiconductor Equipment & Materials,Technology,EUR,21673144320,21580819296.0,632065024.0,0.63273,0.34577,0.3127,0.10138,0.283,0.635,151480624,0.006989323826917607,208790000,103.36136450979453,,142.5,46.13688,47.450577,34.28942,-92325024,-0.4421908328942957,0.10898,0.58,1.335
BEVER.AS,BEVER HOLDING Gewone aandelen,Real Estate - Development,Real Estate,EUR,42643872,15541872.0,2000.0,0.0,-781.5,-0.02412,-0.0125899995,0.0,,-4308000,-0.10102272138890202,-1774000,-8.760919954904171,,,,0.57431656,21321.936,-27102000,15.277339346110486,0.90189004,,0.038
BFIT.AS,BASIC-FIT,Leisure,Consumer Cyclical,EUR,1954733952,5004533952.0,1420499968.0,0.79803,0.12177,0.03537,0.02465,0.179,4.94,252024992,0.1289305850252096,376700000,13.285197642686487,,135.90909,14.033606,4.8594184,1.3760887,3049800000,8.09609769046987,0.12825,,0.903
BRNL.AS,BRUNEL INTERNAT,Staffing & Employment Services,Industrials,EUR,390079808,413177808.0,1217656064.0,0.17913,0.01437,0.015470001,0.01921,-0.102,-0.828,42250424,0.10831225593712351,24116000,17.13293282468071,,129.16667,11.446041,1.4521267,0.32035303,23098000,0.9577873610880743,0.65429,0.77,0.455
CMCOM.AS,CM.COM,Software - Application,Technology,EUR,228215872,282999872.0,259394000.0,0.31342,-0.00329,-0.22187,-0.01101,-0.035,,-4895250,-0.02145008564522629,929000,304.6284951560818,,,849.3827,8.35966,0.87980396,54784000,58.97093649085038,0.58284,,1.13
CRBN.AS,CORBION,Specialty Chemicals,Basic Materials,EUR,1135822976,1537722976.0,1267399936.0,0.26408002,0.08733,0.09874,0.04995,-0.045,0.375,-13400000,-0.011797613081565274,187500000,8.201189205333334,,15.519685,12.532825,1.5295669,0.89618355,401900000,2.143466666666667,0.00122,3.25,0.914
CTAC.AS,CTAC,Information Technology Services,Technology,EUR,43013028,46438028.0,125709000.0,0.1458,0.04709,0.11287,0.04375,0.008,-0.21,-1229750,-0.028590175051149618,6520000,7.122396932515337,,12.16,9.417012,1.3069648,0.34216347,3425000,0.5253067484662577,0.2369,3.62,0.447
CTPNV.AS,CTP NV,Real Estate - Development,Real Estate,EUR,7721915392,16493115328.0,1003100032.0,0.79842,0.6717,0.13492,0.02178,0.139,0.073,64400000,0.008339899717979195,696700032,23.673194445898922,,6.9519653,14.357863,0.8858224,7.698051,8771199936,12.589636189366502,0.73303,4.02,0.99
EAS2P.AS,EASE2PAY NV,Software - Infrastructure,Technology,EUR,9134380,5439380.0,3896000.0,0.67274004,0.049099997,0.04321,-0.00599,0.401,,1002625,0.10976388107348282,371000,14.661401617250673,,38.800003,,1.94,2.3445535,-3695000,-9.959568733153638,0.66006,,0.279
ECMPA.AS,EUROCOMMERCIAL PROPERTIES,REIT - Retail,Real Estate,EUR,1561099008,3096928960.0,285963008.0,0.71028,0.68894,0.0592,0.0294,0.029,0.045,70246128,0.04499786857849313,191147008,16.201817608361413,,12.359307,11.196473,0.718474,5.459094,1535829952,8.034810317303005,0.21332,6.41,0.808
ENVI.AS,ENVIPCO,Pollution & Treatment Controls,Industrials,EUR,302033024,267644024.0,90351000.0,0.33344,-0.043909997,-0.12781,-0.03249,-0.27,,-4957000,-0.016412112603951548,1227000,218.1287889160554,,,5.2297306,2.9294875,3.3428853,-34389000,-28.026894865525673,0.31869,,0.87
