ticker,name,industry,sector,currency,mktCap,ev,rev,gm,opm,roe,roa,rev_g,earn_g,fcf,fcf_yield,ebitda,ev_ebitda,ev_ebit,pe,fpe,pb,ps,net_debt,nd_ebitda,insiders,div_yield,beta
FRGT,"Freight Technologies, Inc.",Software - Application,Technology,USD,2259893,5349357.0,13062534.0,-0.22051,-0.46209,-3.38277,-0.40304002,-0.054,,-4740544,-2.097685155890124,-5444696,-0.982489564155648,,,-1.0972222,1.2312968,0.17300572,3089464,-0.56742635401499,0.04163,,
FRME,First Merchants Corporation,Banks - Regional,Financial Services,USD,2529732864,3900481792.0,637811008.0,0.0,0.22584999,0.079450004,0.01006,-0.025,-0.521,0,,0,,,11.840708,8.812294,0.9477263,3.9662735,1370748928,,0.020610001,3.69,0.867
FRMEP,First Merchants Corporation - D,Banks - Regional,Financial Services,USD,0,,637811008.0,0.0,0.22584999,0.079450004,0.01006,-0.025,-0.521,0,,0,,,6.587927,,0.59262407,,1370748928,,0.0,7.47,0.867
FRMI,Fermi Inc.,REIT - Specialty,Real Estate,USD,3812693760,4070202752.0,,0.0,0.0,,,,,0,,0,,,,16.384909,3.5135136,,257508992,,0.75171995,,
FRMM,"Forum Markets, Incorporated",Software - Application,Technology,USD,66025124,27224124.0,9406000.0,1.0,-1.6205001,-5.89752,-1.3460801,,,38586696,0.5844244381881055,-235599296,-0.11555265428297375,,,4.8817205,0.5744654,7.019469,-38801000,0.16469064491601876,0.6386,,1.534
FROG,JFrog Ltd.,Software - Application,Technology,USD,8961648640,8236851608.0,563409984.0,0.77481,-0.07378,-0.071440004,-0.03734,0.258,,169905120,0.018959136518880527,-52097000,-158.10606384244775,,,65.92477,9.702334,15.906088,-724797032,13.91245238689368,0.11391,,1.021
FRPH,"FRP Holdings, Inc.",Real Estate Services,Real Estate,USD,433823328,540769328.0,33445000.0,0.63579,-0.26357,0.00089,-0.00168,-0.036,,11305875,0.026061012099377008,9717000,55.65188103324071,,452.59998,53.88095,1.0131625,12.971246,106946000,11.006071832870228,0.40168998,,0.489
FRPT,"Freshpet, Inc.",Packaged Foods,Consumer Defensive,USD,2534785280,2647442304.0,1136409984.0,0.41050997,0.0149300005,0.17334,0.03413,0.131,,14224375,0.005611668614392458,185658000,14.259780370358401,,13.538058,27.090763,2.0084107,2.23052,112657024,0.6067986512835428,0.01687,,1.73
FRSH,Freshworks Inc.,Software - Application,Technology,USD,2510022400,1769580408.0,871169024.0,0.84968,-0.03525,0.1732,0.0061799996,0.165,,263742624,0.10507580490118336,34643000,51.080460930058024,,14.885245,11.309005,2.484948,2.8812118,-740441992,-21.37349513610253,0.07387,,0.834
FRST,Primis Financial Corp.,Banks - Regional,Financial Services,USD,354983776,573335776.0,198380992.0,0.0,0.25100002,0.1149,0.0116,-0.227,-0.676,0,,0,,,7.6631017,7.4765086,0.83096546,1.7894042,218352000,,0.03912,2.8,0.757
