sym,buy_txns,buyers,buy_shares,buy_value,last_buy
IMVT,2,1,33511676,777233516,2025-12-12
MLYS,7,4,4889260,104409818,2026-03-30
BBUC,109,1,1862663,61954814,2026-03-24
FBYD,1,1,1745906,20427100,2024-06-14
TBCH,5,3,721962,10415168,2025-08-14
AISP,9,3,300000,952743,2026-03-20
QSI,6,5,879890,799056,2026-03-05
FRD,27,8,50500,777302,2026-03-18
ASPI,4,4,222825,728254,2024-11-29
IMRX,20,9,201446,705447,2026-01-16
LTRX,11,6,215361,554809,2025-05-21
UMAC,4,3,166773,254073,2024-10-30
SPCE,1,1,20000,49780,2026-05-19
QBTS,1,1,82,1795,2025-11-18
SPAI,0,0,0,0,
SDGR,0,0,0,0,
DUOT,0,0,0,0,
EDIT,0,0,0,0,
BBAI,0,0,0,0,
RGTI,0,0,0,0,
SPRO,0,0,0,0,
