symbol,name,region,sector,verdict,profit,type,cpg,revenue_growth,ebitda_growth,price_response,surprise_robust,marketCap,asym
051500.KQ,CJ Freshway Corporation,KR,Consumer Staples,UNVERIFIED,profitable,cyclical?,0.16761921155767598,0.07947910653798762,0.18464470577318304,0.38765117759388923,,268891422720.0,0.8676342015664241
CRPG5.SA,Tronox Pigmentos do Brasil S.A.,LATAM,Materials,UNVERIFIED,profitable,cyclical?,0.020377414945460467,0.19993161368997092,-10.770313757039421,0.1547314578005115,,371439968.0,0.8672348931990382
DOV.MI,doValue S.p.A.,EU,Financials,UNVERIFIED,profitable,growth,0.1645530988593156,0.2023137149585803,0.41178197475291123,0.31900604432505036,-50.0,436199744.0,0.8570639121679273
MTY.TO,MTY Food Group Inc.,CA,Consumer Discretionary,UNVERIFIED,profitable,growth,0.14778,0.02635813605334225,0.6687028256241532,0.17870722433460076,15.510000000000002,770895872.0,0.8362822471694202
002612.SZ,"Lancy Co., Ltd.",CN,Consumer Discretionary,REJECT,profitable,growth,0.23198,0.028475836258652576,1.1998086881499184,0.17113702623906704,,4924417024.0,0.8247540956577186
ABDA.JK,PT Asuransi Bina Dana Arta Tbk,SEA,Financials,UNVERIFIED,rev-only/loss,growth,0.1975,0.12393015320180378,,0.476513098464318,,2110742593536.0,0.7942960938266329
300552.SZ,"Beijing Wanji Technology Co., Ltd.",CN,Information Technology,UNVERIFIED,rev-only/loss,growth,0.22145009791659934,0.17608864873397145,,0.31865889212827986,,4650564608.0,0.7773692691617697
ESPA3.SA,MPM Corporeos S.A.,LATAM,Consumer Discretionary,UNVERIFIED,profitable,growth,0.23839321253420043,0.06138646359239086,0.15998777647466933,0.16624040920716113,,291945248.0,0.761121638602266
002454.SZ,"Songz Automobile Air Conditioning Co., Ltd.",CN,Consumer Discretionary,UNVERIFIED,profitable,growth,0.11857905811303487,0.12582900483922832,0.46745184927309547,0.38454810495626823,,4237135104.0,0.7470453620080841
NXL.AX,Nuix Limited,ANZ,Information Technology,UNVERIFIED,profitable,growth,0.1301,0.2090921546597977,0.6143897847262012,0.11926605504587157,,436990176.0,0.7462668031887246
CAG,"Conagra Brands, Inc.",US,Consumer Staples,UNVERIFIED,profitable,cyclical?,0.20100231091598483,-0.03635413122671338,0.39969689718433443,0.23977777777777778,3.6025000125,6616785920.0,0.7432078060479788
9025.T,"Konoike Transport Co., Ltd.",JP,Industrials,UNVERIFIED,profitable,growth,0.24859524601063845,0.09509600703427301,0.1747821034282393,0.15748031496062992,,147723124736.0,0.7151058683834235
HAPV3.SA,Hapvida Participacoes e Investimentos S.A.,LATAM,Health Care,SPECULATIVE,profitable,growth,0.23954755623994797,0.0920826494539213,0.22304548140111558,0.020460358056265986,,5035932160.0,0.7089893667480507
AMPL,Amplitude Inc. Class A Common Stock,US,Information Technology,UNVERIFIED,rev-only/loss,growth,0.19962379783644368,0.146829639926221,,0.20666666666666667,1.1325000000000003,1217444736.0,0.7048677871797103
RAIL3.SA,Rumo S.A.,LATAM,Industrials,UNVERIFIED,profitable,growth,0.21165796241200058,-0.006358390254462609,0.30587084587907465,0.19820971867007672,,26647822336.0,0.6956481167646326
300771.SZ,"Shenzhen Zhilai Sci and Tech Co., Ltd.",CN,Industrials,UNVERIFIED,profitable,growth,0.23882,0.3300323721695806,0.5415563385744102,0.39620991253644317,,2524800000.0,0.685139623924752
VEL,"Velocity Financial, Inc.",US,Financials,UNVERIFIED,rev-only/loss,growth,0.052965738526476125,0.47128277060693224,,0.44022222222222224,24.271250375,677938688.0,0.6824089154381574
300875.SZ,"Tianjin Jieqiang Power Equipment Co.,Ltd.",CN,Industrials,UNVERIFIED,rev-only/loss,growth,0.1526689411379281,1.2961730809607213,,0.05510204081632653,,3028986368.0,0.6782035274558623
CYB.TO,Cymbria Corporation,CA,Financials,UNVERIFIED,rev-only/loss,growth,0.16073900543615915,0.3727299078730135,,0.37832699619771865,,1957728128.0,0.6736514228488049
SDGR,"Schrodinger, Inc.",US,Health Care,UNVERIFIED,rev-only/loss,growth,0.16216418503078417,0.23287189395728025,,0.24177777777777779,-9.384999937500002,1232144640.0,0.6711264023761757
EQMA3B.SA,Equatorial Maranhao Distribuidora de Energia S.A.,LATAM,Utilities,UNVERIFIED,profitable,growth,0.19280774406819012,0.1231226875670468,0.163945697060905,0.45524296675191817,,4925517312.0,0.6610115758435414
7034.T,"Prored Partners CO.,LTD.",JP,Industrials,UNVERIFIED,profitable,growth,0.014711031863127343,1.5871865929738953,2.7781830337025353,0.01687289088863892,,3749536768.0,0.6494414150817928
CRPG6.SA,Tronox Pigmentos do Brasil S.A.,LATAM,Materials,UNVERIFIED,profitable,cyclical?,0.020568040506970236,0.19993161368997092,-10.770313757039421,0.1636828644501279,,380145600.0,0.6491222236999601
1766.T,Token Corporation,JP,Real Estate,UNVERIFIED,profitable,growth,0.02078,0.07571134335189567,0.6215120914164232,0.25534308211473566,,144090726400.0,0.6490424258545019
600733.SS,"BAIC BluePark New Energy Technology Co., Ltd.",CN,Consumer Discretionary,UNVERIFIED,rev-only/loss,growth,0.021495055236960724,0.9253281328238534,,0.05714285714285714,,30753353728.0,0.6489626280090438
DUB.AX,Dubber Corporation Limited,ANZ,Information Technology,UNVERIFIED,rev-only/loss,growth,0.022469527755895752,0.2736832028206593,,0.15095913261050875,,29829552.0,0.6489227290863147
600540.SS,"Xinjiang Sayram Modern Agriculture Co., Ltd",CN,Consumer Staples,UNVERIFIED,rev-only/loss,cyclical?,0.025761537523628277,0.9374322305074787,,0.2230320699708455,,1965054208.0,0.6487631333953983
