ticker,monster,F,I,T,R_gap,S_supply,f_rev_g,f_rev_accel,f_eps_accel,f_margin_delta,i_eps_surprise,i_pos_streak,r_n_analysts,r_dispersion,s_free_float_pct,last_surprise_pos,days_since_last,days_to_next,master,V,v_bucket,adv_usd_M,name,sector
TER,100.0,0.8453,0.7974,0.464,0.8035,0.0505,1.039,0.1686,0.7453,0.1902,0.1818,11,31.0,0.4161,99.7908,True,53,37,32.5028,,,2359.87,,
603986.SS,99.0,0.9838,0.8216,0.695,,0.303,2.2918,1.098,9.602,0.3852,0.634,3,,0.8913,88.461,True,32,36,49.4965,28.8248,,4254.88,GigaDevice Semiconductor Inc.,Technology
MPWR,98.0,0.7514,0.7403,0.243,0.823,0.0101,0.4756,0.2142,0.4798,0.062,0.1073,11,25.0,0.2915,96.3925,True,51,39,34.4511,,,1731.61,,
000660.KS,97.0,0.9612,0.7147,0.501,,0.2929,2.5678,0.5871,8.4481,0.3489,0.8463,10,,0.4192,79.7743,True,52,37,41.769,32.8931,,9821.65,SK hynix Inc.,Technology
GS,96.0,0.7954,0.8972,0.394,0.462,0.1414,0.2291,0.6831,0.592,0.1413,0.4499,11,55.0,0.1496,101.1689,True,67,23,30.9321,,,2622.8,"The Goldman Sachs Group, Inc.",Financial Serv
STX,94.9,0.7112,0.7202,0.397,0.6514,0.0808,0.4849,0.0441,0.4516,0.1928,0.1196,11,52.0,0.3552,99.7337,True,53,38,35.0272,33.9514,,4533.58,Seagate Technology Holdings plc,Technology
MU,93.9,0.9808,0.8259,0.507,0.5079,0.5556,3.4572,1.4943,6.2749,0.5705,0.1969,11,70.0,0.603,99.574,True,87,10,28.7034,,,60946.96,"Micron Technology, Inc.",Technology
BE,92.9,,0.8906,0.494,0.8117,0.1212,1.6552,0.3515,,0.0859,1.0,7,32.0,0.4853,93.6937,True,53,37,33.5898,,,3971.41,Bloom Energy Corporation,Industrials
002384.SZ,91.9,0.8651,0.6573,0.627,,0.6364,0.7551,0.2278,3.6783,0.0839,0.2911,2,,0.4445,87.6616,True,29,37,52.7564,29.4634,,2664.98,Suzhou Dongshan Precision Manufact,Technology
LITE,90.9,,0.6166,0.381,0.8392,0.0202,1.0934,0.1922,,0.2753,0.0875,11,25.0,0.333,91.4737,True,39,44,23.2923,,,5074.38,,
WDC,89.9,0.6779,0.5739,0.419,0.5311,0.1818,0.4384,-0.0163,6.3155,0.1561,0.0755,11,61.0,0.326,99.0644,True,45,39,36.4742,,,6733.65,Western Digital Corporation,Technology
ASML,88.9,0.5183,0.5591,0.723,0.6347,0.202,0.2125,0.0801,0.1033,0.0242,0.0877,2,45.0,0.2587,99.9576,True,66,24,45.5071,39.5688,,4312.24,ASML Holding N.V.,Technology
