rk,ticker,region,name,country,sector,mcap,adv$/d,ccy,score,asset_ma,rel_ma
1,OXINF,fd-eu-small,Oxford Instruments plc,United Kingd,Technology,2418M,0.0M,USD,2.0,0.76,0.64
2,SCA1.F,fd-eu-large,Svenska Cellulosa Aktiebolaget SCA ,Sweden,Basic Materials,6462M,0.0M,EUR,2.0,1.0,0.53
3,68H.F,fd-eu-micro,Cy4gate S.p.A.,Italy,Technology,203M,0.0M,EUR,2.0,0.88,0.68
4,SSHPF,fd-eu-small,Vow ASA,Norway,Industrials,77M,0.0M,USD,1.99,0.78,0.58
5,AMVMF,fd-eu-small,AMG Critical Materials N.V.,Netherlands,Basic Materials,1752M,0.0M,USD,1.99,0.7,0.7
6,IDRSF,fd-eu-mid,Idorsia Ltd,Switzerland,Healthcare,1466M,0.0M,USD,1.98,0.72,0.65
7,SPHDF,fd-eu-micro,Santhera Pharmaceuticals Holding AG,Switzerland,Healthcare,338M,0.0M,USD,1.97,0.82,0.53
8,SMO1.F,fd-jp-large,"Sumitomo Electric Industries, Ltd.",Japan,Consumer Cyclic,54984M,0.0M,EUR,1.92,0.86,0.74
9,6FO.F,fd-eu-nano,Goodtech ASA,Norway,Industrials,35M,0.0M,EUR,1.84,0.78,0.76
10,NH4.F,fd-jp-small,Nichicon Corporation,Japan,Technology,1598M,0.0M,EUR,1.81,0.63,0.7
11,2GV.F,fd-eu-micro,Tesmec S.p.A.,Italy,Industrials,151M,0.0M,EUR,1.8,0.7,0.95
12,AAM.SW,fd-eu-large,Anglo American plc,United Kingd,Basic Materials,46288M,0.0M,CHF,1.8,0.68,0.57
13,OUTA.MU,fd-eu-mid,Outokumpu Oyj,,,,0.0M,EUR,1.78,0.8,0.76
14,8P7.F,fd-eu-nano,Games Operators S.A.,Poland,Communication S,18M,,EUR,1.76,1.0,0.45
15,AFP.AX,fd-au,AFT Pharmaceuticals Limited,New Zealand,Healthcare,341M,0.0M,AUD,1.76,0.9,0.52
16,BI5.F,fd-jp-mid,"Brother Industries, Ltd.",Japan,Industrials,5016M,0.0M,EUR,1.74,0.75,0.68
17,LNSX.F,fd-eu-small,Allane SE,Germany,Industrials,247M,0.0M,EUR,1.74,0.6,0.8
18,KYRA.F,fd-jp-large,Kyocera Corporation,Japan,Industrials,27139M,0.0M,EUR,1.74,0.72,0.75
19,STMN.MX,fd-eu-large,STMicroelectronics N.V.,Netherlands,Technology,1070339M,0.0M,MXN,1.7,1.0,0.63
20,GNE.NZ,fd-au,Genesis Energy Limited,New Zealand,Utilities,3455M,2.2M,NZD,1.69,0.97,0.23
21,2299.HK,fd-asia-small,Billion Industrial Holdings Limited,Hong Kong,Consumer Cyclic,10617M,0.1M,HKD,1.69,0.85,0.32
22,SLFPY,fd-eu-mid,Aberdeen Group Plc,United Kingd,Financial Servi,5725M,0.0M,USD,1.65,0.83,0.62
23,DCCPF,fd-eu-mid,DCC plc,Ireland,Energy,6738M,0.0M,USD,1.64,0.67,0.6
24,SZG.HA,fd-eu-small,Salzgitter AG,,,,0.0M,EUR,1.62,0.82,0.83
25,CLTFF,fd-eu-micro,Celtic plc,United Kingd,Communication S,323M,0.0M,USD,1.62,0.5,0.6
26,SGL.MU,fd-eu-small,SGL Carbon SE,,,,0.0M,EUR,1.61,0.37,0.8
