ticker,name,sector,industry,currency,mktCap,has_history,ev,roic_latest,roic_mean_4y,roic_min_4y,roic_std_4y,roiic_3y,reinvest_rate,structural_quality,ic_latest,nopat_latest,ebit_now,ebitda_now,fcf_now,ev_ebit,ev_ebitda,ev_fcf,fcf_yield,rev_g,opm,gm,insiders,years_history,comp_score
AACB,Artius II Acquisition Inc.,Financial Services,Shell Companies,USD,290587488,False,,,,,,,,,,,,,,,,,,,,,,,
AACI,Armada Acquisition Corp. III,Financial Services,Shell Companies,USD,339617696,False,,,,,,,,,,,,,,,,,,,,,,,
AACO,Abony Acquisition Corp. I,Financial Services,Shell Companies,USD,310480512,False,,,,,,,,,,,,,,,,,,,,,,,
AAGR,African Agriculture Holdings In,Consumer Defensive,Farm Products,USD,5786,True,11638001.0,-6.898123727810792,-3.803131102961391,-6.898123727810792,4.376980545506727,,0.8174476852426676,False,-13635094.0,-32360221.740000002,-40962306.0,-43861560.0,27471894.0,-0.2841148884537897,-0.2653348626907023,0.42363300469927556,4747.994123746976,-0.169,-36.577747,0.19965,0.0,2.0,15.0
AAGRW,African Agriculture Holdings In,,,USD,0,True,,-6.898123727810792,-3.803131102961391,-6.898123727810792,4.376980545506727,,0.8174476852426676,False,-13635094.0,-32360221.740000002,-40962306.0,-43861560.0,27471894.0,,,,,-0.169,-36.577747,0.19965,,2.0,0.0
AAME,Atlantic American Corporation,Financial Services,Insurance - Life,USD,36409052,True,44629052.0,-0.014317217398137598,0.016770811708528066,-0.014317217398137598,0.021920135071427087,,-6.519642723391506,False,101804000.0,-1457550.0,-1845000.0,10065000.0,22098124.0,-24.189188075880757,4.434083656234476,2.019585553959241,0.606940383946278,0.208,0.028789999,0.12512,0.80123,4.0,16.68
AARD,"Aardvark Therapeutics, Inc.",Healthcare,Biotechnology,USD,94901272,True,4037272.0,-0.8255627009646302,-0.8255627009646302,-0.8255627009646302,,-0.39675609968714587,-9.801806148409737,False,60023000.0,-49552750.0,-62725000.0,-74677000.0,-34437376.0,-0.0643646392985253,-0.05406312519249568,,-0.36287581055815565,,0.0,0.0,0.16146,1.0,-15.0
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USD,1898198400,True,3482097440.0,0.03679582633087155,0.04119421131829513,0.03679582633087155,0.0038722924342256774,,-0.41957021825229834,False,2727839000.0,100373090.10257831,101456000.0,226594000.0,87208624.0,34.32125689954266,15.36712110647237,39.928361213450636,0.045942839273281445,0.018,0.23577,0.61963004,0.01806,4.0,1.55
ABAT,American Battery Technology Com,Industrials,Waste Management,USD,396965952,True,359501513.0,-0.46652890170811057,-0.6233217664806199,-1.2668944559863105,0.43962018329544233,-0.13324867018923528,-0.3439235006107718,False,71160500.0,-33198429.91,-42023329.0,-56586544.0,-580404.0,-8.55480804483624,-6.353127220492561,,-0.0014621002055108243,6.971,-4.4046397,-0.42671,0.04394,4.0,-6.81
ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USD,330286848,True,185188840.0,-0.8446813343714721,-2.599048825216904,-6.618807578654615,2.7073795541637735,-0.6259872752381516,-1.222729099809193,False,105747000.0,-89322517.06578006,-89448000.0,-90049000.0,-56589752.0,-2.070351936320544,-2.0565341092072096,,-0.17133516621285508,,-2.6414,-1.23845,0.16620001,4.0,-15.0
ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USD,171540512,True,74303512.0,-2.0486530407103367,-0.8457224521877235,-2.0486530407103367,0.8196462987685822,,1.411836986778454,False,47752000.0,-97827280.0,-123832000.0,-114556000.0,-67432624.0,-0.6000348213708896,-0.6486217395858794,,-0.39310028408916026,,0.0,0.0,0.068280004,4.0,-5.0
ABR,Arbor Realty Trust,Real Estate,REIT - Mortgage,USD,1066638208,False,,,,,,,,,,,,,,,,,,,,,,,
ABSI,Absci Corporation,Healthcare,Biotechnology,USD,1230870400,True,1109580400.0,-0.5670605405034168,-0.5313161048283006,-0.6215982288316136,0.1196766714924338,,-0.3113058220780102,False,174726000.0,-99080220.0,-125418000.0,-116437000.0,-41475376.0,-8.847058635921478,-9.529448542988913,,-0.033695973191003696,-0.818,-143.46977,0.0,0.13071,4.0,-3.37
ABTC,American Bitcoin Corp.,Financial Services,Capital Markets,USD,1443371520,True,1632555520.0,0.0014213445093556854,-0.010203445037072507,-0.021828234583500698,0.01643993503629173,999.0,7.432148022194436,False,850392000.0,1208700.0,1530000.0,-124958000.0,0.0,1067.029751633987,-13.064833944205253,,,4.035,-1.9027699,0.53202,0.024349999,2.0,-10.0
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USD,893858176,True,802541176.0,-0.36029082510031357,-0.616245163492586,-0.8869548335338949,0.2465990625463819,999.0,0.054468694158734544,False,59314000.0,-21370290.0,-27051000.0,155136992.0,-90406624.0,-29.667708254778013,5.173112909137751,,-0.10114202278102785,100.545,0.94412005,0.89343,0.20459,4.0,-5.0
ABX,"Abacus Global Management, Inc.",Financial Services,Insurance - Life,USD,922581312,True,1226686444.0,0.07631028684587109,0.3706465177779159,0.0021482186195631242,0.638537949761358,0.03463960202978335,77.90121351060623,False,791605017.0,60407605.915900655,85395264.0,115900592.0,82422032.0,14.364806507302326,10.583953220877422,14.882992013591705,0.0893385015802271,0.346,0.30862,0.88799006,0.70963997,4.0,50.55
ACAA,Averin Capital Acquisition Corp,Financial Services,Shell Companies,USD,355754656,False,,,,,,,,,,,,,,,,,,,,,,,
