ticker,name,has_segments,n_segments,latest_fy,largest_segment,largest_segment_pct,seg_rev_growth_fastest,seg_fastest_name,seg_rev_growth_slowest,seg_slowest_name,seg_growth_dispersion,seg_mix_shift_pp,seg_mix_gainer,seg_inflection_flag,seg_margin_best,seg_margin_best_name,seg_margin_worst,seg_high_margin_growing
AAPL,Apple Inc.,True,12.0,2025.0,iPhone,29.33120085843292,5.65427265281464,Other countries,-7.727504513568273,China,4.9625092683252925,10.491013192005768,iPhone,False,,,,
GOOGL,Alphabet Inc.,True,15.0,2025.0,Google Services,23.745027152337155,35.80004163871475,Google Cloud,-6.735436893203883,Other Bets,10.1184431089776,0.6615938859315669,Google Cloud,False,,,,
GOOG,Alphabet Inc.,True,15.0,2025.0,Google Services,23.745027152337155,35.80004163871475,Google Cloud,-6.735436893203883,Other Bets,10.1184431089776,0.6615938859315669,Google Cloud,False,,,,
NVDA,NVIDIA CORP,True,14.0,2026.0,Data Center,30.619915997660694,187.3321960987911,United States,8.643629750167502,Gaming,61.53681546603461,4.675604985593193,United States,False,,,,
TSLA,"Tesla, Inc.",True,14.0,2025.0,Total revenues from sales and services,20.16012468654221,28.293601003764124,Energy generation and storage sales,-27.868259138617447,Automotive regulatory credits,16.228926597555162,0.659848467888572,Energy generation and storage sales,False,,,,
AMZN,AMAZON COM INC,True,17.0,2025.0,United States,17.87740724527569,22.09591916604405,Advertising services,6.344567522979028,Physical stores,3.9004982563871007,0.3989158752907312,Net service sales,False,35.42901534278501,AWS,2.9340185553510323,True
MSFT,MICROSOFT CORP,True,22.0,2025.0,Service and Other,17.678938182408572,60.00000000000001,Other,-11.901921588857366,More Personal Computing,17.77039990192965,3.070259183028004,Productivity and Business Processes,False,57.75432497309826,Productivity and Business Processes,25.92179179856905,True
AVGO,Broadcom Inc.,True,11.0,2025.0,Semiconductor Solutions,16.381450032658393,0.0,Americas,-21.687485269856232,Subscriptions and services,6.23471365219065,0.4002264835056168,Semiconductor Solutions,False,65.07589161001955,Infrastructure Software,55.6851408825093,False
META,"Meta Platforms, Inc.",True,11.0,2025.0,Family of Apps,29.425245495365456,50.058072009291536,Other revenue,2.842497670083888,Reality Labs,11.375429489800071,0.9137508085080848,Family of Apps,False,51.55439502110596,Family of Apps,-869.6420480289987,True
WMT,Walmart Inc.,True,21.0,2026.0,U.S.,35.052478447106,23.96694214876034,E Commerce,-14.764329118081786,Health and wellness,9.97940975470465,0.220646215538155,China,False,,,,
LLY,ELI LILLY & Co,True,59.0,2025.0,Net product revenue,31.62246845949535,969.0355329949238,Other immunology,-43.18673395818313,Neuroscience,218.47341446316855,2.878794231936639,Mounjaro,False,,,,
AMD,ADVANCED MICRO DEVICES INC,True,16.0,2025.0,UNITED STATES,24.53293446971835,467.7697841726618,Other Countries,-58.22601416613007,Gaming,157.0909396205015,10.34555214833951,CHINA,True,,,,
XOM,EXXON MOBIL CORP,True,8.0,2025.0,"Equity Method Investment, Nonconsolidated Investee or Group of Investees",57.50509407225826,100.0,Income from equity affiliates,-23.275862068965512,Other income,49.16442263902135,7.142124925591883,Sales and other operating revenue,False,,,,
V,VISA INC.,True,12.0,2025.0,International,26.806380638063803,26.77510165780419,Other revenue,5.771312584573751,U.S.,6.662540002470354,1.0801243790500168,Value-Added Services,False,,,,
JNJ,JOHNSON & JOHNSON,True,56.0,2025.0,Innovative Medicine,21.37774708778672,355.55555555555554,TALVEY,-72.72727272727273,Other Immunology,70.02482870133746,0.7092925360709185,U.S. Plans,False,,,,
ORCL,ORACLE CORP,True,22.0,2026.0,Total for operating segments,21.1063795118619,76.87121360171976,Cloud Infrastructure,-8.921361276677564,Software License,19.6951289863516,6.854398104317655,Total for operating segments,True,56.442537523939606,Total for operating segments,56.442537523939606,True
INTC,INTEL CORP,True,6.0,2025.0,China,29.24991996384249,18.42594745408044,Singapore,-33.80918870011058,Other countries,18.622379197268867,3.321542175004044,Singapore,True,,,,
COST,COSTCO WHOLESALE CORP /NEW,True,6.0,2025.0,Net Sales,49.52110586060094,7.014416611939822,Fresh Foods,2.620499866510584,Warehouse ancillary and other businesses,1.295997640118827,0.1267569180761707,Fresh Foods,False,,,,
JPM,JPMORGAN CHASE & CO,True,6.0,2025.0,North America,50.20431927717338,31.90737931206009,Parent company,0.262698908292247,North America,9.759169022172006,3.35506880403921,Parent company,False,,,,
CSCO,"CISCO SYSTEMS, INC.",True,14.0,2025.0,Networking,23.81879818113663,31.51075408136823,Security,-15.449811975701476,Networking,14.766693591655338,2.1684871019669147,Subscription,False,,,,
MA,Mastercard Inc,True,7.0,2025.0,Payment Solutions,33.33333333333333,22.9228212703102,Value-added services and solutions,12.350735506201316,Payment network,3.796371884321663,0.7164347871419091,Value-added services and solutions,False,,,,
LRCX,LAM RESEARCH CORP,True,9.0,2025.0,Systems Revenue,29.927581211248068,0.0,Systems Revenue,0.0,Systems Revenue,0.0,0.0,Systems Revenue,False,,,,
