accession,ticker,filer,filed,shares,value_usd,broker,source_url
0002058067-26-000011,CRWV,Venturo Brian M,2026-06-30,,,,https://www.sec.gov/Archives/edgar/data/1769628/000205806726000011/
0001968582-26-000399,CRWD,Kurtz George,2026-05-04,,,,https://www.sec.gov/Archives/edgar/data/1535527/000196858226000399/
0001968582-26-000773,CRWD,Kurtz George,2026-08-03,,,,https://www.sec.gov/Archives/edgar/data/1535527/000196858226000773/
0001958244-26-000387,PAHC,"BFI Co., LLC",2026-06-16,,,,https://www.sec.gov/Archives/edgar/data/1069899/000195824426000387/
0002058103-26-000014,CRWV,McBee Brannin,2026-06-30,,,,https://www.sec.gov/Archives/edgar/data/1769628/000205810326000014/
0002058067-26-000009,CRWV,Venturo Brian M,2026-05-20,,,,https://www.sec.gov/Archives/edgar/data/1769628/000205806726000009/
0002058037-26-000007,CRWV,Intrator Michael N,2026-06-30,,,,https://www.sec.gov/Archives/edgar/data/1769628/000205803726000007/
0001968582-26-000651,CRWD,Kurtz George,2026-06-22,,,,https://www.sec.gov/Archives/edgar/data/1535527/000196858226000651/
0001959173-26-006016,KNTK,SUGG LAURA A,2026-08-14,61180.0,3196655.0,,https://www.sec.gov/Archives/edgar/data/1692787/000195917326006016/
0001959173-26-005744,RXRX,Gibson Christopher,2026-08-07,100000.0,325410.0,,https://www.sec.gov/Archives/edgar/data/1601830/000195917326005744/
0001517413-26-000136,FSLY,Bergman Artur,2026-05-12,,,,https://www.sec.gov/Archives/edgar/data/1517413/000151741326000136/
0001959173-26-005272,RXRX,Gibson Christopher,2026-07-17,100000.0,296725.9,,https://www.sec.gov/Archives/edgar/data/1601830/000195917326005272/
0001950047-26-007825,VSAT,Blair Robert James,2026-08-07,27064.0,2158673.36,,https://www.sec.gov/Archives/edgar/data/797721/000195004726007825/
0000950103-26-008931,VINP,Lovisotto Fernando,2026-06-12,261812.0,2523868.0,,https://www.sec.gov/Archives/edgar/data/1826286/000095010326008931/
0001628280-26-048533,TTAN,15 Angels II LLC,2026-07-16,,,,https://www.sec.gov/Archives/edgar/data/1638826/000162828026048533/
