ticker,score,raw_score,n_funds,n_hyper,n_top_pick,n_activist_13d,n_passive_13g,n_new_init,n_material_add,n_public_letter,n_follow_on,n_persist,has_insider_cobuy,sum_dollar_m,max_pct_book,max_pct_company,fund_signals_summary,styles_summary
XLP,9.1,6.5,1,0,1,0,0,0,1,0,0,1,0,2750.0,7.2,,Elliott Investment Manag=9,"Activists / Special Situations(1, 9)"
GDX,9.1,6.5,1,0,1,0,0,0,1,0,0,1,0,1200.0,5.6,,Elliott Investment Manag=9,"Activists / Special Situations(1, 9)"
TFPM,16.1,11.5,1,1,1,1,0,0,0,0,0,1,0,4630.0,21.4,64.8,Elliott Investment Manag=16,"Activists / Special Situations(1, 16)"
ETSY,8.3,6.5,3,0,1,0,1,1,0,0,0,0,0,94.7,8.7,5.1,Bares Capital Management=5;Elliott Investment Manag=2;Radcliffe Capital Manage=1,"Value / Concentrated Quality(1, 5); Activists / Special Situations(1, 2); Warrant Specialists(1, 1)"
SDRL,9.1,6.5,1,0,0,1,0,0,1,0,0,1,0,0.0,0.6,6.8,Elliott Investment Manag=9,"Activists / Special Situations(1, 9)"
LUV,15.0,12.0,2,1,1,1,0,0,1,0,0,0,0,0.0,85.0,9.1,Silver Point Capital=11;Elliott Investment Manag=4,"Distressed / Event-Driven(1, 11); Activists / Special Situations(1, 4)"
XLE,2.8,2.0,1,0,0,0,0,1,0,0,0,0,0,715.0,3.3,,Elliott Investment Manag=3,"Activists / Special Situations(1, 3)"
HDB,2.8,2.0,1,0,0,0,0,1,0,0,0,0,0,7.9,0.0,,Elliott Investment Manag=3,"Activists / Special Situations(1, 3)"
FSK,2.8,2.0,1,0,0,0,0,1,0,0,0,0,0,3.9,0.0,,Elliott Investment Manag=3,"Activists / Special Situations(1, 3)"
OR,2.8,2.0,1,0,0,0,0,0,1,0,0,0,0,0.0,0.4,,Elliott Investment Manag=3,"Activists / Special Situations(1, 3)"
BN,27.8,20.0,4,1,1,0,0,0,3,0,0,2,0,3442.7,17.8,,Pershing Square Capital =16;Third Point LLC=6;Lone Pine Capital LLC (S=4;Third Avenue Management=1,"Activists / Special Situations(2, 22); Tiger Cubs / L/S Legends(1, 4); Small-cap / Multibagger Specialists(1, 1)"
AMZN,229.8,189.5,42,5,23,0,0,4,15,1,0,12,0,19951.2,92.0,,Gotham Asset Management =18;Pershing Square Capital =16;Duquesne Family Office=15;ShawSpring Partners (Den=13;Egerton Capital Ltd=12;Wedgewood Partners=11,"Value / Concentrated Quality(10, 78); Activists / Special Situations(5, 40); Tiger Cubs / L/S Legends(5, 30); Family Offices / Individual Filers(3, 27)"
HHH,48.8,36.0,4,2,4,1,0,1,2,0,0,2,0,2732.9,11.4,46.9,Pershing Square Capital =20;JCP Investment Managemen=19;Northern Right Capital (=6;Numantia Patrimonio Glob=4,"Activists / Special Situations(3, 45); Foreign / EM Value(1, 4)"
META,130.9,102.5,22,4,13,0,0,4,5,0,0,5,0,8992.5,21.8,,Dragoneer Investment Gro=18;Pershing Square Capital =16;Altimeter Capital Manage=13;RV Capital   Business Ow=12;Appaloosa Management LP=11;ValueAct Capital=10,"Value / Concentrated Quality(6, 42); Activists / Special Situations(4, 34); Foreign / EM Value(5, 24); Tiger Cubs / L/S Legends(3, 15)"
QSR,7.0,10.0,2,1,1,1,0,0,0,0,0,0,0,551.3,10.4,7.8,Pershing Square Capital =4;Baupost Group LLC=3,"Activists / Special Situations(1, 4); Mega Multi-Strats / Quants(1, 3)"
NVDA,199.5,196.0,38,9,24,0,0,3,13,0,0,12,0,19542.8,201.0,,Scion Asset Management L=18;Altimeter Capital Manage=18;Dragoneer Investment Gro=18;Soros Fund Management LL=15;Dalton Investments=11;Funicular Funds LP   Cab=11,"Value / Concentrated Quality(5, 63); Activists / Special Situations(5, 35); Tiger Cubs / L/S Legends(5, 33); Mega Multi-Strats / Quants(12, 26)"
UNP,22.7,22.0,4,0,3,0,0,1,2,0,0,2,0,795.1,8.4,,Third Point LLC=10;Corvex Management=6;Eminence Capital LP=4;Baupost Group LLC=3,"Activists / Special Situations(2, 16); Small-cap / Multibagger Specialists(1, 4); Mega Multi-Strats / Quants(1, 3)"
CRH,26.9,21.5,6,1,2,0,0,1,1,0,0,1,0,1093.7,18.7,,Cevian Capital=10;Cruiser Capital (Keith R=6;Durable Capital Partners=5;Lansdowne Partners=4;Third Point LLC=1;Findlay Park Partners (K=1,"Distressed / Event-Driven(1, 10); Activists / Special Situations(2, 7); Foreign / EM Value(2, 6); Value / Concentrated Quality(1, 5)"
SGI,14.2,9.0,3,0,2,0,0,0,0,0,0,0,0,1429.6,9.1,,Abrams Capital Managemen=6;WindAcre Partnership=6;Third Point LLC=1,"Value / Concentrated Quality(2, 13); Activists / Special Situations(1, 1)"
LYV,7.7,5.5,2,0,0,0,0,1,1,0,0,1,0,418.8,3.4,,Third Point LLC=5;Sachem Head Capital Mana=3,"Activists / Special Situations(2, 8)"
SRTA,11.2,8.0,2,0,1,0,1,0,1,0,0,1,0,17.0,6.1,5.8,Northern Right Capital (=9;Third Point LLC=2,"Activists / Special Situations(2, 11)"
CMG,2.8,2.0,1,0,0,0,0,1,0,0,0,0,0,174.8,2.4,,Third Point LLC=3,"Activists / Special Situations(1, 3)"
CEG,2.8,2.0,1,0,0,0,0,1,0,0,0,0,0,167.8,2.3,,Third Point LLC=3,"Activists / Special Situations(1, 3)"
BABA,67.5,50.0,11,4,4,0,0,2,2,0,0,2,0,1876.5,13.6,,ShawSpring Partners (Den=13;Daily Journal Corporatio=12;Appaloosa Management LP=12;TT International Investm=8;Hudson Bay Capital Manag=6;Whitebox Advisors=5,"Family Offices / Individual Filers(2, 24); Value / Concentrated Quality(1, 13); Activists / Special Situations(3, 12); Foreign / EM Value(1, 8)"
APG,67.8,45.5,8,2,6,0,0,1,2,1,0,2,0,861.2,23.3,,ADW Capital Management=18;ADW Capital Management (=13;Greystone Capital Manage=10;Pelham Capital Managemen=9;Cruiser Capital (Keith R=6;Durable Capital Partners=6,"Value / Concentrated Quality(4, 48); Activists / Special Situations(2, 10); Small-cap / Multibagger Specialists(1, 9); Foreign / EM Value(1, 1)"
SPOT,13.0,10.0,5,0,0,0,0,4,1,0,0,0,0,434.3,0.8,,Third Point LLC=3;Coatue Management LLC (P=3;D1 Capital Partners LP (=3;Suvretta Capital Managem=3;RV Capital   Business Ow=2,"Tiger Cubs / L/S Legends(2, 6); Activists / Special Situations(1, 3); Biotech Specialists(1, 3); Foreign / EM Value(1, 2)"
PGR,11.6,7.5,3,0,0,0,0,3,0,0,0,1,0,55.9,0.7,,Fairholme Capital Manage=6;Third Point LLC=3;Gator Capital Management=3,"Value / Concentrated Quality(2, 9); Activists / Special Situations(1, 3)"
DHR,18.2,12.5,2,1,1,0,0,0,2,0,0,1,0,437.0,100.0,,Third Point LLC=13;D1 Capital Partners=6,"Activists / Special Situations(1, 13); Value / Concentrated Quality(1, 6)"
RKT,53.0,37.0,4,3,4,0,0,0,3,0,0,2,0,1169.4,137.9,,Omega Family Office (Ome=17;ValueAct Capital=16;Third Point LLC=14;Westchester Capital   ME=6,"Activists / Special Situations(3, 36); Family Offices / Individual Filers(1, 17)"
