ticker,macro_style,score,n_funds,n_hyper,dollar_m
XLP,Activists / Special Situations,9.1,1,0,5500.0
GDX,Activists / Special Situations,9.1,1,0,2400.0
TFPM,Activists / Special Situations,16.1,1,1,9260.0
ETSY,Activists / Special Situations,2.1,1,0,0.0
ETSY,Warrant Specialists,1.4,1,0,0.0
ETSY,Value / Concentrated Quality,4.8,1,0,94.7
SDRL,Activists / Special Situations,9.1,1,0,0.0
LUV,Activists / Special Situations,4.2,1,0,0.0
LUV,Distressed / Event-Driven,10.8,1,1,0.0
XLE,Activists / Special Situations,2.8,1,0,1430.0
HDB,Activists / Special Situations,2.8,1,0,15.8
FSK,Activists / Special Situations,2.8,1,0,7.8
OR,Activists / Special Situations,2.8,1,0,0.0
BN,Activists / Special Situations,22.4,2,1,3389.0
BN,Small-cap / Multibagger Specialists,1.2,1,0,50.4
BN,Tiger Cubs / L/S Legends,4.2,1,0,313.0
BN,Other / Unclassified,14.5,2,1,3133.0
AMZN,Activists / Special Situations,39.9,5,1,2855.8
AMZN,Small-cap / Multibagger Specialists,14.4,3,0,1519.4
AMZN,Tiger Cubs / L/S Legends,30.1,5,0,1522.1
AMZN,Family Offices / Individual Filers,27.0,3,1,2236.0
AMZN,Mega Multi-Strats / Quants,11.8,7,0,8201.4
AMZN,Foreign / EM Value,24.0,5,1,8316.0
AMZN,Value / Concentrated Quality,77.6,10,2,2278.0
AMZN,Warrant Specialists,3.1,1,0,600.0
AMZN,CTA / Trend Followers,1.8,3,0,1021.6
AMZN,Other / Unclassified,79.5,19,2,8835.5
HHH,Activists / Special Situations,44.8,3,2,2761.8
HHH,Foreign / EM Value,4.0,1,0,0.0
HHH,Other / Unclassified,15.5,2,1,2680.0
META,Activists / Special Situations,33.6,4,1,4986.1
META,Tiger Cubs / L/S Legends,15.4,3,0,51.0
META,Family Offices / Individual Filers,11.2,1,0,792.0
META,Foreign / EM Value,23.5,5,1,259.4
META,Mega Multi-Strats / Quants,2.4,2,0,2154.0
META,Value / Concentrated Quality,42.4,6,2,1780.6
META,CTA / Trend Followers,2.4,1,0,57.2
META,Other / Unclassified,59.0,14,2,6124.1
QSR,Activists / Special Situations,4.2,1,0,0.0
QSR,Mega Multi-Strats / Quants,2.8,1,1,1102.6
NVDA,Activists / Special Situations,35.0,5,2,1674.2
NVDA,Small-cap / Multibagger Specialists,3.6,1,0,0.0
NVDA,Distressed / Event-Driven,3.6,1,0,298.0
NVDA,Tiger Cubs / L/S Legends,32.9,5,0,24.0
NVDA,Family Offices / Individual Filers,16.5,2,1,678.0
NVDA,Mega Multi-Strats / Quants,26.0,12,2,11671.6
NVDA,Foreign / EM Value,7.5,2,0,7800.0
NVDA,Value / Concentrated Quality,63.2,5,3,3887.6
NVDA,Warrant Specialists,0.7,1,0,328.0
NVDA,CTA / Trend Followers,10.5,4,1,1061.8
NVDA,Other / Unclassified,105.5,19,4,4651.8
UNP,Activists / Special Situations,16.1,2,0,837.4
UNP,Small-cap / Multibagger Specialists,3.6,1,0,0.0
UNP,Mega Multi-Strats / Quants,3.0,1,0,752.8
CRH,Activists / Special Situations,7.0,2,0,656.8
CRH,Distressed / Event-Driven,9.6,1,1,1366.8
CRH,Foreign / EM Value,5.5,2,0,117.0
CRH,Value / Concentrated Quality,4.8,1,0,0.0
CRH,Other / Unclassified,5.0,2,0,7.8
SGI,Activists / Special Situations,1.4,1,0,607.2
SGI,Value / Concentrated Quality,12.8,2,0,1126.0
LYV,Activists / Special Situations,7.7,2,0,837.6
SRTA,Activists / Special Situations,11.2,2,0,17.0
CMG,Activists / Special Situations,2.8,1,0,349.6
CEG,Activists / Special Situations,2.8,1,0,335.6
BABA,Activists / Special Situations,11.9,3,0,558.3
BABA,Small-cap / Multibagger Specialists,3.6,1,0,0.0
BABA,Distressed / Event-Driven,6.6,2,0,636.8
BABA,Family Offices / Individual Filers,24.0,2,2,1557.0
BABA,Foreign / EM Value,8.0,1,1,116.4
BABA,CTA / Trend Followers,0.6,1,0,104.0
BABA,Value / Concentrated Quality,12.8,1,1,36.4
BABA,Other / Unclassified,22.5,5,2,744.1
APG,Activists / Special Situations,9.8,2,0,238.8
APG,Small-cap / Multibagger Specialists,9.0,1,0,36.0
APG,Value / Concentrated Quality,48.0,4,2,719.2
APG,Foreign / EM Value,1.0,1,0,0.0
APG,Other / Unclassified,13.0,3,1,69.3
SPOT,Activists / Special Situations,4.2,1,0,116.2
SPOT,Tiger Cubs / L/S Legends,8.4,2,0,376.0
SPOT,Foreign / EM Value,4.0,2,0,0.2
SPOT,Biotech Specialists,3.9,1,0,0.0
SPOT,Value / Concentrated Quality,1.6,1,0,230.0
SPOT,Other / Unclassified,10.0,4,0,376.2
PGR,Activists / Special Situations,2.8,1,0,100.2
PGR,Value / Concentrated Quality,8.8,2,0,5.8
PGR,Other / Unclassified,4.5,1,0,0.0
DHR,Activists / Special Situations,12.6,1,1,0.0
DHR,Value / Concentrated Quality,5.6,1,0,437.0
RKT,Activists / Special Situations,35.7,3,2,1524.8
RKT,Family Offices / Individual Filers,17.2,1,1,407.0
RKT,Other / Unclassified,15.5,2,1,407.0
KVUE,Activists / Special Situations,16.8,2,0,1568.2
KVUE,Small-cap / Multibagger Specialists,5.4,1,0,1956.0
KVUE,Distressed / Event-Driven,3.6,1,0,25.9
KVUE,Value / Concentrated Quality,4.8,1,0,0.0
KVUE,Other / Unclassified,3.0,1,0,25.9
MTCH,Activists / Special Situations,14.7,2,0,820.4
RIOT,Activists / Special Situations,6.3,1,0,323.0
RIOT,Distressed / Event-Driven,9.0,1,0,4.5
RIOT,Other / Unclassified,7.5,1,0,4.5
ROG,Activists / Special Situations,4.2,1,0,0.0
ROG,Microcap-Tactical,3.6,1,0,3.1
ROG,Other / Unclassified,3.0,1,0,3.1
QRVO,Activists / Special Situations,4.2,1,0,0.0
TRIP,Activists / Special Situations,4.2,1,0,0.0
AQN,Activists / Special Situations,4.2,1,0,0.0
BLMN,Activists / Special Situations,4.2,1,0,0.0
CWAN,Activists / Special Situations,2.8,1,0,480.4
FLR,Activists / Special Situations,2.8,1,0,411.4
FLR,Small-cap / Multibagger Specialists,7.8,1,0,220.0
FLR,Other / Unclassified,6.5,1,0,220.0
BIXI,Activists / Special Situations,2.8,1,0,0.0
JHG,Activists / Special Situations,14.0,2,0,3199.8
JHG,Other / Unclassified,4.5,1,0,159.8
GE,Activists / Special Situations,12.6,2,1,15960.0
GE,Small-cap / Multibagger Specialists,9.6,1,1,14630.0
GE,Value / Concentrated Quality,6.4,1,0,282.9
GE,Other / Unclassified,8.0,1,1,14630.0
CRM,Activists / Special Situations,11.2,1,1,1586.6
CRM,Small-cap / Multibagger Specialists,5.4,1,0,1104.4
CRM,Family Offices / Individual Filers,6.0,1,0,0.0
CRM,Foreign / EM Value,14.5,2,1,115.9
CRM,Mega Multi-Strats / Quants,1.6,1,0,0.0
CRM,Other / Unclassified,18.5,3,1,115.9
BLK,Activists / Special Situations,14.7,1,1,2975.6
NSIT,Activists / Special Situations,4.2,1,0,0.0
LLYVK,Activists / Special Situations,5.6,2,0,600.0
LLYVK,Small-cap / Multibagger Specialists,2.4,1,0,0.0
LLYVA,Activists / Special Situations,5.6,2,0,458.0
TOST,Activists / Special Situations,2.8,1,0,0.0
TOST,Value / Concentrated Quality,4.8,1,0,11.4
MRCY,Activists / Special Situations,23.1,2,1,737.6
FISV,Activists / Special Situations,9.1,1,0,604.0
FISV,Mega Multi-Strats / Quants,3.6,1,1,0.0
FISV,Value / Concentrated Quality,3.2,1,0,0.0
FISV,Other / Unclassified,4.5,1,0,0.0
