ticker,cik,ebitda_ttm,book_value,net_debt,ev_m,ev_ebitda,pb_ratio,ebitda_is_ebit_fallback,asof
SATS,1415404,-16137.597,5631.31,23217.688,54769.34638,,5.602898504965985,0,2026-06-26
AMZN,1018724,145731.0,441914.0,20090.0,2649019.97506404,18.177463786456144,5.9489628639600465,0,2026-06-26
CVNA,1690820,1881.0,3720.0,-1768.912,13158.965119999999,6.995728399787347,4.0128701935483875,1,2026-06-26
MSFT,789019,128528.0,414367.0,8157.0,2826505.1266976,21.991356954886093,6.801574755464601,1,2026-06-26
NVDA,1045810,133230.0,195474.0,-4767.0,5093931.0,38.23411393830219,26.083765615887536,0,2026-06-26
GOOGL,1652044,129039.0,478746.0,42242.0,4501293.4799999995,34.88320182270476,9.314023469647788,1,2026-06-26
META,1326801,101892.0,243681.0,35574.0,1515566.08,14.874240175872494,6.073481641982756,0,2026-06-26
AAPL,320193,144748.0,106491.0,45709.0,4422687.96156,30.554397722662834,41.101867402503494,0,2026-06-26
TSM,1046179,,,,11983938.23164452,,,0,2026-06-26
JHG,1274173,1013.1,5177.7,-683.0,7310.44254304,7.215914068739512,1.5438211064835738,0,2026-06-26
LQDA,1819576,-49.848,108.579,-202.786,6117.333995929999,,58.20757232917967,0,2026-06-26
PLTR,1321655,1440.16,8449.663,-2091.631,305868.04550999997,212.38476663009664,36.446385673606144,0,2026-06-26
WGS,1818331,-3.477,254.124,2.808,1754.69847327,,6.893841090451906,0,2026-06-26
HHH,1981792,514.747,3782.8,3308.385,7294.88502054,14.171787345122945,1.0538490061700327,0,2026-06-26
PPTA,1526243,-127.957,816.175,-669.505,2372.79331296,,3.727507351928202,1,2026-06-26
TSLA,1318605,5124.3,84116.0,-4631.629,1499498.2240967902,292.624987626952,17.881614117371132,0,2026-06-26
MA,1141391,20040.0,6719.0,11054.0,448436.47000000003,22.377069361277446,65.09636404226819,0,2026-06-26
RIOT,1167419,-279.366,2394.703,647.998,11274.047563,,4.43731417340689,0,2026-06-26
CPNG,1834584,990.0,4089.0,-4012.0,28838.0,29.12929292929293,8.033749082905356,0,2026-06-26
NCLH,1513761,2722.976,2431.446,14969.825,24354.036261600002,8.94390411872892,3.859518682134006,0,2026-06-26
AVGO,1730168,27632.0,24941.0,47092.0,2004122.6144472999,72.52904655643094,78.46640529438675,0,2026-06-26
APG,1796209,554.0,3486.0,2115.0,20544.51865206,37.08396868602888,5.286723652340792,1,2026-06-26
EAF,931148,-15.423,-304.433,1004.274,1205.10280785,,,0,2026-06-26
BABA,1577552,42233.0,1060886.0,-125502.0,1864456.0851738,44.146901360874196,1.8757511034868966,0,2026-06-26
BLDR,1316835,1377.708,4004.22,4581.606,13249.856406840001,9.617318333667221,2.164778760118076,0,2026-06-26
SPGI,64040,7657.0,31173.0,11508.0,133140.32,17.3880527621784,3.9018483944439097,0,2026-06-26
