ticker,name,exchange,sector,mcap_m,price,mcap_bucket,smart_money_n,s1_top,s2_thresh,s3_new,s4_add,activist_filings,activist_max_pct,insider_cluster_dollars_m,insider_n,form4_buy_usd_m,form4_sell_usd_m,form4_buy_30d_m,form4_sell_30d_m,max_pct_book,n_funds_5pct_book,global_score,is_us,cat8k_ma,cat8k_dir,cat8k_ctrl,cat8k_pipe,cat8k_bnk,cat8k_n,ev_ebitda,pb_ratio,pe_ttm,revealed_pref,asymmetry_score,expected_return_pct,entry_bucket,vs_entry_pct,anchor_px,anchor_source,sec_type,score,components
NAVI,Navient Corporation,,Financial Services,853.226529,,small,2.6,0,0,0.0,1.0,4,31.3,0.0,0,0.0,0.0,0.0,0.0,100.0,1,31.061867690924128,1,0,0,0,0,0,0,39.75996559187442,0.361499165971643,,1.0,27.63,0.0,,,,,common,31.061867690924128,sm=2.6 s3*=0.0 s4*=1.5 s1*=0.0 act=15.0 pb_max=7.5 pb_n5=1.5 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=3 er=0.0 entry=0.0 cat8k=0
SMG,The Scotts Miracle-Gro Company,NYSE,Basic Materials,3095.279093,64.69,mid,4.8,0,0,0.0,1.1,0,0.0,0.0,0,0.0,2.1548198688999998,0.0,0.0,2.5631361860110147,0,6.703597546711356,1,0,1,0,0,0,1,12.698802952404561,,41.88,1.1,7.53,0.0,,,,,common,6.458876743824338,sm=3.5 s3*=0.0 s4*=1.7 s1*=0.0 act=0.0 pb_max=1.5 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=-1.2 f4recsell=0.0 mic=0 er=0.0 entry=0.0 cat8k=1
BCARU,D. Boral ARC Acquisition I Corp.,,Financial Services,0.0,,unknown,0.0,0,0,0.0,0.0,4,3.22,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.61,1,0,0,0,0,0,0,,,,0.0,5.29,0.0,,,,,delisted,1.61,sm=0.0 s3*=0.0 s4*=0.0 s1*=0.0 act=1.6 pb_max=0.0 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=0 er=0.0 entry=0.0 cat8k=0
AYI,Acuity Inc.,,Industrials,9392.277871,,mid,3.5,0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.09802,0.0,0.65924,15.647287116580916,1,13.896527063501097,1,1,0,0,0,0,1,12.260361881997737,3.289303117657373,20.056957928802593,0.0,17.86,0.0,,,,,common,17.262931910924046,sm=3.0 s3*=0.0 s4*=0.0 s1*=0.0 act=0.0 pb_max=9.4 pb_n5=1.5 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=-0.9 f4recsell=-0.8 mic=0 er=0.0 entry=0.0 cat8k=5
MLAA,Mountain Lake Acquisition Corp. II,NasdaqGM,,261.522,9.94,micro,3.6,0,0,0.0,0.8,2,5.91,0.0,0,0.0,0.0,0.0,0.0,1.180281569933491,0,12.915281548950194,1,0,0,0,0,0,0,,,,0.8,11.59,0.0,,,,,common,12.915281548950194,sm=3.1 s3*=0.0 s4*=1.2 s1*=0.0 act=3.0 pb_max=0.7 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=5 er=0.0 entry=0.0 cat8k=0
RUMBW,RUM Group Inc.,NasdaqGM,,3475.388208,2.38,mid,0.2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.014747347189055996,0,0.3734915219013428,1,0,0,0,0,0,0,,1.7604327776299336,,0.0,2.83,0.0,,,,,warrant,0.3734915219013428,sm=0.4 s3*=0.0 s4*=0.0 s1*=0.0 act=0.0 pb_max=0.0 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=0 er=0.0 entry=0.0 cat8k=0
BOBS,"Bob's Discount Furniture, Inc.",NYSE,Consumer Cyclical,1794.821658,13.45,small,1.2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.132002614463919,0,4.656116289406892,1,1,0,0,0,0,2,9.208893536257705,3.360809913963838,13.262135922330097,0.0,12.62,0.0,,,,,common,9.656116289406892,sm=1.6 s3*=0.0 s4*=0.0 s1*=0.0 act=0.0 pb_max=0.1 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=3 er=0.0 entry=0.0 cat8k=5
CURY.L,Currys plc,LSE,Consumer Cyclical,1933.3350105600002,152.1,small,0.0,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.91,0,8.746,0,0,0,0,0,0,0,4.457070748062016,0.6729930872093023,9.535183989670754,1.0,13.52,0.0,,,,,common,8.746,sm=0.0 s3*=0.0 s4*=0.0 s1*=4.0 act=0.0 pb_max=1.7 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=3 er=0.0 entry=0.0 cat8k=0
FLG,"Flagstar Bank, National Association",NYSE,Financial Services,5208.103425,14.65,mid,6.2,0,0,0.0,0.0,2,5.0,0.0,0,0.0,0.0,0.0,0.0,63.934976294563604,2,16.94816205204402,1,0,1,0,0,0,4,73.14989042056075,0.6320789516889816,362.02346041055716,0.0,14.79,0.0,,,,,common,17.94816205204402,sm=3.9 s3*=0.0 s4*=0.0 s1*=0.0 act=2.5 pb_max=7.5 pb_n5=3.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=0.0 f4recsell=0.0 mic=0 er=0.0 entry=0.0 cat8k=1
AMWL,American Well Corporation,NYSE,Healthcare,232.084511,8.43,micro,1.5,0,1,1.0,0.0,0,0.0,0.0,0,0.004937899999999999,0.6351474100000001,0.0,0.17034480000000002,5.5,0,10.13258146374831,1,0,1,0,0,0,4,,1.0164200999923152,,2.0,11.31,0.0,WELL_ABOVE,85.1,7.37,form4_p_buy,common,10.504603645219712,sm=1.8 s3*=3.0 s4*=0.0 s1*=0.0 act=0.0 pb_max=3.3 pb_n5=0.0 clust=0 clust$=0.0 f4buy=0.0 f4rec+=0.0 f4sell=-0.4 f4recsell=-0.2 mic=5 er=0.0 entry=-3.0 cat8k=1
