ticker,name,region,cap_tier,mktCap_M,roic_mean,roiic_1y,ev_valuation,peg_forward,peg_trailing,fcf_yield_pct,rev_g_pct,largest_segment,seg_fastest_name,seg_rev_growth_fastest,seg_mix_shift_pp,backlog_concept_used,backlog_inflection_pp,backlog_to_ev_ratio,ev_total,all_legs_score
SHNWF,SCHRODERS PLC,uk,Large Cap,11383.789568,,,6.648412189141856,,0.1910744758539458,10.67153387493116,15.5,,,,,,,,6073989376.0,105.63410064239828
WPMN.MX,,canada,Large Cap,,,,,,,,,,,,,,,,,93.05005353319058
CMTDF,SUMITOMO MITSUI TRUST HOLDINGS ,japan,Large Cap,24324.777984,,,,,0.1920114609375,,25.8,,,,,,,,-4291431585792.0,92.4478051391863
YRAIF,YARA INTERNATIONAL ASA,norway,Large Cap,14527.002624,,,6.406342110787172,,0.951292752293578,15.57960701584024,16.6,,,,,,,,17579002752.0,88.80433618843684
4384.T,RAKSUL INC,japan,Small Cap,112646.578176,,,18.053246387008056,,19.770287222222223,-0.18564699912434,23.1,,,,,,,,114457577472.0,64.96092077087795
TSCON.MX,TESCO,uk,Large Cap,693186.592768,,,160.09608271116448,,0.3245248230912476,0.32415515352473,7.199999999999999,,,,,,,,704102592256.0,64.73447537473234
PHIAN.MX,KONINKLIJKE PHILIPS NV,netherlands,Large Cap,453303.369728,,,219.4205430995147,,0.2432305144032921,0.33490266284826,-4.7,,,,,,,,458808369664.0,62.66193790149893
FNCTF,Orange,france,Large Cap,55180.120064,,,8.494954636920705,,,4.25878038190997,,,,,,,,,85663120384.0,61.735010706638114
BKZ.SI,Suntar Eco-City,singapore,Nano Cap,31.38,,,2.2650854551796304,,,-10.87117590822179,13.700000000000001,,,,,,,,-6494000.0,40.00294432548179
SUUN.MX,,canada,Large Cap,,,,,,,,,,,,,,,,,18.13276231263384
