ticker,name,region,cap_tier,mktCap_M,roic_mean,roiic_1y,ev_valuation,peg_forward,peg_trailing,fcf_yield_pct,rev_g_pct,largest_segment,seg_fastest_name,seg_rev_growth_fastest,seg_mix_shift_pp,backlog_concept_used,backlog_inflection_pp,backlog_to_ev_ratio,ev_total,all_legs_score
FCAP,"First Capital, Inc.",us,Micro Cap,181.49701859936144,0.0810270573787599,-0.0907537903053598,11.895203735703332,,,,,ATM and debit card fees,Service charges on deposit accounts,1.9983347210657865,0.1426707707481656,,,,181497018.59936145,54.58351177730192
GIS,"General Mills, Inc.",us,Large Cap,17979.71968,0.2751830965374597,-0.2337618050840706,5.298429778954749,,,12.588489388506419,2.1999999999999997,United States,Cereal Partners Worldwide,6.152325653221324,0.2537558116244481,,,,17580719680.0,35.75615631691649
ACTG,Acacia Research Corporation,us,Small Cap,449.5756708190117,-0.0262989270831794,0.3637204972235916,4.718063203549484,,,,,Americas,Canada and Latin America,443.5018050541517,4.933436155401143,ContractWithCustomerLiabilityCurrent,-22.71414384773679,0.0053672596207986,234756670.8190117,75.59957173447538
COLL,"Collegium Pharmaceutical, Inc.",us,Small Cap,1080.278194883606,0.2500087542921753,2.0,4.785760116227503,,,,,Segment,Jornay PM,299.7341496817852,6.586489845464133,DeferredRevenue,,0.0120031066757854,863193194.883606,15.550588865096358
MGRE,Affiliated Managers Group Inc. 6.750% Junior Subordinated Notes due 2064,us,Small Cap,1396.3950490951538,0.1642786731912357,0.2662516157708721,2.8011319487202253,,,,,Equity Method Investee,Equity Method Investee,65.81569115815691,10.821906906560352,,,,1396395049.0951538,60.42532119914347
STZ,"Constellation Brands, Inc.",us,Large Cap,25747.58912,0.0691957258156567,7.303893781301438,10.888826553191487,0.4038304493001606,,7.95258923255646,-11.3,Geographical Components,Geographical Components,-8.259551486679118,0.0,ContractWithCustomerLiabilityCurrent,,0.0004830683320768,36847789056.0,43.40069593147752
BANR,Banner Corporation,us,Mid Cap,1265.3006080638124,0.0324346313709448,0.0186375199550935,9.441046530321128,,,,,Deposit Account,Deposit Account,2.934272300469476,0.5309005513461251,,,,1265300608.0638125,35.79817987152034
ADEA,Adeia Inc. Common Stock,us,Mid Cap,2926.623191579819,0.0899021467093056,1.0906412796813458,8.135008743252369,,,,,Intellectual Property Licensing,Non-recurring revenue,166.36858250853734,2.8923386718645574,RevenueRemainingPerformanceObligation,4.245780791290596,0.1336219003951295,3271941191.5798187,53.188704496788006
CVBF,CVB Financial Corp.,us,Mid Cap,2758.479161358908,0.0736617555252086,2.0,11.22400427159996,,,,,Service Charges on Deposit Accounts,Bankcard Services,63.86198547215496,2.6560319539900084,,,,2758479161.358908,44.65604925053533
ADBE,Adobe Inc.,us,Large Cap,98931.990528,0.4223175929009509,6.048252247598648,10.372319061862791,0.172531908608634,1.2849912612612613,9.42200260022246,12.0,Subscription,Business Professionals & Consumers,19.35075885328836,0.4017170869566225,RevenueRemainingPerformanceObligation,1.0377676976024386,0.2256263949923788,98702990848.0,46.744379014989285
ALL,Allstate Corporation (The),us,Large Cap,55757.37344,0.1392469739135276,0.6590301197813699,3.8980708434088767,,0.0141608617021276,22.291221614616997,3.0,Allstate Corporation,Allstate Corporation,172.5,0.0,,,,57847373312.0,88.66059957173448
