ticker,name,region,cap_tier,mktCap_M,roic_mean,roiic_1y,ev_valuation,peg_forward,peg_trailing,fcf_yield_pct,rev_g_pct,largest_segment,seg_fastest_name,seg_rev_growth_fastest,seg_mix_shift_pp,backlog_concept_used,backlog_inflection_pp,backlog_to_ev_ratio,ev_total,all_legs_score
CRZK.DE,CR Energy AG                  I,germany,Micro Cap,8.322514,,,0.3635253778838504,2.47067318178768e-07,,,,,,,,,,,4569514.0,40.35894004282655
N9B.F,BANDAI NAMCO Holdings Inc.    R,japan,Large Cap,12464.9472,,,-1.7093742046211025,1.1882431547777511e-06,0.0039262769076736,845.6664695057833,21.0,,,,,,,,-408672055296.0,57.88570663811563
TIP.AX,TEAMINVEST FPO [TIP],australia,Nano Cap,32.229716,,,7.397734923567949,1.2373163014928314e-06,,10.65480378418475,-3.2,,,,,,,,44038716.0,64.16059957173448
NAH.L,NAHL GROUP PLC ORD GBP0.0025,uk,Nano Cap,18.997538,,,30.36554152046784,2.4352798626273497e-06,0.0178117061068702,10.25461825632353,-1.0,,,,,,,,25962538.0,61.487419700214126
WDI.HM,Wirecard AG                   I,germany,Micro Cap,1.804057,,,-2.672501270889488,2.567546132446567e-06,0.0007734689335664,55033.59949269895,36.0,,,,,,,,-1982995943.0,68.11777301927195
M14.SI,InnoTek,singapore,Micro Cap,175.3584,,,37.43772781065089,3.8640758499894725e-06,,-2.08430277648518,-7.8,,,,,,,,158174400.0,15.18923982869379
ASH.AX,ASHLEYSERV FPO [ASH],australia,Nano Cap,32.686698,,,4.796566106132313,4.165719593049846e-06,0.1255707762557077,36.16838262463832,15.8,,,,,,,,47634698.0,60.61456102783727
MGA.TO,MEGA URANIUM LTD.,canada,Micro Cap,238.0184,,,-53.73888888888889,4.675293745552554e-06,,-0.72279075903375,,,,,,,,,230217400.0,46.38222698072805
CAN.AX,CANN GROUP FPO [CAN],australia,Micro Cap,8.126974,,,-3.0576010498687665,5.747125969084432e-06,,-26.536629746815972,-30.099999999999998,,,,,,,,22133974.0,44.81798715203426
SSEZF,SSE PLC,uk,Large Cap,40019.00544,,,18.607289307707447,7.33657746282653e-06,,-6.04013043658488,3.9,,,,,,,,50053605856.0,45.327890792291214
NSE.F,NOMURA HOLDINGS INC.          R,japan,Large Cap,20373.393408,,,,8.20052058799797e-06,2.4204862222222223,,27.500000000000004,,,,,,,,-13233023266816.0,73.27221627408993
GUI.DE,DIAGEO PLC                    R,uk,Large Cap,41247.510528,,,10.239048042570586,8.458313431262026e-06,6.878012413793102,2.32286744032611,-4.0,,,,,,,,63328511488.0,66.5374732334047
EM2.AX,EAGLE MML FPO [EM2],australia,Micro Cap,10.771317,,,1.514450089437283,9.971508505917283e-06,,98.06797070404669,888.3,,,,,,,,14882498.0,41.83163811563169
EPL.V,Eagle Plains Resources Ltd.,canada,Nano Cap,21.312412,,,-16.126614651401205,1.48219361434541e-05,,-4.89267943956789,63.2,,,,,,,,10303536.0,43.977248394004285
BZLFF,Bunzl plc,uk,Large Cap,8860.024832,,,11.840656322205776,1.637493748495407e-05,,7.02890237678286,0.3,,,,,,,,11278224768.0,60.08940042826552
BRRLY,Barry Callebaut AG,switzerland,Large Cap,8322.740224,,,13.62223863971362,1.688118978581844e-05,0.1516907834359261,33.99074347943988,-7.3,,,,,,,,11927005312.0,43.72912205567452
BUZ1.F,Bunzl PLC                     R,uk,Large Cap,8956.32896,,,11.94176302166553,2.134265603368126e-05,,6.953323161546759,0.3,,,,,,,,11374528896.0,59.414079229122045
SIV.AX,SIV CAPITL FPO [SIV],australia,Nano Cap,7.102926,,,,2.258355782655093e-05,,-1.7131813002134602,-41.0,,,,,,,,-848993.0,21.88142398286938
CUP.F,CHUGAI PHARMACEUTICAL CO. LTD.R,japan,Large Cap,71524.859904,,,-1.2186560942769094,2.959849373743988e-05,1.6252197860962567,430.92654707983974,11.5,,,,,,,,-778570121216.0,86.93201284796574
4427.T,EDULAB INC,japan,Small Cap,2677.630976,,,4.762763781094527,4.503393079727327e-05,,,-9.1,,,,,,,,1914631040.0,65.22537473233405
NTOA.F,NINTENDO CO. LTD.             R,japan,Large Cap,43669.987328,,,-5.780180747279334,4.9290651395204646e-05,0.3306050788091068,635.1352674612803,95.1,,,,,,,,-2173186138112.0,47.11456102783725
ALFPC.PA,FOUNTAINE PAJOT,france,Micro Cap,151.022944,,,1.5113617880452646,6.196780531663678e-05,,-11.05337014222156,-10.100000000000001,,,,,,,,64374944.0,38.027034261241965
GNN.F,GN STORE NORD AS              N,denmark,Large Cap,1860.200192,,,4.184568455166066,7.53660257905874e-05,,-318.76945511034546,-8.200000000000001,,,,,,,,10955199680.0,45.01873661670236
GVDNY,Givaudan SA,switzerland,Large Cap,33723.486208,,,23.070627812782345,8.164023249249949e-05,,3.35300432768353,-1.7999999999999998,,,,,,,,37397486208.0,39.72055674518201
NANO.L,NANOCO GROUP PLC ORD 10P,uk,Micro Cap,13.46417,,,-0.0496175839885632,8.482757919143892e-05,,32.56606237146441,123.30000000000001,,,,,,,,-138830.0,99.26124197002142
8914.T,AREALINK CO LTD,japan,Micro Cap,49459.503104,,,,0.0001160264554426,,,27.800000000000004,,,,,,,,54305655296.0,63.58966809421841
0698.HK,TONGDA GROUP,hk,Small Cap,568.559552,,,1.2791301515219868,0.0001255590177025,,-46.02473022913877,3.5999999999999996,,,,,,,,427353536.0,64.79416488222698
CYAD.BR,CELYAD ONCOLOGY,belgium,Micro Cap,12.980952,,,-7.416415789473684,0.0001461693548387,,-8.1513667102382,-95.89999999999999,,,,,,,,11272952.0,65.95449678800856
