ticker,name,region,cap_tier,mktCap_M,roic_mean,roiic_1y,ev_valuation,peg_forward,peg_trailing,fcf_yield_pct,rev_g_pct,largest_segment,seg_fastest_name,seg_rev_growth_fastest,seg_mix_shift_pp,backlog_concept_used,backlog_inflection_pp,backlog_to_ev_ratio,ev_total,all_legs_score
ZEG.SG,,uk,Large Cap,,,,,,,,,,,,,,,,,107.78319057815848
0G8C.IL,,norway,Large Cap,,,,,,,,,,,,,,,,,105.61456102783724
HKXCY,Hong Kong Exchange & Clearing L,hk,Large Cap,64832.155648,,,-10.519579549248592,,0.9998051111111113,,19.0,,,,,,,,-242557835520.0,105.10037473233405
CRC.F,,canada,Large Cap,,,,,,,,,,,,,,,,,104.86054603854387
EQT,EQT Corporation,us,Large Cap,36227.6864,0.0519000521181159,1.1089378252209297,5.465079760764461,,0.0224296163265306,6.90970388879153,49.9,Revenues From Contract With Customers,MVP A,128.53816300129367,1.018179161360619,RevenueRemainingPerformanceObligation,,0.2655907278100962,41893529536.0,104.6571199143469
Z25.SI,Yanlord Land,singapore,Small Cap,1323.101696,,,7.883643546731506,,,249.20081124285701,-69.1,,,,,,,,18938198016.0,102.55567451820129
0388.HK,HKEX,hk,Large Cap,508393.324544,,,8.71738713606149,5.524089951466042,1.000422851851852,,19.0,,,,,,,,201003333376.0,102.31156316916488
DNQA.F,Equinor ASA                   N,norway,Large Cap,76994.535424,,,2.468929294006536,,0.5569575000000001,23.495985688305048,-5.3,,,,,,,,88755535872.0,102.26097430406853
SOBKY,Softbank Corp.,japan,Large Cap,66873.970688,,,2.878359402971715,,,2415.55272841286,,,,,,,,,5112657203200.0,101.91889721627408
MSADY,"MS&AD Insurance Group Holdings,",japan,Large Cap,38638.518272,,,-0.923006550719823,,0.0757291382575757,1507.87259340171,18.3,,,,,,,,-1155133472768.0,101.55032119914348
0732.HK,TRULY INT'L,hk,Small Cap,2951.459328,,,4.728569550991809,0.01136363625,1.145475360824742,38.31373169442503,-9.2,,,,,,,,8372154368.0,101.1857601713062
OSCUF,"Japan Exchange Group, Inc.",japan,Large Cap,13003.287552,,,-0.3384967418447778,,0.3610159726027397,668.8875548754764,45.4,,,,,,,,-44974707712.0,100.97778372591006
5JS.SI,Indofood Agri,singapore,Small Cap,530.443712,,,9.801189239523584e-05,,0.4021163703703703,573535.765607492,30.8,,,,,,,,530443712.0,100.5754817987152
3723.T,NIHON FALCOM CORP,japan,Micro Cap,23582.550016,,,5.733637885442343,,,6.86312534862387,160.0,,,,,,,,12860550144.0,100.45182012847964
AR,Antero Resources Corporation,us,Large Cap,11386.473472,0.0755926488785518,1.5278055910916395,7.556233952845354,0.1421747862318052,0.0740548256537982,5.5770415094855394,34.300000000000004,Natural gas sales,Commodity derivative fair value gains,15091.381668946648,9.74965981535944,DeferredRevenueCurrent,0.8822588679918342,0.0014653775032363,16137138688.0,100.31531049250536
DKILY,Daikin Industries Ltd.,japan,Large Cap,44248.363008,,,0.2970915929006358,,11.134856521739133,279.36316275847526,16.400000000000002,,,,,,,,205349416960.0,100.21654175588866
CHKGF,CK Asset Hldgs Ltd,hk,Large Cap,20998.670336,,,2.8109724822199764,,,47.64289532584622,38.4,,,,,,,,36140673024.0,100.1423982869379
0NZR.IL,SOLVAY SA SOLVAY ORD SHS,belgium,Large Cap,2914.04288,,,1.496271937169841,,,45.486634431405484,-15.0,,,,,,,,4197042688.0,100.08565310492506
SWRBY,Swire Pacific Ltd.,hk,Large Cap,11987.337216,,,5.991768553035233,,0.0035529115448968,64.73393491961309,5.4,,,,,,,,87102339072.0,100.05674518201285
3929.T,SOCIALWIRE CO LTD,japan,Nano Cap,3770.216448,,,8.202006014742015,,0.1045512338668043,-3.20604935199731,47.599999999999994,,,,,,,,3338216448.0,99.91140256959316
BCE1.SG,,canada,Large Cap,,,,,,,,,,,,,,,,,99.79282655246251
ENQ.L,ENQUEST PLC ORD 5P,uk,Small Cap,371.099648,,,2.379639893114472,,inf,67.44334071693865,-4.3,,,,,,,,1181807680.0,99.68094218415416
HLDCY,"Henderson Land Development Co.,",hk,Large Cap,19026.651136,,,35.45027781537315,,,41.61136918635096,20.0,,,,,,,,160660649984.0,99.4151498929336
NANO.L,NANOCO GROUP PLC ORD 10P,uk,Micro Cap,13.46417,,,-0.0496175839885632,8.482757919143892e-05,,32.56606237146441,123.30000000000001,,,,,,,,-138830.0,99.26124197002142
PGS.OL,"PGS.OL,0P0000AUB5,0",norway,Micro Cap,8611.237888,,,,0.0437483401613815,,,,,,,,,,,8611237888.0,98.97376873661668
DTEA.SG,,germany,Large Cap,,,,,,,,,,,,,,,,,98.96654175588864
G0I.SI,Nam Lee Metal,singapore,Micro Cap,162.177776,,,4.465099482461184,,1.5581396046511629,-3.02114452475905,28.000000000000004,,,,,,,,170825776.0,98.71172376873662
SHECY,"Shin-Etsu Chemical Co., Ltd.",japan,Large Cap,82107.875328,,,-1.527811619119716,,,279.3233797608564,1.3,,,,,,,,-1341692067840.0,98.67880085653104
OPHLY,"Ono Pharmaceutical Co., Ltd.",japan,Large Cap,7274.892288,,,-0.8377397310734098,0.0035952535613807,,891.1970589440017,5.7,,,,,,,,-108896113664.0,98.3343147751606
JAT.F,JAPAN TOBACCO INC.            R,japan,Large Cap,57926.139904,,,1.078066073059874,,0.855263187250996,222.6581099133341,11.700000000000001,,,,,,,,1162803134464.0,98.13597430406853
LKREF,Link Real Estate Investment Tru,hk,Large Cap,13279.130624,,,6.956134185222065,,,60.29385557462229,5.1,,,,,,,,67057129984.0,98.12392933618844
038010.KQ,"Jeil Technos Co.,Ltd",korea,Micro Cap,,,,,,,,,,,,,,,,,97.79737687366166
8057.T,UCHIDA YOKO CO,japan,Small Cap,101945.499648,,,4.110479474104943,0.00889447591836,0.1259758962962963,11.26999263691911,35.6,,,,,,,,66170498048.0,97.7971092077088
GLBMD.IS,Global Menkul Degerler Anonim Sirketi,turkey,Nano Cap,,,,,,,,,,,,,,,,,97.79095289079228
SWRAY,Swire Pacific Ltd.,hk,Large Cap,38709.911552,,,7.8300140269052,0.0421296407522829,0.0220404445064138,20.04622268789213,5.4,,,,,,,,113824913408.0,97.76498929336188
PTGX,"Protagonist Therapeutics, Inc.",us,Mid Cap,6379.045376,-0.2301203355386525,,-41.42079127599035,,,-1.2174960267910702,99.0,Operating segment,Operating segment,-89.40780281424293,27.52601208141694,RevenueRemainingPerformanceObligation,,0.0164868030301433,5841035392.0,97.7208244111349
PIIPPO.HE,Piippo Oyj,finland,Nano Cap,2.391583,,,-6.205070362160974,,,112.3824262005542,-40.1,,,,,,,,4574291.0,97.52971092077088
DGV.MI,DIGITAL VALUE,italy,Small Cap,296.759232,,,3.808125922282341,0.0819658001078346,,40.28914322031943,,,,,,,,,170322240.0,97.39079229122056
DK,Delek US Holdings Inc,us,Mid Cap,3561.385401522064,0.0266863929893312,0.1306437768240343,8.827540643277139,,,,,Inter-segment fees and revenues,Related Party,-9.860312243221037,3.2471664239355658,DeferredRevenue,643.0602972291047,0.0110882620117282,6168685401.522064,97.36884368308353
WILLF,Demant AS,denmark,Large Cap,7476.355584,,,5.790515386003848,,,43.86328428543615,3.4000000000000004,,,,,,,,27134355840.0,97.2350107066381
6071.T,IBJ INC,japan,Small Cap,30335.145984,,,7.499571763320993,,0.2175580029806259,,54.1,,,,,,,,37825146368.0,97.1860278372591
MTB.MC,"MONTEBALITO, S.A.",spain,Micro Cap,56.32,,,8.054884742041713,,0.0537273337810611,23.49010120738636,-49.1,,,,,,,,51366000.0,97.14186295503212
CIADY,"China Mengniu Dairy Co., Ltd.",hk,Large Cap,8219.0208,,,1.4859948913191536,,,55.59947734893188,-7.6,,,,,,,,11282841088.0,97.04175588865095
QZG.SI,$ Accrelist Ltd,singapore,Nano Cap,17.015492,,,-3.5327618561958185,,,51.94016723113266,-19.8,,,,,,,,13855492.0,96.9475374732334
