ticker,cik,has_history,name,roic_latest_med,roic_mean_4y_med,roic_min_4y_med,roic_max_4y_med,roic_std_4y_med,roic_method_agreement,roic_years,enduring_strict,enduring_loose,roic_mauboussin,roic_damodaran,roic_greenblatt,roic_croic,roic_dupont,roiic_1y,roiic_2y,roiic_3y,roiic_acceleration,roiic_inflection,cc_roiic_1y,cc_roiic_2y,cc_roiic_3y,cc_roiic_acceleration,cc_roiic_inflection,nopat_latest,ic_latest,rev_latest,cc_roic_fcf_latest,cc_roic_fcf_mean_4y,cc_roic_fcf_min_4y,cc_roic_fcf_std_4y,cc_roic_ocf_latest,cc_roic_ocf_mean_4y,fcf_margin_latest,fcf_margin_mean_4y,cash_conversion_mean_4y,cash_conversion_min_4y,mktCap,sector,industry,currency,ev,ebit_now,ebitda_now,fcf_now,ev_ebit,ev_ebitda,ev_fcf,fcf_yield,rev_g,opm,gm,insiders,comp_score_v2,roic_mean,roic_min,roic_std,quality_compounder,cash_compounder,compounder_score,compounder_rank
AAC,2128115.0,False,Ares Acquisition Corporation III,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACB,2034334.0,True,ARTIUS II ACQUISITION INC.,,,,,,,0.0,False,False,,,,,,,,,,False,,,,,False,-6275403.71,-13823276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACIU,2092897.0,False,ARMADA ACQUISITION CORP. III,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACBR,2034334.0,True,ARTIUS II ACQUISITION INC.,,,,,,,0.0,False,False,,,,,,,,,,False,,,,,False,-6275403.71,-13823276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACIW,2092897.0,False,ARMADA ACQUISITION CORP. III,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACBU,2034334.0,True,ARTIUS II ACQUISITION INC.,,,,,,,0.0,False,False,,,,,,,,,,False,,,,,False,-6275403.71,-13823276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACO,2099906.0,False,Abony Acquisition Corp. I,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACOU,2099906.0,False,Abony Acquisition Corp. I,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACI,2092897.0,False,ARMADA ACQUISITION CORP. III,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACOW,2099906.0,False,Abony Acquisition Corp. I,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AACPU,2102123.0,False,APOGEE ACQUISITION CORP,,,,,,,,False,False,,,,,,,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,0.0,1429
AAME,8177.0,True,ATLANTIC AMERICAN CORP,-0.0246379953409109,0.0252585699738103,-0.0246379953409109,0.0774144955210473,0.0446241101220706,0.0430732624388978,5.0,False,False,-0.0611592211482909,-0.0393203698312469,,0.0714363786830723,-0.0099556208505749,,,,,False,2.0,,2.0,0.0,False,-3916820.0,64043000.0,188227000.0,0.0714363786830723,0.0535631298697822,0.0084182162992457,0.0287702029668146,0.0749496432084693,0.055366275116791,0.0243057584724826,0.0242483494268212,1.3189134392242805,0.9031984580492688,,,,,,,,,,,,,,,,,,0.0252585699738103,-0.0246379953409109,0.0446241101220706,False,False,29.36,711
AARD,1774857.0,True,"AARDVARK THERAPEUTICS, INC.",-0.8316731563223793,-0.8316731563223793,-0.8316731563223793,-0.8316731563223793,,0.7663222837026635,1.0,False,False,-0.8316731563223793,-0.4647037033563718,,-0.910795206606022,,-0.1794127346957342,,,,False,-0.2051050231426199,,,,False,-49552750.0,59582000.0,0.0,-0.910795206606022,-0.910795206606022,-0.910795206606022,,-0.9092007653318116,-0.9092007653318116,,,,,,,,,,,,,,,,,,,,,,-0.8316731563223793,-0.8316731563223793,,False,False,3.83,1287
AAT,1500217.0,True,"AMERICAN ASSETS TRUST, INC.",0.0064331909063261,0.0072766633283578,0.0064331909063261,0.0080146128623279,0.0005927877906483,0.9608214498823252,5.0,False,False,0.0067389870492071,0.0064331909063261,,,0.0062780271360871,,,,,False,,,,,False,18339850.0,2721455000.0,110086000.0,,,,,0.0614064902781784,0.0656188576514313,,,,,,,,,,,,,,,,,,,,,,0.0072766633283578,0.0064331909063261,0.0005927877906483,False,False,5.9,1200
ABAT,1576873.0,True,AMERICAN BATTERY TECHNOLOGY COMPANY,-0.4685438764247971,-0.7614075806259782,-1.5329883354967606,-0.323215579903683,0.4856026689602257,0.509109299630946,5.0,False,False,-0.4685438764247971,-0.423834390854406,-0.6851626972715239,,,1.5884287276857418,-1.2580228780837013,-0.1303907218425104,1.7188194495282525,True,,,,,False,-33198429.91,70854474.0,,,,,,-0.4081768781460434,-0.5102734583653159,,,,,,,,,,,,,,,,,,,,,,-0.7614075806259782,-1.5329883354967606,0.4856026689602257,False,False,47.55,380
ABOS,1576885.0,True,"Acumen Pharmaceuticals, Inc.",-1.1519400124416428,-0.4476047748174114,-1.1519400124416428,-0.1011831568070266,0.4216856157558925,0.6682693523438918,5.0,False,False,-2.05510860888198,-0.9629522300203758,-1.34092779486291,,,,,,,False,,,,,False,-97827280.0,47602000.0,,,,,,-2.4271669257594217,-0.7757666479663227,,,,,,,,,,,,,,,,,,,,,,-0.4476047748174114,-1.1519400124416428,0.4216856157558925,False,False,3.34,1323
ABEO,318306.0,True,ABEONA THERAPEUTICS INC.,-0.667256516581875,-1.1378324119726373,-1.7012224967510228,-0.667256516581875,0.3783462611287426,0.8001936496922731,5.0,False,False,-0.8860130246372533,-0.4983097280672356,-0.482831957766778,-0.8362033050965144,,-0.6308878674302444,-0.5184685307311301,-0.5562441040645753,-0.0746437633656691,False,-0.4223809601647678,-0.467455032301092,-0.4609493599184321,0.0385683997536643,False,-89322517.06578006,100814000.0,,-0.8362033050965144,-23.79411142225304,-105.77903682719548,41.05650267497897,-0.7570972285595254,-23.48830191238178,,,,,,,,,,,,,,,,,,,,,,-1.1378324119726373,-1.7012224967510228,0.3783462611287426,False,False,4.0,1276
ABSI,1672688.0,True,ABSCI CORP,-0.5550099159505146,-0.4512969677341449,-0.5550099159505146,-0.334275934083371,0.1091491249468008,0.6931560898652226,5.0,False,False,-0.5610210477854377,-0.5017204102423344,,-0.5550099159505146,,-0.3281569382859635,-0.0657557373639326,,,False,-0.7714618012648107,-0.494626638008736,2.0,-2.7714618012648105,False,-95050430.0,169424000.0,,-0.5550099159505146,-0.5859124885887466,-0.842673113392903,0.1383337238621227,-0.5484760128435169,-0.5031408113489414,,-16.277086935199215,,,,,,,,,,,,,,,,,,,,-0.4512969677341449,-0.5550099159505146,0.1091491249468008,False,False,3.47,1312
