ticker,price,absW_s_now,absW_ds_recent,absW_ds_prior,absW_d2s,absW_state,absW_bracket_n,absW_pos_in_bracket,absW_room,absW_A_bracket,absW_atr_pctl,absW_B_compress,absW_up_dn_vol,absW_C_sponsor,absW_D_ready,absW_dist_dest,absW_dist_invalid,absW_asymm,absW_E_asymm,absW_macro,absW_composite,absW_day_type,absW_open_type,absW_init_resp,absW_open_vs_va,absW_dp_signal,absW_spike,absW_p_form,absW_b_form,absW_failed_bd_reclaim,absW_failed_bo_reject,absW_accepted_outside,absW_var_trigger,absW_excess_buy,absW_excess_sell,absW_poor_low,absW_poor_high,absW_no_tail_streak,absW_bal_streak,absW_tpo_imbalance,absM_s_now,absM_ds_recent,absM_ds_prior,absM_d2s,absM_state,absM_bracket_n,absM_pos_in_bracket,absM_room,absM_A_bracket,absM_atr_pctl,absM_B_compress,absM_up_dn_vol,absM_C_sponsor,absM_D_ready,absM_dist_dest,absM_dist_invalid,absM_asymm,absM_E_asymm,absM_macro,absM_composite,absM_day_type,absM_open_type,absM_init_resp,absM_open_vs_va,absM_dp_signal,absM_spike,absM_p_form,absM_b_form,absM_failed_bd_reclaim,absM_failed_bo_reject,absM_accepted_outside,absM_var_trigger,inflect_score,velocity,acceleration,macro_total,monthly_bull,monthly_bear,final_rank,relW_s_now,relW_ds_recent,relW_ds_prior,relW_d2s,relW_state,relW_dp_signal,relW_init_resp,relM_s_now,relM_ds_recent,relM_ds_prior,relM_d2s,relM_state,relM_dp_signal,relM_init_resp,region,cap_suffix,market_cap,absW_asymm_w,asymm_capped_artifact,valid_risk,w_strong,w_weak,m_strong,m_weak,rw_strong,rw_weak,rm_strong,rm_weak,bull_weight,n_bull_tf,monthly_conflict,mirage,bform,fbd_recl,fbo_rej,asym_score,fund_pass,fund_score,ev_valuation,ev_metric_used,ev_ebit,ev_ebitda,fcf_yield,fcf_yield_clean,fcf_yield_artifact,rev_g,rev_g_clean,opm,mktCap,industry,sector,name,currency,absorp_pass,prebo_pass,compress_pass,n_lens,mega_score,cap_tier,dedupe_key,net_setup,net_perfect,buy_setup_prop,sell_setup_prop,buy_perfect_prop,sell_perfect_prop,cd_buy_sum,cd_sell_sum,leg_dalton,leg_td,leg_fund,leg_absorp,leg_prebo,leg_compress,n_core_legs,core_avg,min_core,lens_bonus,all_legs_score
ZEG.SG,162.39999389648438,4.75,7.5,2.38,5.12,ACCELERATION_UP,34,59.0,48.43,18,93.5897435897436,5,1.04,8,0,48.43,10.23,4.73,8,39,SELL_COMPOSITE,NORMAL,OPEN_AUCTION,INITIATIVE_BUY,ABOVE_VA_IN_RANGE,MIRAGE_BUY,,False,True,False,False,False,False,True,False,False,False,0,2,-1,0.88,-3.38,0.75,-4.12,DECELERATION_DOWN,8.0,73.9,10.23,7.0,100.0,0.0,1.19,11.0,0.0,10.23,28.98,0.35,0.0,18.0,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_SELL,BELOW_VA_IN_RANGE,FAILED_UP,,False,False,False,False,False,False,-1.5,4.3,-2.63,57,False,False,28.53,0.5,4.25,-4.38,8.62,ACCELERATION_UP,NEUTRAL,INITIATIVE_BUY,0.62,-2.25,5.0,-7.25,DECELERATION_DOWN,NEUTRAL,INITIATIVE_SELL,uk,large,Large Cap,4.73,False,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2,False,1,1,0,0,152.175,False,0.0,,,,,,,,,,,,,,,,True,False,True,2,232.175,Large Cap,ZEG.SG,24.44,0.0,44.44,20.0,0.0,0.0,18.0,23.0,99.32659932659934,98.27441077441077,,100,0,100,2,98.80050505050505,98.27441077441077,16,105.82260101010101
MSADY,26.6299991607666,2.5,3.0,6.0,-3.0,TRENDING_UP,25,55.44,69.89,10,50.0,3,0.81,0,5,69.89,14.31,4.88,8,26,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_SELL,ABOVE_VA_IN_RANGE,MIRAGE_BUY,,False,False,False,False,False,True,False,True,True,False,0,2,-1,3.38,3.25,2.38,0.88,INFLECTION_UP,6.0,64.02,14.31,2.0,100.0,0.0,0.81,0.0,5.0,14.31,25.46,0.56,0.0,7.0,BUY_COMPOSITE,TREND_UP,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,CONFIRMED_UP,,True,False,False,False,False,False,29.0,16.45,1.94,33,True,False,66.15,-0.5,3.88,-2.38,6.25,DECELERATION_UP,MIRAGE_BUY,INITIATIVE_SELL,-0.62,1.38,4.25,-2.88,INFLECTION_UP,BULLISH_HIGH_VOL,INITIATIVE_SELL,japan,large,Large Cap,4.88,False,True,0.0,0.5,1.0,0.0,0.0,0.5,1.0,0.0,3.0,4,False,1,0,0,0,145.82999999999998,False,32.74,-0.923006550719823,ev_ebitda,,-0.923006550719823,15.0787259340171,0.5,True,0.183,0.183,0.15012999,38638518272.0,Insurance - Property & Casualty,Financial Services,"MS&AD Insurance Group Holdings,",USD,False,False,True,1,284.04999999999995,Large Cap,"MS&AD INSURANCE GROUP HOLDINGS,",-2.22,0.0,22.22,24.44,0.0,0.0,16.0,21.0,98.69528619528619,96.25420875420876,99.45286195286195,0,0,100,3,98.13411896745231,96.25420875420876,8,99.8500280583614
0NZR.IL,26.309999465942383,-0.25,-1.62,0.62,-2.25,INFLECTION_DOWN,62,52.76,93.01,20,37.82051282051282,8,3.54,10,0,93.01,13.93,6.68,8,46,NEUTRAL,NORMAL_VAR_UP,OPEN_OUT_RANGE_UP,INITIATIVE_BUY,OUT_RANGE_UP,NEUTRAL,,False,False,False,False,False,False,True,True,False,False,0,8,-2,2.12,4.25,2.38,1.88,ACCELERATION_UP,14.0,53.66,93.01,13.0,68.96551724137932,0.0,0.23,0.0,0.0,93.01,13.44,6.92,8.0,21.0,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,NEUTRAL,,False,False,False,False,False,False,17.5,27.24,33.7,67,True,False,90.82,-1.25,1.5,-7.25,8.75,DECELERATION_UP,NEUTRAL,RESPONSIVE_SELL,3.0,10.12,0.12,10.0,ACCELERATION_UP,BEARISH_HIGH_VOL,INITIATIVE_BUY,belgium,large,Large Cap,6.68,False,True,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,2.5,3,False,0,0,0,0,135.62,False,24.62,1.496271937169841,ev_ebitda,,1.496271937169841,0.4548663443140548,0.4548663443140548,False,-0.15,-0.15,0.13118,2914042880.0,Chemicals,Basic Materials,SOLVAY SA SOLVAY ORD SHS,EUR,False,False,True,1,249.48,Large Cap,SOLVAY SA SOLVAY ORD SHS,15.56,0.0,28.89,13.33,0.0,0.0,13.0,24.0,96.08585858585859,97.09595959595958,97.34848484848484,0,0,100,3,96.84343434343434,96.08585858585859,8,99.08964646464646
0G8C.IL,152.35000610351562,1.12,8.5,-5.0,13.5,ACCELERATION_UP,59,50.45,94.13,20,73.71794871794873,3,0.53,3,0,94.13,13.62,6.91,8,34,SELL_COMP_CLOSE_LO,NORMAL_VAR_DN,OPEN_AUCTION,INITIATIVE_SELL,WITHIN_VA,CONFIRMED_DN,,False,True,False,False,False,False,False,False,False,False,0,3,0,0.38,4.0,-9.25,13.25,INFLECTION_UP,13.0,43.98,94.13,13.0,13.79310344827586,5.0,1.03,8.0,0.0,94.13,13.62,6.91,8.0,34.0,BUY_COMPOSITE,TREND_UP,OPEN_AUCTION,NEUTRAL,BELOW_VA_IN_RANGE,LOW_VOL_RALLY,SPIKE_DN_ACCEPTED,True,False,False,False,False,False,10.0,14.01,33.49,68,True,False,75.8,-1.25,0.5,5.25,-4.75,NEUTRAL,NEUTRAL,INITIATIVE_SELL,-5.12,-0.62,-4.25,3.62,TRENDING_DOWN,LOW_VOL_RALLY,NEUTRAL,norway,large,Large Cap,6.91,False,True,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2,False,0,1,0,0,146.74,False,0.0,,,,,,,,,,,,,,,,False,False,True,1,186.74,Large Cap,0G8C.IL,31.11,0.0,35.56,4.44,0.0,0.0,12.0,6.0,98.77946127946127,98.69528619528619,,0,0,100,2,98.73737373737373,98.69528619528619,8,97.91414141414141
BCE1.SG,21.165000915527344,5.38,8.5,1.0,7.5,INFLECTION_UP,81,72.22,67.53,22,65.38461538461539,5,3.43,10,0,67.53,20.7,3.26,5,42,SELL_COMPOSITE,NORMAL,OPEN_AUCTION,NEUTRAL,WITHIN_VA,MIRAGE_BUY,,False,True,False,False,False,False,True,False,False,False,0,3,1,2.12,-3.62,0.62,-4.25,DECELERATION_DOWN,18.0,72.22,67.53,15.0,100.0,0.0,4.7,8.0,0.0,67.53,20.7,3.26,5.0,28.0,BUY_COMP_CLOSE_HI,NORMAL_VAR_UP,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,LOW_VOL_RALLY,,False,False,False,False,False,False,21.0,12.69,12.63,70,False,False,68.66,2.88,6.25,-4.25,10.5,INFLECTION_UP,LOW_VOL_SELL,NEUTRAL,0.38,0.12,2.25,-2.12,INFLECTION_UP,NEUTRAL,NEUTRAL,canada,large,Large Cap,3.26,False,True,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3,False,1,1,0,0,152.34,False,0.0,,,,,,,,,,,,,,,,True,False,False,1,192.34,Large Cap,BCE1.SG,-6.67,0.0,13.33,20.0,0.0,0.0,26.0,5.0,99.41077441077442,97.68518518518519,,100,0,0,2,98.5479797979798,97.68518518518519,8,97.50694444444446
DKILY,15.109999656677246,5.5,-1.88,11.12,-13.0,DECELERATION_DOWN,7,72.95,77.58,12,62.82051282051282,0,1.43,13,0,77.58,23.56,3.29,5,30,SELL_COMPOSITE,NORMAL_VAR_DN,OPEN_AUCTION,INITIATIVE_SELL,WITHIN_VA,LOW_VOL_SELL,,False,True,False,False,False,False,True,False,False,False,0,4,-5,5.12,6.25,-2.38,8.62,INFLECTION_UP,2.0,76.55,77.58,9.0,34.48275862068966,3.0,1.22,3.0,0.0,77.58,28.52,2.72,3.0,18.0,BUY_COMPOSITE,NEUTRAL_OUTSIDE,OPEN_OUT_RANGE_UP,INITIATIVE_BUY,OUT_RANGE_UP,CONFIRMED_UP,,False,False,False,False,False,False,24.5,20.62,13.12,48,True,False,76.12,2.88,3.75,-3.88,7.62,ACCELERATION_UP,LOW_VOL_SELL,INITIATIVE_SELL,2.25,3.75,2.88,0.88,INFLECTION_UP,MIRAGE_BUY,INITIATIVE_BUY,japan,large,Large Cap,3.29,False,True,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3,False,0,1,0,0,122.66,False,30.91,0.2970915929006358,ev_ebitda,,0.2970915929006358,2.7936316275847526,0.5,True,0.164,0.164,0.0794,44248363008.0,Building Products & Equipment,Industrials,Daikin Industries Ltd.,USD,False,False,True,1,255.39,Large Cap,DAIKIN INDUSTRIES LTD.,-2.22,0.0,24.44,26.67,0.0,0.0,15.0,5.0,90.86700336700336,96.96969696969697,99.07407407407408,0,0,100,3,95.63692480359147,90.86700336700336,8,96.86040965207631
6071.T,801.0,2.75,-2.25,10.62,-12.88,DECELERATION_DOWN,55,58.87,44.02,20,18.58974358974359,10,1.08,3,5,44.02,13.18,3.34,8,46,NEUTRAL,NORMAL_VAR_DN,OPEN_OUT_RANGE_UP,INITIATIVE_BUY,OUT_RANGE_UP,NEUTRAL,,False,True,False,False,False,False,False,True,False,False,0,1,-1,3.12,10.25,-9.62,19.88,ACCELERATION_UP,12.0,57.35,44.02,10.0,20.6896551724138,5.0,1.66,11.0,5.0,44.02,13.18,3.34,8.0,39.0,BUY_COMPOSITE,TREND_UP,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,CONFIRMED_UP,,False,False,False,False,False,False,11.5,26.55,46.25,85,True,False,98.43,0.0,4.62,-4.75,9.38,NEUTRAL,MIRAGE_BUY,INITIATIVE_BUY,-2.62,3.25,-4.38,7.62,DECELERATION_UP,NEUTRAL,INITIATIVE_BUY,japan,smid,Small Cap,3.34,False,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5,2,False,0,1,0,0,132.26,False,18.19,7.499571763320993,ev_ebitda,,7.499571763320993,,,False,0.541,0.541,0.21291,30335145984.0,Personal Services,Consumer Cyclical,IBJ INC,JPY,False,False,True,1,226.83,Small Cap,IBJ INC,0.0,0.0,13.33,13.33,0.0,0.0,18.0,21.0,94.9074074074074,96.46464646464646,91.66666666666666,0,0,100,3,94.34624017957351,91.66666666666666,8,96.39043209876543
ENQ.L,19.940000534057617,3.5,4.5,-8.62,13.12,INFLECTION_UP,12,66.77,87.15,10,39.1025641025641,3,1.89,13,0,87.15,16.64,5.24,5,31,NEUTRAL,NORMAL_VAR_DN,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,LOW_VOL_RALLY,,False,False,False,False,False,False,True,False,False,False,0,12,1,11.25,9.5,2.25,7.25,INFLECTION_UP,3.0,86.1,87.15,15.0,3.4482758620689653,5.0,2.45,13.0,10.0,87.15,51.27,1.7,0.0,43.0,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_BUY,WITHIN_VA,NEUTRAL,,False,False,False,False,False,False,36.0,42.99,53.12,74,True,False,130.04,2.12,4.0,-7.75,11.75,INFLECTION_UP,NEUTRAL,INITIATIVE_BUY,9.38,9.12,3.38,5.75,INFLECTION_UP,NEUTRAL,INITIATIVE_BUY,uk,smid,Small Cap,5.24,False,True,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4,False,0,0,0,0,120.86,False,26.37,2.379639893114472,ev_ebitda,,2.379639893114472,0.6744334071693865,0.5,False,-0.043,-0.043,0.19740999,371099648.0,Oil & Gas E&P,Energy,ENQUEST PLC ORD 5P,GBp,False,False,True,1,239.97,Small Cap,ENQUEST PLC ORD 5P,2.22,0.0,17.78,15.56,0.0,0.0,21.0,17.0,89.64646464646465,97.22222222222221,97.89562289562289,0,0,100,3,94.92143658810325,89.64646464646465,8,96.10072951739619
HKXCY,51.290000915527344,-1.62,-7.0,8.0,-15.0,ACCELERATION_DOWN,57,54.64,52.82,20,10.897435897435898,10,0.9,3,0,52.82,14.17,3.73,8,41,NEUTRAL,NORMAL_VAR_DN,OPEN_AUCTION,INITIATIVE_SELL,BELOW_VA_IN_RANGE,LOW_VOL_SELL,,True,False,False,False,False,False,False,True,True,False,0,2,0,-0.12,4.38,-10.5,14.88,DECELERATION_UP,13.0,53.82,52.82,10.0,3.4482758620689653,5.0,0.84,0.0,0.0,52.82,14.17,3.73,8.0,23.0,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_SELL,WITHIN_VA,BEARISH_HIGH_VOL,,False,False,False,False,False,False,22.0,4.06,16.14,64,True,False,72.89,-1.5,-2.5,2.62,-5.12,INFLECTION_UP,NEUTRAL,INITIATIVE_SELL,1.5,4.12,-4.12,8.25,INFLECTION_UP,NEUTRAL,INITIATIVE_BUY,hk,large,Large Cap,3.73,False,True,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,2.5,3,False,0,0,0,0,119.94,False,23.7,-10.519579549248592,ev_ebitda,,-10.519579549248592,,,False,0.19,0.19,0.77203006,64832155648.0,Financial Data & Stock Exchanges,Financial Services,Hong Kong Exchange & Clearing L,USD,False,False,True,1,231.04,Large Cap,HONG KONG EXCHANGE & CLEARING L,53.33,20.0,53.33,0.0,20.0,0.0,29.0,1.0,89.12037037037037,99.91582491582491,96.33838383838383,0,0,100,3,95.12485970819303,89.12037037037037,8,96.05478395061728
0388.HK,405.6000061035156,-3.0,-6.38,3.12,-9.5,ACCELERATION_DOWN,56,56.34,53.73,20,2.564102564102564,10,2.14,10,0,53.73,11.69,4.6,8,48,NEUTRAL,NORMAL,OPEN_AUCTION,INITIATIVE_SELL,WITHIN_VA,LOW_VOL_SELL,,True,False,False,False,False,False,False,True,False,False,0,2,-1,-1.38,1.5,-7.75,9.25,DECELERATION_UP,13.0,61.01,17.0,8.0,3.4482758620689653,5.0,1.17,8.0,0.0,17.0,18.29,0.93,0.0,21.0,NEUTRAL,NEUTRAL_OUTSIDE,OPEN_AUCTION,INITIATIVE_SELL,WITHIN_VA,LOW_VOL_SELL,,False,False,False,False,False,False,22.0,0.68,16.74,69,True,False,73.6,0.12,-1.62,3.62,-5.25,INFLECTION_UP,LOW_VOL_SELL,INITIATIVE_SELL,0.25,3.62,-6.5,10.12,INFLECTION_UP,LOW_VOL_SELL,INITIATIVE_SELL,hk,large,Large Cap,4.6,False,True,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,2.5,3,False,0,0,0,0,119.46,False,17.89,8.71738713606149,ev_ebitda,,8.71738713606149,,,False,0.19,0.19,0.77203006,508393324544.0,Financial Data & Stock Exchanges,Financial Services,HKEX,HKD,False,False,True,1,213.13,Large Cap,HKEX,35.56,0.0,42.22,6.67,0.0,0.0,15.0,12.0,88.84680134680136,98.94781144781145,91.07744107744108,0,0,100,3,92.95735129068464,88.84680134680136,8,94.78058361391696
