ticker,name
AC8.AX,"AC8.AX,0P00006WEB,0"
ACQ.AX,ACORN CAP FPO [ACQ]
ADV.AX,ARDIDEN FPO [ADV]
AFG.AX,AUSTRA FIN FPO [AFG]
AFI.AX,AUS.FOUND. FPO [AFI]
AHI.AX,"AHI.AX,0P00016H77,0"
AJQ.AX,"AJQ.AX,0P0000VYN3,0"
AKO.AX,AKORA RES FPO [AKO]
AKP.AX,"AKP.AX,0P00006XZV,0"
ALB.AX,ALBIONRES FPO [ALB]
ALI.AX,ARGO GLOBL FPO [ALI]
AMH.AX,AMCIL FPO [AMH]
AMN.AX,AGRIMIN FPO [AMN]
AMT.AX,"AMT.AX,0P0000A1NQ,0"
ANL.AX,"ANL.AX,0P0000A1L3,0"
AO1.AX,"AO1.AX,0P0000RYW6,0"
AOF.AX,AU OFFICE FPO [AOF]
APW.AX,AIMSPROSEC ORD UNITS [APW]
ARF.AX,ARENA REIT STAPLED [ARF]
ATU.AX,"ATU.AX,0P0000WCS9,0"
AYI.AX,"AYI.AX,0P0000A1KW,0"
BBC.AX,BNKBANKING FPO [BBC]
BEN.AX,BEN ADE BK FPO [BEN]
BFG.AX,BELL FN GP FPO [BFG]
BHD.AX,HORNIGOLD FPO [BHD]
BKG.AX,"BKG.AX,0P0001L88H,0"
BKI.AX,BKI INVEST FPO [BKI]
BMG.AX,BMG FPO [BMG]
BOQ.AX,BANK QLD FPO [BOQ]
BOQPF.AX,BANK QLD NYR3QUT [BOQPF]
BPH.AX,BPH ENERGY FPO [BPH]
BTC.AX,BTC HEALTH FPO [BTC]
BTI.AX,BAILADOR FPO [BTI]
BWP.AX,BWPPROPGP STAPLED [BWP]
CAM.AX,CLIME CAP FPO [CAM]
CCP.AX,CREDITCORP FPO [CCP]
CCV.AX,CASH CONV FPO [CCV]
CDM.AX,CADENCE FPO [CDM]
CDP.AX,CARINDALE ORD UNITS [CDP]
CFO.AX,"CFO.AX,0P00018BR0,0"
CIN.AX,CARLT.INV. FPO [CIN]
CIP.AX,CEN I REIT ORD UNITS [CIP]
CLW.AX,CHTR H LWR STAPLED [CLW]
CMD.AX,CASSISUSMI FPO [CMD]
CNI.AX,CENTURIA STAPLED [CNI]
