ticker,name
0009.HK,"0009.HK,0P00009TFB,0"
0064.HK,GET NICE
0093.HK,ZERO FINTECH
0102.HK,"0102.HK,0P00009TEP,0"
0111.HK,CINDA INTL HLDG
0188.HK,SUNWAH KINGSWAY
0211.HK,STYLAND HOLD
0218.HK,SWHYHK
0335.HK,UPBEST GROUP
0428.HK,COCOON HOLDINGS
0440.HK,DAH SING
0471.HK,SILKWAVE INC
0474.HK,ACESO LIFE SCI
0511.HK,TVB
0593.HK,"0593.HK,0P00009S04,0"
0622.HK,OSHIDORI
0713.HK,WORLD HOUSEWARE
0715.HK,"0715.HK,0P00009S29,0"
0717.HK,EMPEROR CAPITAL
0730.HK,CAPITAL IND FIN
0764.HK,ETERNITY INV
0808.HK,PROSPERITY REIT
0821.HK,VC HOLDINGS
0900.HK,AEON CREDIT
0913.HK,HARBOUR DIGITAL
0943.HK,ZHONGZHENG INTL
0952.HK,QUAM PLUS FIN
0993.HK,XINKONG INT CAP
1034.HK,"1034.HK,0P0001EUD1,0"
1063.HK,SUNCORP TECH
1141.HK,CMBC CAPITAL
1185.HK,"1185.HK,0P00009S7C,0"
1319.HK,OIWAHPAWN
1383.HK,"1383.HK,0P00009T4F,0"
1387.HK,"1387.HK,0P0000INR0,0"
1523.HK,PLOVER BAY TECH
1848.HK,CALC
2341.HK,"2341.HK,0P00009S9M,0"
2356.HK,DAHSING BANKING
6880.HK,"6880.HK,0P0000UUAC,0"
8140.HK,BOSATECH
8149.HK,ALTUS HLDGS
8167.HK,"8167.HK,0P0000A42Z,0"
8226.HK,KOALA FIN GP
8269.HK,GO UP EDU TECH
