ticker,name
000225.KS,YuyuPharma(1P)
000227.KS,YuyuPharma(2PB)
000250.KQ,SCD
000440.KQ,JA Enervis
000545.KS,HeungkukF&MIns(1P)
001275.KS,BookookSecu(1P)
001290.KS,SANGSANGININV&SEC
001525.KS,TONGYANG(1P)
001529.KS,"001529.KS,0P0000D4VL,0"
001755.KS,HanyangSecu(1P)
003100.KQ,SUN KWANG
003460.KS,YuhwaSecu
003465.KS,YuhwaSecu(1P)
003540.KS,DaishinSecu
003545.KS,DaishinSecu(1P)
003547.KS,DAISHINSECU(2PB)
007390.KQ,NATURECELL
007530.KQ,YM
009415.KS,TAEYOUNG E&C(1P)
010240.KQ,HEUNGKUK
011040.KQ,KDPharm
011080.KQ,HYUNGJI I&C
012340.KQ,NUINTEK
014280.KS,KUMKANG KIND
014285.KS,KUMKANG KIND(1P)
014470.KQ,Bubang
015710.KQ,KOCOM
017000.KQ,ShinwonConst
018120.KQ,JrDistiller
018620.KQ,WOOGENE B&G
019010.KQ,VenueG
019660.KQ,GLOBON
020710.KQ,SIGONG TECH
021040.KQ,dhSteel
021045.KQ,dhSteel(1P)
021080.KQ,Atinum Investment
023160.KQ,TKCORP.
023760.KQ,HKCapital
023770.KQ,PLAYWITH
024740.KQ,HanilForging
026150.KQ,TSConstruct
027360.KQ,AJU IB INVESTMENT
027580.KQ,SBK
027710.KQ,FarmStory
027830.KQ,Daesung PE
030350.KQ,Dragonfly
030520.KQ,HANCOM
030610.KS,KYOBOSECURITIES
030960.KQ,Yangjisa
031310.KQ,EYESVISION
032080.KQ,AZTECHWB
032580.KQ,Fidelix
032620.KQ,GCMediAI
033310.KQ,M2N
033500.KQ,DONGSUNG FINETEC
033540.KQ,Paratech
034830.KS,KOREIT
035200.KQ,PLUMB FAST
036200.KQ,UNISEM
036560.KQ,KZPC
036620.KQ,GAMSUNG Corp.
036630.KQ,SEJONG TELECOM
036670.KQ,Samyang KCI
038060.KQ,LUMENS
038460.KQ,BioSmart
038540.KQ,Sangsangin
041190.KQ,WTIC
041830.KQ,InBody
041910.KQ,Polaris AI Pharma
041960.KQ,KOMIPHARM
043090.KQ,The Technology
043150.KQ,VATECH
043220.KQ,TS Nexgen
043650.KQ,KSDB
043710.KQ,CosLeaguer Global
045100.KQ,HANYANG ENG
045970.KQ,CoAsia
046210.KQ,HLB PANAGENE
046440.KQ,KG Financial
047310.KQ,POWER LOGICS
047560.KQ,ESTsoft
047770.KQ,Codes Combine
048470.KQ,DAESCO
048550.KQ,SM C&C
048770.KQ,TPC Robotics
048830.KQ,NPK
049430.KQ,KOMELON
049520.KQ,UIL
049950.KQ,meerecompany
050110.KQ,CammSys
050760.KQ,S polytech
050890.KQ,Solid
052020.KQ,STCUBE
052220.KQ,iMBC
052260.KQ,HYUNDAI BIOLAND
052300.KQ,Ocean In W
052420.KQ,OSUNG ADVANCED MATERIALS
052460.KQ,iCRAFT
052710.KQ,Amotech
053030.KQ,Binex
053060.KQ,SAE DONG
053270.KQ,G.Y.TECH
053290.KQ,NE Neungyule
053350.KQ,INITECH
053580.KQ,WebCash
053700.KQ,SAMBO MOTORS
054090.KQ,SAMJIN LND
054180.KQ,MEDICOX
054780.KQ,KEYEAST
054920.KQ,Hancom WITH
056080.KQ,Yujin Robot
057030.KQ,YBM NET
057540.KQ,Omnisystem
058630.KQ,Mgame
060280.KQ,CUREXO
060370.KQ,LS Marine Solution
064240.KQ,homecast
064350.KS,HYUNDAI ROTEM
066310.KQ,QSI
066700.KQ,THERAGEN ETEX
066910.KQ,SONOKONG
067010.KQ,ECS
067280.KQ,Multicampus
067290.KQ,JW SHINYAK
067770.KQ,SEJINTS
068330.KQ,"ilShinbiobase Co., Ltd."
069080.KQ,Webzen
069510.KQ,ESTec
070590.KQ,Inticube
072870.KQ,megastudy
073010.KQ,KSP
073490.KQ,LIG Accuver
073540.KQ,FRTEK
074430.KQ,AMINOLOGICS
077360.KQ,DSHM
078020.KQ,LS SECURITIES
078070.KQ,Ubiquoss Holdings
078140.KQ,Daebongls
078160.KQ,MEDIPOST
078350.KQ,HANYANG DIGI
078590.KQ,HYULIM A-TECH
078600.KQ,DAEJOO
079000.KQ,WATOS COREA
079170.KQ,Hanchang
079650.KQ,Seosan
079940.KQ,GABIA
079950.KQ,INVENIA
079970.KQ,TOBESOFT
080220.KQ,JSC
080470.KQ,SCAutotech
080520.KQ,ODTech
082800.KQ,VIVOZON PHARMACEUTICAL
084990.KQ,Helixmith
086520.KQ,ECOPRO
088260.KS,E KOCREF
089010.KQ,CHEMTRON
089140.KQ,NEXTURN&ROLLKOREA
089150.KQ,KCT
089890.KQ,KOSES
090150.KQ,iWIN
090470.KQ,JAS Robotics
090710.KQ,Hyulim ROBOT
090850.KQ,HYUNDAI EZWEL
091440.KQ,Hanwool MS
091700.KQ,PARTRON
092070.KQ,DNF
092460.KQ,HANLA IMS
092600.KQ,NC&
092730.KQ,Neopharm
092870.KQ,EXICON
