ticker,name
AAVMY,Abn Amro BK N V
AB2.F,ABN AMRO Bank N.V.            C
ABMRF,ABN Amro Group NV
ABN.AS,ABN AMRO BANK N.V.
ABN.VI,ABN AMRO GROUP NV
EXO.VI,EXOR NV
EXO1N.MX,EXOR NV
EYX.F,EXOR N.V.                     A
ING,"ING Group, N.V."
ING.BA,ING GROEP N.V. CEDEAR EACH 3 RE
INGA.AS,ING GROEP N.V.
INGA.VI,ING GROEP NV
INGG34.SA,ING GROEP   DRN
INGN.MX,"INGN.MX,0P0000T5YF,0"
INGVF,ING Groep N.V.
INN1.DE,ING Groep N.V.                A
INN1.F,ING Groep N.V.                A
INNA.F,ING GROEP N.V.                A
STLA.VI,STELLANTIS N.V.
