ticker,name,sector,industry,market_cap
0001.HK,CK Hutchison Holdings Limited,Industrials,Industrial Conglomerates,Large Cap
0004.HK,Wharf (Holdings) Limited,Real Estate,Real Estate Management & Development,Large Cap
0011.HK,Hang Seng Bank Limited,Financials,Banks,Large Cap
0019.HK,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
0027.HK,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
0087.HK,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
0101.HK,Hang Lung Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
0175.HK,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
0241.HK,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
0291.HK,China Resources Beer (Holdings) Company Limited,Consumer Staples,Beverages,Large Cap
0388.HK,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,Large Cap
0669.HK,Techtronic Industries Company Limited,Industrials,Building Products,Large Cap
0762.HK,China Unicom (Hong Kong) Limited,Communication Services,Diversified Telecommunication Services,Large Cap
0868.HK,Xinyi Glass Holdings Limited,Industrials,Building Products,Large Cap
0883.HK,CNOOC Limited,Energy,"Oil, Gas & Consumable Fuels",Large Cap
0992.HK,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
1308.HK,SITC International Holdings Company Limited,Industrials,Air Freight & Logistics,Large Cap
1876.HK,BUDWEISER BREWING CO APAC LTD.,Consumer Staples,Beverages,Large Cap
1929.HK,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
1972.HK,Swire Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
1997.HK,Wharf Real Estate Investment Company Limited,Real Estate,Real Estate Management & Development,Large Cap
1CT.F,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
1CT.MU,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
2313.HK,Shenzhou International Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
2319.HK,China Mengniu Dairy Company Limited,Consumer Staples,Food & Staples Retailing,Large Cap
4BB.F,BUDWEISER BREWING CO APAC LTD.,Consumer Staples,Beverages,Large Cap
4BB1.F,BUDWEISER BREWING CO APAC LTD.,Consumer Staples,Beverages,Large Cap
4WF.F,Wharf Real Estate Investment Company Limited,Real Estate,Real Estate Management & Development,Large Cap
4WF.SG,Wharf Real Estate Investment Company Limited,Real Estate,Real Estate Management & Development,Large Cap
6823.HK,HKT Trust and HKT Limited,Communication Services,Diversified Telecommunication Services,Large Cap
688363.SS,Bloomage BioTechnology Corporation Limited,Materials,Chemicals,Large Cap
7S8.F,SITC International Holdings Company Limited,Industrials,Air Freight & Logistics,Large Cap
AAGIY,AIA Group Limited,Financials,Insurance,Large Cap
AAIGF,AIA Group Limited,Financials,Insurance,Large Cap
ALBBY,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
ALBHF,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
AOP.F,Hang Lung Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
BDWBF,BUDWEISER BREWING CO APAC LTD.,Consumer Staples,Beverages,Large Cap
BDWBY,BUDWEISER BREWING CO APAC LTD.,Consumer Staples,Beverages,Large Cap
BHKLY,BOC Hong Kong (Holdings) Limited,Financials,Banks,Large Cap
BNKHF,BOC Hong Kong (Holdings) Limited,Financials,Banks,Large Cap
BOF.F,BOC Hong Kong (Holdings) Limited,Financials,Banks,Large Cap
CAOVF,China Overseas Land & Investment Limited,Real Estate,Real Estate Management & Development,Large Cap
CAOVY,China Overseas Land & Investment Limited,Real Estate,Real Estate Management & Development,Large Cap
CEO,CNOOC Limited,Energy,"Oil, Gas & Consumable Fuels",Large Cap
CGASY,China Resources Gas Group Limited,Utilities,Gas Utilities,Large Cap
CGHLY,China Gas Holdings Ltd.,Utilities,Gas Utilities,Large Cap
CGHOF,China Gas Holdings Ltd.,Utilities,Gas Utilities,Large Cap
CHH.F,CK Infrastructure Holdings Limited,Utilities,Electric Utilities,Large Cap
CHK.F,China Resources Beer (Holdings) Company Limited,Consumer Staples,Beverages,Large Cap
CHKGF,CK Asset Holdings Limited,Real Estate,Real Estate Management & Development,Large Cap
CHZ.F,China Resources Land Limited,Real Estate,Real Estate Management & Development,Large Cap
CIADF,China Mengniu Dairy Company Limited,Consumer Staples,Food & Staples Retailing,Large Cap
CIADY,China Mengniu Dairy Company Limited,Consumer Staples,Food & Staples Retailing,Large Cap
CJEWF,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
CJEWY,Chow Tai Fook Jewellery Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
CKHUF,CK Hutchison Holdings Limited,Industrials,Industrial Conglomerates,Large Cap
CKHUY,CK Hutchison Holdings Limited,Industrials,Industrial Conglomerates,Large Cap
CKISY,CK Infrastructure Holdings Limited,Utilities,Electric Utilities,Large Cap
CLP.F,CLP Holdings Limited,Utilities,Electric Utilities,Large Cap
CLP1.F,CLP Holdings Limited,Utilities,Electric Utilities,Large Cap
CLPHF,CLP Holdings Limited,Utilities,Electric Utilities,Large Cap
CLPHY,CLP Holdings Limited,Utilities,Electric Utilities,Large Cap
CNGKY,CK Asset Holdings Limited,Real Estate,Real Estate Management & Development,Large Cap
CNO.F,China Railway Group Limited Class H,Industrials,Construction & Engineering,Large Cap
CNU.TO,CNOOC Limited,Energy,"Oil, Gas & Consumable Fuels",Large Cap
CPF.F,CITIC Limited,Industrials,Industrial Conglomerates,Large Cap
CPF0.F,CITIC Limited,Industrials,Industrial Conglomerates,Large Cap
CPP.F,China Overseas Land & Investment Limited,Real Estate,Real Estate Management & Development,Large Cap
CRBJF,China Resources Land Limited,Real Estate,Real Estate Management & Development,Large Cap
CRBJY,China Resources Land Limited,Real Estate,Real Estate Management & Development,Large Cap
CRGGF,China Resources Gas Group Limited,Utilities,Gas Utilities,Large Cap
CRHKY,China Resources Beer (Holdings) Company Limited,Consumer Staples,Beverages,Large Cap
CRWOF,China Railway Group Limited Class H,Industrials,Construction & Engineering,Large Cap
CTM.F,China Mobile Limited,Communication Services,Diversified Telecommunication Services,Large Cap
CTPCF,CITIC Limited,Industrials,Industrial Conglomerates,Large Cap
CTPCY,CITIC Limited,Industrials,Industrial Conglomerates,Large Cap
EBZ.F,China Gas Holdings Ltd.,Utilities,Gas Utilities,Large Cap
EZQ.F,China Mengniu Dairy Company Limited,Consumer Staples,Food & Staples Retailing,Large Cap
FUTU,Futu Holdings Limited,Financials,Capital Markets,Large Cap
FUTUN.MX,Futu Holdings Limited,Financials,Capital Markets,Large Cap
GELYF,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GELYY,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GRU.F,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GRU.SG,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GRU.VI,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GRUA.F,Geely Automobile Holdings Ltd.,Consumer Discretionary,Automobiles,Large Cap
GXYEF,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
GXYYY,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
HCG.F,The Hong Kong and China Gas Company Limited,Utilities,Gas Utilities,Large Cap
HCGS.F,The Hong Kong and China Gas Company Limited,Utilities,Gas Utilities,Large Cap
HEH.F,Power Assets Holdings Limited,Utilities,Independent Power and Renewable Electricity Producers,Large Cap
HGKGF,Power Assets Holdings Limited,Utilities,Independent Power and Renewable Electricity Producers,Large Cap
HGKGY,Power Assets Holdings Limited,Utilities,Independent Power and Renewable Electricity Producers,Large Cap
HK2C.F,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,Large Cap
HKTTF,HKT Trust and HKT Limited,Communication Services,Diversified Telecommunication Services,Large Cap
HKTTY,HKT Trust and HKT Limited,Communication Services,Diversified Telecommunication Services,Large Cap
HKXCF,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,Large Cap
HKXCY,Hong Kong Exchanges and Clearing Limited,Financials,Capital Markets,Large Cap
HLD.F,Henderson Land Development Company Limited,Real Estate,Real Estate Management & Development,Large Cap
HLDCY,Henderson Land Development Company Limited,Real Estate,Real Estate Management & Development,Large Cap
HLPPF,Hang Lung Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
HLPPY,Hang Lung Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
HOKCF,The Hong Kong and China Gas Company Limited,Utilities,Gas Utilities,Large Cap
HOKCY,The Hong Kong and China Gas Company Limited,Utilities,Gas Utilities,Large Cap
HSB.F,Hang Seng Bank Limited,Financials,Banks,Large Cap
HSNGF,Hang Seng Bank Limited,Financials,Banks,Large Cap
HSNGY,Hang Seng Bank Limited,Financials,Banks,Large Cap
JGLCF,JS Global Lifestyle Company Limited,Consumer Staples,Household Products,Large Cap
KW9A.F,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
KW9B.F,Galaxy Entertainment Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Large Cap
LGX1.F,China Resources Gas Group Limited,Utilities,Gas Utilities,Large Cap
LHL.F,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
LHL1.F,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
LHL1.SG,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
LKREF,Link Real Estate Investment Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Large Cap
LNVGF,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
LNVGY,Lenovo Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Large Cap
MRI.F,MTR Corporation Limited,Industrials,Road & Rail,Large Cap
MTCPY,MTR Corporation Limited,Industrials,Road & Rail,Large Cap
MTRJF,MTR Corporation Limited,Industrials,Road & Rail,Large Cap
NC2A.F,CNOOC Limited,Energy,"Oil, Gas & Consumable Fuels",Large Cap
NC2B.F,CNOOC Limited,Energy,"Oil, Gas & Consumable Fuels",Large Cap
NDVLY,New World Development Co. Ltd.,Real Estate,Real Estate Management & Development,Large Cap
NWDA.F,New World Development Co. Ltd.,Real Estate,Real Estate Management & Development,Large Cap
NWWDF,New World Development Co. Ltd.,Real Estate,Real Estate Management & Development,Large Cap
ORI1.F,Orient Overseas (International) Limited,Industrials,Marine,Large Cap
OROVF,Orient Overseas (International) Limited,Industrials,Marine,Large Cap
OROVY,Orient Overseas (International) Limited,Industrials,Marine,Large Cap
RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Health Care,Biotechnology,Large Cap
S6L.F,Shenzhou International Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
SBHMY,Sino Biopharmaceutical Limited,Health Care,Biotechnology,Large Cap
SBMFF,Sino Biopharmaceutical Limited,Health Care,Biotechnology,Large Cap
SHG.F,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SHZHY,Shenzhou International Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
SITIY,SITC International Holdings Company Limited,Industrials,Air Freight & Logistics,Large Cap
SMZ1.F,Sino Biopharmaceutical Limited,Health Care,Biotechnology,Large Cap
SMZ1.SG,Sino Biopharmaceutical Limited,Health Care,Biotechnology,Large Cap
SMZU.F,Sino Biopharmaceutical Limited,Health Care,Biotechnology,Large Cap
SUHJF,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SUHJY,Sun Hung Kai Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SW9.F,Swire Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SW9.SG,Swire Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SWI.F,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SWI1.F,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SWPFF,Swire Properties Limited,Real Estate,Real Estate Management & Development,Large Cap
SWRAF,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SWRAY,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SWRBF,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SWRBY,Swire Pacific Limited,Industrials,Industrial Conglomerates,Large Cap
SZHIF,Shenzhou International Group Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
TIB1.F,Techtronic Industries Company Limited,Industrials,Building Products,Large Cap
TTNDF,Techtronic Industries Company Limited,Industrials,Building Products,Large Cap
TTNDY,Techtronic Industries Company Limited,Industrials,Building Products,Large Cap
TWY.F,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
TWY.SG,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
TWYA.F,Alibaba Health Information Technology Limited,Health Care,Pharmaceuticals,Large Cap
WARFF,Wharf (Holdings) Limited,Real Estate,Real Estate Management & Development,Large Cap
WARFY,Wharf (Holdings) Limited,Real Estate,Real Estate Management & Development,Large Cap
WHA.F,Wharf (Holdings) Limited,Real Estate,Real Estate Management & Development,Large Cap
WHGLY,WH Group Limited,Consumer Staples,Food & Staples Retailing,Large Cap
WHGRF,WH Group Limited,Consumer Staples,Food & Staples Retailing,Large Cap
WRFRF,Wharf Real Estate Investment Company Limited,Real Estate,Real Estate Management & Development,Large Cap
XCI.F,China Unicom (Hong Kong) Limited,Communication Services,Diversified Telecommunication Services,Large Cap
XI9.F,Xinyi Glass Holdings Limited,Industrials,Building Products,Large Cap
XYIGF,Xinyi Glass Holdings Limited,Industrials,Building Products,Large Cap
XYIGY,Xinyi Glass Holdings Limited,Industrials,Building Products,Large Cap
ZCH.F,China Telecom Corporation Limited,Communication Services,Diversified Telecommunication Services,Large Cap
