ticker,name,sector,industry,market_cap
1913.HK,Prada S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
2FE.DE,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
2FE.DU,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
2FE.HA,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
2FE.MU,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
2FE.SG,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
58H.F,Davide Campari-Milano N.V.,Consumer Staples,Beverages,Large Cap
7PI.F,Poste Italiane SpA,Industrials,Industrial Conglomerates,Large Cap
AGEN.VI,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ARZGF,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ARZGY,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ASG.DE,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ASG.F,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ASG.SG,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ASG0.F,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
ATASF,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
ATASY,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
ATL.MI,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
ATL.VI,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
AU9.F,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
AU9A.F,Atlantia SpA,Industrials,Transportation Infrastructure,Large Cap
AXNA.F,Amplifon S.p.A.,Health Care,Health Care Equipment & Supplies,Large Cap
CPR.MI,Davide Campari-Milano N.V.,Consumer Staples,Beverages,Large Cap
CRIN.F,UniCredit S.p.A.,Financials,Banks,Large Cap
CRIN.SG,UniCredit S.p.A.,Financials,Banks,Large Cap
CRIP.F,UniCredit S.p.A.,Financials,Banks,Large Cap
CRIP.SG,UniCredit S.p.A.,Financials,Banks,Large Cap
DVDCF,Davide Campari-Milano N.V.,Consumer Staples,Beverages,Large Cap
E,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
EIPAF,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENEL.MI,Enel SpA,Utilities,Multi-Utilities,Large Cap
ENEL.VI,Enel SpA,Utilities,Multi-Utilities,Large Cap
ENI.BE,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.BR,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.DE,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.DU,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.F,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.HA,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.HM,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.MI,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.MU,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.SG,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI.VI,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI1.BE,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI1.F,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENI1.SG,Eni S.p.A.,Energy,"Oil, Gas & Consumable Fuels",Large Cap
ENL.DE,Enel SpA,Utilities,Multi-Utilities,Large Cap
ENL.F,Enel SpA,Utilities,Multi-Utilities,Large Cap
ENLA.F,Enel SpA,Utilities,Multi-Utilities,Large Cap
ENLAY,Enel SpA,Utilities,Multi-Utilities,Large Cap
ESOCF,Enel SpA,Utilities,Multi-Utilities,Large Cap
FBK.MI,FinecoBank Banca Fineco S.p.A.,Financials,Banks,Large Cap
FBK.VI,FinecoBank Banca Fineco S.p.A.,Financials,Banks,Large Cap
FCBBF,FinecoBank Banca Fineco S.p.A.,Financials,Banks,Large Cap
G.MI,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
GEN.BR,Assicurazioni Generali S.p.A.,Financials,Insurance,Large Cap
IES.DE,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
IES.F,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
IES.SG,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
IESJ.SG,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
IITSF,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
ISNPY,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
ISP.MI,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
ISP.VI,Intesa Sanpaolo S.p.A.,Financials,Banks,Large Cap
MB.MI,Mediobanca Banca di Credito Finanziario S.p.A.,Financials,Banks,Large Cap
MB.VI,Mediobanca Banca di Credito Finanziario S.p.A.,Financials,Banks,Large Cap
MDIBY,Mediobanca Banca di Credito Finanziario S.p.A.,Financials,Banks,Large Cap
ME9.F,Mediobanca Banca di Credito Finanziario S.p.A.,Financials,Banks,Large Cap
MONC.MI,Moncler S.P.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MONC.VI,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MONCN.MX,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MONRF,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MONRY,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MOV.BE,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MOV.DU,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MOV.F,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MOV.MU,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
MOV.SG,Moncler S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
N0X0.F,Nexi S.p.A.,Information Technology,Software,Large Cap
N0XA.BE,Nexi S.p.A.,Information Technology,Software,Large Cap
N0XA.DU,Nexi S.p.A.,Information Technology,Software,Large Cap
N0XA.F,Nexi S.p.A.,Information Technology,Software,Large Cap
N0XA.MU,Nexi S.p.A.,Information Technology,Software,Large Cap
N0XA.SG,Nexi S.p.A.,Information Technology,Software,Large Cap
NEXI.MI,Nexi S.p.A.,Information Technology,Software,Large Cap
NEXI.VI,Nexi S.p.A.,Information Technology,Software,Large Cap
NEXPF,Nexi S.p.A.,Information Technology,Software,Large Cap
NEXXY,Nexi S.p.A.,Information Technology,Software,Large Cap
PRDSF,Prada S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
PRDSY,Prada S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
PRP.F,Prada S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
PRP.SG,Prada S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Large Cap
PST.MI,Poste Italiane SpA,Industrials,Industrial Conglomerates,Large Cap
PST.VI,Poste Italiane SpA,Industrials,Industrial Conglomerates,Large Cap
RACE,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
RACE.MI,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
RACE.VI,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
RACEN.MX,Ferrari N.V.,Consumer Discretionary,Automobiles,Large Cap
RCDTF,Recordati Industria Chimica e Farmaceutica S.p.A.,Health Care,Pharmaceuticals,Large Cap
REC.MI,Recordati Industria Chimica e Farmaceutica S.p.A.,Health Care,Pharmaceuticals,Large Cap
REC.VI,Recordati Industria Chimica e Farmaceutica S.p.A.,Health Care,Pharmaceuticals,Large Cap
RER1.F,Recordati Industria Chimica e Farmaceutica S.p.A.,Health Care,Pharmaceuticals,Large Cap
SNM.BE,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.DU,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.F,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.HA,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.HM,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.MU,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNM.SG,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
SNMRF,Snam S.p.A.,Utilities,Gas Utilities,Large Cap
