ticker,name,sector,industry,market_cap
AC.MX,"Arca Continental, S.A.B. de C.V.",Consumer Staples,Beverages,Large Cap
AMXA.MX,"America Movil, S.A.B. de C.V.",Communication Services,Diversified Telecommunication Services,Large Cap
AMXL.MX,"America Movil, S.A.B. de C.V.",Communication Services,Diversified Telecommunication Services,Large Cap
CEMEXCPO.MX,"CEMEX, S.A.B. de C.V.",Materials,Construction Materials,Large Cap
ELEKTRA.MX,"Grupo Elektra, S.A.B. de C.V.",Financials,Capital Markets,Large Cap
FEMSAUB.MX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Staples,Beverages,Large Cap
FEMSAUBD.MX,"Fomento Economico Mexicano, S.A.B. de C.V.",Consumer Staples,Beverages,Large Cap
GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V.",Financials,Banks,Large Cap
GMEXICOB.MX,"Grupo Mexico, S.A.B. de C.V.",Materials,Metals & Mining,Large Cap
KOFUBL.MX,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Staples,Beverages,Large Cap
WALMEX.MX,"Wal-Mart de Mexico, S.A.B. de C.V.",Consumer Staples,Household Products,Large Cap
