ticker,name,sector,industry,market_cap
ACT.CO,DecideAct A/S,Information Technology,Software,Nano Cap
AOJ-P.CO,Brodrene A & O Johansen A/S,Industrials,Trading Companies & Distributors,Small Cap
ASTGRP.CO,Astralis A/S,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
ASTRLS.CO,Astralis A/S,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
AUDNTS.CO,Audientes A/S,Health Care,Health Care Equipment & Supplies,Nano Cap
BLVIS-A.CO,Blue Vision A/S,Real Estate,Real Estate Management & Development,Nano Cap
BNORDIK-CSE.CO,P/F BankNordik,Financials,Banks,Micro Cap
BOLIGA.CO,Boliga Gruppen A/S,Information Technology,Software,Nano Cap
CONFRZ.CO,Conferize A/S,Information Technology,Software,Nano Cap
CPHCAP-PREF.CO,Copenhagen Capital A/S,Real Estate,Real Estate Management & Development,Nano Cap
CPHCAP-ST.CO,Copenhagen Capital A/S,Real Estate,Real Estate Management & Development,Nano Cap
CWIGAKL.CO,C WorldWide Globale Aktier KL,Financials,,Small Cap
DRLCO.CO,The Drilling Company of 1972 A/S,Energy,"Oil, Gas & Consumable Fuels",Small Cap
EAC.CO,EAC Invest A/S,Financials,Capital Markets,Nano Cap
ENALYZ.CO,Enalyzer A/S,Information Technology,Software,Nano Cap
FLUG-B.CO,Flugger group A/S,Materials,Chemicals,Small Cap
GYLD-A.CO,Gyldendal A/S,Communication Services,Diversified Telecommunication Services,Micro Cap
GYLD-B.CO,Gyldendal A/S,Communication Services,Diversified Telecommunication Services,Micro Cap
HAPPY.CO,Happy Helper A/S,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
HARB-B.CO,Harboes Bryggeri A/S,Consumer Staples,Beverages,Micro Cap
HYDRCT.CO,Hydract A/S,Industrials,Machinery,Nano Cap
HYPE.CO,Hypefactors A/S,Information Technology,Software,Nano Cap
IMAIL.CO,InterMail A/S,Materials,Paper & Forest Products,Nano Cap
JOBNDX.CO,Jobindex A/S,Communication Services,Diversified Telecommunication Services,Micro Cap
JUTBK.CO,Jutlander Bank A/S,Financials,Banks,Small Cap
KLEE-B.CO,Brd. Klee A/S,Industrials,Machinery,Nano Cap
LUN.CO,H. Lundbeck A/S,Health Care,Pharmaceuticals,Mid Cap
LUXOR-B.CO,Investeringsselskabet Luxor A/S,Financials,Capital Markets,Micro Cap
NORDIC.CO,Nordic Shipholding A/S,Industrials,Marine,Nano Cap
NRDF.CO,Nordfyns Bank A/S,Financials,Banks,Micro Cap
ODICO.CO,Odico A/S,Industrials,Machinery,Nano Cap
ORPHA.CO,Orphazyme A/S,Health Care,Biotechnology,Small Cap
PAAL-B.CO,Per Aarsleff Holding A/S,Industrials,Construction & Engineering,Small Cap
PENNEO.CO,Penneo ApS,Information Technology,Software,Micro Cap
PSNRDC-A.CO,Park Street Nordicom A/S,Real Estate,Real Estate Management & Development,Micro Cap
RBLN-B.CO,Roblon A/S,Industrials,Machinery,Micro Cap
RIAS-B.CO,RIAS A/S,Materials,Construction Materials,Nano Cap
RISMA.CO,Risma Systems A/S,Information Technology,Software,Nano Cap
SANI.CO,Sanistål A/S,Industrials,Industrial Conglomerates,Micro Cap
SBS.CO,Scandinavian Brake Systems A/S,Consumer Discretionary,Auto Components,Nano Cap
SCAPE.CO,Scape Technologies A/S,Information Technology,Software,Nano Cap
SCD.CO,Small Cap Danmark A/S,Financials,Capital Markets,Nano Cap
SIF.CO,Silkeborg IF Invest A/S,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
SIM.CO,SimCorp A/S,Information Technology,Software,Mid Cap
SPENN.CO,SPENN Technology A/S,Financials,Capital Markets,Nano Cap
SPNO.CO,Spar Nord Bank A/S,Financials,Banks,Small Cap
SYDB.CO,Sydbank A/S,Financials,Banks,Small Cap
TOP.CO,Topdanmark A/S,Financials,Insurance,Mid Cap
TOTA.CO,Totalbanken A/S,Financials,Banks,Micro Cap
VALUER.CO,Valuer Holding A/S,Information Technology,Software,Nano Cap
VIPRO.CO,Victoria Properties A/S,Real Estate,Real Estate Management & Development,Nano Cap
VJBA.CO,Vestjysk Bank A/S,Financials,Banks,Small Cap
