ticker,name,sector,industry,market_cap
05Y.DE,Vivoryon Therapeutics N.V.,Health Care,Biotechnology,Small Cap
0N6.F,NOXXON Pharma N.V.,Health Care,Biotechnology,Nano Cap
0N6.SG,NOXXON Pharma N.V.,Health Care,,Nano Cap
1NT.DU,NameProtect AG,Information Technology,Software,Nano Cap
2GI.MU,GIEAG Immobilien AG,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
2QU.DE,Onoff AG,Information Technology,IT Services,Nano Cap
2QU.F,Onoff AG,Information Technology,IT Services,Nano Cap
333.F,Decheng Technology AG,Materials,Chemicals,Nano Cap
39K.BE,Centogene N.V.,Health Care,Biotechnology,Micro Cap
39K.DE,Centogene N.V.,Health Care,Biotechnology,Micro Cap
39K.DU,Centogene N.V.,Health Care,Biotechnology,Micro Cap
39K.F,Centogene N.V.,Health Care,Biotechnology,Micro Cap
39K.MU,Centogene N.V.,Health Care,Biotechnology,Micro Cap
3D6.DU,Palgon AG,,,Nano Cap
3IT.F,audius SE,Information Technology,IT Services,Nano Cap
4A3.BE,Immatics N.V.,Health Care,Biotechnology,Small Cap
4A3.DU,Immatics N.V.,Health Care,Biotechnology,Small Cap
4A3.MU,Immatics N.V.,Health Care,Biotechnology,Small Cap
5IH.F,INTOSOL Holdings PLC,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
5NB.DU,Novetum AG,Financials,Capital Markets,Nano Cap
8S9.F,Snowbird AG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
9TS.DE,TubeSolar AG,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap
9TS.DU,TubeSolar AG,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap
9TS.F,TubeSolar AG,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap
A28.BE,Affimed N.V.,Health Care,Biotechnology,Small Cap
A28.DU,Affimed N.V.,Health Care,Biotechnology,Small Cap
A28.F,Affimed N.V.,Health Care,Biotechnology,Small Cap
A28.MU,Affimed N.V.,Health Care,Biotechnology,Small Cap
A28.SG,Affimed N.V.,Health Care,Biotechnology,Small Cap
A4Y.DE,ACCENTRO Real Estate AG,Real Estate,Real Estate Management & Development,Small Cap
A4Y.F,ACCENTRO Real Estate AG,Real Estate,Real Estate Management & Development,Small Cap
A62.DU,IGP Advan­tag AG,Financials,Capital Markets,Nano Cap
A7K.DU,HBI-Hyperion SE,,,Nano Cap
A8N.MU,aovo Touristik AG,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
AAA.F,A.A.A. Aktiengesellschaft Allgemeine Anlageverwaltung,Real Estate,Real Estate Management & Development,Nano Cap
AAG.BE,Aumann AG,Industrials,Machinery,Micro Cap
AAG.DU,Aumann AG,Industrials,Machinery,Micro Cap
AAG.MU,Aumann AG,Industrials,Machinery,Micro Cap
AB1.BE,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB1.DU,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB1.F,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB1.HA,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB1.MU,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB1.SG,Air Berlin PLC,Industrials,Airlines,Nano Cap
AB9.DU,ABO WIND AG O.N.,Energy,,Small Cap
ABA.F,ALBA SE,Industrials,Transportation Infrastructure,Small Cap
ABO.DU,Clearwise AG,Utilities,Independent Power and Renewable Electricity Producers,Micro Cap
ABO.MU,Clearwise AG,Utilities,Independent Power and Renewable Electricity Producers,Micro Cap
ABT.DU,Advanced Bitcoin Technologies AG,Financials,Capital Markets,Nano Cap
AD1.MU,Auden AG,Financials,Capital Markets,Nano Cap
ADD.DE,Adler Modemarkte AG,Consumer Discretionary,,Nano Cap
ADD.F,Adler Modemarkte AG,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
ADE.BE,Bitcoin Group SE,Financials,Capital Markets,Micro Cap
ADE.DU,Bitcoin Group SE,Financials,Capital Markets,Micro Cap
ADE.MU,Bitcoin Group SE,Financials,Capital Markets,Micro Cap
ADL.DE,ADLER Real Estate AG,Real Estate,Real Estate Management & Development,Small Cap
ADL.F,ADLER Real Estate AG,Real Estate,Real Estate Management & Development,Small Cap
AGR3.MU,AGROB Immobilien AG,,,Micro Cap
AGS.MU,Allgemeine Gold- und Silberscheideanstalt AG,Materials,Metals & Mining,Small Cap
AIXA.BE,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
AIXA.DU,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
AIXA.MU,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
AIXN.DE,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
AIXN.F,AIXTRON SE,Information Technology,Semiconductors & Semiconductor Equipment,Mid Cap
ALB.MU,Allgauer Brauhaus AG,Consumer Staples,,Micro Cap
ALX.F,Alexanderwerk Aktiengesellschaft,Industrials,Machinery,Nano Cap
AM3D.DE,SLM Solutions Group AG,Industrials,Machinery,Small Cap
AM3D.F,SLM Solutions Group AG,Industrials,Machinery,Small Cap
AM3D.SG,SLM Solutions Group AG,Industrials,Machinery,Small Cap
AMA1.F,Altech Advanced Materials AG,Financials,Capital Markets,Nano Cap
AMMN.DE,The Grounds Real Estate Development AG,Real Estate,Real Estate Management & Development,Nano Cap
AMMN.F,The Grounds Real Estate Development AG,Real Estate,Real Estate Management & Development,Nano Cap
AOX.SG,alstria office REIT-AG,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap
APQ.DU,Aquamondi AG,Financials,Capital Markets,Nano Cap
AR4.DE,AURELIUS Equity Opportunities SE & Co. KGaA,Financials,Capital Markets,Small Cap
AR4.F,AURELIUS Equity Opportunities SE & Co. KGaA,Financials,Capital Markets,Small Cap
ARL.BE,Aareal Bank AG,Financials,Banks,Small Cap
ARL.DE,Aareal Bank AG,Financials,Banks,Small Cap
ARL.DU,Aareal Bank AG,Financials,Banks,Small Cap
ARL.F,Aareal Bank AG,Financials,Banks,Small Cap
