ticker,name,sector,industry,market_cap
4AIM.MI,4AIM SICAF S.p.A.,Real Estate,Equity Real Estate Investment Trusts (REITs),Nano Cap
ABS.MI,Arterra Bioscience S.p.A.,Health Care,Biotechnology,Nano Cap
ACS.MI,Acsm-Agam S.p.A.,Utilities,Multi-Utilities,Small Cap
AED.MI,Aedes SIIQ S.p.A.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
AGL.MI,Autogrill S.p.A.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Mid Cap
AIW.MI,ALMAWAVE S.P.A.,Information Technology,IT Services,Micro Cap
ALK.MI,Alkemy S.p.A.,Communication Services,Diversified Telecommunication Services,Micro Cap
AMM.MI,AMM S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
ASR.MI,A.S. Roma S.P.A.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
ASSI.MI,Assiteca S.p.A.,Financials,Insurance,Micro Cap
AST.MI,Astaldi S.p.A.,Industrials,Construction & Engineering,Small Cap
AT.MI,ASTM S.p.A.,Industrials,Construction & Engineering,Mid Cap
ATH.MI,Ambienthesis S.p.A.,Industrials,Transportation Infrastructure,Micro Cap
BCM.MI,Biancamano S.p.A.,Industrials,Transportation Infrastructure,Nano Cap
BDBR.MI,Banco di Desio e della Brianza S.p.A.,Financials,Banks,Small Cap
BE.MI,Beghelli S.p.A.,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
BEST.MI,Be Shaping The Future S.p.A.,Information Technology,IT Services,Micro Cap
BFE.MI,Banca Finnat Euramerica S.p.A.,Financials,Banks,Micro Cap
BIA.MI,Bialetti Industrie S.p.A,Consumer Discretionary,Household Durables,Nano Cap
BIE.MI,Bioera S.p.A.,Industrials,Industrial Conglomerates,Nano Cap
BIM.MI,Banca Intermobiliare di Investimenti e Gestioni SpA,Financials,Banks,Micro Cap
BLUE.MI,BFC Media S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
BOR.MI,Borgosesia S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
CARR.MI,Carraro S.p.A.,Industrials,Machinery,Micro Cap
CASA.MI,CASASOLD S.p.A.,Real Estate,Real Estate Management & Development,Nano Cap
CERV.MI,Cerved Group S.p.A.,Financials,Capital Markets,Mid Cap
CIA.MI,Compagnia Immobiliare Azionaria S.p.A.,Real Estate,Real Estate Management & Development,Nano Cap
CLA.MI,Clabo S.p.A.,Industrials,Machinery,Nano Cap
CML.MI,COMAL S.P.A.,Industrials,Machinery,Nano Cap
CNF.MI,Conafi S.p.A.,Financials,Consumer Finance,Nano Cap
COV.MI,COVER 50 S.p.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
CRES.MI,Coima Res S.p.A.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
CVAL.MI,Credito Valtellinese S.p.A.,Financials,Banks,Small Cap
DIG.MI,Digital360 S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
DM.MI,Digital Magics S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
EC.MI,Euro Cosmetic S.p.A.,Consumer Staples,Household Products,Nano Cap
EEMS.MI,EEMS Italia SpA,Information Technology,Semiconductors & Semiconductor Equipment,Nano Cap
ELIN.MI,Elettra Investimenti SpA,Utilities,Independent Power and Renewable Electricity Producers,Nano Cap
EMC.MI,Energica Motor Company S.p.A.,Consumer Discretionary,Automobiles,Micro Cap
EPR.MI,ePRICE S.p.A.,Consumer Discretionary,Internet & Direct Marketing Retail,Nano Cap
ESI.MI,ESI S.p.A.,Consumer Staples,Food & Staples Retailing,Nano Cap
EVA.MI,Askoll Eva SpA,Consumer Discretionary,Automobiles,Nano Cap
EVS.MI,eVISO S.p.A.,Utilities,Electric Utilities,Micro Cap
EXSY.MI,Expert System S.p.A.,Information Technology,Software,Micro Cap
FAR.MI,Farmae S.p.A.,Consumer Discretionary,Internet & Direct Marketing Retail,Micro Cap
FCM.MI,Friulchem S.p.A.,Health Care,Pharmaceuticals,Nano Cap
FDE.MI,Frendy Energy S.p.A.,Utilities,Independent Power and Renewable Electricity Producers,Nano Cap
FED.MI,Giorgio Fedon & Figli Spa,Consumer Staples,Household Products,Nano Cap
FHR.MI,Fabilia Group S.p.A.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
FKR.MI,Falck Renewables S.p.A.,Utilities,Independent Power and Renewable Electricity Producers,Small Cap
FNL.MI,Finlogic S.p.A.,Industrials,Commercial Services & Supplies,Nano Cap
FOS.MI,Fos S.p.A.,Information Technology,IT Services,Nano Cap
FUL.MI,FullSix S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
FVI.MI,Fervi S.p.A.,Industrials,Building Products,Nano Cap
GCL.MI,Guala Closures S.p.A.,Consumer Discretionary,Distributors,Small Cap
GEL.MI,Gel S.p.A.,Industrials,Construction & Engineering,Nano Cap
GEQ.MI,Gequity S.p.A.,Financials,Capital Markets,Nano Cap
GG.MI,Giglio Group S.p.A.,Communication Services,Diversified Telecommunication Services,Micro Cap
GO.MI,GO internet S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
HI.MI,Health Italia S.p.A.,Health Care,Health Care Providers & Services,Micro Cap
IE.MI,Iervolino Entertainment S.p.A.,Communication Services,Entertainment,Micro Cap
IKG.MI,Intek Group S.p.A.,Materials,Metals & Mining,Micro Cap
ILTY.MI,"ILLIMITY BANK S.P.A. IN FORMA ABBREVIATA ""ILLIMITY S.P.A.""",Financials,Banks,Small Cap
ISG.MI,Isagro S.p.A.,Materials,Construction Materials,Micro Cap
ISGS.MI,Isagro S.p.A.,Materials,Construction Materials,Micro Cap
IVS.MI,IVS Group S.A.,Consumer Discretionary,Specialty Retail,Micro Cap
KI.MI,Ki Group S.p.A.,Consumer Staples,Household Products,Nano Cap
KIP.MI,Kolinpharma S.p.A.,Health Care,Pharmaceuticals,Nano Cap
LBM.MI,Labomar S.p.A.,Health Care,Pharmaceuticals,Micro Cap
LD.MI,La Doria S.p.A.,Consumer Staples,Food & Staples Retailing,Small Cap
LIT.MI,Retelit S.p.A.,Communication Services,Diversified Telecommunication Services,Small Cap
LR.MI,Landi Renzo S.p.A.,Consumer Discretionary,Auto Components,Micro Cap
LVEN.MI,LVenture Group S.p.A.,Financials,Capital Markets,Nano Cap
MAIL.MI,MailUp S.p.A.,Information Technology,Software,Micro Cap
MIT.MI,Mittel S.p.A,Financials,Capital Markets,Micro Cap
MOLD.MI,Costamp Group S.p.A.,Consumer Discretionary,Auto Components,Nano Cap
MON.MI,Monrif S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
MT.MI,MAIRE S.p.A.,Industrials,Construction & Engineering,Small Cap
NET.MI,Net Insurance S.p.A.,Financials,Insurance,Micro Cap
NTW.MI,Netweek S.p.A.,Communication Services,Diversified Telecommunication Services,Nano Cap
NVP.MI,NVP S.p.A.,Communication Services,Entertainment,Nano Cap
OJM.MI,Openjobmetis S.p.A.,Industrials,Professional Services,Micro Cap
PAN.MI,Panariagroup Industrie Ceramiche S.p.A.,Materials,Construction Materials,Micro Cap
PITE.MI,PITECO S.p.A.,Information Technology,Software,Micro Cap
