ticker,name,sector,industry,market_cap
1G6.SI,No Signboard Holdings Ltd.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Nano Cap
1J3.SI,Asian Healthcare Specialists Limited,Health Care,Health Care Equipment & Supplies,Micro Cap
40D.SI,Starburst Holdings Limited,Industrials,Aerospace & Defense,Nano Cap
40E.SI,Spackman Entertainment Group Limited,Communication Services,Entertainment,Nano Cap
564.SI,Spindex Industries Limited,Industrials,Building Products,Micro Cap
567.SI,Colex Holdings Limited,Industrials,Transportation Infrastructure,Nano Cap
573.SI,Challenger Technologies Limited,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
5G3.SI,TalkMed Group Limited,Health Care,Health Care Equipment & Supplies,Small Cap
5H0.SI,SingHaiyi Group Ltd.,Real Estate,Real Estate Management & Development,Micro Cap
5HC.SI,Ntegrator International Ltd.,Information Technology,IT Services,Nano Cap
5I0.SI,QT Vascular Ltd.,Health Care,Health Care Technology,Nano Cap
5NG.SI,Healthway Medical Corporation Limited,Health Care,Health Care Equipment & Supplies,Micro Cap
5UO.SI,Sysma Holdings Limited,Industrials,Construction & Engineering,Nano Cap
5WE.SI,Moya Holdings Asia Limited,Utilities,Water Utilities,Micro Cap
A26.SI,Sinarmas Land Limited,Real Estate,Real Estate Management & Development,Small Cap
A34.SI,Amara Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
ACV.SI,Frasers Hospitality Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap
AUE.SI,Golden Energy and Resources Limited,Materials,Metals & Mining,Small Cap
AVM.SI,Boustead Projects Limited,Industrials,Construction & Engineering,Micro Cap
AVV.SI,CEI Limited,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
AWE.SI,SP Corporation Limited,Industrials,Trading Companies & Distributors,Nano Cap
AWS.SI,GYP Properties Limited,Real Estate,Real Estate Management & Development,Nano Cap
B16.SI,GL Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Small Cap
B26.SI,Ban Leong Technologies Limited,Information Technology,"Electronic Equipment, Instruments & Components",Nano Cap
B69.SI,Broadway Industrial Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap
B7K.SI,Sin Ghee Huat Corporation Ltd.,Materials,Metals & Mining,Nano Cap
B9S.SI,CosmoSteel Holdings Limited,Industrials,Trading Companies & Distributors,Nano Cap
BDF.SI,Excelpoint Technology Ltd.,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
BHO.SI,Top Global Limited,Real Estate,Real Estate Management & Development,Micro Cap
BJW.SI,Shinvest Holding Ltd.,Industrials,Building Products,Micro Cap
BKY.SI,Avi-Tech Electronics Limited,Information Technology,Semiconductors & Semiconductor Equipment,Micro Cap
BLA.SI,Union Steel Holdings Limited,Industrials,Transportation Infrastructure,Nano Cap
BLH.SI,Hai Leck Holdings Limited,Energy,Energy Equipment & Services,Micro Cap
BLW.SI,Global Palm Resources Holdings Limited,Consumer Staples,Household Products,Nano Cap
BOU.SI,Informatics Education Ltd.,Consumer Staples,Household Products,Nano Cap
BVQ.SI,Procurri Corporation Limited,Information Technology,IT Services,Micro Cap
C29.SI,Chip Eng Seng Corporation Ltd,Real Estate,Real Estate Management & Development,Micro Cap
C50.SI,Cheung Woh Technologies Ltd,Information Technology,"Technology Hardware, Storage & Peripherals",Micro Cap
CNNU.SI,Cromwell European Real Estate Investment Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap
CSFU.SI,Cromwell European Real Estate Investment Trust,Real Estate,,Mid Cap
E8Z.SI,Roxy-Pacific Holdings Limited,Real Estate,Real Estate Management & Development,Small Cap
EHG.SI,Econ Healthcare (Asia) Limited,Health Care,Health Care Equipment & Supplies,Micro Cap
F1E.SI,Low Keng Huat (Singapore) Limited,Real Estate,Real Estate Management & Development,Micro Cap
F31.SI,Fragrance Group Limited,Real Estate,Real Estate Management & Development,Small Cap
FRQ.SI,Singapore Paincare Holdings Limited,Health Care,Health Care Equipment & Supplies,Nano Cap
G41.SI,G. K. Goh Holdings Limited,Financials,Capital Markets,Micro Cap
H19.SI,Hwa Hong Corporation Limited,Real Estate,Real Estate Management & Development,Micro Cap
I15.SI,Isetan (Singapore) Limited,Consumer Discretionary,Household Durables,Micro Cap
IX2.SI,PEC Ltd.,Energy,Energy Equipment & Services,Micro Cap
J91U.SI,ESR-REIT,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap
JLB.SI,Grand Venture Technology Limited,Information Technology,Semiconductors & Semiconductor Equipment,Micro Cap
K1Q.SI,T T J Holdings Limited,Industrials,Building Products,Nano Cap
K2LU.SI,ARA LOGOS Logistics Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap
L03.SI,Lian Beng Group Ltd,Industrials,Construction & Engineering,Micro Cap
M1Z.SI,TEE International Limited,Industrials,Construction & Engineering,Nano Cap
NO4.SI,Dyna-Mac Holdings Ltd.,Industrials,Construction & Engineering,Micro Cap
O32.SI,Olam International Limited,Consumer Staples,Food & Staples Retailing,Mid Cap
QSD.SI,Resources Global Development Limited,Industrials,Marine,Nano Cap
RF7.SI,AMOS Group Limited,Industrials,Marine,Nano Cap
RW0U.SI,Mapletree North Asia Commercial Trust,Real Estate,Equity Real Estate Investment Trusts (REITs),Mid Cap
S49.SI,Singapore Reinsurance Corporation Limited,Financials,Insurance,Micro Cap
S51.SI,Sembcorp Marine Ltd,Industrials,Aerospace & Defense,Small Cap
S7P.SI,Soilbuild Construction Group Ltd.,Industrials,Construction & Engineering,Nano Cap
SK6U.SI,SPH REIT,Real Estate,Equity Real Estate Investment Trusts (REITs),Small Cap
STP.SI,Silkroad Nickel Ltd.,Materials,Metals & Mining,Micro Cap
SYM.SI,Memiontec Holdings Ltd.,Utilities,Water Utilities,Nano Cap
T39.SI,Singapore Press Holdings Limited,Communication Services,Diversified Telecommunication Services,Mid Cap
U09.SI,Avarga Limited,Industrials,Building Products,Micro Cap
UD2.SI,Japfa Ltd.,Consumer Staples,Household Products,Small Cap
VFP.SI,Beverly JCG Ltd.,Health Care,Health Care Equipment & Supplies,Nano Cap
VL6.SI,Koufu Group Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
Y45.SI,Singapore Myanmar Investco Limited,Consumer Discretionary,Specialty Retail,Nano Cap
