ticker,name,sector,industry,market_cap
000004.SZ,"Shenzhen GuoHua Network Security Technology Co., Ltd.",Financials,Diversified Financial Services,Micro Cap
000005.SZ,Shenzhen Fountain Corporation,Real Estate,Real Estate Management & Development,Small Cap
000006.SZ,"Shenzhen Zhenye (Group) Co.,Ltd.",Real Estate,Real Estate Management & Development,Small Cap
000007.SZ,"Shenzhen Quanxinhao Co., Ltd.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
000009.SZ,"China Baoan Group Co., Ltd.",Industrials,Industrial Conglomerates,Mid Cap
000010.SZ,"Shenzhen Ecobeauty Co., Ltd.",Industrials,Construction & Engineering,Small Cap
000014.SZ,"Shahe Industrial Co., Ltd",Real Estate,Real Estate Management & Development,Micro Cap
000016.SZ,"Konka Group Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
000017.SZ,Shenzhen China Bicycle Company (Holdings) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
000019.SZ,"Shenzhen Cereals Holdings Co., Ltd.",Consumer Staples,Food & Staples Retailing,Small Cap
000020.SZ,"Shenzhen Zhongheng Huafa Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
000021.SZ,"Shenzhen Kaifa Technology Co., Ltd.",Information Technology,"Technology Hardware, Storage & Peripherals",Mid Cap
000025.SZ,"Shenzhen Tellus Holding Co., Ltd.",Consumer Discretionary,Automobiles,Small Cap
000026.SZ,"FIYTA Precision Technology Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
000028.SZ,China National Accord Medicines Corporation Ltd.,Health Care,Health Care Providers & Services,Mid Cap
000030.SZ,FAWER Automotive Parts Limited Company,Consumer Discretionary,Auto Components,Small Cap
000031.SZ,"Grandjoy Holdings Group Co., Ltd.",Real Estate,Real Estate Management & Development,Mid Cap
000035.SZ,China Tianying Inc.,Industrials,Transportation Infrastructure,Small Cap
000037.SZ,"Shenzhen Nanshan Power Co., Ltd.",Utilities,Electric Utilities,Small Cap
000040.SZ,"Tunghsu Azure Renewable Energy Co.,Ltd.",Utilities,Independent Power and Renewable Electricity Producers,Small Cap
000042.SZ,"Shenzhen Centralcon Investment Holding Co., Ltd.",Real Estate,Real Estate Management & Development,Small Cap
000046.SZ,"Oceanwide Holdings Co., Ltd.",Industrials,Industrial Conglomerates,Mid Cap
000048.SZ,"Shenzhen Kingkey Smart Agriculture Times Co.,Ltd",Consumer Staples,Household Products,Small Cap
000049.SZ,"Shenzhen Desay Battery Technology Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
000050.SZ,"Tianma Microelectronics Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
000055.SZ,"China Fangda Group Co., Ltd.",Industrials,Building Products,Small Cap
000059.SZ,"North Huajin Chemical Industries Co.,Ltd",Materials,Construction Materials,Mid Cap
000060.SZ,Shenzhen Zhongjin Lingnan Nonfemet Co. Ltd.,Materials,Metals & Mining,Mid Cap
000062.SZ,"Shenzhen Huaqiang Industry Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
000065.SZ,Norinco International Cooperation Ltd.,Industrials,Construction & Engineering,Small Cap
000066.SZ,"China Greatwall Technology Group Co., Ltd.",Information Technology,"Technology Hardware, Storage & Peripherals",Mid Cap
000068.SZ,"Shenzhen Huakong Seg Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
000078.SZ,"Shenzhen Neptunus Bioengineering Co., Ltd.",Health Care,Pharmaceuticals,Small Cap
000090.SZ,"Shenzhen Tagen Group Co., Ltd.",Industrials,Construction & Engineering,Small Cap
000096.SZ,"Shenzhen Guangju Energy Co., Ltd.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
000099.SZ,"CITIC Offshore Helicopter Co.,Ltd.",Industrials,Air Freight & Logistics,Small Cap
000150.SZ,"Yihua Healthcare Co., Ltd.",Health Care,Health Care Equipment & Supplies,Small Cap
000151.SZ,China National Complete Plant Import & Export Corporation Limited,Industrials,Trading Companies & Distributors,Small Cap
000153.SZ,"Anhui Fengyuan Pharmaceutical Co., Ltd.",Health Care,Pharmaceuticals,Small Cap
000156.SZ,"Wasu Media Holding Co.,Ltd",Communication Services,Entertainment,Mid Cap
000158.SZ,"Shijiazhuang ChangShan BeiMing Technology Co., Ltd",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Mid Cap
000159.SZ,"Xinjiang International Industry Co.,Ltd",Energy,"Oil, Gas & Consumable Fuels",Small Cap
000401.SZ,"Tangshan Jidong Cement Co.,Ltd.",Materials,Construction Materials,Mid Cap
000403.SZ,"Pacific Shuanglin Bio-pharmacy Co., LTD",Health Care,Pharmaceuticals,Mid Cap
000404.SZ,"Changhong Huayi Compressor Co., Ltd.",Industrials,Machinery,Small Cap
000407.SZ,"Shandong Shengli Co., Ltd.",Energy,"Oil, Gas & Consumable Fuels",Small Cap
000408.SZ,Zangge Holding Company Limited,Materials,Construction Materials,Mid Cap
000410.SZ,"Shenyang Machine Tool Co., Ltd.",Industrials,Machinery,Small Cap
000413.SZ,"Tunghsu Optoelectronic Technology Co., Ltd.",Information Technology,"Electronic Equipment, Instruments & Components",Small Cap
000415.SZ,"Bohai Leasing Co., Ltd.",Industrials,Commercial Services & Supplies,Mid Cap
000416.SZ,"Minsheng Holdings Co.,Ltd",Financials,Capital Markets,Small Cap
000417.SZ,"Hefei Department Store Group Co.,Ltd",Consumer Discretionary,Household Durables,Small Cap
000419.SZ,"Changsha Tongcheng Holdings Co.,Ltd",Consumer Discretionary,Household Durables,Small Cap
000421.SZ,"Nanjing Public Utilities Development Co., Ltd.",Industrials,Road & Rail,Small Cap
000422.SZ,"Hubei Yihua Chemical Industry Co., Ltd.",Materials,Construction Materials,Small Cap
000425.SZ,"XCMG Construction Machinery Co., Ltd.",Industrials,Machinery,Mid Cap
000426.SZ,"Inner Mongolia Xingye Mining Co., Ltd.",Materials,Metals & Mining,Mid Cap
