ticker,name,sector,industry,market_cap
000050.KS,"Kyungbang Co.,Ltd",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
000060.KS,"Meritz Fire & Marine Insurance Co., Ltd.",Financials,Insurance,Mid Cap
000070.KS,Samyang Holdings Corporation,Industrials,Industrial Conglomerates,Small Cap
000075.KS,Samyang Holdings Corporation,Industrials,Industrial Conglomerates,Small Cap
000080.KS,"HITEJINRO Co., Ltd.",Consumer Staples,Beverages,Mid Cap
000087.KS,"HITEJINRO Co., Ltd.",Consumer Staples,Beverages,Mid Cap
000100.KS,Yuhan Corporation,Health Care,Pharmaceuticals,Mid Cap
000105.KS,Yuhan Corporation,Health Care,Pharmaceuticals,Small Cap
000140.KS,"Hitejinro Holdings Co., Ltd.",Consumer Staples,Beverages,Small Cap
000145.KS,"Hitejinro Holdings Co., Ltd.",Consumer Staples,Beverages,Small Cap
000150.KS,Doosan Corporation,Industrials,Industrial Conglomerates,Small Cap
000155.KS,Doosan Corporation,Industrials,Industrial Conglomerates,Small Cap
000157.KS,Doosan Corporation,Industrials,Industrial Conglomerates,Small Cap
000180.KS,Sungchang Enterprise Holdings Limited,Materials,Paper & Forest Products,Micro Cap
000220.KS,"Yuyu Pharma, Inc.",Health Care,Pharmaceuticals,Micro Cap
000225.KS,"Yuyu Pharma, Inc.",Health Care,Pharmaceuticals,Micro Cap
000227.KS,"Yuyu Pharma, Inc.",Health Care,Pharmaceuticals,Micro Cap
000230.KS,"Ildong Holdings Co., Ltd.",Health Care,Pharmaceuticals,Micro Cap
000240.KS,"Hankook & Company Co., Ltd.",Consumer Discretionary,Auto Components,Small Cap
000250.KQ,"Sam Chun Dang Pharm. Co., Ltd",Health Care,,Small Cap
000300.KS,"Dayou Plus Co.,Ltd",Information Technology,Communications Equipment,Micro Cap
000320.KS,"NOROO Holdings Co., Ltd.",Materials,Chemicals,Micro Cap
000325.KS,"NOROO Holdings Co., Ltd.",Materials,Chemicals,Micro Cap
000390.KS,"Samhwa Paints Industrial Co., Ltd.",Materials,Chemicals,Micro Cap
000430.KS,"Daewon Kang Up Co., Ltd.",Consumer Discretionary,Auto Components,Micro Cap
000440.KQ,"Joong Ang Enervis Co., Ltd",Energy,,Micro Cap
000480.KS,"Chosun Refractories Co.,Ltd.",Materials,Construction Materials,Micro Cap
000490.KS,Daedong Corporation,Industrials,Machinery,Micro Cap
000500.KS,"GAON CABLE Co., Ltd.",Information Technology,Communications Equipment,Micro Cap
000520.KS,"Samil Pharmaceutical Co.,Ltd",Health Care,Pharmaceuticals,Micro Cap
000540.KS,"Heungkuk Fire & Marine Insurance Co., Ltd.",Financials,Insurance,Micro Cap
000545.KS,"Heungkuk Fire & Marine Insurance Co., Ltd.",Financials,Insurance,Small Cap
000547.KS,"Heungkuk Fire & Marine Insurance Co., Ltd.",Financials,Insurance,Small Cap
000640.KS,"Dong-A Socio Holdings Co., Ltd.",Health Care,Pharmaceuticals,Small Cap
000650.KS,"Chunil Express Co., Ltd.",Industrials,Road & Rail,Micro Cap
000670.KS,Young Poong Corporation,Materials,Metals & Mining,Small Cap
000700.KS,"Eusu Holdings Co., Ltd.",Industrials,Marine,Micro Cap
000760.KS,"Rifa Co.,Ltd.",Materials,Chemicals,Micro Cap
000850.KS,Hwacheon Machine Tool Co. Ltd,Industrials,Machinery,Micro Cap
000860.KS,"Kangnam Jevisco Co., Ltd",Materials,Chemicals,Micro Cap
000880.KS,Hanwha Corporation,Industrials,Industrial Conglomerates,Mid Cap
000890.KS,"Bohae Brewery Co., Ltd.",Consumer Staples,Beverages,Micro Cap
000910.KS,Union Corporation,Materials,Construction Materials,Micro Cap
000950.KS,"Chonbang Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
000990.KS,"DB Hitek Co., Ltd.",Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
000995.KS,"DB Hitek Co., Ltd.",Information Technology,Semiconductors & Semiconductor Equipment,Small Cap
001000.KQ,"Silla Textile Co.,Ltd",Consumer Discretionary,,Micro Cap
001020.KS,PaperCorea Inc.,Materials,Paper & Forest Products,Micro Cap
001070.KS,"Taihan Textile Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Micro Cap
001080.KS,"Manho Rope & Wire Co., Ltd.",Materials,Metals & Mining,Micro Cap
001130.KS,"Daehan Flour Mills Co.,Ltd",Consumer Staples,Food & Staples Retailing,Micro Cap
001140.KS,"KUKBO Logistics Co., Ltd.",Industrials,Air Freight & Logistics,Micro Cap
001200.KS,"Eugene Investment & Securities Co.,Ltd.",Financials,Capital Markets,Small Cap
001210.KS,"Kumho Electric, Inc.",Industrials,Electrical Equipment,Nano Cap
001260.KS,"Namkwang Engineering & Construction Co., Ltd.",Industrials,Construction & Engineering,Micro Cap
001270.KS,"BOOKOOK Securities Co., Ltd.",Financials,Capital Markets,Micro Cap
001275.KS,"BOOKOOK Securities Co., Ltd.",Financials,Capital Markets,Micro Cap
001290.KS,"Sangsangin Investment & Securities Co.,Ltd.",Financials,Capital Markets,Micro Cap
001340.KS,"Paik Kwang Industrial Co., Ltd.",Materials,Chemicals,Micro Cap
001420.KS,"Tae Won Mulsan Co., Ltd.",Consumer Discretionary,Auto Components,Nano Cap
001430.KS,SeAH Besteel Corporation,Materials,Metals & Mining,Small Cap
001440.KS,"Taihan Electric Wire Co., Ltd.",Industrials,Electrical Equipment,Mid Cap
001460.KS,"BYC Co., Ltd.",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Micro Cap
