ticker,name,sector,industry,market_cap
ACSEL.IS,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S.,Materials,Chemicals,Nano Cap
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.,Industrials,Commercial Services & Supplies,Nano Cap
ADESE.IS,Adese Gayrimenkul Yatirim A.S.,Consumer Staples,Household Products,Nano Cap
AEFES.IS,Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi,Consumer Staples,Beverages,Small Cap
AFYON.IS,Afyon Cimento Sanayi Turk Anonim Sirketi,Materials,Construction Materials,Micro Cap
AGHOL.IS,AG Anadolu Grubu Holding A.S.,Consumer Staples,Beverages,Small Cap
AGYO.IS,Atakule Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Nano Cap
AKBNK.IS,Akbank T.A.S.,Financials,Banks,Mid Cap
AKCNS.IS,Akcansa Cimento Sanayi ve Ticaret Anonim Sirketi,Materials,Construction Materials,Micro Cap
AKENR.IS,Akenerji Elektrik Uretim A.S.,Utilities,Electric Utilities,Micro Cap
AKFGY.IS,Akfen Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
AKGRT.IS,Aksigorta A.S.,Financials,Insurance,Micro Cap
AKMGY.IS,Akmerkez Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Small Cap
AKSEN.IS,Aksa Enerji Uretim A.S.,Utilities,Independent Power and Renewable Electricity Producers,Small Cap
AKSGY.IS,Akis Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
AKSUE.IS,Aksu Enerji ve Ticaret Anonim Sirketi,Utilities,Independent Power and Renewable Electricity Producers,Nano Cap
AKYHO.IS,Akdeniz Yatirim Holding A.S.,Industrials,Professional Services,Nano Cap
ALARK.IS,Alarko Holding A.S.,Industrials,Industrial Conglomerates,Small Cap
ALBRK.IS,Albaraka Turk Katilim Bankasi A.S.,Financials,Banks,Micro Cap
ALCAR.IS,Alarko Carrier Sanayi ve Ticaret A.S.,Industrials,Machinery,Micro Cap
ALCTL.IS,Alcatel Lucent Teletas Telekomunikasyon A.S.,Information Technology,Communications Equipment,Micro Cap
ALGYO.IS,Alarko Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Micro Cap
ALKA.IS,Alkim Kagit Sanayi ve Ticaret AS,Materials,Paper & Forest Products,Micro Cap
ALKIM.IS,Alkim Alkali Kimya A.S.,Materials,Paper & Forest Products,Micro Cap
ANELE.IS,Anel Elektrik Proje Taahhut ve Ticaret Anonim Sirketi,Industrials,Construction & Engineering,Nano Cap
ANHYT.IS,Anadolu Hayat Emeklilik Anonim Sirketi,Financials,Insurance,Micro Cap
ANSGR.IS,Anadolu Anonim Turk Sigorta Sirketi,Financials,Insurance,Micro Cap
ARCLK.IS,Arcelik Anonim Sirketi,Information Technology,"Electronic Equipment, Instruments & Components",Mid Cap
ARDYZ.IS,ARD Grup Bilisim Teknolojileri Anonim Sirketi,Information Technology,Software,Micro Cap
ARENA.IS,Arena Bilgisayar Sanayi ve Ticaret A.S.,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
ARMDA.IS,Armada Bilgisayar Sistemleri Sanayi ve Ticaret A.S.,Information Technology,"Electronic Equipment, Instruments & Components",Micro Cap
ARSAN.IS,Arsan Tekstil Ticaret ve Sanayi Anonim Sirketi,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi,Industrials,Aerospace & Defense,Mid Cap
ASUZU.IS,Anadolu Isuzu Otomotiv Sanayi ve Ticaret A.S.,Consumer Discretionary,Automobiles,Micro Cap
ATAGY.IS,Ata Gayrimenkul Yatirim Ortakligi A.S.,Real Estate,Equity Real Estate Investment Trusts (REITs),Nano Cap
ATEKS.IS,Akin Tekstil Anonim Sirketi,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Micro Cap
ATLAS.IS,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.,Financials,Capital Markets,Nano Cap
ATSYH.IS,Atlantis Yatirim Holding A.S.,Financials,Capital Markets,Nano Cap
AVGYO.IS,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi,Financials,Capital Markets,Nano Cap
AVHOL.IS,Avrupa Yatirim Holding A.S.,Financials,Capital Markets,Small Cap
AVISA.IS,AvivaSA Emeklilik ve Hayat A.S.,Financials,Insurance,Micro Cap
AVOD.IS,A.V.O.D. Kurutulmus Gida ve Tarim Urunleri A.S.,Consumer Staples,Food & Staples Retailing,Nano Cap
AVTUR.IS,Avrasya Petrol ve Turistik Tesisler Yatirimlar Anonim Sirketi,Financials,Capital Markets,Nano Cap
AYCES.IS,Altin Yunus Cesme Turistik Tesisler A.S.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
AYEN.IS,Ayen Enerji A.S.,Utilities,Independent Power and Renewable Electricity Producers,Micro Cap
AYES.IS,Ayes Celik Hasir Ve Cit Sanayi A.S.,Materials,Metals & Mining,Nano Cap
AYGAZ.IS,Aygaz A.S.,Utilities,Gas Utilities,Small Cap
BAGFS.IS,Bagfas Bandirma Gubre Fabrikalari A.S.,Materials,Construction Materials,Micro Cap
BAKAB.IS,Bak Ambalaj Sanayi ve Ticaret A.S.,Consumer Discretionary,Distributors,Micro Cap
BALAT.IS,Balatacilar Balatacilik Sanayi Ve Ticaret A.S.,Consumer Discretionary,Auto Components,Nano Cap
BANVT.IS,Banvit Bandirma Vitaminli Yem Sanayii Anonim Sirketi,Consumer Staples,Food & Staples Retailing,Small Cap
BASCM.IS,Bastas Baskent Cimento Sanayi ve Ticaret A.S.,Materials,Construction Materials,Micro Cap
BAYRK.IS,Bayrak EBT Taban Sanayi ve Ticaret Anonim Sirketi,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
BERA.IS,Bera Holding A.S.,Industrials,Industrial Conglomerates,Small Cap
BEYAZ.IS,Beyaz Filo Oto Kiralama A.S.,Industrials,Commercial Services & Supplies,Micro Cap
BFREN.IS,Bosch Fren Sistemleri Sanayi ve Ticaret A.S.,Consumer Discretionary,Auto Components,Micro Cap
BIMAS.IS,BIM Birlesik Magazalar A.S.,Consumer Staples,Food & Staples Retailing,Mid Cap
BIZIM.IS,Bizim Toptan Satis Magazalari A.S.,Consumer Discretionary,Household Durables,Micro Cap
BJKAS.IS,Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S.,Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap
BLCYT.IS,Bilici Yatirim Sanayi ve Ticaret A.S.,Industrials,Industrial Conglomerates,Micro Cap
BNTAS.IS,Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S.,Consumer Discretionary,Distributors,Nano Cap
BOSSA.IS,Bossa Ticaret ve Sanayi Isletmeleri T.A.S.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Micro Cap
BRKO.IS,Birko Birlesik Koyunlulular Mensucat Ticaret ve Sanayi A.S.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
BRKSN.IS,Berkosan Yalitim Ve Tecrit Maddeleri Uretim Ve Ticaret A.S.,Industrials,Industrial Conglomerates,Nano Cap
BRMEN.IS,Birlik Mensucat Ticaret ve Sanayi Isletmesi A.S.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Nano Cap
BRSAN.IS,Borusan Mannesmann Boru Sanayi ve Ticaret A.S.,Materials,Metals & Mining,Micro Cap
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.,Materials,Metals & Mining,Small Cap
BSOKE.IS,Batisoke Soke Cimento Sanayii T.A.S.,Materials,Construction Materials,Micro Cap
BTCIM.IS,Baticim Bati Anadolu Cimento Sanayii Anonim Sirketi,Materials,Construction Materials,Micro Cap
BUCIM.IS,Bursa Cimento Fabrikasi A.S.,Materials,Construction Materials,Micro Cap
BURCE.IS,Burcelik Bursa Celik Dokum Sanayii A.S.,Industrials,Machinery,Nano Cap
BURVA.IS,Burcelik Vana Sanayi ve Ticaret A.S.,Industrials,Building Products,Nano Cap
