,name,sector,exchange,_index
A2A.MI,,,MI,wiki-mib
AMP.MI,,,MI,wiki-mib
AVIO.MI,,,MI,wiki-mib
AZM.MI,,,MI,wiki-mib
BMED.MI,,,MI,wiki-mib
BMPS.MI,,,MI,wiki-mib
BAMI.MI,,,MI,wiki-mib
BPE.MI,,,MI,wiki-mib
BC.MI,,,MI,wiki-mib
BZU.MI,,,MI,wiki-mib
CPR.MI,,,MI,wiki-mib
DIA.MI,,,MI,wiki-mib
ENEL.MI,,,MI,wiki-mib
ENI.MI,,,MI,wiki-mib
RACE.MI,,,MI,wiki-mib
FCT.MI,,,MI,wiki-mib
FBK.MI,,,MI,wiki-mib
G.MI,,,MI,wiki-mib
HER.MI,,,MI,wiki-mib
ISP.MI,,,MI,wiki-mib
INW.MI,,,MI,wiki-mib
IG.MI,,,MI,wiki-mib
IVG.MI,,,MI,wiki-mib
LDO.MI,,,MI,wiki-mib
LTMC.MI,,,MI,wiki-mib
MB.MI,,,MI,wiki-mib
MONC.MI,,,MI,wiki-mib
NEXI.MI,,,MI,wiki-mib
PST.MI,,,MI,wiki-mib
PRY.MI,,,MI,wiki-mib
REC.MI,,,MI,wiki-mib
SPM.MI,,,MI,wiki-mib
SRG.MI,,,MI,wiki-mib
STLAM.MI,,,MI,wiki-mib
STMMI.MI,,,MI,wiki-mib
TIT.MI,,,MI,wiki-mib
TEN.MI,,,MI,wiki-mib
TRN.MI,,,MI,wiki-mib
UCG.MI,,,MI,wiki-mib
UNI.MI,,,MI,wiki-mib
