ticker,company,filing_date,accession,mcap_M,px,p_b,kind,reason
MYPSW,"PLAYSTUDIOS, Inc. ",2026-06-17,0001354457-26-000587,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001722388,Tidal Trust III ,2026-06-16,0001354457-26-000583,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001005201,"Assertio Therapeutics, Inc ",2026-06-16,0001354457-26-000582,0.0,,,DELISTING,Form 25 exchange delisting
NVAAF,Nova Minerals Ltd ,2026-06-16,0001354457-26-000580,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001845809,Putnam ETF Trust ,2026-06-16,0001143362-26-000214,0.0,,,DELISTING,Form 25 exchange delisting
KW,"Kennedy-Wilson Holdings, Inc. ",2026-06-16,0000876661-26-000537,1523.0,10.93,2.0222015,DELISTING,Form 25 exchange delisting
CIK0001924868,Tidal Trust II ,2026-06-15,0001354457-26-000578,0.0,,,DELISTING,Form 25 exchange delisting
BLMZF,Harrison Global Holdings Inc. ,2026-06-15,0001354457-26-000573,0.0,,,DELISTING,Form 25 exchange delisting
RBSPF,NatWest Group plc ,2026-06-15,0000876661-26-000533,0.0,,,DELISTING,Form 25 exchange delisting
V,VISA INC. ,2026-06-15,0000876661-26-000531,0.0,,,DELISTING,Form 25 exchange delisting
RZC,REINSURANCE GROUP OF AMERICA INC ,2026-06-15,0000876661-26-000529,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001649373,SANTANDER UK GROUP HOLDINGS PLC ,2026-06-15,0000876661-26-000527,0.0,,,DELISTING,Form 25 exchange delisting
FTAIN,FTAI Aviation Ltd. ,2026-06-12,0001354457-26-000572,0.0,,,DELISTING,Form 25 exchange delisting
HSPTU,Horizon Space Acquisition II Corp. ,2026-06-12,0001354457-26-000570,0.0,,,DELISTING,Form 25 exchange delisting
AXIA-P,AXIA Energia S.A. ,2026-06-11,0001292814-26-003417,0.0,,,DELISTING,Form 25 exchange delisting
FITBP,FIFTH THIRD BANCORP ,2026-06-11,0001193125-26-267509,0.0,,,DELISTING,Form 25 exchange delisting
MLACR,Mountain Lake Acquisition Corp. ,2026-06-11,0001354457-26-000567,0.0,,,DELISTING,Form 25 exchange delisting
KALV,"KalVista Pharmaceuticals, Inc. ",2026-06-11,0001354457-26-000565,0.0,,,DELISTING,Form 25 exchange delisting
BREZU,Breeze Acquisition Corp. II ,2026-06-10,0001354457-26-000561,0.0,,,DELISTING,Form 25 exchange delisting
QSIAW,Quantum-Si Inc ,2026-06-10,0001354457-26-000560,0.0,,,DELISTING,Form 25 exchange delisting
VACHW,Voyager Acquisition Corp./Cayman Islands ,2026-06-10,0001354457-26-000558,0.0,,,DELISTING,Form 25 exchange delisting
MASI,MASIMO CORP ,2026-06-10,0001354457-26-000556,9424.0,179.95,11.944905,DELISTING,Form 25 exchange delisting
CIK0001479026,Goldman Sachs ETF Trust ,2026-06-10,0001143362-26-000203,0.0,,,DELISTING,Form 25 exchange delisting
LEGT-UN,Legato Merger Corp. III ,2026-06-10,0001143313-26-000030,0.0,,,DELISTING,Form 25 exchange delisting
APURU,Aperture AC ,2026-06-09,0001354457-26-000554,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001633061,Amplify ETF Trust ,2026-06-09,0001143362-26-000200,0.0,,,DELISTING,Form 25 exchange delisting
KPLTW,"Katapult Holdings, Inc. ",2026-06-08,0001354457-26-000544,0.0,,,DELISTING,Form 25 exchange delisting
IOBTQ,"IO Biotech, Inc. ",2026-06-08,0001354457-26-000541,0.0,,,DELISTING,Form 25 exchange delisting
QVCGQ,"QVC Group, Inc. ",2026-06-08,0001354457-26-000540,0.0,,,DELISTING,Form 25 exchange delisting
STAI,ScanTech AI Systems Inc. ,2026-06-08,0001354457-26-000539,0.0,,,DELISTING,Form 25 exchange delisting
CXH,MFS INVESTMENT GRADE MUNICIPAL TRUST ,2026-06-08,0000876661-26-000514,0.0,,,DELISTING,Form 25 exchange delisting
CMU,MFS HIGH YIELD MUNICIPAL TRUST ,2026-06-08,0000876661-26-000512,0.0,,,DELISTING,Form 25 exchange delisting
CXE,MFS HIGH INCOME MUNICIPAL TRUST ,2026-06-08,0000876661-26-000510,0.0,,,DELISTING,Form 25 exchange delisting
FACWW,Factorial Energy Inc. ,2026-06-05,0001354457-26-000536,0.0,,,DELISTING,Form 25 exchange delisting
SA,SEABRIDGE GOLD INC ,2026-06-05,0000876661-26-000507,0.0,,,DELISTING,Form 25 exchange delisting
CIK0000038009,FORD MOTOR CREDIT CO LLC ,2026-06-05,0000876661-26-000504,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001960208,Carbon Revolution Public Ltd Co ,2026-06-04,0001354457-26-000532,0.0,,,DELISTING,Form 25 exchange delisting
IVPR,"INSPIRE VETERINARY PARTNERS, INC. ",2026-06-04,0001354457-26-000531,0.0,,,DELISTING,Form 25 exchange delisting
TWNPQ,Twin Hospitality Group Inc. ,2026-06-04,0001354457-26-000530,0.0,,,DELISTING,Form 25 exchange delisting
BDX,BECTON DICKINSON & CO ,2026-06-04,0000876661-26-000501,40722.0,147.79,1.6874086,DELISTING,Form 25 exchange delisting
FONR,FONAR CORP ,2026-06-03,0001354457-26-000523,0.0,,,DELISTING,Form 25 exchange delisting
NXPLW,NextPlat Corp ,2026-06-02,0001354457-26-000517,0.0,,,DELISTING,Form 25 exchange delisting
EPWKF,EPWK Holdings Ltd. ,2026-06-02,0001354457-26-000515,0.0,,,DELISTING,Form 25 exchange delisting
LLY,ELI LILLY & Co ,2026-06-02,0000876661-26-000494,0.0,,,DELISTING,Form 25 exchange delisting
FFIC,FLUSHING FINANCIAL CORP ,2026-06-01,0001354457-26-000513,0.0,,,DELISTING,Form 25 exchange delisting
THR,"Thermon Group Holdings, Inc. ",2026-06-01,0000876661-26-000492,2014.0,61.14,3.7278216,DELISTING,Form 25 exchange delisting
CIK0000045876,ENVIRI Corp ,2026-06-01,0000876661-26-000489,0.0,,,DELISTING,Form 25 exchange delisting
OXLCL,Oxford Lane Capital Corp. ,2026-05-29,0001354457-26-000512,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001928561,Bitwise Funds Trust ,2026-05-29,0001143362-26-000190,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001879238,BondBloxx ETF Trust ,2026-05-29,0001143362-26-000187,0.0,,,DELISTING,Form 25 exchange delisting
CIK0000864270,AMERICAN HONDA FINANCE CORP ,2026-05-29,0000876661-26-000486,0.0,,,DELISTING,Form 25 exchange delisting
PTN,PALATIN TECHNOLOGIES INC ,2026-05-28,0001493152-26-025603,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001133470,CALAVO GROWERS INC ,2026-05-28,0001354457-26-000505,0.0,,,DELISTING,Form 25 exchange delisting
CIK0000794619,AMERICAN WOODMARK CORP ,2026-05-28,0001354457-26-000504,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001862005,AstraZeneca Finance LLC ,2026-05-28,0000876661-26-000481,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001293525,"FedEx Office & Print Services, Inc ",2026-05-28,0000876661-26-000479,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139414,FEDEX FREIGHT INC ,2026-05-28,0000876661-26-000477,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139209,FEDEX GROUND PACKAGE SYSTEM INC ,2026-05-28,0000876661-26-000475,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139208,FEDEX FREIGHT CORP ,2026-05-28,0000876661-26-000473,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139206,FEDEX CORPORATE SERVICES INC ,2026-05-28,0000876661-26-000471,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139197,FEDERAL EXPRESS INTERNATIONAL INC ,2026-05-28,0000876661-26-000469,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139193,"FEDERAL EXPRESS HOLDINGS S A, LLC ",2026-05-28,0000876661-26-000467,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001139191,FEDERAL EXPRESS EUROPE INC ,2026-05-28,0000876661-26-000465,0.0,,,DELISTING,Form 25 exchange delisting
CIK0000230211,FEDERAL EXPRESS CORP ,2026-05-28,0000876661-26-000463,0.0,,,DELISTING,Form 25 exchange delisting
FDX,FEDEX CORP ,2026-05-28,0000876661-26-000461,76175.0,319.25,2.5600827,DELISTING,Form 25 exchange delisting
CIK0001516212,SSGA Active Trust ,2026-05-27,0001417835-26-000141,0.0,,,DELISTING,Form 25 exchange delisting
GECCI,Great Elm Capital Corp. ,2026-05-27,0001354457-26-000501,0.0,,,DELISTING,Form 25 exchange delisting
CIK0000924901,"Veris Residential, Inc. ",2026-05-27,0000876661-26-000458,0.0,,,DELISTING,Form 25 exchange delisting
HBCYF,HSBC HOLDINGS PLC ,2026-05-26,0000876661-26-000455,0.0,,,DELISTING,Form 25 exchange delisting
CCAP,"Crescent Capital BDC, Inc. ",2026-05-26,0000876661-26-000450,0.0,,,DELISTING,Form 25 exchange delisting
HDRNW,GigCapital7 Corp. ,2026-05-22,0001354457-26-000494,0.0,,,DELISTING,Form 25 exchange delisting
NRXP,"NRX Pharmaceuticals, Inc. ",2026-05-22,0001354457-26-000493,0.0,,,DELISTING,Form 25 exchange delisting
USGO,U.S. GoldMining Inc. ,2026-05-22,0001354457-26-000491,0.0,,,DELISTING,Form 25 exchange delisting
AMT,AMERICAN TOWER CORP /MA/ ,2026-05-22,0000876661-26-000446,88906.0,190.83,25.245403,DELISTING,Form 25 exchange delisting
EEFT,"EURONET WORLDWIDE, INC. ",2026-05-21,0001354457-26-000490,0.0,,,DELISTING,Form 25 exchange delisting
CIK0001853513,"Mister Car Wash, Inc. ",2026-05-19,0001354457-26-000478,0.0,,,DELISTING,Form 25 exchange delisting
DTST,Data Storage Corp ,2026-05-18,0001354457-26-000475,0.0,,,DELISTING,Form 25 exchange delisting
MSPRZ,"MSP Recovery, Inc. ",2026-05-18,0001354457-26-000472,0.0,,,DELISTING,Form 25 exchange delisting
