symbol,cik,ev_ebitda,cheap_per_roiic_lindy,cheap_per_cash_roiic_lindy,m5_engine_score
AAC-WT,2128115,,,,
AAC,2128115,,,,
AAC-UN,2128115,,,,
AACI,2092897,,,,
AAAU,1708646,,,,
AACG,1420529,,,,
AA,1675149,,,,
A,1090872,17.67746627015707,,,
AACIU,2092897,,,,
AACIW,2092897,,,,
AACO,2099906,,,,
AACOU,2099906,,,,
AACOW,2099906,,,,
AACP,2102123,,,,
AACPR,2102123,,,,
AACPU,2102123,,,,
AACPW,2102123,,,,
AADX,2118195,,,,
AAGH,1098009,,,,
AAL,6201,,,,
AAME,8177,,,,
AAMI,1748824,,,,
AAON,824142,,,,
AAOI,1158114,,,,
AAPG,2023311,,,,
AAP,1158449,7.912165333333333,,,
AAPI,1134982,,,,
AAPL,320193,27.25993951762037,,,
AAQL,1672571,,,,
AARD,1774857,,,,
AASP,930245,,,,
AAT,1500217,15.142440160579412,,,
AATC,943034,,,,
AAUAF,1015647,,,,
AAUC,1993344,,,,
AAVXF,1956827,,,,
AAWH,1756390,,,,
AB,825313,,,,
ABAKF,790500,,,,
ABAT,1576873,,,,
ABBNY,1091587,,,,
ABCB,351569,,,,
ABCFF,1284237,,,,
ABBV,1551152,21.225999543945147,,,
ABCL,1703057,,,,
ABCP,20639,,,,
ABEO,318306,,,,
ABEV,1565025,,,,
ABG,1144980,6.559134447884417,,,
ABIT,1095146,2.003538338145653,,,
ABLVW,1957489,,,,
ABLV,1957489,,,,
ABLZF,1091587,33.08918183118032,,,
ABM,771497,9.56197404509894,,,
ABNB,1559720,,,,
ABOS,1576885,,,,
ABPO,1893219,,,,
ABPWW,1893219,,,,
ABR,1253986,,,,
ABR-PD,1253986,,,,
ABR-PE,1253986,,,,
ABR-PF,1253986,,,,
ABSI,1672688,,,,
ABT,1800,19.614099707317077,,,
ABTC,1755953,,,,
ABTS,1864055,,,,
ABUS,1447028,,,,
ABVC,1173313,,,,
ABVEF,1979484,,,,
ABVX,1956827,,,,
ABX,1814287,,,,
ABXL,1814287,,,,
ABXXF,1971975,,,,
ACA,1739445,,,,
ACAA,2096900,,,,
ACAAU,2096900,,,,
ACAAW,2096900,,,,
ACAD,1070494,,,,
ACAT,1781726,,,,
ACB,1683541,,,,
ACBM,1622996,,,,
ACCL,2038378,,,,
ACCO,712034,11.668666642134315,,,
ACCV,2141406,,,,
ACCS,843006,26.57457082452431,,,
ACDC,1881487,19.38626351837373,,,
ACEL,1698991,7.464708469286424,,,
ACET,1720580,,,,
ACFN,880984,,,,
ACGC,2111542,,,,
ACGCU,2111542,,,,
ACGCW,2111542,,,,
ACGL,947484,,,,
ACGLN,947484,,,,
ACGLO,947484,,,,
ACGP,1642122,,,,
ACH,75252,4.945939162891597,,,
ACHC,1520697,,,,
ACHR,1824502,,,,
ACHR-WT,1824502,,,,
ACHV,949858,,,,
ACI,1646972,7.092893649702898,,,
ACIU,1651625,,,,
ACIC,1401521,3.385187185110545,,,
ACIW,935036,,,,
ACLEW,1883984,,,,
ACMIF,2065282,,,,
ACLS,1113232,,,,
ACM,868857,9.9914201916134,,,
ACMR,1680062,,,,
ACNB,715579,,,,
ACN,1467373,,,,
ACOG,1655923,,,,
ACNT,95953,,,,
