rank,ticker,name,sector,currency,price,market_cap_musd,master,implicit_buyback_score,pdmr_score,fundamentals_composite,shares_change_1y_pct,shares_change_2y_pct,ret_90d_pct,ret_180d_pct,p_b,div_yield,pdmr_events,buyback_news_events,buy_directional_events,example_headline,reasons
1,BCG.L,Baltic Classifieds Group PLC,Communication Services,EUR,189.0,835.3,73.9,77.0,75,68.7,-9.91423146849726,-9.561970269863417,-2.3760361355856907,-42.72727272727273,2.952723,1.8,3,0,3,,Shares -9.9% YoY | 180d return -43% | Div yield 180.0%
2,ABDP.L,AB Dynamics plc,Consumer Cyclical,GBP,1048.0,239.9,70.9,68.0,75,70.7,-4.269011204095207,-0.28037639678494264,-20.905660377358494,-26.456140350877188,1.9068414,0.9,3,0,3,,Shares -4.3% YoY | P/B 1.91 | Small cap ($0.2B) | Div yield 90.0%
3,BKG.L,The Berkeley Group Holdings plc,Consumer Cyclical,GBP,3244.0,2998.7,68.1,72.0,50,81.0,-7.6097928098108,-13.995669972646585,-19.02146779830255,-9.888888888888891,0.8617804,1.67,2,0,2,,Shares -7.6% YoY | P/B 0.86 (deep value) | Div yield 167.0%
4,PAY.L,PayPoint plc,Technology,GBP,585.0,353.6,67.7,81.0,50,67.6,-17.583946382509964,-16.843636943884277,22.64150943396226,-24.263670624594937,3.871608,3.38,1,0,1,,Shares -17.6% YoY (heavy) | Small cap ($0.4B) | Div yield 338.0%
5,SHI.L,SIG plc,Industrials,GBP,8.279999732971191,96.1,67.7,66.0,75,62.8,-3.974941236059748,0.5023573905114764,-16.700200377152306,-21.142859685988658,0.7961538,,3,0,2,SIG CEO & Director Acquires 17% More Stock,Shares -4.0% YoY | P/B 0.80 (deep value) | Small cap ($0.1B)
6,IPX.L,Impax Asset Management Group Plc,Financial Services,GBP,106.19999694824219,128.6,64.8,87.0,0,100,-5.333259076874974,-5.618759838531195,-27.35978169285518,-42.15686633018656,1.1493506,11.3,0,0,0,,Shares -5.3% YoY | 180d return -42% | P/B 1.15 | Small cap ($0.1B) | Div yield 1130.0%
7,BVXP.L,Bioventix PLC,Healthcare,GBP,1700.0,88.8,63.8,63.0,50,78.8,-2.6315348103919667,0.09962334711455245,-8.602150537634412,-32.67326732673267,8.045433,8.82,1,0,1,,Shares -2.6% YoY | 180d return -33% | Small cap ($0.1B) | Div yield 882.0%
8,FUTR.L,Future plc,Communication Services,GBP,321.20001220703125,292.3,63.4,100.0,0,77.9,-17.33462516575539,-20.97296107527068,-38.23076688326322,-55.72708308655668,0.31592408,5.29,0,0,0,,Shares -17.3% YoY (heavy) | 180d return -56% | P/B 0.32 (deep value) | Small cap ($0.3B) | Div yield 529.0%
9,ARB.AX,ARB Corporation Limited,Consumer Cyclical,AUD,17.8799991607666,1495.8,62.7,65.0,50,72.4,-2.316585839145291,1.6128282737495114,-42.784002685546874,-55.3000020980835,2.03228,3.8,2,0,2,,Shares -2.3% YoY | 180d return -55% | Div yield 380.0%
10,JET2.L,Jet2 plc,Consumer Cyclical,GBP,1074.0,1940.6,62.4,97.0,0,78.6,-15.214319466370851,-17.966144570655484,-24.41942294159043,-34.029484029484024,1.0408994,1.55,0,0,0,,Shares -15.2% YoY (heavy) | 180d return -34% | P/B 1.04 | Div yield 155.0%
