symbol,fmp_inst_quarter,fmp_inst_holders,fmp_inst_own_pct,fmp_inst_put_call,fmp_inst_holders_chg_q0,fmp_inst_own_chg_q0,fmp_inst_shares_chg_pct_q0,fmp_inst_new_q0,fmp_inst_buy_ratio_q0,fmp_inst_own_chg_q1,fmp_inst_shares_chg_pct_q1,fmp_inst_new_q1,fmp_inst_buy_ratio_q1,fmp_inst_own_chg_q2,fmp_inst_shares_chg_pct_q2,fmp_inst_new_q2,fmp_inst_buy_ratio_q2,fmp_inst_accum_quarters,fmp_inst_own_accel,fmp_inst_purchase_accel,fmp_inst_buyer_breadth_accel
CAAS,,,,,,,,,,,,,,,,,,,,,
XNET,2026Q2,59.0,54.3662,2.3068,8.0,-5.8862,-0.0874735413124563,19.0,0.6790123456790124,-3.3375,-0.0422247682217517,11.0,0.515625,18.1981,0.3642039642494274,15.0,0.6714285714285714,1.0,-2.5487,-0.0452487730907046,0.1633873456790123
USNA,2026Q2,140.0,63.0677,1.3047,0.0,7.2095,0.1344690128740664,23.0,0.6625766871165644,-0.5842,-0.0197286030548062,30.0,0.61875,-13.4971,-0.1805854544925889,11.0,0.3583815028901734,1.0,7.7937,0.1541976159288726,0.0438266871165643
MJGCF,,,,,,,,,,,,,,,,,,,,,
WEBJF,,,,,,,,,,,,,,,,,,,,,
HRMY,2026Q2,336.0,94.3429,0.9911,15.0,-2.4805,-0.024646026514311,52.0,0.6194225721784777,9.7674,0.1157555308178436,45.0,0.58994708994709,4.4627,0.0570563756801977,60.0,0.6195372750642674,2.0,-12.2479,-0.1404015573321547,0.0294754822313877
FVRR,2026Q2,160.0,45.8072,0.7384,-15.0,-6.0621,-0.1168732906836322,37.0,0.558974358974359,-11.2728,-0.185563423302216,34.0,0.4976076555023923,-1.5263,-0.0317183487487904,33.0,0.5700934579439252,0.0,5.2107,0.0686901326185838,0.0613667034719666
IMPP,2026Q2,70.0,28.1967,0.8408,2.0,-0.7522,-0.0259810939890945,14.0,0.6419753086419753,-16.2048,-0.1577142054545169,21.0,0.6847826086956522,25.1698,1.3155469521429974,26.0,0.7777777777777778,1.0,15.4526,0.1317331114654224,-0.0428073000536769
BAINF,,,,,,,,,,,,,,,,,,,,,
LULU,2026Q2,931.0,75.0152,0.997,-99.0,1.4231,-0.0028829028874475,127.0,0.4810810810810811,-1.6405,-0.0511322183946395,148.0,0.5197645079899075,3.7608,0.0565799035929824,242.0,0.6030534351145038,1.0,3.0636,0.048249315507192,-0.0386834269088263
MNDO,2026Q2,17.0,8.102,0.0,2.0,-0.0336,-0.0130486336726099,2.0,0.5333333333333333,-0.0229,-0.0189673909174819,3.0,0.5789473684210527,0.4905,-0.0315097651144553,2.0,0.4117647058823529,0.0,-0.0106999999999999,0.005918757244872,-0.0456140350877193
LEAT,,,,,,,,,,,,,,,,,,,,,
IMXCF,,,,,,,,,,,,,,,,,,,,,
DXC,2026Q2,444.0,103.5837,0.7939,-7.0,7.9729,0.0833892495795442,75.0,0.5942622950819673,5.5122,0.0480660315524502,85.0,0.6198347107438017,1.6206,-0.0035571057807474,63.0,0.5242290748898678,2.0,2.4607,0.035323218027094,-0.0255724156618344
SOGP,2026Q2,14.0,2.5869,1.3903,-2.0,-0.0303,-0.011587425305274,1.0,0.6363636363636364,-0.8709,-0.296146390822534,0.0,0.2,1.2392,0.6815703157031571,4.0,0.6,1.0,0.8406,0.2845589655172599,0.4363636363636363
SKUYF,,,,,,,,,,,,,,,,,,,,,
PERF,2026Q2,21.0,7.7788,0.0,-1.0,0.2352,-0.0075432267424194,3.0,0.5714285714285714,-0.0143,0.046399107276631,8.0,0.6666666666666666,0.5984,0.0629582676477633,5.0,0.75,2.0,0.2495,-0.0539423340190504,-0.0952380952380952
TASK,2026Q2,111.0,30.662,0.2973,-3.0,-0.9443,-0.021038137120762,31.0,0.6012658227848101,1.7155,0.0614864444973818,29.0,0.5632183908045977,0.4871,0.0228475209548358,47.0,0.6923076923076923,2.0,-2.6598,-0.0825245816181439,0.0380474319802124
CWLPF,,,,,,,,,,,,,,,,,,,,,
JD,2026Q2,497.0,14.835,0.8152,24.0,1.8256,0.1403285110645812,86.0,0.5964912280701754,0.2874,-0.0158382623443795,50.0,0.5255319148936171,-2.182,-0.221568280468004,75.0,0.514336917562724,1.0,1.5381999999999998,0.1561667734089608,0.0709593131765583
STG,2026Q2,7.0,13.0347,0.0,1.0,12.9259,117.70895112575508,2.0,0.75,0.0235,0.2678851174934726,2.0,0.75,-0.0158,-0.1552091757958973,0.0,0.1666666666666666,2.0,12.9024,117.4410660082616,0.0
NRDS,2026Q2,157.0,42.2797,0.6413,-6.0,-2.2102,-0.0928763589523264,31.0,0.555,4.7323,0.0271565722873801,37.0,0.6053811659192825,2.7705,0.0550260033890211,34.0,0.6515151515151515,2.0,-6.942500000000001,-0.1200329312397066,-0.0503811659192824
GDDY,2026Q2,652.0,101.7434,0.5975,4.0,1.6267,-0.0055177914560204,123.0,0.5351941747572816,0.0234,-0.0129756089261784,81.0,0.5118601747815231,2.3898,0.0114287961040982,111.0,0.5598141695702671,1.0,1.6033,0.007457817470158,0.0233339999757584
NATR,2026Q2,154.0,88.7503,0.0,2.0,1.3393,0.0321268115194499,19.0,0.5527950310559007,3.7612,0.0462172739212986,32.0,0.6775956284153005,1.5415,0.01086059622454,32.0,0.7055214723926381,3.0,-2.4219,-0.0140904624018487,-0.1248005973593998
HTLM,2026Q2,1.0,0.0016,0.0,-1.0,-0.0135,-0.8916481892091648,0.0,0.0,0.0137,9.48024786986832,1.0,1.0,-0.0038,-0.7256693582660434,0.0,0.0,1.0,-0.0272,-10.371896059077486,-1.0
MTRX,2026Q2,155.0,88.4338,0.0,10.0,2.5569,0.0309761236383281,25.0,0.6666666666666666,-1.0889,-0.0104902854047132,20.0,0.6081871345029239,1.7473,0.0276453875725469,21.0,0.5952380952380952,2.0,3.6458,0.0414664090430414,0.0584795321637426
CF,2026Q2,1021.0,104.3607,0.6963,38.0,7.74,0.0641717580031294,167.0,0.613126079447323,-1.8806,-0.0566093451988906,222.0,0.6495726495726496,-0.2417,0.0043672370247889,123.0,0.5561497326203209,2.0,9.6206,0.1207811032020201,-0.0364465701253265
FOUR,2026Q2,399.0,87.7685,0.5285,-4.0,-8.2695,-0.0161229438253603,69.0,0.5376569037656904,-24.5484,-0.1300322850154524,68.0,0.5348837209302325,-6.2409,-0.054616429239113,76.0,0.5034602076124568,0.0,16.2789,0.113909341190092,0.0027731828354579
DCOHF,,,,,,,,,,,,,,,,,,,,,
OPXS,2026Q2,38.0,40.2226,0.0,2.0,1.8393,0.0502432985591845,7.0,0.5869565217391305,3.7356,0.1124548640444915,8.0,0.5652173913043478,5.84,0.2072466889962217,7.0,0.6666666666666666,3.0,-1.8963,-0.0622115654853069,0.0217391304347827
TSIOF,,,,,,,,,,,,,,,,,,,,,
NUS,2026Q2,169.0,77.4849,3.2308,-11.0,1.9821,0.0346405780097461,27.0,0.5096153846153846,0.701,-0.0129693605105893,24.0,0.5377358490566038,1.4126,0.0170815762047854,27.0,0.5539906103286385,2.0,1.2811,0.0476099385203355,-0.0281204644412191
WB,2026Q2,142.0,19.9381,5.7193,-8.0,0.9915,0.0527573771960833,17.0,0.5194805194805194,-1.0623,-0.0527573076126011,20.0,0.4939024390243902,-2.5933,-0.113463196174334,28.0,0.5828571428571429,1.0,2.0538,0.1055146848086845,0.0255780804561291
JRSH,2026Q2,26.0,12.3276,0.0,6.0,3.246,0.3574361015231243,8.0,0.78125,0.9922,0.1226485618338443,6.0,0.6428571428571429,-0.3313,-0.0393381826954636,4.0,0.625,2.0,2.2538,0.2347875396892799,0.1383928571428571
TRSBF,,,,,,,,,,,,,,,,,,,,,
HUABF,,,,,,,,,,,,,,,,,,,,,
CODA,2026Q2,64.0,25.3055,0.0,-2.0,1.1454,0.0474082438553604,12.0,0.6351351351351351,7.9874,0.494459500976541,32.0,0.79,3.0682,0.2383216935242805,12.0,0.7708333333333334,3.0,-6.8420000000000005,-0.4470512571211806,-0.1548648648648649
INTU,2026Q2,1849.0,88.8674,0.7755,-265.0,3.1961,0.0373069654510139,191.0,0.4401237295625276,-0.4693,-0.0161416139039966,225.0,0.5007880220646178,1.8632,0.0221073366095988,263.0,0.5925623212096445,2.0,3.6654,0.0534485793550106,-0.0606642925020902
KMRCF,,,,,,,,,,,,,,,,,,,,,
ADBE,2026Q2,2122.0,83.6115,1.0227,-194.0,4.4031,0.0349913636902673,178.0,0.4333759046402725,-2.9651,-0.0522643861727597,200.0,0.4360189573459715,3.7884,0.0190063260884972,305.0,0.4939383443020436,2.0,7.3682,0.087255749863027,-0.002643052705699
CVSA,,,,,,,,,,,,,,,,,,,,,
