symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes
INLIF.AT,Interlife General Insurance Company S.A.,Financials,,,EUR,124163880.0,100343829.0,6.72,105701537.8,,11966309.13,11952083.71,,0.11307388670744581,,0.16152903678016187,,0.9493128585306164,,5.796638437313639,0.9479046115750805,0.0962605526663632,,,0.192348853144731,0.238009453675522,23820051.0,0.19184364245060642,0,2023-12-31,,0,1.1746648401173971,28.0,10.376121713980824,,,,0.0004788915467777288,0.6182,6.7,-0.0029761904761904656,0.3998225993173153,0,0.48106598098156045,0.37307185713434265,15.537592360461213,1,,0.7274893492352041,,-0.3364683396262023,-0.3357631270673803,,-0.1809988197674859,,,,,0.7274893492352041,,-0.3364683396262023,-0.3357631270673803,0.9148027168424815,,-0.42029652816503726,-0.419271659117907,1,0,0,0,0,0,0,1,-0.010471740580600008,0.1720007773607619,1,1,,,,,,0.0,0,0.3998225993173153,-0.32766674991788886,,0.7355857263846957,-0.18967801454923802,-0.07274698730585626,0.7185139398962226,growth-flip; first-positive: NI/ROCE; ROCE improving from <=0; accelerating sales; cheap+grow (EV/EBIT 5.8x)
EXAE.AT,Hellenic Exchanges - Athens Stock Exchange SA,Financials,Capital Markets,Micro Cap,EUR,422305024.0,315961984.0,7.3,85815000.0,45266000.0,53575000.0,50463000.0,0.5274835401736293,0.5880440482433141,1.1835594044094906,1.7652305693873134,-2.349290858480979,3.6818969177882654,6.980117174037909,7.750244897959184,3.2626046755975833,0.11949419763474091,69226000.0,0.16392416870702442,0.25249522013737635,0.337477308662551,106343000.0,0.2518156165719686,0,2025-12-31,6.100381706295322,0,4.921109642836334,13.272727,7.882501614559029,63741000.0,0.7427722426149275,0.1509359263507128,0.0022172777700520713,0.0,6.5,-0.1095890410958904,0.3381404569316805,0,0.3949103435785374,0.8447584490191703,9.174510070846662,0,8.460455154606914,0.5921150278293136,0.7095702092303044,1.5447679665605851,2.3012560512887608,0.03624049750201519,0.304444790358342,0.08961743083154514,0.024418946749043838,0.10536849055046629,0.1490800619364241,-0.29542475091767173,-0.5944174359534604,-0.46436816220014054,-0.49580007304220797,0.4398393367845694,0.4322531366727848,1.390546475332515,2.1902741485342,0,0,0,0,0,0,0,0,0.5354351537888079,1.2297954155985056,0,0,6547000.0,0.0,0.0,0.0,0.0,0.0,0,0.3381404569316805,-0.2539745708976331,-0.37142975229862396,-1.9631155943570802,-0.15952023971779306,0.6870100393177825,0.7123075397713323,accelerating sales; under-priced vs fundamentals
ASTAK.AT,Alpha Astika Akinita S.A.,Financials,,Micro Cap,EUR,102760000.0,39768656.0,7.34,20295129.0,6783835.0,19494518.0,18900770.0,0.33425926979818654,0.9312958789274017,2.873672192793604,1.624986094998967,-9.409330563022243,1.9595172812156059,5.862267581684991,6.481909856519535,1.5199617151877516,0.18393119891008175,62463737.0,0.6078604223433243,0.6364340210198521,1.6445101891298515,63831346.0,0.6211691903464382,1,2025-06-30,1.645114508598805,0,5.063283904231405,17.90244,5.271225479901581,,,,0.02320195821241261,0.9153,,,0.07122506170831669,0,0.4637469513312381,0.9078627046452221,7.1397468178325045,1,4.511713485578163,0.23891327698811504,1.5346637901916886,1.3027650909415756,1.292161671168401,0.1708773455714601,4.880461505593163,,,,,0.23891327698811504,1.5346637901916886,1.3027650909415756,1.292161671168401,0.02568107820918325,1.834618226433029,15.892302700722423,17.607260524847344,0,1,1,1,0,1,1,0,0.04757385913034226,1.5774122358686247,0,0,83593616.0,,0.0,0.0,0.0,0.0,0,0.07122506170831669,-0.16768821527979835,-1.4634387284833719,-1.2209366094600842,-0.13535105192145494,0.7468536512861773,0.6258377420789193,"growth-flip; first-positive: FCF/CFO; under-priced vs fundamentals; cheap+grow (EV/EBIT 6.5x); cash 64% of mcap; cash > EV (1.64x, net cash 62% mcap)"
INTRK.AT,Intracom Holdings S.A.,Information Technology,Communications Equipment,Micro Cap,EUR,306204160.0,327244128.0,3.69,29477000.0,29124000.0,32232000.0,30622000.0,0.988024561522543,1.0388438443532246,1.1067161104243923,0.11548127186091216,-4.363205603625875,11.101676832784882,11.236235681911825,12.13183539704901,0.8490270703418521,0.10000517301920392,100568000.0,0.3284344667296486,0.5335590476628403,0.49925418371448976,127074000.0,0.4149976277265469,0,2025-12-31,3.044747434571633,0,10.38790107541473,20.5,9.500004964010921,12675000.0,0.4299962682769617,0.041393951016210885,0.10066185502408131,0.33878,,,0.22488017299187124,0,0.4484177455813371,16.734314716435566,0.7249675653066185,0,0.4189476687816713,29.73722627737226,1.2472222222222222,5.720600500417015,38.10855683269477,-12.526052602189656,0.22236834904561253,,,,,29.73722627737226,1.2472222222222222,5.720600500417015,38.10855683269477,30.499908781702874,1.9294349631373318,4.326872563466026,37.05560849620572,1,1,0,0,0,0,0,1,0.03762059554643906,0.0778606763144731,0,0,29839000.0,,0.0,0.0,0.0,0.0,0,0.22488017299187124,-29.51234610438039,-1.022342049230351,-37.88367665970289,-0.9601499445025203,17.344628689454037,0.5903285392048756,growth-flip; first-positive: NI; accelerating sales; under-priced vs fundamentals; cash 53% of mcap
KARE.AT,Karelia Tobacco Company Inc.,Consumer Staples,,Small Cap,EUR,1164720000.0,527572000.0,422.0,1638511000.0,109498000.0,114677000.0,110124000.0,0.06682774787596787,0.06720980207029431,1.0472976675373067,0.6943329389801068,-6.223794041900309,0.3219825805258555,4.818097134194232,5.196064333763407,1.407135711903968,0.09454976303317536,578052000.0,0.49630125695446115,0.5862713785287451,1.294310539604073,681493000.0,0.5851131602445223,1,2025-09-30,2.0149052334392064,0,0.710840513124416,10.856702,10.156526592080365,150623000.0,0.09192675545052795,0.1293212102479566,0.0016297703099100666,0.94485,,,0.3798841077032583,0,0.36358236793084103,0.2559844151091541,20.298362037187918,1,23.49371312357478,0.23739934161885637,0.043663086058503386,0.48218947912627635,0.4774803783457436,-0.01240530379388699,0.010921159560380457,0.03109824283411984,0.09485956544780075,0.1060667438271605,0.10023878270773597,0.09273086315887873,0.10298403886190145,1.9769915597178864,2.1244954982924558,0.09332831815469253,0.19532134387944697,0.6282969998277174,0.6556703454121603,0,1,1,1,0,0,0,0,0.662133215463602,0.0321997235165048,0,0,10033000.0,0.0,0.0,0.0,0.0,0.0,0,0.3798841077032583,0.14248476608440194,0.3362210216447549,-0.09759627064248527,0.11514857111366576,-0.12406452205008434,0.5229347887038177,"growth-flip; accelerating sales; cheap+grow (EV/EBIT 5.2x); cash 59% of mcap; cash > EV (1.29x, net cash 59% mcap)"
PETRO.AT,Petros Petropoulos AEBE,Consumer Staples,,Micro Cap,EUR,52868076.0,93992968.0,8.08,213561018.4,16591155.08,-14320759.06,-18999634.51,0.07768812494106368,-0.08896583586436016,-0.863156241439942,0.18946391573507262,1.2775872516285345,0.4401223065154666,5.6652455809604785,6.372442473278533,0.9923787706267206,-0.3593782098293118,31160264.63000001,0.5893966073212124,0.23636103496560004,0.1329456173785256,-24576683.279999997,-0.4648681234399375,0,2023-12-31,1.6966504176957622,0,0.24755489740631428,5.386667,,40998893.5,0.19197742081941674,0.7754943361282903,0.6958849301460973,0.5101,,,-0.10618724580780686,0,0.5272761779575211,-8.585942990859735,,0,8.82783145733477,0.36780913918854946,0.4664638393452731,-13.274856761000027,-53.77360050954725,0.00522638094862303,-0.091271691106297,,,,,0.36780913918854946,0.4664638393452731,-13.274856761000027,-53.77360050954725,0.3652938832477986,0.5089045469443193,-12.340020972981652,-52.7943478982384,0,1,0,0,0,0,0,0,0.19948934607238408,-0.010025430337311458,0,0,,,,0.0,,0.0,0,-0.10618724580780686,-0.4739963849963563,-0.5726510851530799,53.66741326373944,-0.34653693371105404,-13.068557214969736,0.48340038895964665,growth-flip; accelerating sales
ILYDA.AT,Ilyda SA,Information Technology,,Nano Cap,EUR,58702580.0,52189800.0,4.16,8998294.0,6194089.0,8869949.0,4450279.0,0.6883625940650527,0.494569192782543,1.43200218789236,0.5418670289634302,-1.0514508267478881,5.799966082459631,8.425742671763354,10.01488518146316,3.6393546858383,0.0758106202487182,6277387.0,0.10693545326287192,0.11262913827637559,0.12668416050645911,6512780.0,0.11094537923205419,0,2025-12-31,9.35143555750187,0,6.523745501091652,13.419354,6.61814177285574,6358890.0,0.7066772879392471,0.10832385901948433,0.006127796367773672,0.53477,,,0.7622094861735926,0,0.5109393565803231,0.7330163336406538,13.662567560701524,0,30.19905020673068,0.2641252744023136,0.18801609341654058,1.9946497758895207,3.386879812943343,-0.044099329584724956,0.3520539101225215,,,,,0.2641252744023136,0.18801609341654058,1.9946497758895207,3.386879812943343,,,,,0,0,0,0,0,0,0,0,0.45649412028660713,0.08537290867682307,0,0,3435827.0,,0.0,0.0,0.0,0.0,0,0.7622094861735926,0.49808421177127904,0.5741933927570521,-2.62467032676975,0.3940149143895381,0.2895944519629702,0.4729437764318988,under-priced vs fundamentals
MEVA.AT,Mevaco S.A.,Industrials,Industrial Conglomerates,Nano Cap,EUR,91350000.0,81708336.0,8.7,72686674.0,14252567.0,5064489.0,2620825.0,0.19608225573782617,0.036056471644307184,0.3553387259993235,0.3859188093077252,-0.5163583514464447,1.1241171387206408,5.732885591767434,6.194427252092775,2.1991269357733603,0.02868992884510126,12410189.0,0.13585319102353585,0.1362687684729064,0.1523486171594536,7359432.0,0.08056302134646962,0,2025-12-31,7.360887090438348,0,1.2567640665467785,9.0625,18.03735776699288,21991879.0,0.302557233530867,0.24074306513409963,0.12250400898312659,0.55697,,,0.936431685389347,0,0.4559605816919268,0.26041675004278325,23.786593032418644,1,8.330559117882125,0.19556605463406257,0.8119958711733885,-0.3840308635931591,-0.5884765423817384,0.06670597370225428,-0.06869549996212584,,,,,0.19556605463406257,0.8119958711733885,-0.3840308635931591,-0.5884765423817384,,,,,0,0,0,0,0,0,0,0,0.25136853698923806,0.13455027231848715,0,0,,,,0.0,,0.0,0,0.936431685389347,0.7408656307552843,0.1244358142159585,1.5249082277710855,0.619677706542151,-0.7524718448211198,0.4675922722423496,cheap+grow (EV/EBIT 6.2x)
DOMIK.AT,Domiki Kritis S.A.,Industrials,,Nano Cap,EUR,46365944.0,47589036.0,2.92,18121370.0,1281800.0,5128569.0,4504941.0,0.0707341663461427,0.24859825719578596,4.00106802933375,0.06669062910894623,0.8205484474957092,2.6261279362432313,37.126724918083944,47.995219542992345,3.3954294561440497,0.09716055818900182,-3282352.0,-0.07079230393756245,0.09377110924345679,0.0913610857761439,-1212312.0,-0.026146604499198808,0,2025-12-31,,0,2.5586334808019484,97.333336,9.040717595882985,11250137.0,0.6208215493640933,0.242637937016876,0.40717213755526294,0.68608004,,,0.5051546341073744,0,0.4683869858485447,1.1050114955214925,43.43413596827947,0,113.06973154162213,0.15552503579019217,0.29897899723847887,12.494600736935531,5.791853211009174,0.0078115938700072385,0.3085461515477171,,,,,0.15552503579019217,0.29897899723847887,12.494600736935531,5.791853211009174,0.4012972005708126,1.0001057971334406,15.619623955533271,12.537355203333227,1,1,1,1,0,1,1,0,0.037267501834807135,0.029423127274139094,0,0,5445066.0,,0.0,0.0,0.0,0.0,0,0.5051546341073744,0.3496295983171822,0.2061756368688955,-5.2866985769018,0.30257206679913434,1.1070803187291467,0.4615404380538395,growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals
MIG.AT,Marfin Investment Group Holdings S.A.,Consumer Staples,Food & Staples Retailing,Micro Cap,EUR,102050000.0,158559008.0,3.25,7868000.0,17513000.0,13117000.0,13091000.0,2.225851550584647,1.6638281647178443,0.7489864671957974,0.08341078966732504,4.825558156797808,20.152390442297914,9.053789070975846,9.202496111433547,0.8374020432445739,0.12828025477707006,-82829000.0,-0.8116511513963743,0.07243508084272415,0.04661986785386548,-84703000.0,-0.8300146986771191,0,2023-12-31,,0,12.97025927808846,108.333336,7.7799801783944496,4628000.0,0.5882053889171327,0.04535031847133758,0.7557132892955319,0.87563,,,0.14436623176821886,0,0.4189623859050248,1.5188273323356847,6.058948186876354,0,1.8787423566300756,0.10490099705097598,5.239045244032775,-0.7628672150411281,-0.7632773367570207,1.8316653407826526,-6.102075500497715,,,,,0.10490099705097598,5.239045244032775,-0.7628672150411281,-0.7632773367570207,0.5303024333456584,5.939695771920159,-2.944180616002153,-2.9428306929842245,1,1,0,0,0,0,0,1,0.004774018453490174,0.07863677121383486,0,0,,,,0.0,,0.0,0,0.14436623176821886,0.03946523471724288,-5.094679012264557,0.9076435685252395,0.03571834474091068,1.027962966070291,0.45046246887173375,growth-flip; first-positive: NI; accelerating sales; under-priced vs fundamentals
