ticker,tier,n_layers,raw_score,norm_score,psu,valuation,buyback,tender,c10b51,f4_buys,f144,has_psu,has_yf,has_bb,has_tender,has_c10,has_f4,has_f144,reasons
THRY,C,3,63.8,97.5,47.8,16.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+12 PSU.ebitda_dollar_target; +12 PSU.revenue_dollar_target; +12 PSU.fcf_dollar_target | P/B 0.69
LE,B,4,69.0,91.3,32.0,12.0,0.0,25.0,0.0,0.0,0.0,1,1,0,1,0,1,0,PSU core 51; gov 15 | P/B 0.77 | tender TARGET
EHTH,B,4,67.4,89.2,38.4,29.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.ebitda_dollar_target; +12 PSU.revenue_dollar_target | P/B 0.09; microcap | buyback NO_AUTH +3.9%
SVRN,C,3,58.0,88.6,0.0,33.0,0.0,25.0,0.0,0.0,0.0,0,1,0,1,0,1,0,P/B 0.05; DD 99%; microcap | tender SELF_TENDER
RBNE,C,3,58.0,88.6,0.0,33.0,0.0,25.0,0.0,0.0,0.0,0,1,0,1,0,1,0,P/B 0.12; DD 98%; microcap | tender SELF_TENDER
DXLG,B,4,64.7,85.6,14.7,25.0,0.0,25.0,0.0,0.0,0.0,1,1,0,1,0,1,0,gov 15 | P/B 0.38; microcap | tender TARGET
NUS,B,4,62.7,82.9,33.7,24.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.asset_sale_named | P/B 0.31 | buyback SHRINKING_NO_AUTH -1.9%
GNPX,B,4,61.4,81.2,28.4,33.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +12 PSU.merger_acquisition_close | P/B 0.32; DD 99%; microcap | buyback ANOMALY_REVIEW +987.9%
CLW,B,4,61.1,80.8,41.1,20.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +10 PSU.fda_phase_milestone | P/B 0.33 | buyback NO_AUTH +0.5%
TROX,C,3,52.5,80.2,40.5,12.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,PSU core 64; PSU%LTI=86; gov 15 | P/B 0.92
HFFG,B,4,60.3,79.8,40.3,20.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,PSU core 52; +12 PSU.revenue_dollar_target; gov 15 | P/B 0.49 | buyback NO_AUTH -0.9%
VERI,C,3,51.2,78.2,43.2,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+10 PSU.spin_separation; +12 PSU.merger_acquisition_close; +12 PSU.revenue_dollar_target | DD 85%
MAT,B,4,58.6,77.5,53.6,0.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.ebitda_dollar_target; +12 PSU.fcf_dollar_target | buyback SHRINKING_NO_AUTH -6.5%
WHR,C,3,50.6,77.3,34.6,16.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+10 PSU.operating_margin_target; gov 16 | P/B 0.67
SNBR,C,3,49.8,76.1,36.8,13.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+12 PSU.ebitda_dollar_target; gov 15 | DD 99%; microcap
LEN,B,4,56.7,75.0,26.7,5.0,0.0,25.0,0.0,0.0,0.0,1,1,0,1,0,1,0,+12 PSU.revenue_dollar_target; gov 15 | tender SELF_TENDER
DXC,B,4,56.2,74.3,31.2,20.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,PSU%LTI=85 | P/B 0.48 | buyback SHRINKING_NO_AUTH -9.4%
BEEP,B,4,54.8,72.5,28.8,21.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +12 PSU.merger_acquisition_close | P/B 0.53; microcap | buyback SHRINKING_NO_AUTH -3.5%
CSGP,B,4,53.0,70.1,41.0,4.0,8.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.ebitda_dollar_target | buyback EXECUTING -3.6%
MLCI,B,5,59.0,69.8,0.0,29.0,5.0,25.0,0.0,0.0,0.0,1,1,1,1,0,1,0,P/B 0.46; microcap | buyback SHRINKING_NO_AUTH -11.1% | tender SELF_TENDER
TBI,C,3,45.7,69.8,33.7,12.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,PSU%LTI=80; gov 17 | P/B 0.79
WKHS,C,3,45.4,69.3,20.4,25.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+12 PSU.merger_acquisition_close | P/B 0.68; DD 95%; microcap
RYN,C,3,44.5,68.0,39.5,5.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+12 PSU.merger_acquisition_close; +12 PSU.asset_sale_named; +12 PSU.ebitda_dollar_target
GETY,B,5,57.4,67.9,4.4,28.0,0.0,25.0,0.0,0.0,0.0,1,1,1,1,0,1,0,P/B 0.47; DD 81% | buyback NO_AUTH +1.0% | tender SELF_TENDER
CRMT,C,3,44.4,67.8,11.4,33.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,P/B 0.04; DD 96%; microcap
FUBO,B,4,50.9,67.3,22.9,28.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.merger_acquisition_close; gov 15 | P/B 0.33; DD 84% | buyback ANOMALY_REVIEW -72.6%
ANGI,B,4,50.6,66.9,21.6,24.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,P/B 0.22 | buyback SHRINKING_NO_AUTH -8.8%
SAFE,C,3,43.6,66.6,23.6,20.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,P/B 0.45
GRPN,B,4,50.1,66.3,41.1,4.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +12 PSU.ebitda_dollar_target; +12 PSU.revenue_dollar_target | buyback SHRINKING_NO_AUTH -6.0%
HTT,B,4,50.0,66.1,0.0,20.0,5.0,25.0,0.0,0.0,0.0,0,1,1,1,0,1,0,P/B 0.28 | buyback SHRINKING_NO_AUTH -18.0% | tender SELF_TENDER
ENZN,B,4,50.0,66.1,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0,1,1,1,0,1,0,P/B 0.42; microcap | buyback ANOMALY_REVIEW -91.1% | tender SELF_TENDER
ALIT,B,4,49.9,66.0,13.9,28.0,8.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,P/B 0.29; DD 91% | buyback EXECUTING -4.1%
LMT,B,4,49.1,65.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.fcf_dollar_target; +8 PSU.backlog_target; gov 15 | buyback NO_AUTH -0.4%
SNDX,C,3,42.5,64.9,42.5,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+10 PSU.spin_separation; +12 PSU.merger_acquisition_close; +10 PSU.fda_phase_milestone
SD,C,3,42.3,64.6,30.3,12.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+10 PSU.spin_separation | P/B 0.98
LGL,B,4,48.3,63.9,31.3,17.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +15 PSU.chapter11_emergence | P/B 0.99; microcap | buyback NO_AUTH +20.4%
ASIX,B,4,48.3,63.9,36.3,12.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+10 PSU.spin_separation; +12 PSU.ebitda_dollar_target; gov 15 | P/B 0.67 | buyback NO_AUTH +0.4%
MAGN,B,4,48.2,63.8,23.2,20.0,5.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,gov 15 | P/B 0.42 | buyback SHRINKING_NO_AUTH -3.6%
HAIN,B,4,48.2,63.8,19.2,29.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.ebitda_dollar_target | P/B 0.26; microcap | buyback NO_AUTH -0.0%
ICE,B,4,47.9,63.4,47.9,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,+12 PSU.revenue_dollar_target; +12 PSU.restructuring_milestone; gov 21 | buyback NO_AUTH -0.8%
WW,C,3,41.3,63.1,29.3,12.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,+15 PSU.chapter11_emergence | P/B 0.60
