ticker,company,filing_date,current_price,market_cap,munger_composite,process_quality,asymmetry,strategic_review,change_of_control,buyback_score,controller_score,activist_score,board_score,financing_score,alignment,upside_kicker,transformation_signal,has_special_committee,strategic_alts_language,engaged_adviser,active_bid,offer_price,majority_of_minority,advisers_named,activists_named,buyback_authorisation_musd,largest_owner_pct,insiders_group_pct,revolver_capacity_musd,cash_musd,board_ma_keyword_count,pe_firm_count,has_psu_program,per_share_metrics,aggregate_metrics,stock_price_hurdles,discretionary_language,retirement_language,repricing_language,front_loaded_language,flags,filing_url,error
HLX,HELIX ENERGY SOLUTIONS GROUP INC ,2026-04-24,10.289999961853027,1515676800.0,32.5,20.9,50.0,45.0,50.0,0.0,0.0,0.0,25.0,0.0,50.0,100.0,False,False,False,True,True,32.5,False,Bank of America; Barclays; Goldman Sachs; Piper Sandler,,,,,,,3,0,True,,,27.83; 32.5,False,False,False,False,"Top vest hurdle $32.50 = 3.16x current price; Financial adviser explicitly engaged; Advisers named: Bank of America, Barclays, Goldman Sachs; Active bid detected at $32.50/share; Double-trigger CIC vesting (shareholder-friendly); Single-trigger CIC vesting (deal-friendly to mgmt); 280G analysis present (golden-parachute mechanics live); Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/866829/000114036126016767/ef20071301_ex2-1.htm,
KORGW,"KORE Group Holdings, Inc. ",2026-02-27,0.0006000000284984708,,26.3,17.2,40.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,100.0,False,True,True,False,True,9.25,False,Rothschild,,,,,,,1,0,True,,absolute_net_income,250.0,False,False,False,False,Aggregate metrics (dilution risk): absolute_net_income; Top vest hurdle $250.00 = 416666.65x current price; Special / strategic-alternatives committee disclosed; Advisers named: Rothschild; Strategic-alternatives language present; Active bid detected at $9.25/share; 280G analysis present (golden-parachute mechanics live); Active bid without explicit majority-of-the-minority protection,https://www.sec.gov/Archives/edgar/data/1855457/000110465926021030/tm267508d1_ex2-1.htm,
RPC,"P10, Inc. ",2026-02-05,8.0600004196167,886721664.0,26.1,10.2,50.0,20.0,10.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,False,False,False,False,True,,False,Goldman Sachs; J.P. Morgan,,,,,,,14,0,False,,,500.0,False,True,False,False,"Top vest hurdle $500.00 = 62.03x current price; Advisers named: Goldman Sachs, J.P. Morgan; Active bid detected; 280G analysis present (golden-parachute mechanics live); Board bios reference M&A/transaction keywords 14x; Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/1841968/000119312526038508/px-ex2_1.htm,
0001320695,"TreeHouse Foods, Inc. ",2025-11-12,,,26.1,26.8,25.0,35.0,60.0,0.0,0.0,55.0,0.0,0.0,50.0,0.0,False,False,True,False,True,22.5,False,Bank of America; Goldman Sachs,JANA Partners,,,,,,0,0,True,,,,False,False,False,False,"Advisers named: Bank of America, Goldman Sachs; Strategic-alternatives language present; Active bid detected at $22.50/share; 280G analysis present (golden-parachute mechanics live); Activist holders cited: JANA Partners; Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/1320695/000132069525000112/exhibit21mergeragreement.htm,
ROCK,"GIBRALTAR INDUSTRIES, INC. ",2025-11-17,39.20000076293945,1162708352.0,23.4,20.8,27.2,15.0,75.0,0.0,0.0,0.0,50.0,0.0,32.0,100.0,False,False,False,False,True,,False,Rothschild,,,,,,,6,0,False,,,5.0; 681.0,True,True,False,False,Discretionary / committee-override language present; Top vest hurdle $681.00 = 17.37x current price; Advisers named: Rothschild; Active bid detected; Double-trigger CIC vesting (shareholder-friendly); 280G analysis present (golden-parachute mechanics live); Board bios reference M&A/transaction keywords 6x; Active bid without explicit majority-of-the-minority protection,https://www.sec.gov/Archives/edgar/data/912562/000114036125042426/ef20059383_ex2-1.htm,
JOBY-WT,"Joby Aviation, Inc. ",2026-02-02,0.7299000024795532,,23.3,5.5,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,True,0.44265,False,Barclays; BofA Securities; Goldman Sachs; Morgan Stanley; Raymond James,,,,,,,0,0,False,,,14.19; 22.7; 30.0; 150.0,False,False,False,True,"Top vest hurdle $150.00 = 205.51x current price; Front-loaded / inducement grant language present; Advisers named: Barclays, BofA Securities, Goldman Sachs; Active bid detected at $0.44/share; Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/1819848/000162828026004597/exhibit13-closing8xk.htm,
VTGN,"Vistagen Therapeutics, Inc. ",2025-12-03,0.6299999952316284,24794394.0,21.5,2.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,False,,,45.0,False,False,False,False,Top vest hurdle $45.00 = 71.43x current price; Operating-inflection language present (narrative weight only),https://www.sec.gov/Archives/edgar/data/1411685/000162828025055083/vtgn-20251128.htm,
0001827821,"Forge Global Holdings, Inc. ",2025-11-06,,,21.0,18.3,25.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,False,True,False,True,True,45.0,False,J.P. Morgan,,,,,,,0,0,True,,,,False,False,False,False,Special / strategic-alternatives committee disclosed; Financial adviser explicitly engaged; Advisers named: J.P. Morgan; Active bid detected at $45.00/share; 280G analysis present (golden-parachute mechanics live); Active bid without explicit majority-of-the-minority protection,https://www.sec.gov/Archives/edgar/data/1827821/000182782125000020/exhibit21.htm,
BNCWW,CEA Industries Inc. ,2026-03-12,0.04010000079870224,,20.7,1.2,50.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,1,False,,,175.0,False,False,False,False,Top vest hurdle $175.00 = 4364.09x current price,https://www.sec.gov/Archives/edgar/data/1482541/000149315226009861/form8-k.htm,
RYAM,RAYONIER ADVANCED MATERIALS INC. ,2026-01-05,9.3100004196167,627434176.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,True,,,15.0; 30.0; 45.0,False,True,False,True,Top vest hurdle $45.00 = 4.83x current price; Front-loaded / inducement grant language present,https://www.sec.gov/Archives/edgar/data/1597672/000114036126000258/ef20038813_ex99-1.htm,
AUB-PA,Atlantic Union Bankshares Corp ,2026-02-24,24.899999618530273,,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,True,,,300.0,False,True,False,False,Top vest hurdle $300.00 = 12.05x current price,https://www.sec.gov/Archives/edgar/data/883948/000110465926018812/tm267065d1_ex10-1.htm,
SAFE,Safehold Inc. ,2025-12-01,14.859999656677246,1067325760.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,False,,,1.0; 200.0,False,False,False,True,Top vest hurdle $200.00 = 13.46x current price; Front-loaded / inducement grant language present,https://www.sec.gov/Archives/edgar/data/1095651/000110465925117317/tm2532139d3_8k.htm,
MOVE,Movano Inc. ,2025-12-22,14.710000038146973,981685312.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,False,,,35.7; 61.1; 61.9; 111.0; 196.5; 235.5; 730.5; 750.0,False,False,False,True,Top vest hurdle $750.00 = 50.99x current price; Front-loaded / inducement grant language present,https://www.sec.gov/Archives/edgar/data/1734750/000121390025124005/ea027021601ex99-1_movano.htm,
DCH,Dauch Corp ,2026-02-10,5.710000038146973,1351824640.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,True,,,22.0; 90.0,False,False,False,True,Top vest hurdle $90.00 = 15.76x current price; Front-loaded / inducement grant language present,https://www.sec.gov/Archives/edgar/data/1062231/000094787126000107/ss5933196_ex9901.htm,
FTHM,Fathom Holdings Inc. ,2026-02-12,0.9229999780654907,30248286.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,False,False,False,False,False,,False,,,,,,,,0,0,False,,,35.0; 38.0,False,True,False,False,Top vest hurdle $38.00 = 41.17x current price,https://www.sec.gov/Archives/edgar/data/1753162/000162828026007667/fthm-2026212xexx101.htm,
CGC,Canopy Growth Corp ,2026-01-08,1.1299999952316284,507460992.0,18.6,17.6,20.0,0.0,0.0,0.0,0.0,75.0,80.0,0.0,40.0,0.0,False,False,False,False,False,,False,,SABA CAPITAL; Saba Capital,,,,,,8,2,True,,absolute_revenue,,False,False,False,False,"Aggregate metrics (dilution risk): absolute_revenue; Activist holders cited: SABA CAPITAL, Saba Capital; Board bios reference M&A/transaction keywords 8x; Multiple PE-firm affiliations on board (2)",https://www.sec.gov/Archives/edgar/data/1737927/000110465926002134/tm262514d3_ex10-1.htm,
OGN,Organon & Co. ,2026-04-27,13.289999961853027,3489965568.0,18.2,13.7,25.0,45.0,10.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,False,False,False,True,True,14.0,False,Goldman Sachs; J.P. Morgan; JPMorgan; Jefferies; Morgan Stanley,,,,,,,2,0,True,,,,False,False,False,False,"Financial adviser explicitly engaged; Advisers named: Goldman Sachs, J.P. Morgan, JPMorgan; Active bid detected at $14.00/share; 280G analysis present (golden-parachute mechanics live); Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/1821825/000119312526178718/d38652dex21.htm,
0001029142,DYNAVAX TECHNOLOGIES CORP ,2025-12-29,,,17.6,12.6,25.0,40.0,10.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,False,False,True,False,True,15.5,False,Centerview; Goldman Sachs; Morgan Stanley,,,,,,,3,0,True,,,1.0,False,False,False,False,"Advisers named: Centerview, Goldman Sachs, Morgan Stanley; Strategic-alternatives language present; Active bid detected at $15.50/share; 280G analysis present (golden-parachute mechanics live); Active bid without explicit majority-of-the-minority protection",https://www.sec.gov/Archives/edgar/data/1029142/000119312525332264/d82616dex21.htm,
SPRB,"SPRUCE BIOSCIENCES, INC. ",2026-03-09,57.279998779296875,154786544.0,17.4,12.3,25.0,15.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,False,False,False,False,True,,False,Jefferies,,,,,,,0,0,False,,,,False,False,False,True,Front-loaded / inducement grant language present; Advisers named: Jefferies; Active bid detected; Active bid without explicit majority-of-the-minority protection,https://www.sec.gov/Archives/edgar/data/1683553/000119312526097561/sprb-20260309.htm,
