symbol,name,sector,industry,market_cap_bucket,currency,market_cap,enterprise_value,price,revenue_ttm,ebitda_ttm,cfo_ttm,fcf_ttm,ebitda_margin,fcf_margin,cash_conversion,roce,net_debt_ebitda,ev_sales,ev_ebitda,ev_ebit,pb,fcf_yield,ncav,ncav_pct_mcap,cash_pct_mcap,cash_pct_ev,net_cash,net_cash_pct_mcap,cash_gt_ev_flag,balance_sheet_date,mcap_to_ncav,graham_net_net_flag,p_s,p_e,p_ocf,gross_profit_ttm,gross_margin,gross_profit_to_mcap,debt_to_equity,insider_ownership_pct,analyst_target_mean,analyst_target_upside_pct,momentum_12m,berezin_classic_flag,berezin_score,cheapness_growth_blend,cheapness_ev_ebit_vs_growth,cheapness_under_7x_flag,cheapness_blend_vs_growth,rev_yoy,ebitda_yoy,cfo_yoy,fcf_yoy,ebitda_margin_delta_yoy,fcf_margin_delta_yoy,rev_qoq_ttm,ebitda_qoq_ttm,cfo_qoq_ttm,fcf_qoq_ttm,rev_seq,ebitda_seq,cfo_seq,fcf_seq,rev_accel,ebitda_accel,cfo_accel,fcf_accel,rev_inflection,ebitda_inflection,cfo_inflection,fcf_inflection,ebitda_first_positive,cfo_first_positive,fcf_first_positive,net_income_first_positive,roce_prev,roce_delta_yoy,roce_inflection,roce_first_positive,fcf_run_rate_delta,fcf_eta_quarters,fcf_eta_years,ebitda_eta_years,cfo_eta_years,ni_eta_years,fcf_projected_positive_in_n,price_yoy,price_minus_rev_yoy,price_minus_ebitda_yoy,price_minus_fcf_yoy,ev_sales_change_yoy,not_priced_in_score,yartseva_score,notes,inflection_flag
MFRISCOA-2.MX,"Minera Frisco, S.A.B. de C.V.",Materials,Metals & Mining,Small Cap,MXN,22972444672.0,34228564672.0,3.8,16846826000.0,9102630000.0,7338702000.0,6250975000.0,0.5403172087133802,0.3710476382910347,0.8062177634375999,0.3709848144183769,1.2365788788514969,2.0317515401417454,3.7602939669084647,4.810884083331436,2.899802560744209,0.2721075222620521,-13966246000.0,-0.6079564538911604,0.0564179833058735,0.0378648363558234,-11256120000.0,-0.4899835503236422,0,2026-03-31,,0,1.3636066919667835,,3.1303144169091484,9299648000.0,0.5520118745216458,0.4048175164977061,1.5844565664134334,,,,0.0,0,0.33713200834511,0.8232050156524855,5.844089858366876,1,3.109211173754617,0.6108151284898168,1.8691343548913275,0.632345100530428,0.5872875810437848,0.2369674779853228,-0.0054998483065619,0.1985552020870884,0.3036919340826107,0.3516849965345434,0.4004997099737442,0.3660017410121,0.7662705261503489,0.223296355674873,0.1521784993880804,0.1498132856077061,1.23936106811712,-3.0123198545763192,-4.624399591266015,0,1,0,0,0,0,0,1,0.0446926217317853,0.3262921926865915,0,0,1787586000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6108151284898168,-1.8691343548913275,-0.5872875810437848,-0.3791962948985168,0.8616083398308614,0.70216,growth-flip; first-positive: NI; accelerating sales; under-priced vs fundamentals; cheap+grow (EV/EBIT 4.8x),1
VITROA.MX,"Vitro, S.A.B. de C.V.",Materials,Chemicals,Small Cap,MXN,2820163328.0,2831694336.0,6.0,310653000.0,202008000.0,272509000.0,255125000.0,0.6502689495997142,0.8212539392827367,1.3490010296621917,0.2460104732504311,0.3704407746227872,9.11529692615233,14.017733634311512,15.198179113129166,4.193158600755617,0.0904646186506259,-102533000.0,-0.0363571141366178,0.0133346886780026,0.0132803881838184,-84795000.0,-0.0300674075001658,0,2023-12-31,,0,9.07817831471127,,10.348881424099757,150962000.0,0.4859505622028436,0.0535295238049418,0.1819918728803101,0.86768997,,,0.4247917998089545,0,0.4449532510557336,0.3175861819838652,47.8552908636979,0,19.562529567564948,0.2336948535981922,0.7575541383540548,-0.0076327816317984,-0.0406237778646851,0.1938201614405287,-0.2348247241380578,,,,,0.2336948535981922,0.7575541383540548,-0.0076327816317984,-0.0406237778646851,1.1050622850233074,0.5249725557097369,-12.036388956578584,-3.15498945543998,1,0,0,0,0,0,0,0,0.0549255584960894,0.1910849147543417,0,0,,,,0.0,,0.0,0,0.4247917998089545,0.1910969462107622,-0.3327623385451003,0.4654155776736396,0.1548980654765716,-0.1196620627039683,0.579026,growth-flip; accelerating sales,1
VALUEGFO.MX,"Value Grupo Financiero, S.A.B. de C.V.",Financials,Capital Markets,Small Cap,MXN,9600000000.0,19104903168.0,60.0,2371292448.0,,1210048170.0,866570816.0,,0.3654424053561528,,,,8.056746937356248,,,1.823597187240312,0.0902677933333333,,,0.1099940754166666,0.055270791728935,-9233697942.0,-0.961843535625,0,2026-03-31,,0,4.048425156541468,2.0,7.933568462815823,,,,1.9546000526739589,0.2038,,,-0.3814432989690721,0,0.2622218347107039,0.9992794066775524,,0,,0.6174121158665538,,2.0654451582942204,1.76301398829955,,1.1400952729814458,0.4723479754599188,,0.2487926049454156,3.021263837713291,3.369442129987783,,0.391348738023068,3.085919757863846,0.9263528702706254,,4.698599890940511,3.0660954612095206,1,0,1,1,0,1,1,1,,,0,0,651073686.0,0.0,0.0,,0.0,0.0,0,-0.3814432989690721,-0.998855414835626,,-2.1444572872686223,-0.6175639498659706,1.2536255506567395,0.629983,growth-flip; first-positive: FCF/CFO/NI; accelerating sales; under-priced vs fundamentals,1
MFRISCOA-1.MX,"Minera Frisco, S.A.B. de C.V.",Materials,Metals & Mining,Small Cap,MXN,64085155840.0,77337616384.0,10.6,16846826000.0,9102630000.0,7338702000.0,6250975000.0,0.5403172087133802,0.3710476382910347,0.8062177634375999,0.3709848144183769,1.2365788788514969,4.590634246712111,8.496183672630877,10.8699360101692,8.08944375158418,0.0975416992915905,-13966246000.0,-0.2179326213213746,0.0202240126127779,0.0167584554657691,-11256120000.0,-0.1756431712220987,0,2026-03-31,,0,3.8039898934078153,21.632654,8.732491909332195,9299648000.0,0.5520118745216458,0.1451139172262953,1.5844565664134334,0.85,,,2.13609468123437,0,0.3929112704002152,0.8882089877474497,12.238038750019854,0,7.64506692124402,0.6108151284898168,1.8691343548913275,0.632345100530428,0.5872875810437848,0.2369674779853228,-0.0054998483065619,0.1985552020870884,0.3036919340826107,0.3516849965345434,0.4004997099737442,0.3660017410121,0.7662705261503489,0.223296355674873,0.1521784993880804,0.1498132856077061,1.23936106811712,-3.0123198545763192,-4.624399591266015,0,1,0,0,0,0,0,1,0.0446926217317853,0.3262921926865915,0,0,1787586000.0,0.0,0.0,0.0,0.0,0.0,0,2.13609468123437,1.525279552744554,0.2669603263430431,1.548807100190586,0.9468991976593524,-1.071986544234384,0.543854,growth-flip; first-positive: NI; accelerating sales,1
HOMEX.MX,"Desarrolladora Homex, S.A.B. de C.V.",Industrials,Construction & Engineering,Nano Cap,MXN,5569290.0,48074876.0,0.001,1081562000.0,363619000.0,467320000.0,464674000.0,0.3361980173119988,0.429632328058863,1.2851913678878166,2.2286835930843742,0.1309007505108368,0.0444494869457321,0.1322122221336068,0.1413729933511146,0.0530489407909776,83.4350518647799,-489299000.0,-87.8566208619052,5.179654857261877,0.6000431493572651,-47598000.0,-8.54651131472773,0,2021-12-31,,0,0.005149302582746,0.033333335,0.0119175083454592,130789000.0,0.1209260310550851,23.483962946802915,0.7281585765449974,0.0,,,0.0,0,0.7023575507882467,-87.8566208619052,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,0,0.0,,,,,,0.911765,cash 518% of mcap,0
HCITY.MX,"Hoteles City Express, S.A.B. de C.V.",Consumer Discretionary,"Hotels, Restaurants & Leisure",Micro Cap,MXN,2535812608.0,3223089920.0,6.15,3176528000.0,1035201000.0,1054869000.0,824695000.0,0.3258907209380808,0.2596215112852775,1.0189992088492958,0.0479782627845754,4.912680725772097,1.0146581172903246,3.113491891912778,5.841809587332889,0.4182910636792935,0.3252192206152167,-5177595000.0,-2.0417892803536373,0.2740178820027382,0.2155875316069369,-5437225000.0,-2.14417460613872,0,2022-12-31,,0,0.7982969481144193,,2.4039123417220525,1435164000.0,0.451802722973007,0.5659582239919204,1.011508308045968,0.051799998,7.9,0.2845528455284551,0.545226147209694,0,0.4918297082073893,0.1962163249865055,29.77229131029056,1,5.363928610030218,0.3970123155016644,0.7700615041062583,0.7293246271654079,0.8849395910568251,0.0686830761177996,0.0672044967796105,,,,,0.3970123155016644,0.7700615041062583,0.7293246271654079,0.8849395910568251,,,,,0,0,0,0,0,0,0,1,0.0068039231120624,0.041174339672513,0,0,387177000.0,,0.0,0.0,0.0,0.0,0,0.545226147209694,0.1482138317080296,-0.2248353568965643,-0.3397134438471311,0.106093432436783,0.0775603841497206,0.736398,first-positive: NI; cheap+grow (EV/EBIT 5.8x),1
PE&OLES.MX,"Industrias Penoles, S.A.B. de C.V.",Materials,Metals & Mining,Mid Cap,MXN,392296628224.0,394790076416.0,986.97,10113244000.0,4188124000.0,2683692000.0,2172417000.0,0.4141227087965048,0.2148091156507249,0.6407861849362626,0.585387204054622,0.0515906405827525,39.03693774381395,94.26418043400815,112.14938981471592,61.03040815645824,0.0055376897064727,2190340000.0,0.005583377073405,0.0112398060109817,0.0111688167038772,414405000.0,0.0010563562625457,0,2026-03-31,179.10307451080655,0,38.7903849866571,12.268117,146.1779623831647,4265785000.0,0.4218018471619986,0.0108738762790595,0.6215000945878335,0.528,982.0,-0.0050356140510856,1.4258698386090445,0,0.3704214664269494,0.8425416771784879,133.1084180788337,0,99.65811649547412,0.520770505132345,1.2169685176499982,1.063905350927249,1.5741886404328358,0.1300475872829108,0.0879049089488195,0.1820490436246572,0.3224613472539215,0.0908314927165227,0.1565843441743189,0.2336595642263937,0.3956358923137053,-0.1443705794436141,0.0341399180931901,0.178700744460476,-0.5472272921792637,-0.8147413167761083,-6.51398827330433,0,0,0,0,0,0,0,0,0.1997897171848515,0.3855974868697704,0,0,294113000.0,0.0,0.0,0.0,0.0,0.0,0,1.4258698386090445,0.9050993334766992,0.208901320959046,-0.1483188018237915,0.5951583953148357,-0.3902100619816974,0.313844,accelerating sales,0
VINTE.MX,"Vinte Viviendas Integrales, S.A.B. de C.V.",Real Estate,Real Estate Management & Development,Micro Cap,MXN,9355820032.0,19193710592.0,34.09,10353124000.0,1781933000.0,883333000.0,818969000.0,0.1721154890060237,0.0791035633302566,0.4957161689019733,0.1033369055769365,4.171661336312869,1.8539052166283336,10.771286345782922,11.886519980232183,1.1714112110566517,0.0875357795681036,-3271668000.0,-0.3496933447639879,0.1977029264857069,0.096368703234014,-7639240000.0,-0.8165227605780436,0,2026-03-31,,0,0.9036712041698718,6.312963,10.591498372640896,3164431000.0,0.3056498695466219,0.3382312816168544,1.1880753403681126,0.50334,52.72,0.5464945731886182,0.0969033324593937,0,0.3905872885349261,1.2530138657008438,9.486343531868052,0,6.1547872494913625,0.9576522144765448,1.1639371535991685,4.041727931681617,3.624597802817624,0.0164075158618238,0.1381058477032056,0.0226725760293081,0.0653900239392932,2.7165739626547287,3.5743258339104984,-0.2465251881920914,-0.1351993357819338,-0.3850029251500046,-0.4768829858776059,1.8761898845980856,1.9475768190489136,6.898634422944085,7.823893319829853,0,0,1,1,0,1,1,0,0.0548020028616409,0.0485349027152956,0,0,639933000.0,0.0,0.0,0.0,0.0,0.0,0,0.0969033324593937,-0.8607488820171509,-1.0670338211397747,-3.52769447035823,-0.4396842685600854,1.4737903605188103,0.668845,growth-flip; first-positive: FCF/CFO; accelerating sales; under-priced vs fundamentals,1
INVEXA.MX,"INVEX Controladora, S.A.B. de C.V.",Financials,Capital Markets,Small Cap,MXN,15821080576.0,17878901966.0,97.0,17145321353.0,,11543455640.0,9359612055.0,,0.5458988993147278,,,,1.0427860521186232,,,0.8308824155693645,0.59159120074252,,,0.8975702257999801,0.7942619122810173,-2417971550.0,-0.152832263155778,0,2026-03-31,,0,0.9227637237158992,5.388889,1.3705671048084869,,,,0.872760957343633,0.28370002,155.4,0.6020618556701032,0.1487024994113728,0,0.4948838651925963,1.033225970256865,,0,,0.4628406648740649,,1.6077960407297291,2.1739965810224646,,0.29430344593515,-0.0848283036716036,,3.90418480776816,86.55997573702314,0.0099784361467483,,6.9652538467426,15.875066423137724,0.0248862408516396,,-4.113558124319394,-3.1086724122127367,0,0,0,0,0,0,0,0,,,0,0,9252718329.0,0.0,0.0,,0.0,0.0,0,0.1487024994113728,-0.3141381654626921,,-2.025294081611092,-0.2147453054907631,0.8513925175215157,0.696892,under-priced vs fundamentals; cash 90% of mcap,0
FRES.MX,Fresnillo plc,Materials,Metals & Mining,Mid Cap,MXN,626359533568.0,617526919168.0,850.0,4561231000.0,2636684000.0,2289707000.0,1889566000.0,0.5780641234789468,0.4142666749392872,0.8684040256625367,0.7864834928325275,-0.7226891808043739,135.3860217051055,234.205888596434,287.8848954279811,135.1983303671528,0.0030167434176921,1848871000.0,0.002951772745388,0.0044007887679109,0.0044637341538306,1905503000.0,0.0030421872708562,0,2025-12-31,338.77946788499577,0,137.32247578954014,26.145803,273.55444760748867,2664111000.0,0.5840771931963104,0.004253325537849,0.1836806540361165,0.74994004,,,2.4155748042986542,0,0.4240299855495488,0.5533034861115556,520.301972884983,0,370.5633288467675,0.3045562774122415,0.8371736047965942,0.761581379317773,1.0334093795062738,0.167587302419481,0.1484893077443129,,,,,0.3045562774122415,0.8371736047965942,0.761581379317773,1.0334093795062738,0.0120335997598489,-0.2218385410917945,-1.290155793216165,-16.131288726152395,0,0,0,0,0,0,0,0,0.2387343226873215,0.547749170145206,0,0,960306000.0,,0.0,0.0,0.0,0.0,0,2.4155748042986542,2.111018526886413,1.57840119950206,1.3821654247923805,1.618188930165508,-1.6724435203365904,0.307542,,0
