symbol,name,src,sector,industry,market_cap_bucket,market_cap,revenue_ttm,tier,archetype_count,archetype_tags_str,cluster_n,verdict,asymmetry_score,upside_score,downside_floor_score,yartseva_score,inflection_score,inflection_asymmetry_score,berezin_score,alta_fox_score,m5_engine_score,roic_lindy,roiic_lindy,cash_roiic_lindy,cheap_per_roiic_lindy,pb,momentum_12m,eta
088910.KQ,"Dongwoo Farm To Table Co.,Ltd",KR,Consumer Staples,,Micro Cap,35330243.9018116,330261649300.0,STRICT,18,"DiscountedVehicle, CapitalDiscipline, KPIThreshold, BlindSpot, MicroActivistInflect, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchEV-GY, WolfTurnaround, WolfValueCatalyst, LigerAssetBacked, LigerLaggingInflect, LigerNeglectedSurvivor, OakAssetFloor, OakOrderConversion, NegativeEV-Value, Templeton-MaxPessimism",6,GREEN,0.7304154250996119,0.6030945227743313,0.8846153846153845,0.777806,0.74707,0.8129388755525321,0.6141246058638158,0.487,,,,,,0.2358961702739243,0.027,1.446222
AWC.SI,Brook Crompton Holdings Ltd.,SG,Industrials,Electrical Equipment,Nano Cap,15698515.166056156,61500000.0,STRICT,11,"DiscountedVehicle, CapitalDiscipline, MicroActivistInflect, StrongCoverage, LynchPEGY, LynchEV-GY, WolfSeal, LigerAssetBacked, OakAssetFloor, OakOrderConversion, NegativeEV-Value",3,GREEN,0.6663043375834009,0.5018694881453837,0.8846153846153845,0.81277,0.394277,0.5905789532314879,0.578894638589458,0.545,,,,,,0.4305136,0.141,1.3074096
2230.HK,Medialink Group Limited,HK,Communication Services,Entertainment,Micro Cap,49566784.38127041,647806000.0,STRICT,22,"NarrativeLag, DiscountedVehicle, CapitalDiscipline, KPIThreshold, MicroActivistInflect, CapitalReturner, StrongCoverage, LynchPEGY, LynchEV-GY, WolfTrifecta, WolfValueCatalyst, LigerAssetBacked, LigerLaggingInflect, WolfCompounder, LigerNeglectedSurvivor, OakAssetFloor, CheapSalesScaler, ExceptionalEVSG, NegativeEV-Value, TenBaggerPath, TenBaggerPath-Credible, EVSalesDerating-UnpricedGrowth",5,GREEN,0.6421012026358783,0.5359821407543738,0.7692307692307692,0.755286,0.521214,0.6331933718492686,0.4457538177866538,0.675,,,,,,0.58558553,-0.2114,1.2713603999999998
003650.KS,"Michang Oil Ind .Co.,Ltd.",KR,Energy,"Oil, Gas & Consumable Fuels",Micro Cap,129835458.4956131,405551307860.0,STRICT,16,"DiscountedVehicle, CapitalDiscipline, RegimeCyclical, BlindSpot, MicroActivistInflect, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchEV-GY, WolfValueCatalyst, WolfSeal, LigerAssetBacked, LigerNeglectedSurvivor, OakResourceLeverage, OakAssetFloor, NegativeEV-Value",3,GREEN,0.6220646644880169,0.4374380703008398,0.8846153846153845,0.763853,0.372915,0.5743573331592852,0.4460390065168427,0.522,,,,,,0.3814184820374598,0.261,1.2316884000000001
7722.T,"Kokusai Co., Ltd.",JP,Industrials,Machinery,Micro Cap,65859172.35604763,13204277000.0,STRICT,26,"FixedCost+DemandShock, RegimeCyclical, KPIThreshold, MicroActivistInflect, CapitalReturner, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchPEGY, LynchEV-GY, WolfTrifecta, WolfTurnaround, WolfValueCatalyst, WolfSeal, LigerAssetBacked, LigerLaggingInflect, WolfCompounder, LigerNeglectedSurvivor, OakAssetFloor, OakOrderConversion, CheapSalesScaler, ExceptionalEVSG, NegativeEV-Value, GrowthAlgo-Flywheel, TenBaggerPath, TenBaggerPath-Credible",6,GREEN,0.6859267778154928,0.6116442078816479,0.7692307692307692,0.667544,0.819018,0.7937341155285227,0.4980159370211181,0.7,,,,,,0.8515029,0.2193,1.1901599999999999
1900.HK,"China ITS (Holdings) Co., Ltd.",CN,Information Technology,IT Services,Nano Cap,36657145.75909615,927849000.0,STRICT,22,"NarrativeLag, DiscountedVehicle, CapitalDiscipline, DeadOption, KPIThreshold, MicroActivistInflect, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchEV-GY, WolfTurnaround, WolfValueCatalyst, LigerAssetBacked, LigerLaggingInflect, LigerNeglectedSurvivor, OakDeepValue, OakAssetFloor, OakOrderConversion, CheapSalesScaler, NegativeEV-Value, Templeton-MaxPessimism, EVSalesDerating-UnpricedGrowth",5,UNRESEARCHED,0.6569190529874979,0.5610054348313883,0.7692307692307692,0.9112208468856676,0.4941813739901578,0.6165545543210005,0.5689519512401612,,,,,,,0.13461347,-0.5043,1.1824548
IRC.BK,Inoue Rubber (Thailand) Public Company Limited,TH,Consumer Discretionary,Auto Components,Micro Cap,78821510.97271729,4482168942.0,STRICT,15,"FixedCost+DemandShock, DiscountedVehicle, CapitalDiscipline, BlindSpot, MicroActivistInflect, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchPEGY, WolfSeal, LigerAssetBacked, LigerNeglectedSurvivor, OakAssetFloor, NegativeEV-Value, LynchReward-YearsInOne",3,GREEN,0.6022434005548826,0.4715062475654814,0.7692307692307692,0.757472,0.321708,0.497461247041106,0.3214997313536178,0.52,,,,,,0.610335,0.2341,1.1717724
054800.KQ,"IDIS Holdings Co., Ltd.",KR,Information Technology,,Micro Cap,85944326.25859833,949837193710.0,CANDIDATE,20,"DiscountedVehicle, BlindSpot, MicroActivistInflect, StrongCoverage, BAB-LowBetaQuality, BAB-Multibagger, LynchEV-GY, WolfTrifecta, WolfValueCatalyst, WolfSeal, LigerAssetBacked, LigerNeglectedSurvivor, OakAssetFloor, OakOrderConversion, WeschlerLeveredEquity, CheapSalesScaler, ExceptionalEVSG, NegativeEV-Value, TenBaggerPath, TenBaggerPath-Credible",2,GREEN,0.614306094456714,0.5164037589396416,0.7307692307692307,0.72611,0.512751,0.6121296054318511,0.7606004232480017,0.727,,,,,,0.3329555299332747,0.3995,1.1715093
6155.T,"Takamatsu Machinery Co., Ltd.",JP,Industrials,Machinery,Micro Cap,36465264.943124056,13893000000.0,STRICT,11,"FixedCost+DemandShock, DiscountedVehicle, KPIThreshold, StrongCoverage, LynchEV-GY, WolfSeal, LigerAssetBacked, LigerNeglectedSurvivor, OakAssetFloor, OakOrderConversion, NegativeEV-Value",5,GREEN,0.5902259696876756,0.5434520446582608,0.641025641025641,0.765984,0.573114,0.6061194347905116,0.4809130042787027,0.387,,,,,,0.35892186,0.1432,1.1686476
ALGEV.PA,Gevelot SA,FR,Industrials,Machinery,Micro Cap,167670977.06591034,156334000.0,STRICT,14,"FixedCost+DemandShock, DiscountedVehicle, CapitalDiscipline, KPIThreshold, MicroActivistInflect, StrongCoverage, WolfValueCatalyst, WolfSeal, LigerAssetBacked, LigerNeglectedSurvivor, OakAssetFloor, OakOrderConversion, CheapSalesScaler, NegativeEV-Value",4,GREEN,0.5886755969577527,0.4505006459896365,0.7692307692307692,0.528861,0.429636,0.5748819276766585,0.3820887516195863,0.567,,,,,,0.6870092,0.1029,1.1590701895000002
