ticker,score,archetype_count,archetypes,top_hurdle_x_spot,psu_core,gov_score,psu_pct_lti,per_share_metrics,mcap_musd,price,p_b,filing_date,confirmations,fwd_snippet
LUCK,54.3,3,price ladder 7-tranche $15-$85 (9.6x spot) | M&A close | 1 FORWARD-classified hurdle,9.6,26.8,0.0,50,,1204.0,8.83,-3.3270533,2025-10-24,10b5-1 -30,"consummation of the Business Combination on December&#160;15, 2021 and will vest"
HFFG,43.7,3,price ladder 3-tranche $4-$8 (4.3x spot) | dollar revenue hurdle | 1 FORWARD-classified hurdle,4.3,52.0,15.0,50,tsr,98.0,1.84,0.48054323,2026-04-24,4 F4 buys,"vest at 100%, the Company must have achieved a revenue of $1.232 billion"
SES,43,2,top hurdle $12 (11.6x spot) | M&A close,11.6,3.6,3.0,,tsr,399.0,1.08,1.9600726,2025-09-09,10b5-1 -22,
KSS,43,2,price ladder 5-tranche $2-$175 (11.0x spot) | operating-margin target,11.0,16.2,-7.0,89,"eps,tsr",1800.0,15.87,0.44564882,2026-04-10,10b5-1 -15,
GOGO,41.7,3,price ladder 3-tranche $5-$25 (7.4x spot) | dollar EBITDA hurdle | dollar revenue hurdle,7.4,26.0,0.0,,tsr,460.0,3.4,3.8901603,2026-04-16,10b5-1 -30,
STRT,39.8,2,top hurdle $650 (8.4x spot) | operating-margin target,8.4,6.6,4.0,50,"eps,tsr",324.0,77.53,1.3272502,2025-09-11,3 F4 buys,
AMCX,39,1,price ladder 4-tranche $1-$101 (10.2x spot),10.2,2.0,7.0,,tsr,436.0,9.92,0.45617583,2026-04-30,144 -14,
DRVN,39,1,price ladder 4-tranche $3-$150 (11.1x spot),11.1,10.8,4.0,67,tsr,2233.0,13.54,2.90371,2025-04-10,10b5-1 -42,
GRNT,39,1,price ladder 10-tranche $1-$55 (11.0x spot),11.0,36.9,11.0,,"tsr,roce",658.0,4.99,1.2003849,2026-04-08,13 F4 buys,
INDV,39,1,price ladder 11-tranche $10-$428 (11.2x spot),11.2,11.7,7.0,50,tsr,4523.0,38.26,-32.42373,2026-03-27,10b5-1 -12 + 3 F4 buys,
INFU,39,1,price ladder 12-tranche $1-$103 (11.4x spot),11.4,43.2,12.0,50,"tsr,roic",182.0,9.03,3.1020267,2026-04-10,3 F4 buys,
BETR,39,1,price ladder 4-tranche $4-$300 (11.4x spot),11.4,20.0,0.0,,,498.0,26.41,51.582027,2026-04-30,18 F4 buys,
BKR,39,1,price ladder 8-tranche $1-$750 (11.9x spot),11.9,26.1,-2.0,50,"eps,tsr,roic",62520.0,63.02,3.2361095,2026-03-30,10b5-1 +66,
BLNK,39,1,price ladder 4-tranche $2-$8 (11.2x spot),11.2,26.0,4.0,,tsr,96.0,0.6703,1.7779841,2026-05-20,10b5-1 +18,
LQDT,39,1,top hurdle $420 (11.1x spot),11.1,0.8,-2.0,,"eps,tsr,roe",1179.0,37.82,5.308815,2026-01-16,10b5-1 -28,
NEE,39,1,price ladder 4-tranche $3-$900 (10.6x spot),10.6,12.6,-2.0,,"eps,tsr,roe",176922.0,84.83,3.2034287,2026-04-01,10b5-1 -80,
CENX,39,1,price ladder 12-tranche $1-$721 (11.8x spot),11.8,33.0,12.0,60,tsr,6029.0,60.91,5.238218,2026-04-24,10b5-1 -15,
CRSR,39,1,price ladder 5-tranche $1-$98 (11.6x spot),11.6,0.0,-3.0,,tsr,899.0,8.41,1.3877888,2026-04-30,10b5-1 -50,
DT,39,1,price ladder 11-tranche $1-$478 (11.7x spot),11.7,19.8,12.0,75,tsr,11883.0,40.77,4.600023,2025-07-08,10b5-1 +49 + bb SHRINKIN -3.33%,
WULF,39,1,price ladder 12-tranche $1-$240 (10.3x spot),10.3,30.0,1.0,,tsr,11491.0,23.19,69.431145,2026-04-28,10b5-1 -30 + 144 -16,
EVER,38.8,1,top hurdle $192 (9.9x spot),9.9,0.0,0.0,,tsr,686.0,19.39,2.8493755,2026-04-23,10b5-1 -12,
AORT,38.5,1,price ladder 5-tranche $13-$200 (9.8x spot),9.8,16.2,8.0,50,tsr,994.0,20.47,2.2036817,2026-04-01,10b5-1 -27,
VVV,37.8,1,price ladder 3-tranche $34-$349 (9.4x spot),9.4,1.5,-2.0,50,"eps,tsr",4732.0,37.1,13.398338,2025-12-19,10b5-1 -15,
