ticker,total,thesis,confirm,value,psu_core,gov,fwd,psu_pct,metrics,mcap_musd,price,filing_date,notes,fwd_snippet,gov_reasons
HFFG,59.0,75.0,6.8,11.0,52.0,15.0,1,50,tsr,101.0,1.89,2026-04-24,ins +7,"vest at 100%, the Company must have achieved a revenue of $1.232 billion",double-trigger only; 3y vesting; clawback strengthened
KMPR,58.1,42.0,20.0,15.0,27.0,15.0,0,50,"tsr,roe,other_per_share",1474.0,25.03,2026-03-25,10b5-1 +12 | bb EXECUTING,,double-trigger only; 3y vesting; anti-hedge/pledge
LE,57.7,66.3,16.2,5.0,51.3,15.0,0,75,"tsr,roic",382.0,12.44,2026-03-27,tender +11 | 13D,,double-trigger only; 3y vesting; clawback strengthened
FISV,56.9,48.9,15.0,15.0,36.9,12.0,0,60,"eps,fcf_per_share,tsr",25522.0,47.86,2026-04-02,10b5-1 +15,,double-trigger only; 3y vesting
BCO,54.9,52.5,20.0,6.0,40.5,12.0,0,75,"eps,tsr",4022.0,97.67,2026-03-20,10b5-1 +15 | bb SHRINKING,,double-trigger only; 5y vesting
AUPH,53.7,54.0,24.0,0.0,43.0,11.0,0,75,tsr,2117.0,16.46,2026-04-21,10b5-1 +15 | 144 -10 | bb SHRINKING | tender +9 | 13D,,double-trigger only; clawback strengthened
MA,53.0,49.0,20.0,6.0,37.0,12.0,0,60,"eps,tsr",432771.0,489.79,2026-04-27,10b5-1 +15 | bb SHRINKING,,double-trigger only; 3y vesting
DXC,52.7,55.0,7.4,15.0,43.0,12.0,0,85,"eps,tsr",1394.0,8.6,2026-06-04,bb SHRINKING | ins +2,,double-trigger only; 3y vesting
CNMD,52.5,31.8,20.0,15.0,19.8,12.0,0,87,"eps,tsr",981.0,32.58,2026-04-07,10b5-1 +15 | bb SHRINKING,,double-trigger only; 3y vesting
UHS,52.3,40.6,15.0,15.0,30.6,10.0,0,50,"eps,tsr,roic",8546.0,141.17,2026-04-09,10b5-1 +15,,3y vesting; clawback strengthened; anti-hedge/pledge
CSGP,50.5,59.0,8.0,10.0,45.0,14.0,0,60,"eps,tsr",12300.0,30.12,2026-04-30,bb EXECUTING,,double-trigger only; 10x ownership multiple; 3y vesting; cla
MTG,50.2,62.1,5.0,11.0,44.1,18.0,0,61,"eps,tsr,roe,other_per_sh",5511.0,26.06,2026-03-20,bb SHRINKING,,double-trigger only; 3y vesting; clawback strengthened; anti
CAT,49.0,57.0,17.6,0.0,45.0,12.0,0,,"tsr,roic,roe",454061.0,985.82,2026-04-30,10b5-1 +10 | bb EXECUTING,,double-trigger only; 3y vesting
MAT,48.6,61.0,5.0,10.0,49.0,12.0,0,75,"eps,tsr,roic,roce,roe,cf",4080.0,14.04,2026-04-14,bb SHRINKING,,double-trigger only; 5y vesting
TROX,48.4,78.9,0.0,5.0,63.9,15.0,0,86,"eps,tsr,roic,roe,other_p",1180.0,7.4,2026-03-19,,,double-trigger only; 3y vesting; responsive to shareholders
ADSK,47.8,72.0,-1.8,10.0,57.0,15.0,0,60,"eps,fcf_per_share,tsr",40924.0,193.82,2026-05-06,10b5-1 -2,,double-trigger only; 3y vesting; responsive to shareholders
GRND,47.6,52.0,13.0,6.0,41.0,11.0,0,,"eps,tsr,roe",2373.0,13.35,2026-04-30,bb EXECUTING | 13D,,double-trigger only; clawback strengthened
CTSH,46.9,58.0,5.0,10.0,41.0,17.0,0,57,"eps,tsr",20670.0,43.7,2026-04-17,bb SHRINKING,,double-trigger only; post-vest holding requirement; 4y vesti
YUMC,46.5,39.0,15.0,10.0,27.0,12.0,0,50,"eps,tsr,roic",14874.0,42.93,2026-04-16,10b5-1 +15,,double-trigger only; 3y vesting
FOUR,46.2,51.0,8.2,10.0,39.0,12.0,0,,"fcf_per_share,tsr",3906.0,39.4,2026-04-30,bb SHRINKING | ins +3,,double-trigger only; 3y vesting
ADT,46.1,54.0,6.4,10.0,43.0,11.0,0,90,"eps,tsr",5004.0,6.58,2026-04-14,bb SHRINKING | ins +1,,double-trigger only; clawback strengthened
DOV,46.1,69.3,8.0,0.0,51.3,18.0,0,75,"eps,tsr,roic",30106.0,223.57,2026-03-24,bb EXECUTING,,double-trigger only; 3y vesting; clawback strengthened; resp
SBET,46.0,31.0,14.0,15.0,27.0,4.0,0,,"eps,tsr,roic",1043.0,5.29,2026-03-17,10b5-1 +9 | 13D,,3y vesting
NXST,45.8,45.0,11.0,10.0,30.0,15.0,0,60,"tsr,roe",5013.0,164.16,2026-04-30,10b5-1 +15 | 144 -4,,double-trigger only; 3y vesting; anti-hedge/pledge
COLB,45.8,37.9,20.0,5.0,36.9,1.0,0,50,"eps,tsr,roe",8844.0,30.55,2026-03-31,10b5-1 +15 | bb SHRINKING,,single-trigger CIC; 3y vesting; clawback strengthened
GO,45.5,48.0,8.1,11.0,50.0,-2.0,0,84,"eps,tsr,roic",916.0,9.26,2026-04-21,ins +8,,single-trigger CIC; 3y vesting
NOW,45.4,37.0,15.0,10.0,36.0,1.0,0,10,"eps,tsr,roic,roe",98016.0,95.04,2026-04-06,10b5-1 +15,,single-trigger CIC; 5y vesting; responsive to shareholders
CRM,45.2,51.0,7.2,10.0,39.0,12.0,0,67,"eps,tsr,roe",124308.0,151.78,2026-04-16,10b5-1 -3 | bb EXECUTING | ins +2,,double-trigger only; 4y vesting
IDA,44.9,54.3,15.0,0.0,42.3,12.0,0,,"eps,tsr",7888.0,142.37,2026-04-02,10b5-1 +15,,double-trigger only; 3y vesting
