ticker,valcreate,tier1_metrics,eps,tsr,aggregate_penalty,psu_pct_lti,gov,fwd,psu_core,mcap_musd,price,pb,sector,filing_date,fwd_snippet,notes
MAT,58.7,"cfroi,roce,roe,roic",EPS,TSR,,75,12.0,0,49.0,4080.0,14.04,1.9368188,Consumer Cyclical,2026-04-14,,"return-on-capital: cfroi,roce,roe,roic | EPS | TSR | gov hygiene"
TROX,57.5,"other_per_share,roe,roic",EPS,TSR,,86,15.0,0,63.9,1180.0,7.4,0.9157282,Basic Materials,2026-03-19,,"return-on-capital: other_per_share,roe,roic | EPS | TSR | gov hygiene"
NBHC,54.5,"cfroi,other_per_share,roe,roic",EPS,TSR,,43,20.0,0,31.5,1918.0,42.82,1.1677121,Financial Services,2026-04-03,,"return-on-capital: cfroi,other_per_share,roe,roic | EPS | TSR | gov hygiene"
STAA,53.9,"cfroi,roe,roic",EPS,TSR,,50,15.0,0,58.0,1450.0,29.12,4.1141567,Healthcare,2026-05-04,,"return-on-capital: cfroi,roe,roic | EPS | TSR | gov hygiene"
PFG,50.7,"cfroi,other_per_share,roe,roic",EPS,TSR,,30,12.0,0,42.3,23668.0,109.57,2.0072544,Financial Services,2026-04-06,,"return-on-capital: cfroi,other_per_share,roe,roic | EPS | TSR | gov hygiene"
BY,50.3,"cfroi,other_per_share,roe,roic",EPS,TSR,,,12.0,0,41.0,1596.0,35.15,1.2476043,Financial Services,2026-04-20,,"return-on-capital: cfroi,other_per_share,roe,roic | EPS | TSR | gov hygiene"
CC,50.1,"cfroi,other_per_share,roe,roic",EPS,TSR,,70,1.0,0,38.7,3274.0,21.77,15.223777,Basic Materials,2026-03-10,,"return-on-capital: cfroi,other_per_share,roe,roic | EPS | TSR | gov hygiene"
LCII,49.9,"cfroi,roe,roic",,TSR,,75,15.0,0,51.3,2232.0,91.92,1.6091872,Consumer Cyclical,2026-03-27,,"return-on-capital: cfroi,roe,roic | TSR | gov hygiene"
TGT,49.0,"cfroi,roe,roic",EPS,TSR,,75,-2.0,0,72.0,59381.0,130.74,3.6218076,Consumer Defensive,2026-04-27,,"return-on-capital: cfroi,roe,roic | EPS | TSR | gov hygiene"
ECPG,49.0,"other_per_share,roe,roic",EPS,TSR,,75,-2.0,0,60.0,1781.0,83.05,1.7254275,Financial Services,2026-04-29,,"return-on-capital: other_per_share,roe,roic | EPS | TSR | gov hygiene"
